This file was generated by Console at 2021:06:12-00:00:01



[2021:06:12-00:00:01]  (Local) -> (LOCAL)[1]NexoFX: lol
[2021:06:12-21:02:09]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: SIGALA SIGALA
[2021:06:12-21:02:11]  (Global) -> MICHAEL|#9D12D1í ½í¸ˆ: JAJAJAJAJAJAJAJAJAJAJAJAJa
[2021:06:12-21:02:15]  (Global) -> #7F7F7F|DJ|#FFFF00CAMPO[EMP]:  ESTOY ADELANTE
[2021:06:12-21:02:17]  (Global) -> #7F7F7F|DJ|#FFFF00CAMPO[EMP]:  SIGAAAAAAAA
[2021:06:12-21:02:17]  (Local) -> (LOCAL)[4]JuanitoAlcachofa: ahora me ayuda usted
[2021:06:12-21:02:21]  (Global) -> alias_el_nene: a ok
[2021:06:12-21:02:22]  (Local) -> (LOCAL)[4]laliendra: hagakle
[2021:06:12-21:02:24]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: ajjaja tranquilo
[2021:06:12-21:02:29]  (Global) -> #BE15B9hoka.zcb|#BE15B9í µí³©: KevinOcampo de Keisuke a Han cuantas acciones se need?
[2021:06:12-21:02:30]  (Global) -> alias_el_nene: devuelvase
[2021:06:12-21:02:34]  (Global) -> alias_el_nene: esta adelante
[2021:06:12-21:02:34]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: no la habia visto quedÃ³ re bien
[2021:06:12-21:02:35]  (Global) -> ArquezCriss(zetas): esmpara atras
[2021:06:12-21:02:36]  (Global) -> Carrancho|2cb|: desvalijar 2
[2021:06:12-21:02:41]  (Global) -> Carrancho|2cb|: xdddddddddddd
[2021:06:12-21:02:42]  ([Msg] de DARKAR[DARK] para Buitrago[CDG]: vendio la chiva ;-;) -> nil
[2021:06:12-21:02:43]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: te felicito por la base y el ascenso, sigue asÃ­
[2021:06:12-21:02:44]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: QQQQQQ
[2021:06:12-21:02:50]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: mano no se
[2021:06:12-21:02:54]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: ni idea
[2021:06:12-21:02:57]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: Sejimo level 4
[2021:06:12-21:02:59]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: xd
[2021:06:12-21:03:03]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: pronto
[2021:06:12-21:03:04]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: sejigod
[2021:06:12-21:03:15]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: SejimO
[2021:06:12-21:03:16]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00SejimO: Jajaja por ahÃ­ no
[2021:06:12-21:03:19]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00SejimO: Solo por acÃ¡
[2021:06:12-21:03:19]  ([Msg] de Buitrago[CDG] para DARKAR[DARK]: yo le consigo otra, eso es lo q hay) -> nil
[2021:06:12-21:03:22]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: Esos carros son suyos?
[2021:06:12-21:03:33]  (Global) -> Ikaris'2cb: ocampo
[2021:06:12-21:03:36]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: xdd
[2021:06:12-21:03:36]  ([Msg] de DARKAR[DARK] para Buitrago[CDG]: pero la vendian en 10 palos jaja) -> nil
[2021:06:12-21:03:39]  (Global) -> MICHAEL|#9D12D1í ½í¸ˆ: Baretaaaaaa|2cb[4] maskota
[2021:06:12-21:03:40]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00SejimO: PÃ³r acÃ¡
[2021:06:12-21:03:42]  (Global) -> Carrancho|2cb|: xddd
[2021:06:12-21:03:42]  (Local) -> (LOCAL)[1]laliendra: nada
[2021:06:12-21:03:43]  (Global) -> MICHAEL|#9D12D1í ½í¸ˆ: onta
[2021:06:12-21:03:43]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00SejimO: Se puede volar pero shhh
[2021:06:12-21:03:44]  (Global) -> alias_el_nene: oe montese
[2021:06:12-21:03:47]  (Local) -> (LOCAL)[1]laliendra: hagalo denuevo
[2021:06:12-21:03:50]  (Global) -> alias_el_nene: esperelo
[2021:06:12-21:03:51]  (Global) -> Ikaris'2cb: Xx._GAMBOAxX/ELN/[2] bugeado 
[2021:06:12-21:03:54]  (Local) -> (LOCAL)[2]Celador'BancoCVR: demonos balin
[2021:06:12-21:03:54]  (Global) -> Ikaris'2cb: ocampo
[2021:06:12-21:03:55]  (Local) -> (LOCAL)[0]Raptus~~: qq
[2021:06:12-21:03:56]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00Francine98: hey no esa puerta le da un 100/10
[2021:06:12-21:03:57]  (Local) -> (LOCAL)[1]Xx._GAMBOAxX/ELN/: uuf ya
[2021:06:12-21:03:59]  (Global) -> Cosculluela!_______2cb|#9E016Cà¶ž: freneee
[2021:06:12-21:04:01]  (Local) -> (LOCAL)[2]Celador'BancoCVR: o como fuew
[2021:06:12-21:04:06]  (Local) -> (LOCAL)[1]Orion: le recomiendo de aca
[2021:06:12-21:04:07]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: voy yo
[2021:06:12-21:04:12]  (Global) -> RickyRicon: listo paa
[2021:06:12-21:04:13]  (Local) -> (LOCAL)[1]Orion: sandking, el hoting o infernus
[2021:06:12-21:04:13]  (Global) -> proofh4k: oe
[2021:06:12-21:04:14]  (Global) -> RickyRicon: mano 
[2021:06:12-21:04:21]  (Local) -> (LOCAL)[1]Orion: Lo dejo en el trabajo?
[2021:06:12-21:04:23]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: qqqqqqqqqq
[2021:06:12-21:04:24]  (Global) -> DARKAR[DARK]: zoro
[2021:06:12-21:04:26]  (Local) -> (LOCAL)[1]Orion: como como?
[2021:06:12-21:04:27]  (Team - Unemployed) -> (TEAM)DANIELITA[CDG]: ay perdon
[2021:06:12-21:04:27]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: CDG tiene puertas automÃ¡ticas y tu gang que tiene
[2021:06:12-21:04:28]  (Global) -> proofh4k: oe
[2021:06:12-21:04:31]  (Local) -> (LOCAL)[6]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: AJJAJA
[2021:06:12-21:04:31]  (Local) -> (LOCAL)[1]MoraXXI: montate
[2021:06:12-21:04:32]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: a hp
[2021:06:12-21:04:32]  (Local) -> (LOCAL)[1]Acid2: 40
[2021:06:12-21:04:33]  (Local) -> (LOCAL)[1]MoraXXI: jajajaj
[2021:06:12-21:04:35]  (Local) -> (LOCAL)[1]laliendra: ya?
[2021:06:12-21:04:36]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: montate otra vez
[2021:06:12-21:04:36]  (Global) -> alias_el_brayan: hagale
[2021:06:12-21:04:36]  (Global) -> FLOREZINHO|CDG||#9D12D1í ½í¸ˆ: XD
[2021:06:12-21:04:41]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: MANO WTF
[2021:06:12-21:04:41]  (Global) -> Petr0sky: ole perro
[2021:06:12-21:04:42]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: XDDDDDDDDDD
[2021:06:12-21:04:44]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: k
[2021:06:12-21:04:44]  (Local) -> (LOCAL)[0]proofh4k: i
[2021:06:12-21:04:46]  (Local) -> (LOCAL)[14]iFixl: xd
[2021:06:12-21:04:48]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: pero dale nitro jaja
[2021:06:12-21:04:50]  (Local) -> (LOCAL)[1]Zeral8: esa moto tan lenta gas
[2021:06:12-21:04:50]  (Local) -> (LOCAL)[16]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: AJJAJA
[2021:06:12-21:04:51]  (Local) -> (LOCAL)[16]DARKAR[DARK]: zoro
[2021:06:12-21:04:51]  (Local) -> (LOCAL)[1]laliendra: tiene que quitarse el drifter
[2021:06:12-21:04:51]  (Global) -> Ikaris'2cb: ocampo
[2021:06:12-21:04:52]  (Local) -> (LOCAL)[16]Cosculluela!_______2cb: jajajaja
[2021:06:12-21:04:53]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: XDD
[2021:06:12-21:04:55]  (Local) -> (LOCAL)[1]Zeral8: igual a la de la vida real
[2021:06:12-21:04:55]  (Global) -> Ikaris'2cb: Xx._GAMBOAxX/ELN/[2] bugeado  disparando
[2021:06:12-21:04:55]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: si por eso
[2021:06:12-21:04:56]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: SIGALA SIGALA
[2021:06:12-21:04:57]  (Local) -> (LOCAL)[17]DARKAR[DARK]: cuanto me vende la chiva?
[2021:06:12-21:04:57]  (Local) -> (LOCAL)[14]Zoro059[Zetas]: diga
[2021:06:12-21:04:58]  (Global) -> Petr0sky: ya se le paso la rasca dde ayer?
[2021:06:12-21:04:59]  (Local) -> (LOCAL)[12]felipe33[DARK]: dark ero ajaja
[2021:06:12-21:05:05]  (Local) -> (LOCAL)[1]Zeral8: puro ruido y nadad de velocidad
[2021:06:12-21:05:07]  (Local) -> (LOCAL)[5]DARKAR[DARK]: oelo
[2021:06:12-21:05:08]  (Global) -> PACO|CAPU: radio
[2021:06:12-21:05:09]  (Local) -> (LOCAL)[0]Xx._GAMBOAxX/ELN/: sali pues gonorrea
[2021:06:12-21:05:10]  (Local) -> (LOCAL)[2]MegusitoLopezZ/CDE: papi q asco amaneci con dolor de todo el cuerpo
[2021:06:12-21:05:12]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: SejimO
[2021:06:12-21:05:13]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: ud tambien
[2021:06:12-21:05:13]  (Global) -> MICHAEL|#9D12D1í ½í¸ˆ: Baretaaaaaa|2cb[4] donde esta hp medioso
[2021:06:12-21:05:15]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: 20
[2021:06:12-21:05:15]  (Local) -> (LOCAL)[2]DARKAR[DARK]: cuanto me la vende?
[2021:06:12-21:05:17]  (Global) -> Petr0sky: uy kieto
[2021:06:12-21:05:17]  (Local) -> (LOCAL)[1]laliendra: ?
[2021:06:12-21:05:17]  (Global) -> elKRIS_CDG: ikaris ud nos esta matando bugeados
[2021:06:12-21:05:18]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00SejimO: Digame
[2021:06:12-21:05:18]  (Global) -> alias_el_brayan: toy bajando kilitos
[2021:06:12-21:05:20]  (Global) -> Petr0sky: JAJAJAJJAJAJA
[2021:06:12-21:05:20]  (Global) -> elKRIS_CDG: loka
[2021:06:12-21:05:20]  (Local) -> (LOCAL)[2]MegusitoLopezZ/CDE: lleveme mas bien al camello
[2021:06:12-21:05:20]  (Local) -> (LOCAL)[2]DARKAR[DARK]: chupela vale 16 jaja
[2021:06:12-21:05:21]  (Local) -> (LOCAL)[1]laliendra: que paso?
[2021:06:12-21:05:21]  (Local) -> (LOCAL)[1]FLOREZINHO|CDG|: veo
[2021:06:12-21:05:23]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: quitese el drif
[2021:06:12-21:05:29]  (Local) -> (LOCAL)[1]laliendra: porque
[2021:06:12-21:05:31]  (Local) -> (LOCAL)[2]MegusitoLopezZ/CDE: xd
[2021:06:12-21:05:31]  (Local) -> (LOCAL)[1]FLOREZINHO|CDG|: en la parte que es como de controles
[2021:06:12-21:05:32]  (Local) -> (LOCAL)[1]FLOREZINHO|CDG|: asi
[2021:06:12-21:05:34]  (Global) -> Ikaris'2cb: cual bugeado tonto, aprenda a salr
[2021:06:12-21:05:34]  (Local) -> (LOCAL)[1]FLOREZINHO|CDG|: tipo nasa
[2021:06:12-21:05:34]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00SejimO: Ah si
[2021:06:12-21:05:35]  (Local) -> (LOCAL)[2]MoraXXI: la tuya mano?
[2021:06:12-21:05:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00SejimO: Hay una peurta
[2021:06:12-21:05:37]  (Global) -> Baretaaaaaa|2cb: w
[2021:06:12-21:05:40]  (Global) -> laliendra: mano llegue
[2021:06:12-21:05:41]  (Local) -> (LOCAL)[1]Zeral8: sisa
[2021:06:12-21:05:41]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00SejimO: Esa la bug Balacalva
[2021:06:12-21:05:43]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: UYYYYYYY
[2021:06:12-21:05:43]  (Local) -> (LOCAL)[1]FLOREZINHO|CDG|: y por q no me deja entrar a mi xd?
[2021:06:12-21:05:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00SejimO: Antes se bajaba
[2021:06:12-21:05:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF8C00SejimO: A nadie
[2021:06:12-21:05:48]  (Local) -> (LOCAL)[1]FLOREZINHO|CDG|: ahhh
[2021:06:12-21:05:49]  (Global) -> DARKAR[DARK]: 7mp buitrago y que en 20 la chiva y vale 16 jajaja mucha gonorrea
[2021:06:12-21:05:51]  (Global) -> laliendra: juanito
[2021:06:12-21:05:53]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: y esa puerta pa donde lleva
[2021:06:12-21:05:54]  (Global) -> alias_el_nene: ayuda
[2021:06:12-21:05:54]  (Global) -> elKRIS_CDG: aprenda a salir que no ve que esta el militar este y no deja
[2021:06:12-21:05:55]  (Global) -> laliendra: llegue
[2021:06:12-21:05:59]  (Global) -> Ikaris'2cb: ocampo mkk xdxd
[2021:06:12-21:06:02]  (Local) -> (LOCAL)[1]laliendra: mano
[2021:06:12-21:06:03]  (Local) -> (LOCAL)[1]MoraXXI: aqui ya saquela
[2021:06:12-21:06:03]  (Global) -> Ikaris'2cb: Xx._GAMBOAxX/ELN/[2] bugeado  disparando
[2021:06:12-21:06:03]  (Global) -> Cosculluela!_______2cb|#9E016Cà¶ž:  ufffffffffffffffffffffff
[2021:06:12-21:06:03]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: temazo
[2021:06:12-21:06:03]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: pongale a este
[2021:06:12-21:06:03]  ([Msg] de DARKAR[DARK] para Buitrago[CDG]: la chiva y que en 20) -> nil
[2021:06:12-21:06:04]  (Local) -> (LOCAL)[2]FLOREZINHO|CDG|: SejimO
[2021:06:12-21:06:04]  (Local) -> (LOCAL)[4]iFixl: uffff
[2021:06:12-21:06:04]  (Global) -> Xx._GAMBOAxX/ELN/: cagon
[2021:06:12-21:06:06]  (Local) -> (LOCAL)[8]PericoHpta: Booofff
[2021:06:12-21:06:06]  (Global) -> alias_el_brayan: agale
[2021:06:12-21:06:09]  (Local) -> (LOCAL)[1]Orion: si sabe como funciona esto?
[2021:06:12-21:06:10]  (Global) -> Carrancho|2cb|: aÃ±aÃ±ai
[2021:06:12-21:06:12]  (Global) -> FLOREZINHO|CDG||#9D12D1í ½í¸ˆ: ban
[2021:06:12-21:06:14]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: ayy
[2021:06:12-21:06:15]  (Local) -> (LOCAL)[1]laliendra: necesito un gran favor
[2021:06:12-21:06:15]  (Global) -> elKRIS_CDG: jajaja
[2021:06:12-21:06:17]  ([Msg] de Raptus~~ para DARKAR[DARK]: xddd) -> nil
[2021:06:12-21:06:17]  (Global) -> XxH0laXx|#CBCBCBÐ¯N: Francine98
[2021:06:12-21:06:18]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: XDDD
[2021:06:12-21:06:20]  (Global) -> #7F7F7F|ADM|#FF5C00Francine98|#9800D1GDT!: e
[2021:06:12-21:06:20]  (Local) -> (LOCAL)[11]Acid2: esperelemolos
[2021:06:12-21:06:20]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: SIGALA PA LS MANO
[2021:06:12-21:06:20]  (Global) -> Petr0sky: vamos a tomar?
[2021:06:12-21:06:20]  (Global) -> XxH0laXx|#CBCBCBÐ¯N: Francine98 VENGA 
[2021:06:12-21:06:27]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: ponele nitro a ese
[2021:06:12-21:06:27]  (Global) -> alias_el_brayan: temazo pa
[2021:06:12-21:06:27]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: nonas papi a camellar
[2021:06:12-21:06:28]  (Global) -> Petr0sky: jajajajajja
[2021:06:12-21:06:31]  ([Msg] de Buitrago[CDG] para DARKAR[DARK]: como?) -> nil
[2021:06:12-21:06:32]  (Global) -> Xx._GAMBOAxX/ELN/: ud tambien mata cuando uno esta bugeado no c queje
[2021:06:12-21:06:33]  (Local) -> (LOCAL)[3]XxH0laXx: HOLA
[2021:06:12-21:06:33]  (Global) -> alias_el_nene: ayuda
[2021:06:12-21:06:33]  (Global) -> #7F7F7F|ADM|#FF8C00SejimO|#9D12D1í ½í¸ˆ: Â¿Alguno necesita ayuda?
[2021:06:12-21:06:34]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Francine98: q
[2021:06:12-21:06:35]  (Global) -> MICHAEL|#9D12D1í ½í¸ˆ: SejimO perdon ekisde
[2021:06:12-21:06:37]  (Local) -> (LOCAL)[2]laliendra: que me compre el carro y me lo truquee que usted tiene el vip
[2021:06:12-21:06:38]  ([Msg] de DARKAR[DARK] para Raptus~~: gei) -> nil
[2021:06:12-21:06:41]  (Local) -> (LOCAL)[2]Skip~#~|*|: #00FF00í µí±ªí µí²í µí² í µí±¨í µí²Ží µí²í µí²“ #000000|í µí±¨í µí±¼í µí±ª|#FF0000í ½í¶¤í ½í¸ˆ
[2021:06:12-21:06:42]  (Local) -> (LOCAL)[4]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: yo que iba a subir
[2021:06:12-21:06:43]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: mas rato si le recibo un guarito con esta musiquita
[2021:06:12-21:06:44]  (Local) -> (LOCAL)[4]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: XD
[2021:06:12-21:06:44]  (Global) -> #7F7F7F|ADM|#FF8C00SejimO|#9D12D1í ½í¸ˆ: No se preocupe #aa00ffMICHAEL
[2021:06:12-21:06:46]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: XDDDD
[2021:06:12-21:06:46]  (Local) -> (LOCAL)[1]CamiLo|Evg||: bna
[2021:06:12-21:06:46]  (Local) -> (LOCAL)[1]laliendra: y yo despues lo compro
[2021:06:12-21:06:47]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: ??
[2021:06:12-21:06:48]  (Global) -> #7F7F7F|ADM|#FF8C00SejimO|#9D12D1í ½í¸ˆ: Los acciodentes ocurren
[2021:06:12-21:06:49]  ([Msg] de DARKAR[DARK] para Buitrago[CDG]: el que la compro en 10 y que 20) -> nil
[2021:06:12-21:06:49]  (Local) -> (LOCAL)[3]XxH0laXx: me invitas a AUC esque me sali pa ver la gang de CDG
[2021:06:12-21:06:49]  (Local) -> (LOCAL)[1]CamiLo|Evg||: Afk
[2021:06:12-21:06:50]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: NOO PA LS MANO
[2021:06:12-21:06:51]  ([Msg] de Raptus~~ para Ikaris'2cb: mani deje el aleteo) -> nil
[2021:06:12-21:06:51]  (Local) -> (LOCAL)[1]laliendra: que me compre el carro y me lo truquee que usted tiene el vip
[2021:06:12-21:06:52]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: yo no he hecho eso
[2021:06:12-21:06:54]  (Global) -> MICHAEL|#9D12D1í ½í¸ˆ: :D
[2021:06:12-21:06:55]  (Global) -> Petr0sky: listo pues
[2021:06:12-21:06:56]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF5C00Francine98: q
[2021:06:12-21:06:57]  (Local) -> (LOCAL)[1]CamiLo|Evg||: no se balla a caer
[2021:06:12-21:06:59]  (Local) -> (LOCAL)[1]laliendra: y eso?
[2021:06:12-21:07:00]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: y no se
[2021:06:12-21:07:07]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00Francine98: dile a catre yo no recluto
[2021:06:12-21:07:08]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: metale nitro a ese
[2021:06:12-21:07:09]  (Global) -> DARKAR[DARK]: #00FF00 VENDO: 2 SANDKING HR1 TURISMO
[2021:06:12-21:07:09]  (Local) -> (LOCAL)[1]laliendra: como tienes ese carro
[2021:06:12-21:07:10]  (Global) -> alias_el_nene: ayuda
[2021:06:12-21:07:10]  (Local) -> (LOCAL)[1]JuanitoAlcachofa: mas bien
[2021:06:12-21:07:13]  (Global) -> FLOREZINHO|CDG||#9D12D1í ½í¸ˆ: #00ff00 VENDO MESA (RARE)
[2021:06:12-21:07:15]  (Local) -> (LOCAL)[1]laliendra: ?
[2021:06:12-21:07:16]  (Global) -> Randall...!|#9D12D1í ½í¸ˆ: cuanto
[2021:06:12-21:07:18]  (Local) -> (LOCAL)[1]tomas: que paso
[2021:06:12-21:07:18]  (Local) -> (LOCAL)[2]JuanitoAlcachofa: eso es con vip
[2021:06:12-21:07:18]  (Global) -> alias_el_nene: grax
[2021:06:12-21:07:20]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: DXDDDD
[2021:06:12-21:07:20]  (Local) -> (LOCAL)[1]tomas: maneja
[2021:06:12-21:07:21]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: kasi 
[2021:06:12-21:07:22]  (Local) -> (LOCAL)[2]JuanitoAlcachofa: lo handlea
[2021:06:12-21:07:23]  ([Msg] de DARKAR[DARK] para Zoro059[Zetas]: le doy carro y plata) -> nil
[2021:06:12-21:07:25]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: casi
[2021:06:12-21:07:26]  (Global) -> XxH0laXx|#CBCBCBÐ¯N: Francine98
[2021:06:12-21:07:28]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: espere aka
[2021:06:12-21:07:30]  (Local) -> (LOCAL)[2]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: esperar
[2021:06:12-21:07:33]  (Local) -> (LOCAL)[1]elKRIS_CDG: oe alvaro uribe quitate ome
[2021:06:12-21:07:33]  (Team - Services) -> (TEAM)Gales: DARKAR[DARK] cuanto la sandking?
[2021:06:12-21:07:35]  ([Msg] de DARKAR[DARK] para Zoro059[Zetas]: un ferrari y 1.5m) -> nil
[2021:06:12-21:07:37]  (Global) -> XxH0laXx|#CBCBCBÐ¯N: Francine98 NO TERMINE -_.
[2021:06:12-21:07:38]  (Global) -> PericoHpta: xdddddddd
[2021:06:12-21:07:38]  (Global) -> #7F7F7F|ADM|#FF5C00KevinOcampo|#9800D1GDT!: XDDDDDD
[2021:06:12-21:07:39]  (Local) -> (LOCAL)[2]Celador'BancoCVR: AHH
[2021:06:12-21:07:40]  (Local) -> (LOCAL)[7]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: AJJAJA
[2021:06:12-21:07:41]  ([Msg] de DARKAR[DARK] para Gales: cuanto das?) -> nil
[2021:06:12-21:07:41]  (Global) -> proofh4k: OE
[2021:06:12-21:07:42]  (Local) -> (LOCAL)[5]laliendra: yaa
[2021:06:12-21:07:43]  (Global) -> XxH0laXx|#CBCBCBÐ¯N: Francine98 NO TERMINE -_-
[2021:06:12-21:07:49]  (Local) -> (LOCAL)[0]iFixl: j
[2021:06:12-21:07:49]  (Local) -> (LOCAL)[9]BazucoPai!2cb: ToloTeli|2cb[6]
[2021:06:12-21:07:49]  (Global) -> alias_el_nene: ponga la radio
[2021:06:12-21:07:50]  (Local) -> (LOCAL)[1]Celador'BancoCVR: WENAS
[2021:06:12-21:07:50]  (Local) -> (LOCAL)[2]elKRIS_CDG: oe gamboa
[2021:06:12-21:07:51]  (Local) -> (LOCAL)[10]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: espren
[2021:06:12-21:07:52]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF8C00SejimO: Â¿QuÃ© pasa?
[2021:06:12-21:07:52]  (Local) -> (LOCAL)[2]XxH0laXx: COLOMBIA
[2021:06:12-21:07:53]  (Local) -> (LOCAL)[1]Shadow|2cb|: hola
[2021:06:12-21:07:54]  (Global) -> Gales: 2.5M
[2021:06:12-21:07:54]  (Local) -> (LOCAL)[2]XxH0laXx: VENGA
[2021:06:12-21:07:55]  (Local) -> (LOCAL)[2]Xx._GAMBOAxX/ELN/: diga
[2021:06:12-21:07:57]  (Local) -> (LOCAL)[2]XxH0laXx: hey catre
[2021:06:12-21:07:59]  (Local) -> (LOCAL)[2]elKRIS_CDG: se me descargo el celuco jaja
[2021:06:12-21:07:59]  (Local) -> (LOCAL)[1]Celador'BancoCVR: DEJA EL CARRO AHI CON SEGURIDAD
[2021:06:12-21:08:00]  (Local) -> (LOCAL)[10]MoraXXI: disque en carro gas
[2021:06:12-21:08:02]  (Local) -> (LOCAL)[2]XxH0laXx: hey catre
[2021:06:12-21:08:02]  (Local) -> (LOCAL)[11]BazucoPai!2cb: Kevin roldan
[2021:06:12-21:08:02]  (Local) -> (LOCAL)[11]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: XDDD
[2021:06:12-21:08:02]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00ColombiaHumana: q
[2021:06:12-21:08:03]  (Global) -> xRICKYx: empezams con moto y mira
[2021:06:12-21:08:04]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: muy aspero esto en primera persona
[2021:06:12-21:08:05]  ([Msg] de DARKAR[DARK] para Gales: pido 3.5 brou negociable) -> nil
[2021:06:12-21:08:05]  (Local) -> (LOCAL)[2]elKRIS_CDG: ya entro de nuevo
[2021:06:12-21:08:06]  (Global) -> xRICKYx: jajajaja
[2021:06:12-21:08:07]  (Local) -> (LOCAL)[2]Xx._GAMBOAxX/ELN/: uff ya jaja
[2021:06:12-21:08:08]  (Local) -> (LOCAL)[1]Celador'BancoCVR: DEJAME PONERLO ADENTRO
[2021:06:12-21:08:08]  (Local) -> (LOCAL)[1]tomas: estavamos perdidos jaja
[2021:06:12-21:08:10]  (Local) -> (LOCAL)[1]MegusitoLopezZ/CDE: gracias mi so
[2021:06:12-21:08:10]  (Local) -> (LOCAL)[13]Zeral8: esto es palo de tote
[2021:06:12-21:08:11]  (Local) -> (LOCAL)[2]XxH0laXx: yo solo me sali pa ver la base de CDG
[2021:06:12-21:08:12]  (Global) -> #7F7F7F|ADM|#FF8C00SejimO|#9D12D1í ½í¸ˆ: Â¿Alguno necesita ayuda?
[2021:06:12-21:08:13]  (Global) -> Petr0sky: sisas mk
[2021:06:12-21:08:13]  (Local) -> (LOCAL)[2]elKRIS_CDG: oe nea mate a este hpta
[2021:06:12-21:08:14]  (Global) -> alias_el_nene: xd
