This file was generated by Console at 2021:04:12-00:00:00



[2021:04:12-00:00:00]  (Local) -> (LOCAL)[5]BUHODERMIA: 1
[2021:04:12-19:42:52]  (Local) -> (LOCAL)[2]CazaRatones: melo??
[2021:04:12-19:42:53]  (Local) -> (LOCAL)[3]|ADM|TOXICO: daño la carga
[2021:04:12-19:42:54]  (Local) -> (LOCAL)[2]Juanci/ZETAS: peren relog me esperan?
[2021:04:12-19:42:57]  (Local) -> (LOCAL)[1]MR-Penetrator: osea te pregunto que carro se lpuede poner vinilo y asi
[2021:04:12-19:42:58]  (Global) -> Toloteli: AI
[2021:04:12-19:42:58]  (Local) -> (LOCAL)[3]DistinctAcidrain37: mk esta barato
[2021:04:12-19:42:59]  (Global) -> SilkyFrigate66: no esta buena
[2021:04:12-19:43:00]  (Global) -> [Zetas]Jolousten: montese
[2021:04:12-19:43:05]  (Local) -> (LOCAL)[3]|ADM|TOXICO: estallela y busque otra
[2021:04:12-19:43:05]  (Global) -> NicolasStark[CDG]: PAZ
[2021:04:12-19:43:08]  (Local) -> (LOCAL)[1]kevingSDVSF: aahah no se
[2021:04:12-19:43:11]  (Global) -> NicolasStark[CDG]: CUAL ES EL MAS BARATO
[2021:04:12-19:43:13]  (Local) -> (LOCAL)[3]|ADM|TOXICO: la daño
[2021:04:12-19:43:13]  (Global) -> aragan'2cb|#E20280 ඞ: llego la hora de mimir
[2021:04:12-19:43:15]  (Local) -> (LOCAL)[1]MR-Penetrator: bueno todo bien beou
[2021:04:12-19:43:15]  (Global) -> SilkyFrigate66: bueno gracias 
[2021:04:12-19:43:15]  (Global) -> [Zetas]Jolousten: e
[2021:04:12-19:43:16]  (Local) -> (LOCAL)[1]Avalencia: Trate de soltar
[2021:04:12-19:43:16]  (Local) -> (LOCAL)[3]Dilan|CDG|: mmm
[2021:04:12-19:43:18]  (Local) -> (LOCAL)[1]DosCoronas420: oe
[2021:04:12-19:43:20]  (Local) -> (LOCAL)[1]DosCoronas420: el popper
[2021:04:12-19:43:21]  (Local) -> (LOCAL)[3]|ADM|TOXICO: o duro mucho
[2021:04:12-19:43:21]  (Local) -> (LOCAL)[1]Avalencia: El freno un poco
[2021:04:12-19:43:24]  (Local) -> (LOCAL)[1]DosCoronas420: es el bazuco
[2021:04:12-19:43:24]  (Local) -> (LOCAL)[2]CazaRatones: VAMOS
[2021:04:12-19:43:25]  (Local) -> (LOCAL)[1]Avalencia: Para que no le patine
[2021:04:12-19:43:28]  (Local) -> (LOCAL)[1]DosCoronas420: solo que se buguea
[2021:04:12-19:43:29]  (Local) -> (LOCAL)[4]Dilan|CDG|: le vendo este 1.3
[2021:04:12-19:43:29]  (Global) -> [Zetas]Jolousten: okw
[2021:04:12-19:43:33]  (Global) -> #1D1D1DAvalencia|#1D1D1D連EP合: MAL
[2021:04:12-19:43:37]  (Local) -> (LOCAL)[1]DosCoronas420: eso solo le se usted y yo
[2021:04:12-19:43:38]  (Global) -> NicolasStark[CDG]: mMMMM YA
[2021:04:12-19:43:43]  (Local) -> (LOCAL)[1]JuanPablo'Z: esta muy caro menor
[2021:04:12-19:43:49]  (Local) -> (LOCAL)[1]DosCoronas420: a que le bajo?
[2021:04:12-19:43:52]  (Local) -> (LOCAL)[1]DistinctAcidrain37: oe
[2021:04:12-19:43:53]  (Local) -> (LOCAL)[1]JuanPablo'Z: yo los consigo en 20k
[2021:04:12-19:44:01]  (Local) -> (LOCAL)[1]DosCoronas420: ya los pongo a 20k
[2021:04:12-19:44:07]  (Local) -> (LOCAL)[1]JuanPablo'Z: la perica tambien
[2021:04:12-19:44:08]  (Local) -> (LOCAL)[1]DistinctAcidrain37: quiere bareta y lsd
[2021:04:12-19:44:11]  (Local) -> (LOCAL)[1]JuanPablo'Z: pa comprarle todo todo
[2021:04:12-19:44:13]  (Global) -> NicolasStark[CDG]: y EL CAMARO PRECIOS'
[2021:04:12-19:44:17]  (Global) -> DosCoronas420|#000000侍: todo a 20k
[2021:04:12-19:44:18]  (Local) -> (LOCAL)[1]Avalencia: bUEO
[2021:04:12-19:44:20]  (Global) -> ChespiDG: se lo compre a mi novia
[2021:04:12-19:44:20]  (Local) -> (LOCAL)[1]Avalencia: Me voy pa
[2021:04:12-19:44:24]  (Global) -> Elpope|ELN|: quien vende un huntley
[2021:04:12-19:44:24]  (Local) -> (LOCAL)[1]DosCoronas420: y el bazuco a cuanto
[2021:04:12-19:44:25]  (Local) -> (LOCAL)[1]Avalencia: Espero a ver le podido ayudar
[2021:04:12-19:44:25]  (Local) -> (LOCAL)[2]Dilan|CDG|: se lo vendo en 1.5
[2021:04:12-19:44:25]  (Global) -> ChespiDG: x
[2021:04:12-19:44:30]  (Local) -> (LOCAL)[1]Hoka^AUC: Si xd
[2021:04:12-19:44:32]  (Local) -> (LOCAL)[1]Hoka^AUC: Gracias
[2021:04:12-19:44:32]  (Local) -> (LOCAL)[1]JuanPablo'Z: eso pero el lds mas baratico q ese se consigue facil
[2021:04:12-19:44:33]  (Local) -> (LOCAL)[1]|ADM|TOXICO: a
[2021:04:12-19:44:33]  (Local) -> (LOCAL)[2]DistinctAcidrain37: oe
[2021:04:12-19:44:33]  (Local) -> (LOCAL)[1]DosCoronas420: el bazuco es el popper solo que esta bug
[2021:04:12-19:44:34]  (Local) -> (LOCAL)[1]Avalencia: ALE
[2021:04:12-19:44:36]  (Local) -> (LOCAL)[2]Juanci/ZETAS: JAJAJA este mn
[2021:04:12-19:44:36]  (Local) -> (LOCAL)[1]crjs'2cb: copion
[2021:04:12-19:44:37]  (Local) -> (LOCAL)[1]JuanPablo'Z: szs ya s
[2021:04:12-19:44:38]  (Local) -> (LOCAL)[2]DistinctAcidrain37: oe
[2021:04:12-19:44:40]  (Global) -> ChespiDG: escribeee
[2021:04:12-19:44:44]  (Local) -> (LOCAL)[2]DistinctAcidrain37: oeeeeeeeeeeeeeeeeeeee
[2021:04:12-19:44:44]  (Local) -> (LOCAL)[1]JuanPablo'Z: el bazuco 22k
[2021:04:12-19:44:45]  (Local) -> (LOCAL)[4]1011011001000IvanDuque: que paso menor
[2021:04:12-19:44:48]  (Local) -> (LOCAL)[3]Dilan|CDG|: suba
[2021:04:12-19:44:51]  (Global) -> NicolasStark[CDG]: A
[2021:04:12-19:44:53]  (Local) -> (LOCAL)[1]Tiancris: tu novia juega esto?
[2021:04:12-19:44:56]  (Local) -> (LOCAL)[2]Dilan|CDG|: pa que lo mire
[2021:04:12-19:44:59]  (Local) -> (LOCAL)[2]Dilan|CDG|: con g
[2021:04:12-19:45:01]  (Global) -> ChespiDG: siip
[2021:04:12-19:45:06]  (Local) -> (LOCAL)[2]CazaRatones: TONCES
[2021:04:12-19:45:08]  (Local) -> (LOCAL)[1]Tiancris: a por cierto donde lo puedotunear?
[2021:04:12-19:45:10]  (Local) -> (LOCAL)[2]Juanci/ZETAS: suave
[2021:04:12-19:45:16]  (Local) -> (LOCAL)[2]CazaRatones: SEGUIMOS O Q
[2021:04:12-19:45:20]  (Global) -> [Zetas]Jolousten: si
[2021:04:12-19:45:23]  (Global) -> NicolasStark[CDG]: tENGO 800
[2021:04:12-19:45:24]  (Global) -> Juanci/ZETAS: sisas
[2021:04:12-19:45:30]  (Global) -> ChespiDG: que digo mi novia mi crush xdxdxdxdxdxdxdxdxd
[2021:04:12-19:45:34]  (Local) -> (LOCAL)[1]DosCoronas420: listo
[2021:04:12-19:45:36]  (Local) -> (LOCAL)[2]DistinctAcidrain37: pe
[2021:04:12-19:45:39]  (Local) -> (LOCAL)[1]DosCoronas420: las dos ultimas
[2021:04:12-19:45:39]  (Local) -> (LOCAL)[1]Tiancris: sigueme
[2021:04:12-19:45:44]  (Global) -> [Zetas]Jolousten: eeeee
[2021:04:12-19:45:44]  (Local) -> (LOCAL)[2]SICARIO|AUC: q?
[2021:04:12-19:45:45]  (Local) -> (LOCAL)[1]DosCoronas420: son la de los poderes
[2021:04:12-19:45:45]  (Local) -> (LOCAL)[1]Dilan|CDG|: 800k?
[2021:04:12-19:45:51]  (Global) -> NicolasStark[CDG]: SIKAS
[2021:04:12-19:45:56]  (Local) -> (LOCAL)[1]DosCoronas420: que es poper y heroina
[2021:04:12-19:45:57]  (Local) -> (LOCAL)[1]JuanPablo'Z: szs ya
[2021:04:12-19:45:59]  (Local) -> (LOCAL)[1]Dilan|CDG|: este
[2021:04:12-19:45:59]  (Local) -> (LOCAL)[1]JuanPablo'Z: gracias
[2021:04:12-19:46:00]  (Local) -> (LOCAL)[2]DistinctAcidrain37: quiere
[2021:04:12-19:46:01]  (Global) -> MARIHUANO: donde puedo comprar moto
[2021:04:12-19:46:02]  (Local) -> (LOCAL)[1]DosCoronas420: esa es de los poderes
[2021:04:12-19:46:03]  (Local) -> (LOCAL)[1]Dilan|CDG|: suba
[2021:04:12-19:46:03]  (Local) -> (LOCAL)[2]SICARIO|AUC: no
[2021:04:12-19:46:06]  (Global) -> [Zetas]Jolousten: oeee
[2021:04:12-19:46:10]  (Local) -> (LOCAL)[2]kevingSDVSF: coma mierda
[2021:04:12-19:46:16]  (Local) -> (LOCAL)[2]SICARIO|AUC: muy caro
[2021:04:12-19:46:16]  (Global) -> MR-cabezaeverga{2cb]:  en buysetero mari
[2021:04:12-19:46:20]  (Global) -> [Zetas]Jolousten: me caiii
[2021:04:12-19:46:20]  (Local) -> (LOCAL)[2]kevingSDVSF: hp
[2021:04:12-19:46:21]  (Global) -> CazaRatones: PTRAVEZ SE CAYO EN EL MISMO LADO
[2021:04:12-19:46:22]  (Local) -> (LOCAL)[1]Juanci/ZETAS: se callo?
[2021:04:12-19:46:24]  (Local) -> (LOCAL)[1]JuanPablo'Z: gracias
[2021:04:12-19:46:24]  (Local) -> (LOCAL)[1]DosCoronas420: esa es semmi imune
[2021:04:12-19:46:25]  (Local) -> (LOCAL)[2]DistinctAcidrain37: aver quien le vende mas barato
[2021:04:12-19:46:28]  (Global) -> NicolasStark[CDG]: LO COMPRO
[2021:04:12-19:46:30]  (Global) -> ChespiDG: en la para da de buses
[2021:04:12-19:46:30]  (Local) -> (LOCAL)[2]JuanPablo'Z: cual
[2021:04:12-19:46:32]  (Team - Criminals) -> (TEAM)NicolasStark[CDG]: T
[2021:04:12-19:46:35]  (Local) -> (LOCAL)[1]JuanPablo'Z: ah el gale
[2021:04:12-19:46:36]  (Local) -> (LOCAL)[2]Juanci/ZETAS: le toca desde el inicio
[2021:04:12-19:46:38]  (Local) -> (LOCAL)[1]DosCoronas420: la que acbo de comprar
[2021:04:12-19:46:38]  (Global) -> #E20280dlnnnnnn'2cb|#E20280 ඞ:  ͜°ʖ°?
[2021:04:12-19:46:38]  (Global) -> NicolasStark[CDG]: Lleveme al banco
[2021:04:12-19:46:39]  (Local) -> (LOCAL)[1]DosCoronas420: sisas
[2021:04:12-19:46:40]  (Local) -> (LOCAL)[1]JuanPablo'Z: szs
[2021:04:12-19:46:43]  (Local) -> (LOCAL)[1]DosCoronas420: es heroina
[2021:04:12-19:46:44]  (Global) -> NicolasStark[CDG]:  pa hacerlo de una vez
[2021:04:12-19:46:45]  (Local) -> (LOCAL)[2]JuanPablo'Z: breve gracias pa
[2021:04:12-19:46:48]  (Local) -> (LOCAL)[2]Dilan|CDG|: vamos
[2021:04:12-19:46:49]  (Local) -> (LOCAL)[2]DosCoronas420: hagale
[2021:04:12-19:46:54]  (Local) -> (LOCAL)[2]CazaRatones: NOOO PANA OTRVEZ EN EL MISMO LADO JAJAJA
[2021:04:12-19:46:55]  (Local) -> (LOCAL)[1]DosCoronas420: drogas
[2021:04:12-19:47:02]  (Local) -> (LOCAL)[2]Juanci/ZETAS: JAJAJAJAJ
[2021:04:12-19:47:06]  (Global) -> [Zetas]Jolousten: jajajaja
[2021:04:12-19:47:13]  (Global) -> NicolasStark[CDG]: Esoere a mi bro
[2021:04:12-19:47:15]  (Global) -> NicolasStark[CDG]: xd
[2021:04:12-19:47:16]  (Global) -> [Zetas]Jolousten: eeeeeeeeeeeeeee
[2021:04:12-19:47:18]  (Global) -> MR-Cazumba: Aro
[2021:04:12-19:47:19]  (Local) -> (LOCAL)[1]Dilan|CDG|: UCAL ES?
[2021:04:12-19:47:23]  (Global) -> ChespiDG: wow!!
[2021:04:12-19:47:26]  (Global) -> CazaRatones: LLEGUEN
[2021:04:12-19:47:27]  (Global) -> NicolasStark[CDG]: Thanosking
[2021:04:12-19:47:29]  (Global) -> 1011011001000IvanDuque: quitese el pasivo maricon
[2021:04:12-19:47:29]  (Global) -> [Zetas]Jolousten: oeeeeee
[2021:04:12-19:47:33]  (Global) -> MR-Cazumba: Si señor
[2021:04:12-19:47:33]  (Global) -> [Zetas]Jolousten: es peren
[2021:04:12-19:47:36]  (Local) -> (LOCAL)[6]malo'2cb: ????
[2021:04:12-19:47:37]  (Global) -> Tiancris:  donde puedo tunear un carro?
[2021:04:12-19:47:38]  (Global) -> |ADM|TOXICO|#FFFFFFঔৣ☬: #00ff00 compro Dumper
[2021:04:12-19:47:39]  (Local) -> (LOCAL)[5]Sky#!|ELN: casi que no
[2021:04:12-19:47:41]  (Global) -> MR-Cazumba: Donde?
[2021:04:12-19:47:41]  (Local) -> (LOCAL)[5]malo'2cb: qmierda paso
[2021:04:12-19:47:43]  (Local) -> (LOCAL)[2]DistinctAcidrain37: oe
[2021:04:12-19:47:44]  (Global) -> ChespiDG: sigueme
[2021:04:12-19:47:47]  (Local) -> (LOCAL)[1]CazaRatones: sube con g
[2021:04:12-19:47:49]  (Local) -> (LOCAL)[2]DistinctAcidrain37: quiere drogas
[2021:04:12-19:47:49]  (Global) -> [Zetas]Jolousten: no ten go moto
[2021:04:12-19:47:51]  (Global) -> MR-Cazumba: No señor
[2021:04:12-19:47:59]  (Global) -> |ADM|TOXICO|#FFFFFFঔৣ☬: #00ff00 compro Dumper
[2021:04:12-19:48:00]  (Global) -> MR-Cazumba: Aro mi hermano
[2021:04:12-19:48:13]  (Global) -> #E20280dlnnnnnn'2cb|#E20280 ඞ:  ͜°ʖ°?
[2021:04:12-19:48:14]  (Global) -> SANTIAGO(ELN): chupamela crj
[2021:04:12-19:48:18]  (Global) -> NicolasStark[CDG]: Le consigno la mitad
[2021:04:12-19:48:19]  (Local) -> (LOCAL)[4]Dilan|CDG|: vaya pss bb
[2021:04:12-19:48:22]  (Global) -> NicolasStark[CDG]: me da el carro
[2021:04:12-19:48:25]  (Global) -> [Zetas]Jolousten: bamos a co0nsegur moto
[2021:04:12-19:48:30]  (Global) -> NicolasStark[CDG]:  y la otramitad
[2021:04:12-19:48:30]  (Global) -> ChespiDG: piseke
[2021:04:12-19:48:36]  (Global) -> [Zetas]Jolousten: para mi
[2021:04:12-19:48:43]  (Global) -> |ADM|TOXICO|#FFFFFFঔৣ☬: #00ff00 compro Dumper
[2021:04:12-19:48:44]  (Global) -> [Zetas]Jolousten: oooooe
[2021:04:12-19:48:47]  (Local) -> (LOCAL)[1]DosCoronas420: oe
[2021:04:12-19:48:50]  (Local) -> (LOCAL)[1]DistinctAcidrain37: oe
[2021:04:12-19:48:52]  (Local) -> (LOCAL)[1]DosCoronas420: drogas
[2021:04:12-19:48:53]  (Local) -> (LOCAL)[1]Diego;([ELN]: ?
[2021:04:12-19:48:53]  (Global) -> [Zetas]Jolousten: moto
[2021:04:12-19:48:54]  (Local) -> (LOCAL)[1]CazaRatones: a donde
[2021:04:12-19:48:54]  (Global) -> ChespiDG: ajajajajaaj ole!
[2021:04:12-19:48:56]  (Local) -> (LOCAL)[1]DosCoronas420: del f7
[2021:04:12-19:48:57]  (Local) -> (LOCAL)[1]Diego;([ELN]: tengo
[2021:04:12-19:49:00]  (Local) -> (LOCAL)[1]DistinctAcidrain37: quiere drogas del f7
[2021:04:12-19:49:03]  (Local) -> (LOCAL)[1]DosCoronas420: me quedda buzuca
[2021:04:12-19:49:08]  (Global) -> juanes: si
[2021:04:12-19:49:12]  (Local) -> (LOCAL)[1]DistinctAcidrain37: baje
[2021:04:12-19:49:26]  (Global) -> MR-Cazumba: ADMIN
[2021:04:12-19:49:27]  (Local) -> (LOCAL)[3]Dilan|CDG|: vamos
[2021:04:12-19:49:27]  (Global) -> NicolasStark[CDG]: Si le parece
[2021:04:12-19:49:30]  (Global) -> volitamtulip08: hola 
[2021:04:12-19:49:30]  (Global) -> MR-Cazumba: No se me activa para hablar
[2021:04:12-19:49:33]  (Global) -> NicolasStark[CDG]: A DONDE?
[2021:04:12-19:49:33]  (Global) -> MR-Cazumba: Con el Z
[2021:04:12-19:49:34]  (Local) -> (LOCAL)[1]DistinctAcidrain37: oe
[2021:04:12-19:49:35]  (Global) -> volitamtulip08: buenas tardes
[2021:04:12-19:49:36]  (Global) -> [Zetas]Jolousten: bamis
[2021:04:12-19:49:37]  (Local) -> (LOCAL)[0]Tiancris: donde?
[2021:04:12-19:49:38]  (Global) -> MR-Cazumba: pOR el menu del vip
[2021:04:12-19:49:39]  (Local) -> (LOCAL)[2]CazaRatones: vamos
[2021:04:12-19:49:39]  (Global) -> MR-Cazumba: Que hago?
[2021:04:12-19:49:40]  (Global) -> [Zetas]Jolousten: adonde
[2021:04:12-19:49:41]  (Local) -> (LOCAL)[0]DistinctAcidrain37: /pararventa
[2021:04:12-19:49:41]  (Local) -> (LOCAL)[1]DosCoronas420: oe
[2021:04:12-19:49:44]  (Local) -> (LOCAL)[2]Juanci/ZETAS: pera
[2021:04:12-19:49:45]  (Local) -> (LOCAL)[1]MR-Cazumba: Digame
[2021:04:12-19:49:47]  (Local) -> (LOCAL)[1]DosCoronas420: bazuco
[2021:04:12-19:49:51]  (Local) -> (LOCAL)[1]SICARIO|AUC: p
[2021:04:12-19:49:51]  (Local) -> (LOCAL)[1]MR-Cazumba: No gracias
[2021:04:12-19:49:51]  (Local) -> (LOCAL)[1]DosCoronas420: 45puntos
[2021:04:12-19:49:52]  (Global) -> volitamtulip08: hola?
[2021:04:12-19:49:53]  (Local) -> (LOCAL)[4]Dilan|CDG|: no lo mate maricon
[2021:04:12-19:49:57]  (Global) -> [Zetas]Jolousten: yaaaaaa
[2021:04:12-19:50:01]  (Local) -> (LOCAL)[2]CazaRatones: UNA ROJA
[2021:04:12-19:50:02]  (Local) -> (LOCAL)[2]CazaRatones: Y MELO
[2021:04:12-19:50:06]  (Local) -> (LOCAL)[4]Dilan|CDG|: ThanosKing/CDG/
[2021:04:12-19:50:06]  (Local) -> (LOCAL)[2]Juanci/ZETAS: una roja para amarilo azul y rojo
[2021:04:12-19:50:08]  (Global) -> ThanosKing/CDG/: ESPERELO AQUI
[2021:04:12-19:50:08]  (Local) -> (LOCAL)[4]Dilan|CDG|: VAMOS
[2021:04:12-19:50:09]  (Local) -> (LOCAL)[2]CazaRatones: AAA JAJAJ
[2021:04:12-19:50:13]  (Local) -> (LOCAL)[2]CazaRatones: SE LA ROBO
[2021:04:12-19:50:14]  (Global) -> [Zetas]Jolousten: jajajaja
[2021:04:12-19:50:20]  (Global) -> 1011011001000IvanDuque: no copien ideas malparidos
[2021:04:12-19:50:24]  (Global) -> [Zetas]Jolousten: roja
[2021:04:12-19:50:25]  (Local) -> (LOCAL)[5]SANTIAGO(ELN): ue
[2021:04:12-19:50:26]  (Local) -> (LOCAL)[2]Juanci/ZETAS: ejjjjjjj esa amarilla que
[2021:04:12-19:50:28]  (Local) -> (LOCAL)[5]SANTIAGO(ELN): que
[2021:04:12-19:50:28]  (Local) -> (LOCAL)[1]Hoka^AUC: q
[2021:04:12-19:50:30]  (Global) -> volitamtulip08: hola
[2021:04:12-19:50:31]  (Local) -> (LOCAL)[6]Dilan|CDG|: PEREMOSLO
[2021:04:12-19:50:32]  (Global) -> ThanosKing/CDG/: A donde vamos
[2021:04:12-19:50:33]  (Local) -> (LOCAL)[6]Elpope|ELN|: NADA BOBO TROL
[2021:04:12-19:50:37]  (Local) -> (LOCAL)[4]aragan'2cb: jjjjjjjjj
[2021:04:12-19:50:37]  (Global) -> JuanPablo'Z|#CBCBCBЯN: .____________________:
[2021:04:12-19:50:38]  (Global) -> [Zetas]Jolousten: bamos
[2021:04:12-19:50:43]  (Local) -> (LOCAL)[2]CazaRatones: VAMOS
[2021:04:12-19:50:45]  (Local) -> (LOCAL)[2]Juanci/ZETAS: pera
[2021:04:12-19:50:45]  (Global) -> ThanosKing/CDG/:  vamos a al saint
[2021:04:12-19:50:46]  (Local) -> (LOCAL)[1]Hoka^AUC: vino a matarme'
[2021:04:12-19:50:47]  (Global) -> volitamtulip08: seria tan amable de dejasre matar
[2021:04:12-19:50:48]  (Local) -> (LOCAL)[2]CazaRatones: DEJE ESA
[2021:04:12-19:50:48]  (Local) -> (LOCAL)[1]Hoka^AUC: ?????
[2021:04:12-19:50:50]  (Local) -> (LOCAL)[1]Hoka^AUC: xd
[2021:04:12-19:50:52]  (Local) -> (LOCAL)[1]Hoka^AUC: no
[2021:04:12-19:51:00]  (Local) -> (LOCAL)[1]Hoka^AUC: Traigo 1 palo 700k encima
[2021:04:12-19:51:00]  (Global) -> volitamtulip08: por favor, soy pobre
[2021:04:12-19:51:03]  (Local) -> (LOCAL)[1]Dilan|CDG|: SUBA
[2021:04:12-19:51:05]  (Local) -> (LOCAL)[1]JuanPablo'Z: presteme pal chaleco
[2021:04:12-19:51:06]  (Global) -> |ADM|TOXICO|#FFFFFFঔৣ☬: #00ff00 compro Dumper
[2021:04:12-19:51:08]  (Local) -> (LOCAL)[1]Hoka^AUC: usted cree que me voy a dejar matar?
[2021:04:12-19:51:09]  (Local) -> (LOCAL)[2]JuanPablo'Z: 4k
[2021:04:12-19:51:13]  (Local) -> (LOCAL)[2]JuanPablo'Z: 4k
[2021:04:12-19:51:17]  (Global) -> volitamtulip08: no sea asia
[2021:04:12-19:51:17]  (Local) -> (LOCAL)[1]Hoka^AUC: a
[2021:04:12-19:51:19]  (Local) -> (LOCAL)[1]JuanPablo'Z: presteme pal chaleco
[2021:04:12-19:51:26]  (Local) -> (LOCAL)[1]Berna2cB: papiador
[2021:04:12-19:51:27]  (Local) -> (LOCAL)[2]Dilan|CDG|: CON G
[2021:04:12-19:51:28]  (Global) -> volitamtulip08: hagame el favor
[2021:04:12-19:51:31]  (Global) -> DosCoronas420|#000000侍: ser diferente se siente cabron
[2021:04:12-19:51:33]  (Local) -> (LOCAL)[1]malo'2cb: jjjj
[2021:04:12-19:51:35]  (Local) -> (LOCAL)[1]Elpope|ELN|: NO PODES
[2021:04:12-19:51:41]  (Local) -> (LOCAL)[2]JuanPablo'Z: caballero
[2021:04:12-19:51:48]  (Global) -> MR-cabezaeverga{2cb]:  esa si no me la se ajjajaja
[2021:04:12-19:51:48]  (Local) -> (LOCAL)[1]crjs'2cb: t.t
[2021:04:12-19:51:51]  (Global) -> DosCoronas420|#000000侍: porque lo soñe mil veces dentro de mi habitacion
[2021:04:12-19:51:53]  (Local) -> (LOCAL)[3]JuanPablo'Z: hagase el favor de despojarse de 4k para mi porfavor
[2021:04:12-19:51:57]  (Global) -> volitamtulip08: vea, estoy de rodillas 
[2021:04:12-19:51:58]  (Global) -> |ADM|TOXICO|#FFFFFFঔৣ☬: #00ff00 compro Dumper o rares
[2021:04:12-19:51:59]  (Local) -> (LOCAL)[3]malo'2cb: siobio
[2021:04:12-19:52:02]  (Local) -> (LOCAL)[6]Dilan|CDG|: suba
[2021:04:12-19:52:05]  (Local) -> (LOCAL)[3]JuanPablo'Z: si ve educadamente
[2021:04:12-19:52:12]  (Local) -> (LOCAL)[1]Elpope|ELN|: CORRA HP
[2021:04:12-19:52:12]  (Global) -> Toloteli: LOCA HPTA
[2021:04:12-19:52:16]  (Local) -> (LOCAL)[3]JuanPablo'Z: gracias
[2021:04:12-19:52:17]  (Global) -> DosCoronas420|#000000侍: si lebron es lebron con el 23
[2021:04:12-19:52:18]  (Global) -> NicolasStark[CDG]: a donde vamos?
[2021:04:12-19:52:21]  (Local) -> (LOCAL)[1]SANTIAGO(ELN): catre pvp
[2021:04:12-19:52:21]  (Global) -> Diego;([ELN]: 7mods
[2021:04:12-19:52:25]  (Local) -> (LOCAL)[0]#00146C|#A4B5FFPROD#00146C|#FF0000Gomita|Z: eo
[2021:04:12-19:52:31]  (Local) -> (LOCAL)[2]Dilan|CDG|: NicolasStark[CDG] Y la plata del carro?
[2021:04:12-19:52:33]  (Local) -> (LOCAL)[4]dlnnnnnn'2cb: ai
[2021:04:12-19:52:34]  (Local) -> (LOCAL)[3]Maicol_FCJ: mano se me piedp estp en chino
[2021:04:12-19:52:34]  (Local) -> (LOCAL)[2]Dilan|CDG|: no la saco
[2021:04:12-19:52:35]  (Local) -> (LOCAL)[2]CazaRatones: AJAJAJA
[2021:04:12-19:52:36]  (Local) -> (LOCAL)[4]dlnnnnnn'2cb: qqq
[2021:04:12-19:52:37]  (Global) -> Toloteli: MANCOOO
[2021:04:12-19:52:39]  (Local) -> (LOCAL)[2]Juanci/ZETAS: ahora me cai fui yo nooooooooo
[2021:04:12-19:52:40]  (Local) -> (LOCAL)[1]DistinctAcidrain37: oe
[2021:04:12-19:52:42]  (Global) -> NicolasStark[CDG]: Nel, me mataron
[2021:04:12-19:52:44]  (Local) -> (LOCAL)[2]DistinctAcidrain37: quiere drogas
[2021:04:12-19:52:45]  (Global) -> [Zetas]Jolousten: que paso
[2021:04:12-19:52:46]  (Global) -> JuanPablo'Z|#CBCBCBЯN: nekl
[2021:04:12-19:52:48]  (Team - Criminals) -> (TEAM)NicolasStark[CDG]: t
[2021:04:12-19:52:48]  (Global) -> JuanPablo'Z|#CBCBCBЯN: nel
[2021:04:12-19:52:49]  (Local) -> (LOCAL)[6]Elpope|ELN|: SANTIAGO MERA LOKA
[2021:04:12-19:52:49]  (Global) -> Toloteli: EY CATRE QE
[2021:04:12-19:52:51]  (Local) -> (LOCAL)[2]Dilan|CDG|: vamosla saca
[2021:04:12-19:52:51]  (Global) -> NicolasStark[CDG]: ._.
[2021:04:12-19:52:53]  (Local) -> (LOCAL)[7]Elpope|ELN|: COMO MO LO COJE
[2021:04:12-19:52:58]  (Global) -> JuanPablo'Z|#CBCBCBЯN: .________.
[2021:04:12-19:52:59]  (Global) -> NicolasStark[CDG]: pero le consigno el carro
[2021:04:12-19:53:00]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF0000Catre^AUC: q
[2021:04:12-19:53:00]  (Local) -> (LOCAL)[1]DistinctAcidrain37: quiere droags del f7
[2021:04:12-19:53:03]  (Local) -> (LOCAL)[6]Toloteli: NOS TRAICIONNASTE :((
[2021:04:12-19:53:08]  (Local) -> (LOCAL)[2]Dilan|CDG|: como asi
[2021:04:12-19:53:10]  (Local) -> (LOCAL)[6]#7F7F7F|ADM|#FF0000Catre^AUC: digale eso a tussy
[2021:04:12-19:53:10]  (Global) -> NicolasStark[CDG]: la mitad* me da el carro
[2021:04:12-19:53:12]  (Global) -> MR-cabezaeverga{2cb]:  hp mr me safastes manin
[2021:04:12-19:53:22]  (Global) -> JuanPablo'Z|#CBCBCBЯN: ok
[2021:04:12-19:53:22]  (Local) -> (LOCAL)[1]kevingSDVSF: bna
[2021:04:12-19:53:24]  (Local) -> (LOCAL)[1]Berna2cB: me enseñas
[2021:04:12-19:53:27]  (Phone:SMS) -> From ThanosKing/CDG/ | To: NicolasStark[CDG] | Message: pa las tanguitas
[2021:04:12-19:53:27]  (Local) -> (LOCAL)[1]dlnnnnnn'2cb: q cosa
[2021:04:12-19:53:28]  (Global) -> NicolasStark[CDG]: y ahi si le doy lo otro si?
[2021:04:12-19:53:29]  (Local) -> (LOCAL)[2]Dilan|CDG|: cuanto me va a dar?
[2021:04:12-19:53:31]  (Local) -> (LOCAL)[1]Berna2cB: a bajarme rapido del carro
[2021:04:12-19:53:39]  (Global) -> NicolasStark[CDG]: 800 
