This file was generated by Console at 2021:05:03-00:00:00



[2021:05:03-00:00:00]  (Local) -> (LOCAL)[2]Dilan'CDG: a
[2021:05:03-23:06:10]  (Local) -> (LOCAL)[2]>BocaChico'Auc: gangman style
[2021:05:03-23:06:11]  (Local) -> (LOCAL)[1]CareCaldo'2cb: no ve q salgo en 30 segundos
[2021:05:03-23:06:12]  (Local) -> (LOCAL)[1]Luis|CDG|: nomna
[2021:05:03-23:06:14]  (Local) -> (LOCAL)[1]CareCaldo'2cb: rapid
[2021:05:03-23:06:14]  (Global) -> Felipe(Zetas): a 7 palos negiciables
[2021:05:03-23:06:14]  (Global) -> Dylan22: eres nuevo?
[2021:05:03-23:06:19]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: Azrael tiene que colocarse de rappi y depues vuelve a ser criminal y sube de nivel+
[2021:05:03-23:06:19]  (Local) -> (LOCAL)[1]2cb'Petito: no
[2021:05:03-23:06:20]  (Local) -> (LOCAL)[2]Gomita|Z: pruebe el mio
[2021:05:03-23:06:28]  (Global) -> JHAYCO14lZETASl: PARO DE CAMIONEROS SALIENDO DE VENTURAS
[2021:05:03-23:06:28]  (Global) -> Omar25.Zetas: igual te arreste mamaguecvo
[2021:05:03-23:06:28]  (Local) -> (LOCAL)[3]Gomita|Z: ni se que modificaciones tiene
[2021:05:03-23:06:30]  (Local) -> (LOCAL)[3]Gomita|Z: xD
[2021:05:03-23:06:35]  (Local) -> (LOCAL)[3]Gomita|Z: pues no me acuerdo
[2021:05:03-23:06:37]  (Local) -> (LOCAL)[2]>BocaChico'Auc: gangman style
[2021:05:03-23:06:37]  (Global) -> Fetraq25: severo traidor 
[2021:05:03-23:06:38]  ([Msg] de FLOREZ_[CDG] para #4B3001Topo|Z|: acepte duelo ps) -> nil
[2021:05:03-23:06:39]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: yo se que a casi todos los tuneo full
[2021:05:03-23:06:40]  (Global) -> Topo|Z|: Mamagueco
[2021:05:03-23:06:40]  (Local) -> (LOCAL)[2]>BocaChico'Auc: op op op
[2021:05:03-23:06:42]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: excpeto llantas
[2021:05:03-23:06:43]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:06:43]  (Global) -> Azrael: bueno gracias Andres Ramires
[2021:05:03-23:06:45]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: pa q driftee
[2021:05:03-23:06:46]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: jajajajajaja le saliio el tiro por la culata ahora se da cuenta
[2021:05:03-23:06:46]  (Local) -> (LOCAL)[2]Luis|CDG|: ahora si
[2021:05:03-23:06:46]  (Global) -> Fetraq25: pero arriba hay un dios que todo lo ve
[2021:05:03-23:06:47]  ([Msg] de FLOREZ_[CDG] para #4B3001Topo|Z|: no muy bueno?) -> nil
[2021:05:03-23:06:48]  (Local) -> (LOCAL)[1]ELMIGUE|ELN|: OE
[2021:05:03-23:06:51]  (Local) -> (LOCAL)[1]>BocaChico'Auc: ok
[2021:05:03-23:06:53]  (Global) -> Fetraq25: y que cobra todo
[2021:05:03-23:06:55]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: vean el m io
[2021:05:03-23:06:55]  ([Msg] de #4B3001Topo|Z| para FLOREZ_[CDG]: Mande otra vez) -> nil
[2021:05:03-23:06:56]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: le pongo 1 horita si mucho jajajaja
[2021:05:03-23:06:58]  (Global) -> Dylan22: que carros tienes?
[2021:05:03-23:06:59]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:07:03]  (Local) -> (LOCAL)[1]>BocaChico'Auc: eeeehhhh
[2021:05:03-23:07:03]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: gas ajajajajj
[2021:05:03-23:07:05]  (Global) -> BenitoCampos: Oe
[2021:05:03-23:07:06]  (Global) -> emanuel{CDG}: esperen
[2021:05:03-23:07:07]  (Local) -> (LOCAL)[2]Fetraq25: entonces que rey
[2021:05:03-23:07:07]  (Global) -> CareCaldo'2cb|#E20280 ඞ: q hace un medico en la carcel
[2021:05:03-23:07:07]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: eso todo tuneado xd
[2021:05:03-23:07:08]  (Global) -> CareCaldo'2cb|#E20280 ඞ: xd
[2021:05:03-23:07:09]  (Local) -> (LOCAL)[1]2cb'Petito: apenas esta moto
[2021:05:03-23:07:10]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: si se vuelve hombre lo espero en la casa esta horita q le queda pa matarlo mientras lo banean ja
[2021:05:03-23:07:10]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: ay mka
[2021:05:03-23:07:12]  (Local) -> (LOCAL)[3]Gomita|Z: oe
[2021:05:03-23:07:12]  (Local) -> (LOCAL)[2]FunCDG: q
[2021:05:03-23:07:12]  (Global) -> emanuel{CDG}: son dos
[2021:05:03-23:07:13]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: jajajajajjajaa
[2021:05:03-23:07:16]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: oe
[2021:05:03-23:07:18]  (Global) -> Felipe(Zetas): vendo helicotero barato
[2021:05:03-23:07:18]  (Local) -> (LOCAL)[3]Gomita|Z: AFK 5 minutos
[2021:05:03-23:07:19]  (Global) -> BenitoCampos: Hay un record de flapi bird en el servidor?
[2021:05:03-23:07:21]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: Azrael cuando usted crea que ya hizo lo sufiente como para subir de nivel diempre haga eso
[2021:05:03-23:07:23]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: bno
[2021:05:03-23:07:24]  (Global) -> Roco|#18AED9カプガン: ay
[2021:05:03-23:07:26]  (Global) -> Dylan22: mera chimba
[2021:05:03-23:07:29]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: ayer ñero
[2021:05:03-23:07:30]  (Global) -> Topo|Z|: Cagao
[2021:05:03-23:07:30]  (Local) -> (LOCAL)[1]2cb'Petito: szs
[2021:05:03-23:07:35]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: ocampo hizo un evento
[2021:05:03-23:07:40]  (Local) -> (LOCAL)[1]2cb'Petito: pero esa es mas pa correr
[2021:05:03-23:07:42]  (Global) -> matatan-team-corsa: no me sale el tser
[2021:05:03-23:07:46]  (Global) -> Azrael: bueno Andres_Ramires
[2021:05:03-23:07:49]  (Local) -> (LOCAL)[2]Diego_BUtifarraZ: vamos a tapar la via?
[2021:05:03-23:07:53]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: de monsters pana esas curvas se cojen una chimba con eso
[2021:05:03-23:07:53]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: a que horas
[2021:05:03-23:07:54]  (Local) -> (LOCAL)[1]Otto: ajajjaja
[2021:05:03-23:07:56]  (Local) -> (LOCAL)[2]JHAYCO14lZETASl: BRV
[2021:05:03-23:07:56]  (Local) -> (LOCAL)[2]Pirrih_lCDGl: sisas
[2021:05:03-23:07:58]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: noche
[2021:05:03-23:07:59]  (Global) -> Alcapone|Z|: QUIEN PA  DUELO
[2021:05:03-23:07:59]  (Global) -> |MONTOYA|: deje de ser loca sin taser
[2021:05:03-23:08:01]  (Local) -> (LOCAL)[2]CareCaldo'2cb: me demore menos saliendo que usted metiendome
[2021:05:03-23:08:01]  (Global) -> emanuel{CDG}: ah que chimbada
[2021:05:03-23:08:03]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: como 7:30
[2021:05:03-23:08:05]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: parce sisas, y hay un truco pa dar trompos a lo maldita sea jajaja
[2021:05:03-23:08:05]  (Local) -> (LOCAL)[3]braiderandres: DEJEN PASAR ROSCAS
[2021:05:03-23:08:06]  (Local) -> (LOCAL)[1]Otto: ajajjajajajajajaj
[2021:05:03-23:08:09]  (Local) -> (LOCAL)[1]Omar25.Zetas: xd
[2021:05:03-23:08:09]  (Local) -> (LOCAL)[3]Diego_BUtifarraZ: sapo cagao
[2021:05:03-23:08:10]  (Local) -> (LOCAL)[1]2cb'Petito: yo me quiero comprar una rx
[2021:05:03-23:08:11]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: aaah no paila, yo ayer me tire el pc
[2021:05:03-23:08:11]  (Global) -> Alcapone|Z|: QUIEN PA  DUELO}
[2021:05:03-23:08:13]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: xd
[2021:05:03-23:08:14]  (Local) -> (LOCAL)[2]Otto: jajaja esa vos de loquita
[2021:05:03-23:08:14]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: con el espacio
[2021:05:03-23:08:17]  (Global) -> Dylan22: cual es esa
[2021:05:03-23:08:22]  (Local) -> (LOCAL)[3]braiderandres: HEY BUTI
[2021:05:03-23:08:23]  (Local) -> (LOCAL)[1]2cb'Petito: pero me falntan como 700.000
[2021:05:03-23:08:24]  (Global) -> Dylan22: cuanto vale ps
[2021:05:03-23:08:26]  (Global) -> FLOREZ_[CDG]|#F1F1F1ঔৣ☬: Topo|Z|[6] ezz
[2021:05:03-23:08:26]  (Global) -> Topo|Z|: No es capaz de darse conmigo a lo legal, sin m4
[2021:05:03-23:08:28]  (Global) -> Omar25.Zetas: de hecho demoro mas pór que me pegue un bailesito
[2021:05:03-23:08:28]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: jhajaja
[2021:05:03-23:08:28]  (Local) -> (LOCAL)[1]2cb'Petito: esta es la rx
[2021:05:03-23:08:29]  (Local) -> (LOCAL)[4]Diego_BUtifarraZ: hollaa
[2021:05:03-23:08:29]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:08:29]  (Global) -> Omar25.Zetas: xd
[2021:05:03-23:08:29]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: ayer se me jodio la pantalla
[2021:05:03-23:08:30]  (Global) -> Pirrih_lCDGl: PARO DE CAMIONEROS
[2021:05:03-23:08:31]  (Global) -> Topo|Z|: Bobote
[2021:05:03-23:08:32]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: q le hizo
[2021:05:03-23:08:33]  (Local) -> (LOCAL)[1]>BocaChico'Auc: op op op
[2021:05:03-23:08:35]  (Global) -> JHAYCO14lZETASl: JAJAJAJJA
[2021:05:03-23:08:35]  (Local) -> (LOCAL)[1]DONOSO|4K: casi no hay gente
[2021:05:03-23:08:35]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:08:35]  (Local) -> (LOCAL)[3]Otto: ajjajaja no es capaz niñita
[2021:05:03-23:08:36]  (Global) -> Felipe(Zetas): vendo helicotero barato
[2021:05:03-23:08:37]  (Global) -> Topo|Z|: CareCaldo'2cb[2]
[2021:05:03-23:08:37]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: JAJAJAJJAJAJAJAJAAJ
[2021:05:03-23:08:37]  (Global) -> Omar25.Zetas: eso tu vip no lo soluciona manco
[2021:05:03-23:08:38]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: esoo
[2021:05:03-23:08:39]  (Global) -> FLOREZ_[CDG]|#F1F1F1ঔৣ☬: Topo|Z|[6] Ezz
[2021:05:03-23:08:40]  (Global) -> Topo|Z|: Comisaria
[2021:05:03-23:08:42]  (Local) -> (LOCAL)[4]El_Rafa: ajjajaa sapo hpta
[2021:05:03-23:08:43]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: y no se q pasa en wsp que no me llegan mensajes
[2021:05:03-23:08:44]  (Local) -> (LOCAL)[2]emanuel{CDG}: quitese
[2021:05:03-23:08:45]  (Global) -> Pirrih_lCDGl: PARO DE CAMIONEROS
[2021:05:03-23:08:45]  (Local) -> (LOCAL)[1]2cb'Petito: es muy mela
[2021:05:03-23:08:46]  (Global) -> Dylan22: oh pensaba que era tuya
[2021:05:03-23:08:50]  (Global) -> FLOREZ_[CDG]|#F1F1F1ঔৣ☬: Topo|Z|[6] Ez
[2021:05:03-23:08:50]  (Local) -> (LOCAL)[3]CareCaldo'2cb: teste prb si es debuenas
[2021:05:03-23:08:50]  (Global) -> Topo|Z|: FLOREZ_[CDG][6] Sin m4, cagalera
[2021:05:03-23:08:51]  (Global) -> emanuel{CDG}: su mama
[2021:05:03-23:08:52]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: jajajajajajjajajajaa
[2021:05:03-23:08:53]  (Local) -> (LOCAL)[2]Otto: ajjajajajajajaj y si no loquita
[2021:05:03-23:08:53]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: esta todo loco ese malpparido
[2021:05:03-23:08:53]  (Local) -> (LOCAL)[1]2cb'Petito: no no es mia
[2021:05:03-23:08:55]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: anda de malas
[2021:05:03-23:08:55]  (Global) -> JHAYCO14lZETASl: RESPETE EL PARO DE CAMIONEROS
[2021:05:03-23:08:55]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: parce ayer
[2021:05:03-23:08:56]  (Global) -> emanuel{CDG}: pirobo hp
[2021:05:03-23:08:57]  (Local) -> (LOCAL)[1]ELMIGUE|ELN|: OE
[2021:05:03-23:08:59]  (Global) -> Omar25.Zetas: jajajaj desendiente de manco capac
[2021:05:03-23:09:00]  (Local) -> (LOCAL)[3]braiderandres: COJAN OFICIO VAGOS
[2021:05:03-23:09:00]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:09:02]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: se le daño el fono?
[2021:05:03-23:09:03]  (Global) -> FLOREZ_[CDG]|#F1F1F1ঔৣ☬: a
[2021:05:03-23:09:03]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: otro videito q belleza jajaja hagale q yo lo grabo dañando la produccion ust relax
[2021:05:03-23:09:03]  (Local) -> (LOCAL)[1]>BocaChico'Auc: op op op
[2021:05:03-23:09:04]  (Local) -> (LOCAL)[2]Otto: jajjajaja su mama es una perra pa mi
[2021:05:03-23:09:05]  (Global) -> PlacidDeckchair47: Holaa
[2021:05:03-23:09:07]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: estaba moviendole unas cosas al modem
[2021:05:03-23:09:07]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:09:08]  (Global) -> Dylan22: a que gamin se la robo? jsjsjs
[2021:05:03-23:09:10]  (Local) -> (LOCAL)[1]ELMIGUE|ELN|: QUERESS DROGA?
[2021:05:03-23:09:10]  (Global) -> Topo|Z|: Solo porque me quitaba el chaleco subiendo,  sino no me pela
[2021:05:03-23:09:11]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: y esta detras del pc
[2021:05:03-23:09:12]  (Global) -> |MONTOYA|Z|: e
[2021:05:03-23:09:12]  (Local) -> (LOCAL)[1]>BocaChico'Auc: que estoy haciendo?
[2021:05:03-23:09:12]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: cuando se canse me avisa voy a estar aca grabandolo
[2021:05:03-23:09:13]  (Global) -> emanuel{CDG}: demonos
[2021:05:03-23:09:14]  (Local) -> (LOCAL)[1]2cb'Petito: ajajajja
[2021:05:03-23:09:14]  (Local) -> (LOCAL)[1]>BocaChico'Auc: wtf
[2021:05:03-23:09:17]  (Global) -> Omar25.Zetas: terrible manco parce
[2021:05:03-23:09:18]  (Global) -> PlacidDeckchair47: el miguel?
[2021:05:03-23:09:19]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: dalando una produccion jaja
[2021:05:03-23:09:19]  (Local) -> (LOCAL)[2]Otto: jajajjajaja ya la mamá lo va quitar del computador
[2021:05:03-23:09:19]  (Global) -> FLOREZ_[CDG]|#F1F1F1ঔৣ☬: yess
[2021:05:03-23:09:19]  (Global) -> TenseBirdcage3: david
[2021:05:03-23:09:20]  (Local) -> (LOCAL)[1]>BocaChico'Auc: jajajaa
[2021:05:03-23:09:21]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: le parece poquito
[2021:05:03-23:09:23]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: bueno en fin, empuje la pc sin culpa y casi la tumbo de la mesa
[2021:05:03-23:09:23]  (Global) -> Dylan22: con mods se ve una chimba 
[2021:05:03-23:09:25]  (Local) -> (LOCAL)[1]>BocaChico'Auc: wtf
[2021:05:03-23:09:27]  (Global) -> CareCaldo'2cb|#E20280 ඞ: terrible manco dice el tombo XDD
[2021:05:03-23:09:27]  (Local) -> (LOCAL)[1]2cb'Petito: szs
[2021:05:03-23:09:28]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: se golpeo con la mesa pero no cayo al piso
[2021:05:03-23:09:31]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: JAJAJAJAJAJJAJAJA
[2021:05:03-23:09:33]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:09:33]  (Local) -> (LOCAL)[2]Otto: por que no se v apues jajajajajaja
[2021:05:03-23:09:33]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: y ps lo levante y la pantalla F
[2021:05:03-23:09:33]  (Global) -> Pirrih_lCDGl: Diego_BUtifarraZ HÉROE
[2021:05:03-23:09:33]  (Local) -> (LOCAL)[4]DONOSO|4K: coloque el bafle
[2021:05:03-23:09:34]  (Global) -> emanuel{CDG}: sapo
[2021:05:03-23:09:34]  (Global) -> Dylan22: dizque una yamaha
[2021:05:03-23:09:36]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: xd
[2021:05:03-23:09:36]  (Local) -> (LOCAL)[1]>BocaChico'Auc: op op op
[2021:05:03-23:09:38]  (Global) -> Roco|#18AED9カプガン: XD
[2021:05:03-23:09:39]  (Local) -> (LOCAL)[1]>BocaChico'Auc: gangman style
[2021:05:03-23:09:40]  (Global) -> Omar25.Zetas: manquito vip
[2021:05:03-23:09:40]  (Local) -> (LOCAL)[1]2cb'Petito: jajaja
[2021:05:03-23:09:41]  (Local) -> (LOCAL)[2]Otto: ajjajajaajajjjajajajjajajaajajajaj
[2021:05:03-23:09:46]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: y en que esta jugando
[2021:05:03-23:09:47]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: y como es todo en uno jajaja
[2021:05:03-23:09:50]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: en el mismo
[2021:05:03-23:09:54]  (Global) -> Topo|Z|: CareCaldo'2cb[2] Donde anda
[2021:05:03-23:09:54]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: aaaaaaaaaa no
[2021:05:03-23:09:54]  (Global) -> Felipe(Zetas): vendo helicotero barato
[2021:05:03-23:09:58]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: pero me baje el televisor y lo puse con HDMI
[2021:05:03-23:09:59]  (Local) -> (LOCAL)[1]Otto: jajajajajajajajja
[2021:05:03-23:10:00]  (Local) -> (LOCAL)[7]Omar25.Zetas: que pereza
[2021:05:03-23:10:01]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: y como putasa lo prendio
[2021:05:03-23:10:01]  (Local) -> (LOCAL)[1]>BocaChico'Auc: picado de prod Bv
[2021:05:03-23:10:02]  (Global) -> TenseBirdcage3: 17k pa que me suelte
[2021:05:03-23:10:03]  (Local) -> (LOCAL)[1]ELMIGUE|ELN|: OE
[2021:05:03-23:10:04]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: jajajajajajajjajajaja
[2021:05:03-23:10:05]  (Global) -> CareCaldo'2cb|#E20280 ඞ: manquito y con vip
[2021:05:03-23:10:09]  (Local) -> (LOCAL)[1]2cb'Petito: yo estoy buscando alguien que me la venda en 1.000.000
[2021:05:03-23:10:10]  (Global) -> (MP)Finyty: hola soy nuevo
[2021:05:03-23:10:10]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000VR38DETT: es q el pc prende, lo dañado es el display
[2021:05:03-23:10:10]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: jajaja listo si quiere me espera aca mientras hago el reportesito gracias
[2021:05:03-23:10:10]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: eso si fue re inteligente
[2021:05:03-23:10:12]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000VR38DETT: no veo ni mierda
[2021:05:03-23:10:14]  (Global) -> emanuel{CDG}: oe quitese
[2021:05:03-23:10:14]  (Local) -> (LOCAL)[1]>BocaChico'Auc: a ver
[2021:05:03-23:10:15]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000VR38DETT: sisas jajajajaja
[2021:05:03-23:10:16]  (Local) -> (LOCAL)[1]>BocaChico'Auc: te espero guapa
[2021:05:03-23:10:18]  (Local) -> (LOCAL)[3]DONOSO|4K: coloquelo de nuevo
[2021:05:03-23:10:19]  (Local) -> (LOCAL)[1]emanuel{CDG}: vyhsfbjdkuioio
[2021:05:03-23:10:20]  (Local) -> (LOCAL)[1]Otto: ajjajajajajaj y si no
[2021:05:03-23:10:20]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000VR38DETT: pq el arreglo vale mas q el pc
[2021:05:03-23:10:22]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000VR38DETT: entonces ni modos
[2021:05:03-23:10:24]  (Local) -> (LOCAL)[5]Azrael: hola
[2021:05:03-23:10:25]  (Global) -> Dylan22: cuanto vale originalmente?
[2021:05:03-23:10:27]  (Local) -> (LOCAL)[1]>BocaChico'Auc: lo espero aca
[2021:05:03-23:10:29]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: vendamelo
[2021:05:03-23:10:32]  (Local) -> (LOCAL)[5]Luis|CDG|: ya
[2021:05:03-23:10:32]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF0000Oconner|2cb: ok gracias espere aca afuerita q a mi casa no entran gamines jajajaja
[2021:05:03-23:10:33]  (Local) -> (LOCAL)[1]Otto: jzjjajajajjajajaja
[2021:05:03-23:10:33]  (Local) -> (LOCAL)[1]2cb'Petito: 1.500.00
[2021:05:03-23:10:35]  (Local) -> (LOCAL)[5]DONOSO|4K: szs
[2021:05:03-23:10:37]  (Local) -> (LOCAL)[0]>BocaChico'Auc: claro claro
[2021:05:03-23:10:39]  (Local) -> (LOCAL)[4](MP)Finyty: hola
[2021:05:03-23:10:42]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: no jajaja
[2021:05:03-23:10:42]  (Global) -> 2cb'Petito: 1.500.000+
[2021:05:03-23:10:44]  (Global) -> Dylan22: eso no es nada
[2021:05:03-23:10:46]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: ps no ve q lo uso con el tv
[2021:05:03-23:10:46]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: ash :(
[2021:05:03-23:10:47]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: jajajajjaa
[2021:05:03-23:10:48]  (Local) -> (LOCAL)[4]Topo|Z|: Hagale los bailes que quiera
[2021:05:03-23:10:50]  (Global) -> Tochielaragan|AUC:  que hya pa hacer
[2021:05:03-23:10:51]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: me toca asi mientras
[2021:05:03-23:10:52]  (Global) -> emanuel{CDG}: akdwjdqñfñaolfalfs
[2021:05:03-23:10:52]  (Local) -> (LOCAL)[4]CareCaldo'2cb: me tiene aqui pq sabe q en la carcel le duro 10 seconds
[2021:05:03-23:10:54]  (Local) -> (LOCAL)[2]CareCaldo'2cb: xd
[2021:05:03-23:10:54]  (Global) -> Pirrih_lCDGl: Peyeta'2cb SAPO
[2021:05:03-23:10:54]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: jajajajjajaja
[2021:05:03-23:10:56]  (Team - Services) -> (TEAM)Felipe(Zetas): vendo helicotero barato
[2021:05:03-23:10:57]  (Local) -> (LOCAL)[1]Otto: jajaajajajajajajjaja
[2021:05:03-23:10:57]  (Global) -> Dylan22: con piloto se consigue de una
[2021:05:03-23:10:58]  (Local) -> (LOCAL)[1]emanuel{CDG}: uuyyw
[2021:05:03-23:11:00]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: ya toca comprar PC
[2021:05:03-23:11:01]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: se va a comprar otro?
[2021:05:03-23:11:05]  (Local) -> (LOCAL)[2]Peyeta'2cb: dejen trabajar
[2021:05:03-23:11:05]  (Local) -> (LOCAL)[1]>BocaChico'Auc: hola
[2021:05:03-23:11:06]  (Local) -> (LOCAL)[1]2cb'Petito: szs
[2021:05:03-23:11:06]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: si obvio ya es hora
[2021:05:03-23:11:08]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: a pero chimba
[2021:05:03-23:11:12]  (Global) -> CareCaldo'2cb|#E20280 ඞ: el hpta tombo solo sabe chupar zona y dizq manquito
[2021:05:03-23:11:12]  (Local) -> (LOCAL)[1]>BocaChico'Auc: que haces
[2021:05:03-23:11:12]  (Local) -> (LOCAL)[1]Peyeta'2cb: deje trabajar
[2021:05:03-23:11:13]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000VR38DETT: esta mierda tiene mas de 10 años
[2021:05:03-23:11:14]  (Global) -> Omar25.Zetas: uy y no le da pena decir eso
[2021:05:03-23:11:15]  (Local) -> (LOCAL)[1]Peyeta'2cb: pa
[2021:05:03-23:11:16]  (Local) -> (LOCAL)[1]2cb'Petito: ud me la vende en 1.000.000?
[2021:05:03-23:11:19]  (Local) -> (LOCAL)[3]#7F7F7F|DJ|#FF5C00Buitre|Lag|2cB: ud realmente a cuantos fps juega
