This file was generated by Console at 2021:05:15-00:00:00



[2021:05:15-00:00:00]  (Local) -> (LOCAL)[7]Miguel-paraco: oe
[2021:05:15-22:22:05]  (Local) -> (LOCAL)[7]Loca:(: no le vi el taf
[2021:05:15-22:22:06]  (Global) -> FLOREZ_[CDG]|#1B2ABA������: (LOCAL)[3]Willow_Acosador|������: Quiero ser novio de Nicole eso me haria feliz 
[2021:05:15-22:22:07]  (Local) -> (LOCAL)[7]Loca:(: tag*
[2021:05:15-22:22:08]  (Local) -> (LOCAL)[7]MnrpatecumbiasELNxLP: a mi me respeta o no lo suelto,,,
[2021:05:15-22:22:08]  (Local) -> (LOCAL)[1]Miguel-paraco: un momento
[2021:05:15-22:22:08]  (Global) -> Raptus: no me pegues
[2021:05:15-22:22:10]  (Local) -> (LOCAL)[7]Loca:(: mala
[2021:05:15-22:22:10]  (Local) -> (LOCAL)[1]LuisJoseFM: HABLA
[2021:05:15-22:22:12]  (Local) -> (LOCAL)[7]Valak!: rapidito
[2021:05:15-22:22:12]  (Global) -> BabyVenoml4Kl: qç
[2021:05:15-22:22:13]  (Local) -> (LOCAL)[7]Juanma-_-'ELN': menor
[2021:05:15-22:22:13]  (Local) -> (LOCAL)[1]LuisJoseFM: LLEGUE
[2021:05:15-22:22:15]  (Global) -> #7F7F7F|ADM|#FFFF00Nicole|#EB4E89ㅇㅅㅇ: kkk
[2021:05:15-22:22:15]  (Local) -> (LOCAL)[7]Valak!: ya
[2021:05:15-22:22:16]  (Global) -> VirtuoXS|EVG|#EB4E89ㅇㅅㅇ: (LOCAL)[14]FLOREZ_[CDG]|������: valery
[2021:05:15-22:22:17]  (Local) -> (LOCAL)[7]MnrpatecumbiasELNxLP: deme un beso
[2021:05:15-22:22:17]  (Local) -> (LOCAL)[7]Valak!: ya
[2021:05:15-22:22:18]  (Local) -> (LOCAL)[7]Valak!: ya
[2021:05:15-22:22:19]  (Local) -> (LOCAL)[7]Juanma-_-'ELN': su hermana esta muy buena
[2021:05:15-22:22:19]  (Local) -> (LOCAL)[1]elpanakris_pai: me la va a tunear o que a mi no me deja
[2021:05:15-22:22:19]  (Local) -> (LOCAL)[7]Valak!: ya
[2021:05:15-22:22:19]  (Global) -> VirtuoXS|EVG|#EB4E89ㅇㅅㅇ: (LOCAL)[11]FLOREZ_[CDG]|������: pasa wsp :3
[2021:05:15-22:22:20]  (Local) -> (LOCAL)[7]MnrpatecumbiasELNxLP: deme un beso
[2021:05:15-22:22:22]  (Local) -> (LOCAL)[1]Loca:(: joder
[2021:05:15-22:22:22]  (Global) -> FLOREZ_[CDG]|#1B2ABA������: a
[2021:05:15-22:22:22]  (Local) -> (LOCAL)[3]Miguel-paraco: listo
[2021:05:15-22:22:22]  (Local) -> (LOCAL)[5]MnrpatecumbiasELNxLP: deme un beso
[2021:05:15-22:22:24]  (Global) -> CALDERON|AUC||#EB4E89ㅇㅅㅇ: Nicole
[2021:05:15-22:22:24]  (Local) -> (LOCAL)[5]MnrpatecumbiasELNxLP: deme un beso
[2021:05:15-22:22:25]  (Local) -> (LOCAL)[5]MnrpatecumbiasELNxLP: deme un beso
[2021:05:15-22:22:25]  (Local) -> (LOCAL)[1]LuisJoseFM: LLEGUE
[2021:05:15-22:22:26]  (Global) -> CALDERON|AUC||#EB4E89ㅇㅅㅇ: Nicole
[2021:05:15-22:22:26]  (Local) -> (LOCAL)[1]Loca:(: me fume esos 4 peludos
[2021:05:15-22:22:26]  (Global) -> Raptus: donde andas
[2021:05:15-22:22:28]  (Local) -> (LOCAL)[2]Loca:(: y son disq eln
[2021:05:15-22:22:28]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Catre^AUC: no se manejar
[2021:05:15-22:22:29]  (Local) -> (LOCAL)[3]Alias/puerta: no
[2021:05:15-22:22:29]  (Global) -> #7F7F7F|ADM|#FFFF00Nicole|#EB4E89ㅇㅅㅇ: Dime amor 
[2021:05:15-22:22:31]  (Local) -> (LOCAL)[4]buitrago: bueno gracias
[2021:05:15-22:22:32]  (Local) -> (LOCAL)[4]Loca:(: xdd
[2021:05:15-22:22:32]  (Global) -> BabyVenoml4Kl: busetiando
[2021:05:15-22:22:33]  (Global) -> CALDERON|AUC||#EB4E89ㅇㅅㅇ: q esta haciendo
[2021:05:15-22:22:34]  (Local) -> (LOCAL)[6]MnrpatecumbiasELNxLP: ya se solto , no?
[2021:05:15-22:22:38]  (Local) -> (LOCAL)[5]Juanma-_-'ELN': si xd
[2021:05:15-22:22:44]  (Local) -> (LOCAL)[5]camila:3cb: ajja de donde la saco
[2021:05:15-22:22:44]  (Global) -> #F2008EValak!|#F2008E卍: ta chendo frio
[2021:05:15-22:22:44]  (Global) -> ALFREDO[4K]: a
[2021:05:15-22:22:46]  (Global) -> #7F7F7F|ADM|#FFFF00Nicole|#EB4E89ㅇㅅㅇ: Trabajando juiciosa
[2021:05:15-22:22:47]  (Local) -> (LOCAL)[1]Loca:(: uno bn ciego
[2021:05:15-22:22:51]  (Local) -> (LOCAL)[2]Loca:(: y se ponen nombres bn largos
[2021:05:15-22:22:52]  (Global) -> ALFREDO[4K]: que si quiere marijuana
[2021:05:15-22:22:52]  (Global) -> DARKAR: dobelo
[2021:05:15-22:22:54]  (Global) -> Luis|CDG||#1B2ABA������: at
[2021:05:15-22:22:54]  (Global) -> DARKAR: sobelo
[2021:05:15-22:22:56]  (Local) -> (LOCAL)[4]TIMO|4K: vamos
[2021:05:15-22:22:57]  (Local) -> (LOCAL)[2]Luis|CDG|: a
[2021:05:15-22:22:58]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: no bro
[2021:05:15-22:22:59]  (Team - Services) -> (TEAM)Luis|CDG|: u
[2021:05:15-22:23:00]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: gracias
[2021:05:15-22:23:01]  (Local) -> (LOCAL)[4]TIMO|4K: pa la house
[2021:05:15-22:23:01]  (Global) -> ALFREDO[4K]: ok
[2021:05:15-22:23:01]  (Global) -> FLOREZ_[CDG]|#1B2ABA������: (LOCAL)[3]Willow_Acosador|������: Quiero ser novio de Nicole eso me haria feliz 
[2021:05:15-22:23:02]  (Global) -> DARKAR: care chimba
[2021:05:15-22:23:04]  (Local) -> (LOCAL)[1]elpanakris_pai: cambiele de color pa
[2021:05:15-22:23:06]  (Local) -> (LOCAL)[1]LuisJoseFM: MANDE PLATA
[2021:05:15-22:23:11]  (Local) -> (LOCAL)[4]camila:3cb: a?
[2021:05:15-22:23:11]  (Local) -> (LOCAL)[1]elpanakris_pai: rojo con negro
[2021:05:15-22:23:11]  (Local) -> (LOCAL)[4]Loca:(: suave
[2021:05:15-22:23:13]  (Global) -> Raptus: admin ud pq es tan care tierna
[2021:05:15-22:23:13]  (Global) -> Juanma-_-'ELN'|#F2008E卍: '#ff0000 EJERCITO DE LIBERACION NACIONAL #00ff00 [ELN] Recluta Nuevos miembros'
[2021:05:15-22:23:14]  (Global) -> MnrpatecumbiasELNxLP|#EB4E89ㅇㅅㅇ: a quien no haria feliz?
[2021:05:15-22:23:18]  (Local) -> (LOCAL)[1]elpanakris_pai: como le mando plata
[2021:05:15-22:23:19]  (Global) -> MnrpatecumbiasELNxLP|#EB4E89ㅇㅅㅇ: mi pregunta es esa?
[2021:05:15-22:23:23]  (Global) -> buitrago: DARKAR PEDAZO DE MRD
[2021:05:15-22:23:25]  (Global) -> Alberto_ValamadreCDG: Tochi reportado
[2021:05:15-22:23:26]  (Local) -> (LOCAL)[1]Loca:(: joder
[2021:05:15-22:23:28]  (Local) -> (LOCAL)[1]Loca:(: 30 balas de m4
[2021:05:15-22:23:29]  (Global) -> DARKAR: su mama
[2021:05:15-22:23:37]  (Local) -> (LOCAL)[1]Loca:(: no se habia puesto disq armas gratis?
[2021:05:15-22:23:40]  (Global) -> #F2008EValak!|#F2008E卍: nooooo
[2021:05:15-22:23:44]  (Local) -> (LOCAL)[2]Loca:(: yo habia visto en discord
[2021:05:15-22:23:45]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: joder oficial buen dia
[2021:05:15-22:23:45]  (Global) -> #F2008EValak!|#F2008E卍: se metio
[2021:05:15-22:23:46]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Catre^AUC: VAMOS POR MONEY
[2021:05:15-22:23:49]  (Global) -> AvailableDuststorm17: Oe
[2021:05:15-22:23:50]  (Global) -> Raptus: valak vas a jugar o vas a llorar??
[2021:05:15-22:23:50]  (Global) -> Juanma-_-'ELN'|#F2008E卍: en pleno pvp
[2021:05:15-22:23:51]  (Local) -> (LOCAL)[2]Loca:(: yes
[2021:05:15-22:23:51]  (Local) -> (LOCAL)[2]CALDERON|AUC|: buen dia
[2021:05:15-22:23:52]  (Local) -> (LOCAL)[1]MeekSofa25: Vamos vamos
[2021:05:15-22:23:54]  (Global) -> AvailableDuststorm17: Como me vuelvo paraco
[2021:05:15-22:23:58]  (Global) -> #F2008EValak!|#F2008E卍: que?
[2021:05:15-22:23:59]  (Local) -> (LOCAL)[2]CALDERON|AUC|: se puede bajar del vehiculo
[2021:05:15-22:23:59]  (Global) -> BabyVenoml4Kl: kiem
[2021:05:15-22:23:59]  (Local) -> (LOCAL)[1]MeekSofa25: no le de hacia adelante
[2021:05:15-22:24:01]  (Local) -> (LOCAL)[5]xXstokXx: q hacen
[2021:05:15-22:24:02]  (Global) -> #7F7F7F|ADM|#FF5C00Mariana|#EB4E89ㅇㅅㅇ: pbp
[2021:05:15-22:24:03]  (Local) -> (LOCAL)[1]CALDERON|AUC|: para una requisa
[2021:05:15-22:24:04]  (Local) -> (LOCAL)[9]Felipe(zetas): dale
[2021:05:15-22:24:05]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Oe juanma
[2021:05:15-22:24:06]  (Global) -> Raptus: XDDDDDDDDDDDDDDDDDDDDDDDDDD
[2021:05:15-22:24:07]  (Global) -> LeeonerSP: isas
[2021:05:15-22:24:08]  (Local) -> (LOCAL)[2]Loca:(: suave
[2021:05:15-22:24:09]  (Local) -> (LOCAL)[2]A|capone|Zcb|: QUE PASO
[2021:05:15-22:24:10]  (Local) -> (LOCAL)[1]MeekSofa25: Vamos por una moto
[2021:05:15-22:24:12]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: amor dejeme trabajar :"
[2021:05:15-22:24:13]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Quiere 23 cm de puro amor?
[2021:05:15-22:24:16]  (Local) -> (LOCAL)[1]vale: se me saio
[2021:05:15-22:24:16]  (Global) -> Andres_Ramires||2cb|||#5EF5F7������: faltan 12 dias para que salga whasap 2
[2021:05:15-22:24:16]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FFFF00Nicole: subase
[2021:05:15-22:24:17]  (Global) -> Miguel-paraco: darkar
[2021:05:15-22:24:17]  (Local) -> (LOCAL)[2]LuisJoseFM: LLEGUE
[2021:05:15-22:24:18]  (Global) -> LeeonerSP: pvp dale a aceptar duelo 
[2021:05:15-22:24:19]  (Local) -> (LOCAL)[2]CALDERON|AUC|: bn xddd
[2021:05:15-22:24:20]  (Local) -> (LOCAL)[1]vale: salio*
[2021:05:15-22:24:20]  (Local) -> (LOCAL)[1]MeekSofa25: o pare
[2021:05:15-22:24:20]  (Local) -> (LOCAL)[2]LuisJoseFM: ENVIA LA PLATA
[2021:05:15-22:24:21]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Vuelvase tombo
[2021:05:15-22:24:21]  (Local) -> (LOCAL)[6]JuanJuan'ELN: no grax
[2021:05:15-22:24:23]  (Global) -> AvailableDuststorm17: Guieme
[2021:05:15-22:24:24]  (Local) -> (LOCAL)[1]Felipe(zetas): como
[2021:05:15-22:24:24]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Y vamos a coger gente
[2021:05:15-22:24:25]  (Local) -> (LOCAL)[1]A|capone|Zcb|: NO ACTIVO MODS?
[2021:05:15-22:24:25]  (Local) -> (LOCAL)[1]MeekSofa25: pare pare
[2021:05:15-22:24:27]  (Local) -> (LOCAL)[2]elpanakris_pai: yo la veo negro
[2021:05:15-22:24:27]  (Local) -> (LOCAL)[1]Loca:(: vamo
[2021:05:15-22:24:29]  (Local) -> (LOCAL)[2]elpanakris_pai: mk
[2021:05:15-22:24:29]  (Local) -> (LOCAL)[1]Loca:(: 1 palaso
[2021:05:15-22:24:29]  (Local) -> (LOCAL)[5]FLOREZ_[CDG]: Soy un negro sabroso
[2021:05:15-22:24:29]  (Local) -> (LOCAL)[5]JuanJuan'ELN: yo soy nub
[2021:05:15-22:24:34]  (Local) -> (LOCAL)[1]Felipe(zetas): dale
[2021:05:15-22:24:34]  (Local) -> (LOCAL)[2]elpanakris_pai: negra
[2021:05:15-22:24:34]  (Local) -> (LOCAL)[1]Loca:(: en bank
[2021:05:15-22:24:34]  (Local) -> (LOCAL)[2]LuisJoseFM: ESTA ROJA
[2021:05:15-22:24:35]  (Global) -> #7F7F7F|ADM|#FF5C00Mariana|#EB4E89ㅇㅅㅇ: qn pa pvp q no sea pro
[2021:05:15-22:24:36]  (Local) -> (LOCAL)[1]Loca:(: Bv
[2021:05:15-22:24:38]  (Local) -> (LOCAL)[4]FLOREZ_[CDG]: JuanJuan'ELN[1]
[2021:05:15-22:24:39]  (Global) -> ReY|Rs: sapo hpta
[2021:05:15-22:24:39]  (Global) -> DARKAR: #00FF00 VENDO BF-400
[2021:05:15-22:24:40]  (Global) -> Toloteli|2cb|#9E016Cඞ: yo
[2021:05:15-22:24:42]  (Local) -> (LOCAL)[1]LuisJoseFM: TIENES WS?
[2021:05:15-22:24:43]  (Local) -> (LOCAL)[3]Cuchacho: hola
[2021:05:15-22:24:44]  (Global) -> Toloteli|2cb|#9E016Cඞ: :3
[2021:05:15-22:24:45]  (Local) -> (LOCAL)[5]FLOREZ_[CDG]: ah ud es juan juan
[2021:05:15-22:24:45]  (Local) -> (LOCAL)[1]LuisJoseFM: YO TE MANDO FOTO
[2021:05:15-22:24:46]  (Local) -> (LOCAL)[3]Loca:(: q
[2021:05:15-22:24:46]  (Global) -> AvailableDuststorm17: Donde me vuelvo paraco ome
[2021:05:15-22:24:46]  (Local) -> (LOCAL)[1]elpanakris_pai: NO MK ESTA NEGRA
[2021:05:15-22:24:48]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: deme un pikito
[2021:05:15-22:24:49]  (Local) -> (LOCAL)[2]vale: oye me podes llevar al hospital general
[2021:05:15-22:24:49]  (Local) -> (LOCAL)[2]Loca:(: y ese qn es
[2021:05:15-22:24:50]  (Local) -> (LOCAL)[3]JuanJuan'ELN: ajsjajs
[2021:05:15-22:24:51]  (Local) -> (LOCAL)[1]Loca:(: xdd
[2021:05:15-22:24:51]  (Local) -> (LOCAL)[1]elpanakris_pai: si si tengo wasap
[2021:05:15-22:24:52]  (Local) -> (LOCAL)[5]FLOREZ_[CDG]: El que la vez pasada me robo la plat
[2021:05:15-22:24:52]  (Local) -> (LOCAL)[5]nofuture: camine pai
[2021:05:15-22:24:53]  (Local) -> (LOCAL)[1]CALDERON|AUC|: muak
[2021:05:15-22:24:53]  (Global) -> Santiago: ._.
[2021:05:15-22:24:53]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Catre^AUC: ni idea
[2021:05:15-22:24:54]  (Local) -> (LOCAL)[2]A|capone|Zcb|: PERE COMPRO GASOLINA PARA LA CAMIONETA
[2021:05:15-22:24:54]  (Local) -> (LOCAL)[1]LuisJoseFM: ENVIA LA PLATA SON 20000
[2021:05:15-22:24:56]  (Global) -> #7F7F7F|ADM|#FF5C00Mariana|#EB4E89ㅇㅅㅇ: hahah  
[2021:05:15-22:24:56]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: mua
[2021:05:15-22:24:56]  (Local) -> (LOCAL)[7]JuanJuan'ELN: no
[2021:05:15-22:24:57]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: pense que era juanm
[2021:05:15-22:24:59]  (Local) -> (LOCAL)[1]MeekSofa25: Vamos
[2021:05:15-22:25:00]  (Local) -> (LOCAL)[1]LuisJoseFM: LLEGUE AL WS Y VEA
[2021:05:15-22:25:01]  (Global) -> PunySunbonnet24: hola
[2021:05:15-22:25:01]  (Local) -> (LOCAL)[2]vale: ok
[2021:05:15-22:25:01]  (Global) -> FLOREZ_[CDG]|#1B2ABA������: Juanma-_-'ELN'[2] donde tas?
[2021:05:15-22:25:03]  (Local) -> (LOCAL)[1]MeekSofa25: Yo manejo
[2021:05:15-22:25:03]  (Local) -> (LOCAL)[1]Felipe(zetas): como
[2021:05:15-22:25:04]  (Global) -> BabyVenoml4Kl: dos puntos uve
[2021:05:15-22:25:05]  (Local) -> (LOCAL)[1]LuisJoseFM: 3147104210
[2021:05:15-22:25:06]  (Global) -> Sam: cuando valentina;3 me quiera me vuelvo paraco
[2021:05:15-22:25:07]  (Local) -> (LOCAL)[3]JuanJuan'ELN: yo no robo
[2021:05:15-22:25:09]  (Local) -> (LOCAL)[1]MeekSofa25: cureme
[2021:05:15-22:25:09]  (Local) -> (LOCAL)[3]FLOREZ_[CDG]: el que me iso perder 800k
[2021:05:15-22:25:10]  (Team - Services) -> (TEAM)LuisJoseFM: 3147104210
[2021:05:15-22:25:12]  (Local) -> (LOCAL)[4]JuanJuan'ELN: respete
[2021:05:15-22:25:12]  (Local) -> (LOCAL)[3]FLOREZ_[CDG]: con el infernus
[2021:05:15-22:25:13]  (Global) -> LeeonerSP: ./aceptarduelo
[2021:05:15-22:25:22]  (Local) -> (LOCAL)[1]elpanakris_pai: pase wasap
[2021:05:15-22:25:23]  (Local) -> (LOCAL)[1]MeekSofa25: Yo manejo
[2021:05:15-22:25:27]  (Local) -> (LOCAL)[1]elpanakris_pai: 314...
[2021:05:15-22:25:28]  (Team - Services) -> (TEAM)LuisJoseFM: 3147104210
[2021:05:15-22:25:28]  (Global) -> Santiago: wtf
[2021:05:15-22:25:29]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FFFF00Nicole: pere
[2021:05:15-22:25:29]  (Global) -> AvailableDuststorm17: Como le hago
[2021:05:15-22:25:31]  (Global) -> FLOREZ_[CDG]|#1B2ABA������: Juanma-_-'ELN'[2] donde esta ?
[2021:05:15-22:25:31]  (Global) -> ALFREDO[4K]: señor
[2021:05:15-22:25:31]  (Local) -> (LOCAL)[1]MeekSofa25: Cureme ome
[2021:05:15-22:25:33]  (Local) -> (LOCAL)[1]Azrael*AUC: ajaja
[2021:05:15-22:25:33]  (Local) -> (LOCAL)[1]Carlos_Escobar5FPS[Z]: oe
[2021:05:15-22:25:36]  (Local) -> (LOCAL)[2]Carlos_Escobar5FPS[Z]: ud es rosi
[2021:05:15-22:25:38]  (Local) -> (LOCAL)[2]JuanJuan'ELN: tkm
[2021:05:15-22:25:39]  (Global) -> Juanma-_-'ELN'|#F2008E卍: grove
[2021:05:15-22:25:39]  (Global) -> #F2008EValak!|#F2008E卍: en la sala de un hospital
[2021:05:15-22:25:41]  (Local) -> (LOCAL)[2]FLOREZ_[CDG]: Mera rata valla a dormir mejor
[2021:05:15-22:25:42]  (Local) -> (LOCAL)[1]MeekSofa25: Busque las flores
[2021:05:15-22:25:44]  (Local) -> (LOCAL)[1]AgathaX: si soy yo
[2021:05:15-22:25:45]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Catre^AUC: gasofa
[2021:05:15-22:25:47]  (Local) -> (LOCAL)[2]JuanJuan'ELN: jasjajsjs
[2021:05:15-22:25:47]  (Local) -> (LOCAL)[4]Felipe(zetas): q
[2021:05:15-22:25:48]  (Local) -> (LOCAL)[2]Carlos_Escobar5FPS[Z]: hola
[2021:05:15-22:25:48]  (Local) -> (LOCAL)[1]MeekSofa25: en las armas
[2021:05:15-22:25:49]  (Local) -> (LOCAL)[3]Loca:(: a
[2021:05:15-22:25:49]  (Global) -> #7F7F7F|ADM|#FF5C00Mariana|#EB4E89ㅇㅅㅇ: jaja
[2021:05:15-22:25:50]  (Local) -> (LOCAL)[2]AgathaX: que necesita!
[2021:05:15-22:25:52]  (Global) -> BabyVenoml4Kl: dos puntos uve
[2021:05:15-22:25:54]  (Local) -> (LOCAL)[1]MeekSofa25: y me pega con eso
[2021:05:15-22:25:54]  (Local) -> (LOCAL)[1]Carlos_Escobar5FPS[Z]: nada
[2021:05:15-22:25:56]  (Local) -> (LOCAL)[1]AgathaX: hola hola como vamos?
[2021:05:15-22:25:57]  (Local) -> (LOCAL)[1]Loca:(: verda q aca los carros tienen gasofa
[2021:05:15-22:26:00]  (Global) -> #7F7F7F|ADM|#FF5C00Mariana|#EB4E89ㅇㅅㅇ: quien lo diria
[2021:05:15-22:26:00]  (Global) -> Angel: que toca hacer para ser parte del ELN?
[2021:05:15-22:26:02]  (Local) -> (LOCAL)[1]JuanJuan'ELN: perdon
[2021:05:15-22:26:03]  (Global) -> Azrael*AUC: admin en busetero no se sube de nivel?
[2021:05:15-22:26:08]  (Local) -> (LOCAL)[1]KING[ELN]: ok
[2021:05:15-22:26:09]  (Local) -> (LOCAL)[1]JuanJuan'ELN: mala mia
[2021:05:15-22:26:10]  (Global) -> #F2008EValak!|#F2008E卍: ser feliz Angel
[2021:05:15-22:26:11]  ([Msg] de #00ff00FLOREZ_[CDG] para Juanma-_-'ELN': donde esta hp) -> nil
[2021:05:15-22:26:11]  (Global) -> #7F7F7F|ADM|#FFFF00Meguu~|#EB4E89ㅇㅅㅇ: solo hay 2 rangos
[2021:05:15-22:26:13]  (Global) -> #7F7F7F|ADM|#FF5C00Mariana|#EB4E89ㅇㅅㅇ: AUC RECLUTA
[2021:05:15-22:26:13]  (Global) -> Emmanuel2.0: NO JODA H
[2021:05:15-22:26:14]  (Global) -> Juanma-_-'ELN'|#F2008E卍: hablar con un reclutador de eln
[2021:05:15-22:26:15]  (Global) -> Loca:(: Q
[2021:05:15-22:26:17]  (Global) -> #7F7F7F|ADM|#FF0000Catre^AUC|#9800D1GDT!: eyeyeyeye
[2021:05:15-22:26:18]  (Local) -> (LOCAL)[1]MeekSofa25: Vamos suba
[2021:05:15-22:26:20]  (Global) -> #7F7F7F|ADM|#FF0000Catre^AUC|#9800D1GDT!: nuestra kill
[2021:05:15-22:26:20]  (Global) -> Loca:(: sapo
[2021:05:15-22:26:23]  (Global) -> Juanma-_-'ELN'|#F2008E卍: '#ff0000 EJERCITO DE LIBERACION NACIONAL #00ff00 [ELN] Recluta Nuevos miembros'
[2021:05:15-22:26:24]  (Local) -> (LOCAL)[4]A|capone|Zcb|: ACA
[2021:05:15-22:26:26]  (Global) -> VirtuoXS|EVG|#EB4E89ㅇㅅㅇ: sisas
[2021:05:15-22:26:28]  (Global) -> VirtuoXS|EVG|#EB4E89ㅇㅅㅇ: nuestra kill
[2021:05:15-22:26:30]  (Global) -> Angel: y quien es?
[2021:05:15-22:26:34]  (Local) -> (LOCAL)[6]A|capone|Zcb|: O AL OTRO
[2021:05:15-22:26:34]  (Local) -> (LOCAL)[5]vale: si gracias
[2021:05:15-22:26:34]  (Global) -> #F2008EValak!|#F2008E卍: yo
[2021:05:15-22:26:34]  (Global) -> Sam: JUAMA
[2021:05:15-22:26:35]  (Local) -> (LOCAL)[2]CALDERON|AUC|: metase a dc
[2021:05:15-22:26:36]  (Global) -> Sam: juanma
[2021:05:15-22:26:39]  (Global) -> Sam: que procede
[2021:05:15-22:26:40]  (Local) -> (LOCAL)[5]vale: aqui
[2021:05:15-22:26:40]  (Local) -> (LOCAL)[6]Valak!: juama
[2021:05:15-22:26:41]  (Global) -> Angel: como se contacta con el?
[2021:05:15-22:26:45]  (Global) -> jarri_stunt_09: hola soy nuevo
[2021:05:15-22:26:46]  (Global) -> #F2008EValak!|#F2008E卍: diga hola
[2021:05:15-22:26:46]  (Local) -> (LOCAL)[4]A|capone|Zcb|: MONTESE VAMO ALLI LEDIGO
[2021:05:15-22:26:48]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Juanma
[2021:05:15-22:26:48]  (Local) -> (LOCAL)[4]A|capone|Zcb|: ALGO
[2021:05:15-22:26:51]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Vuelvase trombo
[2021:05:15-22:26:52]  (Local) -> (LOCAL)[2]Andres_Ramires||2cb||: ush
[2021:05:15-22:26:52]  (Team - Criminals) -> (TEAM)Carlos_Escobar5FPS[Z]: ajjaja+
[2021:05:15-22:26:52]  (Local) -> (LOCAL)[4]Jonny_Culeo: paro de buses o que
[2021:05:15-22:26:54]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: vamos a coger gente
[2021:05:15-22:26:54]  (Local) -> (LOCAL)[5]A|capone|Zcb|: Y YA LA TRAIGO
[2021:05:15-22:26:59]  (Local) -> (LOCAL)[3]vale: que
[2021:05:15-22:27:00]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: Igual valak
[2021:05:15-22:27:01]  (Global) -> Sam: OEEEEEEEEE NECESITO TAXI
[2021:05:15-22:27:05]  (Global) -> Sam: QUE CAIGA YA LE PAGO ;3
[2021:05:15-22:27:07]  (Global) -> BabyVenoml4Kl: sabonea47 lo espero aca en buseteros
[2021:05:15-22:27:08]  (Local) -> (LOCAL)[1]Raptus: oe
[2021:05:15-22:27:10]  (Local) -> (LOCAL)[7]FLOREZ_[CDG]: Si o q
[2021:05:15-22:27:10]  (Local) -> (LOCAL)[1]vale: ok
[2021:05:15-22:27:11]  (Global) -> Santiago: na no le hago una mierda
[2021:05:15-22:27:15]  (Global) -> Santiago:  y me matan
[2021:05:15-22:27:16]  (Local) -> (LOCAL)[1]Raptus: q paso
[2021:05:15-22:27:17]  (Local) -> (LOCAL)[1]AgathaX: digame
[2021:05:15-22:27:18]  (Local) -> (LOCAL)[3]Cuchacho: que
[2021:05:15-22:27:18]  (Global) -> Loca:(: noo
[2021:05:15-22:27:21]  (Global) -> Santiago: Si joden
[2021:05:15-22:27:22]  (Local) -> (LOCAL)[8]Juanma-_-'ELN': nos perdonas
[2021:05:15-22:27:23]  (Local) -> (LOCAL)[1]AgathaX: un accidente xd
[2021:05:15-22:27:25]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000Catre^AUC: MIO
[2021:05:15-22:27:26]  (Local) -> (LOCAL)[1]Raptus: pq anda corriendo asi jajaajaaj
[2021:05:15-22:27:27]  (Local) -> (LOCAL)[2]PACHELI: hola
[2021:05:15-22:27:27]  (Local) -> (LOCAL)[1]A|capone|Zcb|: ME DAS TU WPP?
[2021:05:15-22:27:28]  (Global) -> Cuchacho: que pasa pirobos
[2021:05:15-22:27:28]  (Global) -> Santiago: Ok
[2021:05:15-22:27:29]  (Local) -> (LOCAL)[4]Loca:(: aa
[2021:05:15-22:27:31]  (Local) -> (LOCAL)[1]Raptus: aaa
[2021:05:15-22:27:34]  (Local) -> (LOCAL)[6]FLOREZ_[CDG]: jaja
[2021:05:15-22:27:34]  (Local) -> (LOCAL)[2]Raptus: bn
[2021:05:15-22:27:35]  (Local) -> (LOCAL)[1]vale: para?
[2021:05:15-22:27:36]  (Local) -> (LOCAL)[2]AgathaX: por que la moto se undio
[2021:05:15-22:27:36]  (Local) -> (LOCAL)[1]elpanakris_pai: YA LE ESCRIBI
[2021:05:15-22:27:38]  (Local) -> (LOCAL)[4]TIMO|4K: vamos pa mi casa
[2021:05:15-22:27:39]  (Local) -> (LOCAL)[1]AgathaX: xd
[2021:05:15-22:27:41]  (Local) -> (LOCAL)[1]Raptus: XDDDDDDDDD
[2021:05:15-22:27:44]  (Local) -> (LOCAL)[1]A|capone|Zcb|: INTERACTUAR MAS
