This file was generated by Console at 2021:06:14-00:00:02



[2021:06:14-00:00:02]  (Global) -> cacharrito.HP: PANTHER963(Z)
[2021:06:14-22:28:22]  (Global) -> iFixl|CDG|: .-.
[2021:06:14-22:28:25]  (Global) -> #7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU|#18AED9ã‚«ãƒ—ã‚¬ãƒ³: Relajao
[2021:06:14-22:28:29]  (Local) -> (LOCAL)[2]Orion: daza
[2021:06:14-22:28:29]  (Local) -> (LOCAL)[1]Lavi: ale ale
[2021:06:14-22:28:30]  (Local) -> (LOCAL)[1]larrycaremonda: uy pa
[2021:06:14-22:28:33]  (Global) -> ALEXIS|: bueno la cojo otra vez y se sale y le mando las cap va
[2021:06:14-22:28:39]  (Local) -> (LOCAL)[1]Yisus[CDG]: xd
[2021:06:14-22:28:40]  (Global) -> SOFFIA<3: Yisus[CDG][MP] yo que?
[2021:06:14-22:28:41]  (Global) -> #7F7F7F|ADM|#FF0000aspiriina|#83FF00ÊÄ‘à¸—: a
[2021:06:14-22:28:43]  (Local) -> (LOCAL)[1]larrycaremonda: me estoy pegando un viajesote
[2021:06:14-22:28:54]  (Local) -> (LOCAL)[3]BeastBoy: vengan
[2021:06:14-22:28:57]  (Global) -> Naruto|CDG||#9D12D1í ½í¸ˆ: Balaclava
[2021:06:14-22:29:07]  (Global) -> Daniel_121: pa estaba revisando algo jsj
[2021:06:14-22:29:12]  (Local) -> (LOCAL)[3]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: XD
[2021:06:14-22:29:12]  (Local) -> (LOCAL)[1]HABLAME: buenas
[2021:06:14-22:29:15]  (Local) -> (LOCAL)[4]PericoHpta: ey brother
[2021:06:14-22:29:16]  (Local) -> (LOCAL)[1]Lavi: JAJAJAJA
[2021:06:14-22:29:16]  (Local) -> (LOCAL)[3]PericoHpta: oo
[2021:06:14-22:29:20]  (Global) -> BeastBoy: tristez
[2021:06:14-22:29:23]  (Global) -> BeastBoy: A
[2021:06:14-22:29:27]  (Local) -> (LOCAL)[3]Oreo: oe
[2021:06:14-22:29:32]  (Local) -> (LOCAL)[2]PericoHpta: '
[2021:06:14-22:29:32]  (Local) -> (LOCAL)[2]Oreo: arregleme el carrito
[2021:06:14-22:29:35]  (Local) -> (LOCAL)[2]PericoHpta: vamos
[2021:06:14-22:29:36]  (Global) -> ALEXIS|: e
[2021:06:14-22:29:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: vamos pa mi casa a culiar pss mi amor
[2021:06:14-22:29:39]  (Local) -> (LOCAL)[3]owen[2cb: epa
[2021:06:14-22:29:40]  (Local) -> (LOCAL)[2]PericoHpta: tengo un kit
[2021:06:14-22:29:43]  (Local) -> (LOCAL)[2]freseomatabobos: donde lo entrego
[2021:06:14-22:29:44]  (Local) -> (LOCAL)[1]Lavi: uy
[2021:06:14-22:29:46]  (Team - Services) -> (TEAM)StealthyCabbage13: yy
[2021:06:14-22:29:47]  (Local) -> (LOCAL)[2]R|aata~>|Z|: pere
[2021:06:14-22:29:49]  (Local) -> (LOCAL)[1]R|aata~>|Z|: pereeeeeeee
[2021:06:14-22:29:50]  (Team - Unemployed) -> (TEAM)Murdock: Oe
[2021:06:14-22:29:52]  (Local) -> (LOCAL)[1]freseomatabobos: pere q
[2021:06:14-22:29:54]  (Local) -> (LOCAL)[2]Lavi: es q con curioso todos quieren
[2021:06:14-22:29:55]  (Global) -> Daniel_121:  y usted de donde es
[2021:06:14-22:29:56]  (Local) -> (LOCAL)[1]BeastBoy: yo creo que esa si es vieja
[2021:06:14-22:30:00]  (Local) -> (LOCAL)[1]IllegalHostess20: grax por acomodame
[2021:06:14-22:30:01]  (Local) -> (LOCAL)[4]Lavi: como le voy a rechazar esa oferta
[2021:06:14-22:30:02]  (Local) -> (LOCAL)[2]freseomatabobos: gogogo
[2021:06:14-22:30:03]  (Local) -> (LOCAL)[1]larrycaremonda: de barrancabermeja
[2021:06:14-22:30:04]  (Local) -> (LOCAL)[1]69KID: nop
[2021:06:14-22:30:06]  (Local) -> (LOCAL)[2]Damian97: ajaj
[2021:06:14-22:30:06]  (Local) -> (LOCAL)[1]HABLAME: vas a morir
[2021:06:14-22:30:08]  (Local) -> (LOCAL)[1]69KID: lavi?
[2021:06:14-22:30:12]  (Local) -> (LOCAL)[1]BeastBoy: no, la sofia esa
[2021:06:14-22:30:12]  (Local) -> (LOCAL)[1]q2cb: estoy sano
[2021:06:14-22:30:15]  (Local) -> (LOCAL)[1]HABLAME: te amo
[2021:06:14-22:30:16]  (Local) -> (LOCAL)[1]Orion: comooo
[2021:06:14-22:30:17]  (Local) -> (LOCAL)[1]69KID: ahhh szs
[2021:06:14-22:30:17]  (Local) -> (LOCAL)[1]Orion: sofia
[2021:06:14-22:30:17]  (Local) -> (LOCAL)[1]larrycaremonda: y uste
[2021:06:14-22:30:18]  (Local) -> (LOCAL)[1]HABLAME: jajajaja
[2021:06:14-22:30:21]  (Local) -> (LOCAL)[1]HABLAME: la bna mi bro
[2021:06:14-22:30:24]  (Global) -> Daniel_121: antioquia pa
[2021:06:14-22:30:24]  (Local) -> (LOCAL)[1]BeastBoy: porque hablo por chat de voz y todo
[2021:06:14-22:30:24]  (Local) -> (LOCAL)[1]SOFFIA<3: que paso?
[2021:06:14-22:30:27]  (Local) -> (LOCAL)[1]Orion: como vamos?
[2021:06:14-22:30:27]  (Local) -> (LOCAL)[1]PericoHpta: ojo
[2021:06:14-22:30:29]  (Local) -> (LOCAL)[1]69KID: xd
[2021:06:14-22:30:30]  (Local) -> (LOCAL)[2]SOFFIA<3: bien
[2021:06:14-22:30:32]  (Local) -> (LOCAL)[1]PericoHpta: sacalo
[2021:06:14-22:30:34]  (Local) -> (LOCAL)[1]larrycaremonda: epa
[2021:06:14-22:30:34]  (Global) -> LewdCadet9: no te lo rompo
[2021:06:14-22:30:36]  (Local) -> (LOCAL)[1]BeastBoy: me voy a reir mucho con lo de san
[2021:06:14-22:30:36]  (Local) -> (LOCAL)[1]larrycaremonda: la caballeria
[2021:06:14-22:30:36]  (Local) -> (LOCAL)[2]Orion: como el mincho
[2021:06:14-22:30:40]  (Local) -> (LOCAL)[1]69KID: xd
[2021:06:14-22:30:42]  (Local) -> (LOCAL)[1]Lavi: uy
[2021:06:14-22:30:42]  (Local) -> (LOCAL)[1]Randall...!: oe
[2021:06:14-22:30:45]  (Local) -> (LOCAL)[1]Lavi: donde hay espacio pues
[2021:06:14-22:30:51]  (Local) -> (LOCAL)[1]Randall...!: jjjjjjjjjjjjjjjjjj
[2021:06:14-22:30:51]  (Local) -> (LOCAL)[1]PericoHpta: nose como usarla
[2021:06:14-22:30:52]  (Global) -> juandis2020: q
[2021:06:14-22:30:53]  (Local) -> (LOCAL)[2]DANIELITA[CDG]: oye mira que ahora se pueden robar partes de los vehiculos akjsdjkas
[2021:06:14-22:30:54]  (Global) -> Daniel_121: bonito por alla?
[2021:06:14-22:30:55]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: Sigue mi bida
[2021:06:14-22:30:56]  (Local) -> (LOCAL)[1]Oreo: dele f6
[2021:06:14-22:31:00]  (Local) -> (LOCAL)[1]Lavi: aÃ±aÃ±ai
[2021:06:14-22:31:02]  (Global) -> LewdCadet9: quien quiere este carro?
[2021:06:14-22:31:02]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: con el job de drifter o criminal
[2021:06:14-22:31:03]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: Voy a alistarme
[2021:06:14-22:31:05]  (Local) -> (LOCAL)[1]PericoHpta: acepte
[2021:06:14-22:31:06]  (Local) -> (LOCAL)[1]Oreo: parce
[2021:06:14-22:31:07]  (Local) -> (LOCAL)[1]Lavi: t espero
[2021:06:14-22:31:10]  (Local) -> (LOCAL)[4]SOFFIA<3: ishh
[2021:06:14-22:31:11]  (Local) -> (LOCAL)[1]Oreo: disq 1 palo
[2021:06:14-22:31:14]  (Local) -> (LOCAL)[2]owen[2cb: oe
[2021:06:14-22:31:15]  (Global) -> R|aata~>|Z||#BE15B9í µí³©: pene
[2021:06:14-22:31:16]  (Local) -> (LOCAL)[4]SOFFIA<3: ta potente jaja
[2021:06:14-22:31:16]  (Local) -> (LOCAL)[1]PericoHpta: hay mk
[2021:06:14-22:31:17]  (Local) -> (LOCAL)[1]Oreo: vamos pa el banco
[2021:06:14-22:31:17]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: como robo una parte?
[2021:06:14-22:31:18]  (Local) -> (LOCAL)[4]69KID: q carro es ese?
[2021:06:14-22:31:22]  (Team - Services) -> (TEAM)SleepyWoofer81: todo bien
[2021:06:14-22:31:23]  (Local) -> (LOCAL)[2]ALEXIS|: q
[2021:06:14-22:31:24]  (Local) -> (LOCAL)[1]larrycaremonda: sisa
[2021:06:14-22:31:25]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: elegy
[2021:06:14-22:31:28]  (Global) -> pUtin'2cb: jueputa me dejaron sin latas
[2021:06:14-22:31:28]  (Local) -> (LOCAL)[1]Oreo: suba
[2021:06:14-22:31:29]  (Local) -> (LOCAL)[4]owen[2cb: vamos a dar un paseo
[2021:06:14-22:31:30]  (Local) -> (LOCAL)[4]69KID: ohhhhhhhhhhhh
[2021:06:14-22:31:32]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: oigan
[2021:06:14-22:31:35]  (Local) -> (LOCAL)[4]BeastBoy: pero con paint?
[2021:06:14-22:31:36]  (Local) -> (LOCAL)[1]pene~>w<: ola
[2021:06:14-22:31:37]  (Local) -> (LOCAL)[4]69KID: oe
[2021:06:14-22:31:37]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: como robo una parte
[2021:06:14-22:31:38]  (Local) -> (LOCAL)[1]PericoHpta: ja imaginese el de cogoyo
[2021:06:14-22:31:39]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: si
[2021:06:14-22:31:40]  (Local) -> (LOCAL)[1]Oreo: hey
[2021:06:14-22:31:40]  (Local) -> (LOCAL)[1]ARETE: XAO
[2021:06:14-22:31:41]  (Local) -> (LOCAL)[1]PericoHpta: q se quedo sin nada
[2021:06:14-22:31:42]  (Local) -> (LOCAL)[3]ALEXIS|: no pai no soy nada contigo
[2021:06:14-22:31:42]  (Local) -> (LOCAL)[3]owen[2cb: suba
[2021:06:14-22:31:43]  (Local) -> (LOCAL)[1]pene~>w<: unu
[2021:06:14-22:31:43]  (Local) -> (LOCAL)[1]Oreo: paha mas eso
[2021:06:14-22:31:46]  (Global) -> Daniel_121: usted a ido a medallo
[2021:06:14-22:31:50]  (Local) -> (LOCAL)[2]larrycaremonda: la belleza te deja siego
[2021:06:14-22:31:53]  (Local) -> (LOCAL)[2]owen[2cb: vamos arrestar
[2021:06:14-22:31:55]  (Local) -> (LOCAL)[1]larrycaremonda: sisa
[2021:06:14-22:31:55]  (Local) -> (LOCAL)[1]Lavi: uy
[2021:06:14-22:31:55]  (Local) -> (LOCAL)[1]Oreo: XDDDDDD
[2021:06:14-22:31:57]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: Chupe pues
[2021:06:14-22:31:58]  (Local) -> (LOCAL)[1]PericoHpta: saasdasd
[2021:06:14-22:32:00]  (Global) -> Daniel_121: con ra pa
[2021:06:14-22:32:00]  (Local) -> (LOCAL)[1]Lavi: que pipisote
[2021:06:14-22:32:03]  (Local) -> (LOCAL)[1]PericoHpta: mk 1.2 saque de ese carro
[2021:06:14-22:32:04]  (Local) -> (LOCAL)[1]PericoHpta: q felicidad
[2021:06:14-22:32:05]  (Local) -> (LOCAL)[1]Lavi: pere q me atraganto
[2021:06:14-22:32:06]  (Local) -> (LOCAL)[3]pene~>w<: xddd
[2021:06:14-22:32:08]  (Local) -> (LOCAL)[2]ALEXIS|: eramos amigos pero era cuando estavamos en 2cb juntos
[2021:06:14-22:32:08]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: amonos oracias
[2021:06:14-22:32:09]  (Local) -> (LOCAL)[3]PericoHpta: hay
[2021:06:14-22:32:10]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FFFF00G-8|AUC: Ã±ero
[2021:06:14-22:32:11]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: hp me falto comprarlo XDDD
[2021:06:14-22:32:11]  (Global) -> ALEXIS|: pero ya no pai
[2021:06:14-22:32:14]  (Local) -> (LOCAL)[4]BeastBoy: existe la posibilidad
[2021:06:14-22:32:15]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: XJAJAJSJASJAS
[2021:06:14-22:32:18]  (Local) -> (LOCAL)[1]Lavi: ay
[2021:06:14-22:32:19]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: no parce que parche
[2021:06:14-22:32:22]  (Global) -> CO]Alcapone: Compro carros presupuesto de 75 palos...
[2021:06:14-22:32:22]  (Local) -> (LOCAL)[1]Lavi: aJAJAJAJ
[2021:06:14-22:32:26]  (Local) -> (LOCAL)[4]BeastBoy: de que nos deje probar el carro antes de la venta?
[2021:06:14-22:32:28]  (Local) -> (LOCAL)[4]Daianaxbuitrago: usd es chapo?
[2021:06:14-22:32:33]  (Local) -> (LOCAL)[1]Randall...!: mm
[2021:06:14-22:32:37]  (Global) -> #CBFF00DANIELITA[CDG]|#CBFF00âœ˜ : Como robo una parte?
[2021:06:14-22:32:38]  (Local) -> (LOCAL)[4]69KID: epa
[2021:06:14-22:32:39]  (Local) -> (LOCAL)[3]AUC: no sr
[2021:06:14-22:32:41]  (Local) -> (LOCAL)[1]Lavi: *se atraganta por severa monda*
[2021:06:14-22:32:43]  (Global) -> SOFFIA<3: #9400ff vendo buggy fulltuning
[2021:06:14-22:32:44]  (Local) -> (LOCAL)[1]Randall...!: salga
[2021:06:14-22:32:45]  (Local) -> (LOCAL)[1]Lavi: ay
[2021:06:14-22:32:46]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: JAJASJASJASJ
[2021:06:14-22:32:46]  (Local) -> (LOCAL)[1]pene~>w<: xddd
[2021:06:14-22:32:48]  (Local) -> (LOCAL)[3]Daianaxbuitrago: aah crei jsajsa
[2021:06:14-22:32:50]  (Local) -> (LOCAL)[4]Orion: mincho con F
[2021:06:14-22:32:50]  (Local) -> (LOCAL)[3]Randall...!: raro
[2021:06:14-22:32:51]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: que hacemos
[2021:06:14-22:32:53]  (Local) -> (LOCAL)[4]Orion: y luego tab
[2021:06:14-22:32:54]  (Global) -> #7F7F7F|ADM|#FF0000aspiriina|#83FF00ÊÄ‘à¸—: #FF1943DANIELITA[CDG] con el job de drifter o criminal
[2021:06:14-22:32:56]  (Local) -> (LOCAL)[1]Lavi: ns
[2021:06:14-22:32:57]  (Local) -> (LOCAL)[5]Randall...!: mm
[2021:06:14-22:32:58]  (Global) -> R|aata~>|Z||#BE15B9í µí³©: sofia venga veamos ese buggy 
[2021:06:14-22:33:01]  (Global) -> #7F7F7F|ADM|#FF0000aspiriina|#83FF00ÊÄ‘à¸—: le das a la m y clic al carro
[2021:06:14-22:33:02]  (Local) -> (LOCAL)[1]q2cb: q
[2021:06:14-22:33:02]  (Global) -> WigglyKazoo38: me robe un carro
[2021:06:14-22:33:03]  (Global) -> R|aata~>|Z||#BE15B9í µí³©: jjjdsaj
[2021:06:14-22:33:03]  (Local) -> (LOCAL)[4]BeastBoy: nos estÃ¡s ignorando en modo bestia
[2021:06:14-22:33:10]  (Local) -> (LOCAL)[1]CO]Alcapone: soy 2cb
[2021:06:14-22:33:11]  (Local) -> (LOCAL)[1]Zoro059[Zetas]: no
[2021:06:14-22:33:13]  (Local) -> (LOCAL)[4]PericoHpta: Listos
[2021:06:14-22:33:14]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: enserio
[2021:06:14-22:33:16]  (Local) -> (LOCAL)[1]SantaTrinidad: ya no infintrado
[2021:06:14-22:33:19]  (Local) -> (LOCAL)[1]R|aata~>|Z|: k
[2021:06:14-22:33:20]  (Local) -> (LOCAL)[1]SantaTrinidad: vaya pa cdg
[2021:06:14-22:33:21]  (Local) -> (LOCAL)[1]larrycaremonda: por aqui pai
[2021:06:14-22:33:25]  (Local) -> (LOCAL)[1]Lavi: oooh si
[2021:06:14-22:33:26]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: Parece que lo ahorco aÃ±aÃ±aiii
[2021:06:14-22:33:27]  (Local) -> (LOCAL)[1]Lavi: ayyyy
[2021:06:14-22:33:29]  (Local) -> (LOCAL)[1]Oreo: se gano un palo ahi de gratis?
[2021:06:14-22:33:30]  (Local) -> (LOCAL)[1]larrycaremonda: cuanto es
[2021:06:14-22:33:33]  (Global) -> SOFFIA<3: rataa donde esta?
[2021:06:14-22:33:34]  (Global) -> ThinkableManager95: como bailo?
[2021:06:14-22:33:34]  (Local) -> (LOCAL)[1]PericoHpta: no
[2021:06:14-22:33:38]  (Local) -> (LOCAL)[1]PericoHpta: 200k
[2021:06:14-22:33:41]  (Local) -> (LOCAL)[2]Oreo: entonces
[2021:06:14-22:33:44]  (Local) -> (LOCAL)[2]Oreo: a igual
[2021:06:14-22:33:44]  (Global) -> Daniel_121: pa ya me pago cuadno se monto
[2021:06:14-22:33:46]  (Global) -> Junior908: suba
[2021:06:14-22:33:49]  (Local) -> (LOCAL)[4]larrycaremonda: a
[2021:06:14-22:33:50]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: No se vaya a venior que la mato
[2021:06:14-22:33:51]  (Global) -> XxGAMBOAxX/CDG/: perdon
[2021:06:14-22:33:58]  (Local) -> (LOCAL)[1]Oreo: como hago pa arregla un carro
[2021:06:14-22:33:59]  (Local) -> (LOCAL)[3]larrycaremonda: bueno pai
[2021:06:14-22:34:02]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: que la matas y les robas las llanntas
[2021:06:14-22:34:03]  (Local) -> (LOCAL)[1]larrycaremonda: suerte en la vida
[2021:06:14-22:34:05]  (Local) -> (LOCAL)[4]SOFFIA<3: malparidos
[2021:06:14-22:34:05]  (Global) -> Daniel_121: ale bien pa
[2021:06:14-22:34:06]  (Local) -> (LOCAL)[2]PericoHpta: vamos donde se venden las cosas
[2021:06:14-22:34:09]  (Local) -> (LOCAL)[4]Orion: XD
[2021:06:14-22:34:10]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: la dejaron sin llantas JAJAJAJAJ
[2021:06:14-22:34:10]  (Local) -> (LOCAL)[2]PericoHpta: y compremos herramientas
[2021:06:14-22:34:12]  (Local) -> (LOCAL)[4]BeastBoy: ajsjsjaj
[2021:06:14-22:34:13]  (Local) -> (LOCAL)[1]R|aata~>|Z|: si
[2021:06:14-22:34:13]  (Local) -> (LOCAL)[4]BeastBoy: uJAJAJSAJA
[2021:06:14-22:34:14]  (Local) -> (LOCAL)[2]R|aata~>|Z|: xDD
[2021:06:14-22:34:16]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: xD
[2021:06:14-22:34:18]  (Local) -> (LOCAL)[1]PericoHpta: pa arreglar eso
[2021:06:14-22:34:18]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: KAJSKSJSK
[2021:06:14-22:34:20]  (Local) -> (LOCAL)[1]Lavi: uy no pere
[2021:06:14-22:34:20]  (Local) -> (LOCAL)[4]SOFFIA<3: y ahora que?
[2021:06:14-22:34:25]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: nose
[2021:06:14-22:34:26]  (Global) -> #7F7F7F|ADM|#FF0000aspiriina|#83FF00ÊÄ‘à¸—: Ahora se ven solo carros del vip xdddd
[2021:06:14-22:34:28]  (Team - Criminals) -> (TEAM)R|aata~>|Z|: JZDJSADJAS
[2021:06:14-22:34:29]  (Local) -> (LOCAL)[1]Lavi: q me regaÃ±an AJAJAJa
[2021:06:14-22:34:29]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: que paso :'v
[2021:06:14-22:34:31]  (Local) -> (LOCAL)[1]Lavi: si me ven en esas
[2021:06:14-22:34:32]  (Local) -> (LOCAL)[4]Orion: A pagar llanata
[2021:06:14-22:34:32]  (Local) -> (LOCAL)[4]69KID: comprese otro
[2021:06:14-22:34:33]  (Local) -> (LOCAL)[8]Randall...!: mm
[2021:06:14-22:34:33]  (Global) -> PericoHpta: xasdfagsdas
[2021:06:14-22:34:35]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: AJJAJAJAJA
[2021:06:14-22:34:37]  (Local) -> (LOCAL)[1]Lavi: imagenese
[2021:06:14-22:34:38]  (Local) -> (LOCAL)[4]DANIELITA[CDG]: oe sofia
[2021:06:14-22:34:38]  (Global) -> bblin^Z|#BE15B9í µí³©: compro algun hr
[2021:06:14-22:34:39]  (Local) -> (LOCAL)[1]R|aata~>|Z|: pero na
[2021:06:14-22:34:43]  (Global) -> Yisus[CDG]: vendo uranus full tuneado a 750k
[2021:06:14-22:34:43]  (Local) -> (LOCAL)[1]Lavi: ay mk casi me pillan
[2021:06:14-22:34:44]  (Local) -> (LOCAL)[1]Lavi: AJJAJAJA
[2021:06:14-22:34:44]  (Global) -> bblin^Z|#BE15B9í µí³©: compro algun hr
[2021:06:14-22:34:47]  (Local) -> (LOCAL)[2]Acid2: jajajaj
[2021:06:14-22:34:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: vaya baÃ±ese
[2021:06:14-22:34:51]  (Global) -> R|aata~>|Z||#BE15B9í µí³©: compro hr 
[2021:06:14-22:34:51]  (Local) -> (LOCAL)[4]CO]Alcapone: alejo quiere 75 palosÃ§?
[2021:06:14-22:34:53]  (Global) -> PericoHpta: doy 2 palos por htr sin llantas ni bomper xdd
[2021:06:14-22:34:59]  (Local) -> (LOCAL)[5]ALEJO[ZETAS]: paselos
[2021:06:14-22:35:02]  (Global) -> RicardoPajass22: GG
[2021:06:14-22:35:03]  (Global) -> #7F7F7F|ADM|#FF0000aspiriina|#83FF00ÊÄ‘à¸—: xdd
[2021:06:14-22:35:08]  (Global) -> bblin^Z|#BE15B9í µí³©: compro algun hr
[2021:06:14-22:35:11]  (Local) -> (LOCAL)[3]69KID: oe sofia como vamos?
[2021:06:14-22:35:11]  (Local) -> (LOCAL)[3]Damian97: mande 5
[2021:06:14-22:35:14]  (Global) -> SpookyRubber49: oe q le pasa tombo hp
[2021:06:14-22:35:18]  (Local) -> (LOCAL)[3]Damian97: humildemente
[2021:06:14-22:35:18]  (Local) -> (LOCAL)[2]PericoHpta: alla
[2021:06:14-22:35:19]  (Local) -> (LOCAL)[3]SOFFIA<3: Y COMO COMPRO LAS LLANTAS O QUE?
[2021:06:14-22:35:23]  (Local) -> (LOCAL)[3]CO]Alcapone: nah
[2021:06:14-22:35:23]  (Global) -> carlosmoralesrios4: oe
[2021:06:14-22:35:24]  (Local) -> (LOCAL)[1]Lavi: *gritando* USH ESTA AGUA TODA FRIA
[2021:06:14-22:35:25]  (Global) -> Daniel_121:  oe
[2021:06:14-22:35:27]  (Local) -> (LOCAL)[3]69KID: buena pregunta
[2021:06:14-22:35:28]  (Local) -> (LOCAL)[3]BeastBoy: nosotros se la vendemos
[2021:06:14-22:35:29]  (Local) -> (LOCAL)[4]CO]Alcapone: siga encnandonos
[2021:06:14-22:35:29]  (Local) -> (LOCAL)[1]Lavi: no pago el gas o como
[2021:06:14-22:35:29]  (Local) -> (LOCAL)[2]PericoHpta: eso
[2021:06:14-22:35:29]  (Global) -> Junior908: entoncs aspi
[2021:06:14-22:35:30]  (Global) -> Racinger: xdd
[2021:06:14-22:35:31]  (Local) -> (LOCAL)[3]HABLAME: oeee
[2021:06:14-22:35:31]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: XDDDD
[2021:06:14-22:35:31]  (Local) -> (LOCAL)[3]CO]Alcapone: le iba dar 1
[2021:06:14-22:35:32]  (Local) -> (LOCAL)[3]Randall...!: mm
[2021:06:14-22:35:33]  (Local) -> (LOCAL)[3]HABLAME: amor jajajaja
[2021:06:14-22:35:33]  (Local) -> (LOCAL)[3]69KID: no sabria decirte bb
[2021:06:14-22:35:34]  (Local) -> (LOCAL)[2]Zoro059[Zetas]: UY
[2021:06:14-22:35:35]  (Global) -> cabraloca: soy nuevo 
[2021:06:14-22:35:36]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: Prenda la ducha
[2021:06:14-22:35:37]  (Local) -> (LOCAL)[3]Randall...!: deje eso
[2021:06:14-22:35:37]  (Global) -> iFixl|CDG|: junior
[2021:06:14-22:35:40]  (Local) -> (LOCAL)[2]DisturbedEasel15: tomboo
[2021:06:14-22:35:40]  (Local) -> (LOCAL)[1]Lavi: como
[2021:06:14-22:35:41]  (Local) -> (LOCAL)[3]HABLAME: pense que era
[2021:06:14-22:35:44]  (Global) -> DisturbedEasel15: tombos
[2021:06:14-22:35:44]  (Local) -> (LOCAL)[3]HABLAME: el tobmbo que me esta
[2021:06:14-22:35:44]  (Local) -> (LOCAL)[1]PericoHpta: ya no mas
[2021:06:14-22:35:44]  (Local) -> (LOCAL)[1]Lavi: explicame pues
[2021:06:14-22:35:45]  (Local) -> (LOCAL)[2]CO]Alcapone: diga
[2021:06:14-22:35:45]  (Local) -> (LOCAL)[3]HABLAME: siguiendo
[2021:06:14-22:35:45]  (Local) -> (LOCAL)[3]SOFFIA<3: VAMOS AL AEROPUERTO DE LS
[2021:06:14-22:35:47]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: hay dos llaves
[2021:06:14-22:35:48]  (Local) -> (LOCAL)[1]PericoHpta: creo q co 1 se puede
[2021:06:14-22:35:49]  (Local) -> (LOCAL)[1]Oreo: jaj
[2021:06:14-22:35:52]  (Local) -> (LOCAL)[2]CO]Alcapone: mire en f10
[2021:06:14-22:35:54]  (Local) -> (LOCAL)[3]BeastBoy: ahora voy al camello de mecanico
[2021:06:14-22:35:56]  (Local) -> (LOCAL)[1]PericoHpta: a mi me quede la q use con ust
[2021:06:14-22:35:56]  (Local) -> (LOCAL)[2]CO]Alcapone: Mr.cain
[2021:06:14-22:35:58]  (Local) -> (LOCAL)[1]Lavi: ahhh
[2021:06:14-22:35:59]  (Local) -> (LOCAL)[3]BeastBoy: y por un modico precio
[2021:06:14-22:35:59]  (Global) -> R|aata~>|Z||#BE15B9í µí³©: compro htr3
[2021:06:14-22:36:00]  (Local) -> (LOCAL)[1]Lavi: es verdad
[2021:06:14-22:36:01]  (Local) -> (LOCAL)[2]CO]Alcapone: en dinero
[2021:06:14-22:36:03]  (Local) -> (LOCAL)[1]#7F7F7F|ADM||LG|#FF5C00CuriosoGaming|CAPU: ahi tiene que nivelar el calor
[2021:06:14-22:36:05]  (Local) -> (LOCAL)[3]BeastBoy: se las instalo
[2021:06:14-22:36:08]  (Local) -> (LOCAL)[2]IDavid: a
[2021:06:14-22:36:09]  (Global) -> RicardoPajass22: EN COMBO CUALQUIERA 
[2021:06:14-22:36:10]  (Global) -> Oreo|#CBFF00âœ˜ : arreglo carros
[2021:06:14-22:36:12]  (Global) -> PericoHpta: ARREGLO CARROS
