This file was generated by Console at 2021:03:24-00:00:00



[2021:03:24-00:00:00]  (Local) -> (LOCAL)[3]Niche~CaPu: quitese
[2021:03:24-18:40:31]  (Local) -> (LOCAL)[2]FRANCOTIRADOR-AK: que me iva a coger
[2021:03:24-18:40:34]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: ./release
[2021:03:24-18:40:34]  (Global) -> DecisiveSpurs33: otnecesito dinero para armas
[2021:03:24-18:40:35]  (Local) -> (LOCAL)[2]Rakuten!#: ?
[2021:03:24-18:40:40]  (Local) -> (LOCAL)[4]FRANCOTIRADOR-AK: como dijo herber quedaron mamando
[2021:03:24-18:40:40]  (Global) -> DecisiveSpurs33: donde consigo
[2021:03:24-18:40:40]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: ./release
[2021:03:24-18:40:45]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: soltame ues
[2021:03:24-18:40:54]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: soltame ues
[2021:03:24-18:40:55]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: ./release
[2021:03:24-18:41:00]  (Local) -> (LOCAL)[2]Mnrpatecumbias: me traicionaste mi herma
[2021:03:24-18:41:03]  (Global) -> PANDEBONO"2CB"|#E20280 à¶ž: ./release (nombre)
[2021:03:24-18:41:04]  (Local) -> (LOCAL)[3]Mnrpatecumbias: pq me matas?
[2021:03:24-18:41:04]  (Local) -> (LOCAL)[3]Oreo: sapo
[2021:03:24-18:41:05]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: VEA
[2021:03:24-18:41:05]  (Global) -> kick: yaa
[2021:03:24-18:41:08]  (Local) -> (LOCAL)[3]Mnrpatecumbias: a
[2021:03:24-18:41:09]  (Global) -> Abuelo_Loco: ttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt
[2021:03:24-18:41:15]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: DELE / RESIGN
[2021:03:24-18:41:16]  (Local) -> (LOCAL)[6]Barrilete|CAPU: montes down
[2021:03:24-18:41:17]  (Local) -> (LOCAL)[2]ElDuende: ajajaj
[2021:03:24-18:41:17]  (Local) -> (LOCAL)[2]Rakuten!#: cheverry
[2021:03:24-18:41:19]  (Local) -> (LOCAL)[4]Rakuten!#: cheverry
[2021:03:24-18:41:21]  (Local) -> (LOCAL)[3]Rakuten!#: cheverry
[2021:03:24-18:41:21]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: DELE / RESIGN
[2021:03:24-18:41:21]  (Local) -> (LOCAL)[4]Soplapichas-AUC: no dispare si esta de medico
[2021:03:24-18:41:22]  (Local) -> (LOCAL)[3]Rakuten!#: cheverry
[2021:03:24-18:41:23]  (Local) -> (LOCAL)[3]Rakuten!#: cheverry
[2021:03:24-18:41:26]  (Local) -> (LOCAL)[6]Soplapichas-AUC: sea serio
[2021:03:24-18:41:29]  (Local) -> (LOCAL)[3]Rakuten!#: cheverry
[2021:03:24-18:41:31]  (Local) -> (LOCAL)[4]Rakuten!#: cheverry
[2021:03:24-18:41:32]  (Local) -> (LOCAL)[5]Rakuten!#: cheverry
[2021:03:24-18:41:33]  (Local) -> (LOCAL)[5]Rakuten!#: cheverry
[2021:03:24-18:41:34]  (Local) -> (LOCAL)[5]Rakuten!#: cheverry
[2021:03:24-18:41:36]  (Local) -> (LOCAL)[6]Rakuten!#: cheverry
[2021:03:24-18:41:37]  (Global) -> MikiSoldi: coma mierda sapo
[2021:03:24-18:41:37]  (Local) -> (LOCAL)[6]Rakuten!#: cheverry
[2021:03:24-18:41:39]  (Local) -> (LOCAL)[5]Rakuten!#: cheverry
[2021:03:24-18:41:41]  (Local) -> (LOCAL)[5]Rakuten!#: cheverry
[2021:03:24-18:41:42]  (Local) -> (LOCAL)[4]Rakuten!#: cheverry
[2021:03:24-18:41:46]  (Local) -> (LOCAL)[6]Barrilete|CAPU: cheverry
[2021:03:24-18:41:47]  (Local) -> (LOCAL)[3]Oreo: q estam
[2021:03:24-18:41:50]  (Local) -> (LOCAL)[5]COSCULLUELA"2cb: joder
[2021:03:24-18:41:57]  (Local) -> (LOCAL)[11]Barrilete|CAPU: que hable con montes
[2021:03:24-18:41:58]  (Local) -> (LOCAL)[12]Barrilete|CAPU: sapolio
[2021:03:24-18:42:01]  (Global) -> FRANCOTIRADOR-AK|#1914D7í ½í¸ˆ: vendo maverick
[2021:03:24-18:42:02]  (Local) -> (LOCAL)[3]Oreo: hp feo
[2021:03:24-18:42:11]  (Local) -> (LOCAL)[9]FRANCOTIRADOR-AK: oe
[2021:03:24-18:42:12]  (Local) -> (LOCAL)[11]kick: que paso aa
[2021:03:24-18:42:15]  (Local) -> (LOCAL)[8]FRANCOTIRADOR-AK: cureme
[2021:03:24-18:42:18]  (Local) -> (LOCAL)[9]Barrilete|CAPU: tiene la skin de auc y no la usa
[2021:03:24-18:42:20]  (Local) -> (LOCAL)[10]Barrilete|CAPU: quieto
[2021:03:24-18:42:20]  (Global) -> Tiago|?|: todos ven a regina asi?
[2021:03:24-18:42:29]  (Local) -> (LOCAL)[11]Rakuten!#: fea en esta resolucion
[2021:03:24-18:42:31]  (Local) -> (LOCAL)[10]Rakuten!#: se siente fea
[2021:03:24-18:42:32]  (Local) -> (LOCAL)[11]FRANCOTIRADOR-AK: oe
[2021:03:24-18:42:35]  (Local) -> (LOCAL)[11]Barrilete|CAPU: colombia arresteme
[2021:03:24-18:42:38]  (Local) -> (LOCAL)[13]FRANCOTIRADOR-AK: cureme
[2021:03:24-18:42:39]  (Local) -> (LOCAL)[10]Soplapichas-AUC: ASH
[2021:03:24-18:42:43]  (Local) -> (LOCAL)[2]Maicol/AK/: que paso mor
[2021:03:24-18:42:46]  (Global) -> Maracachafa|z|: VENDO 4x4 ALGUN INTERESADO
[2021:03:24-18:42:47]  (Local) -> (LOCAL)[5]FRANCOTIRADOR-AK: oe
[2021:03:24-18:42:49]  (Local) -> (LOCAL)[3]FRANCOTIRADOR-AK: cureme
[2021:03:24-18:42:52]  (Global) -> Kapu|Zetas|: que mor de que
[2021:03:24-18:42:56]  (Local) -> (LOCAL)[3]Maicol/AK/: como le fue en la carrera
[2021:03:24-18:43:05]  (Local) -> (LOCAL)[10]Barrilete|CAPU: montes que hace judas en z que asco
[2021:03:24-18:43:06]  (Global) -> Maracachafa|z|: VENDO 4x4 ALGUN INTERESADO
[2021:03:24-18:43:10]  (Local) -> (LOCAL)[1]Maicol/AK/: sapo hp
[2021:03:24-18:43:11]  (Local) -> (LOCAL)[12]Soplapichas-AUC: oiga re imbecil q le pasa
[2021:03:24-18:43:12]  (Local) -> (LOCAL)[12]Rakuten!#: se me fue la mano
[2021:03:24-18:43:15]  (Local) -> (LOCAL)[12]Rakuten!#: :Lc
[2021:03:24-18:43:18]  (Global) -> SANTIAGO(ELN): xd
[2021:03:24-18:43:28]  (Local) -> (LOCAL)[2]Randy[P]: dimelo
[2021:03:24-18:43:31]  (Local) -> (LOCAL)[6]Barrilete|CAPU: arrestame rapido
[2021:03:24-18:43:33]  (Global) -> #E20280Oreo|#E20280 à¶ž: #4000FF(â‰–á·†ï¸µï¸£â‰–)í ½í±Ž
[2021:03:24-18:43:34]  (Local) -> (LOCAL)[1]Randy[P]: bueno
[2021:03:24-18:43:46]  (Local) -> (LOCAL)[1]Barrilete|CAPU: HOY MURIO ELN B,v
[2021:03:24-18:43:49]  (Local) -> (LOCAL)[1]Soplapichas-AUC: gg ez
[2021:03:24-18:43:49]  (Local) -> (LOCAL)[1]Barrilete|CAPU: CPAPU
[2021:03:24-18:43:50]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: oe
[2021:03:24-18:43:54]  (Local) -> (LOCAL)[4]Soplapichas-AUC: zq
[2021:03:24-18:43:56]  (Local) -> (LOCAL)[2]Soplapichas-AUC: xq
[2021:03:24-18:44:00]  (Local) -> (LOCAL)[1]Amnexxia: mi plata
[2021:03:24-18:44:02]  (Local) -> (LOCAL)[2]Barrilete|CAPU: usted que hace en auc
[2021:03:24-18:44:05]  (Local) -> (LOCAL)[1]Barrilete|CAPU: sapo
[2021:03:24-18:44:08]  (Local) -> (LOCAL)[10]kick: pa k me arresta
[2021:03:24-18:44:12]  (Local) -> (LOCAL)[1]Soplapichas-AUC: ud q ase en capu sapa
[2021:03:24-18:44:17]  (Local) -> (LOCAL)[1]Barrilete|CAPU: capu es aliada auc no
[2021:03:24-18:44:17]  (Local) -> (LOCAL)[10]kick: soy amigod el fabius
[2021:03:24-18:44:19]  (Local) -> (LOCAL)[0]RighteousManager65: /mods
[2021:03:24-18:44:27]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: jajajaj yo soy amigo de smirky
[2021:03:24-18:44:27]  (Local) -> (LOCAL)[3]Randy[P]: que
[2021:03:24-18:44:30]  (Local) -> (LOCAL)[3]Maicol/AK/: dejelo sapo
[2021:03:24-18:44:36]  (Local) -> (LOCAL)[4]kick: cvei soy amigho delf abius
[2021:03:24-18:44:36]  (Local) -> (LOCAL)[2]Maicol/AK/: locked
[2021:03:24-18:44:37]  (Local) -> (LOCAL)[1]Soplapichas-AUC: pero no hay eln conectados mano
[2021:03:24-18:44:42]  (Local) -> (LOCAL)[1]Soplapichas-AUC: y ashh no hay nadie para farmear
[2021:03:24-18:44:42]  (Local) -> (LOCAL)[1]Amnexxia: ud me robaron ahora
[2021:03:24-18:44:46]  (Local) -> (LOCAL)[5]Arthur_Sidewalk: acepte su condena gei
[2021:03:24-18:44:47]  (Local) -> (LOCAL)[5]kick: suelte pues
[2021:03:24-18:44:48]  (Local) -> (LOCAL)[2]Maicol/AK/: sapo mlp se mete con el es conmigo
[2021:03:24-18:44:50]  (Local) -> (LOCAL)[2]Maicol/AK/: saspo
[2021:03:24-18:44:51]  (Local) -> (LOCAL)[3]SANTIAGO(ELN): xddddddddddddddd
[2021:03:24-18:44:51]  (Local) -> (LOCAL)[1]Soplapichas-AUC: por lo menos aca puedo matar 2cb jaja
[2021:03:24-18:44:54]  (Local) -> (LOCAL)[1]Barrilete|CAPU: esta cheverry
[2021:03:24-18:44:58]  (Local) -> (LOCAL)[2]Maicol/AK/: me le hago la paja en frente
[2021:03:24-18:44:59]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: szs pero ahora hay una sorpresa
[2021:03:24-18:44:59]  (Local) -> (LOCAL)[1]Soplapichas-AUC: pero solo el
[2021:03:24-18:45:01]  (Local) -> (LOCAL)[2]SANTIAGO(ELN): no
[2021:03:24-18:45:03]  (Local) -> (LOCAL)[1]Soplapichas-AUC: y mnr
[2021:03:24-18:45:05]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: pa usted
[2021:03:24-18:45:08]  (Local) -> (LOCAL)[3]kick: soy kick bu
[2021:03:24-18:45:10]  (Local) -> (LOCAL)[1]Amnexxia: la chimba
[2021:03:24-18:45:14]  (Local) -> (LOCAL)[2]kick: veo ya le dije suelte pues
[2021:03:24-18:45:16]  (Global) -> Maracachafa|z|: Balaclava gay
[2021:03:24-18:45:20]  (Local) -> (LOCAL)[2]Randy[P]: gey
[2021:03:24-18:45:21]  (Local) -> (LOCAL)[3]Maicol/AK/: mire sapo
[2021:03:24-18:45:22]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: nosotros somo estafadores
[2021:03:24-18:45:27]  (Local) -> (LOCAL)[2]kick: fabius biene paca esperelo
[2021:03:24-18:45:28]  (Local) -> (LOCAL)[4]Maicol/AK/: me le hago
[2021:03:24-18:45:29]  (Local) -> (LOCAL)[4]FRANCOTIRADOR-AK: perro
[2021:03:24-18:45:30]  (Local) -> (LOCAL)[2]aragan: joder q cancion tan profunda
[2021:03:24-18:45:33]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: pero parchese
[2021:03:24-18:45:38]  (Local) -> (LOCAL)[4]COSCULLUELA"2cb: see
[2021:03:24-18:45:39]  (Local) -> (LOCAL)[2]telecafe[2cb: oe
[2021:03:24-18:45:39]  (Local) -> (LOCAL)[1]Amnexxia: quiero lo mio
[2021:03:24-18:45:40]  (Team - Unemployed) -> (TEAM)FRANCOTIRADOR-AK: tombo marica
[2021:03:24-18:45:42]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: usted que que arrostiene?
[2021:03:24-18:45:43]  (Local) -> (LOCAL)[3]Maicol/AK/: matemolo si o que al tombo hhp
[2021:03:24-18:45:46]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: carros
[2021:03:24-18:45:49]  (Local) -> (LOCAL)[3]FRANCOTIRADOR-AK: todos los tombos me la pelan
[2021:03:24-18:45:49]  (Local) -> (LOCAL)[3]Maicol/AK/: uds me diran
[2021:03:24-18:45:50]  (Local) -> (LOCAL)[4]Barrilete|CAPU: cual es el sentido de la vida
[2021:03:24-18:45:53]  (Local) -> (LOCAL)[3]Maicol/AK/: ajajajaja
[2021:03:24-18:45:59]  (Local) -> (LOCAL)[2]Amnexxia: porque
[2021:03:24-18:45:59]  (Local) -> (LOCAL)[3]Maicol/AK/: sapokkl
[2021:03:24-18:46:03]  (Local) -> (LOCAL)[5]aragan: jugar cvr
[2021:03:24-18:46:07]  (Global) -> zetassuawt|#E20280 à¶ž: q pnea
[2021:03:24-18:46:07]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#5723FEBalaclava|#5723FEGDT!: ahora si
[2021:03:24-18:46:08]  (Global) -> Arturo: QUE PENAAA
[2021:03:24-18:46:08]  (Global) -> Arthur_Sidewalk|#4C4C4CRN: LLEGO JUAN CAMACHO
[2021:03:24-18:46:08]  (Global) -> Trituracucas3000: LLEGOOOOOOOOOO
[2021:03:24-18:46:09]  (Global) -> COSCULLUELA"2cb|#E20280 à¶ž:  juan camachoo
[2021:03:24-18:46:10]  (Global) -> Maracachafa|z|: Balaclava gay
[2021:03:24-18:46:11]  (Global) -> Dilan_Jimenez|AK||#0F7D64ï¼«ï¼°â†’å»¶: juan kmachooooooo
[2021:03:24-18:46:12]  (Global) -> zetassuawt|#E20280 à¶ž: juan camacho active c bu
[2021:03:24-18:46:12]  (Global) -> Juanda:2cb: JUAN CAMACHO
[2021:03:24-18:46:14]  (Local) -> (LOCAL)[2]PANDEBONO"2CB": SI COM O NOOO
[2021:03:24-18:46:14]  (Global) -> Trituracucas3000: LLEGOOOOOOOOOO
[2021:03:24-18:46:14]  (Global) -> Ghost|#0F7D64ï¼«ï¼°â†’å»¶: Bala Cbug
[2021:03:24-18:46:14]  (Global) -> Toxic'Z|#E17DFFç›Š: AAAAAAAAAAAAAAAAAAA
[2021:03:24-18:46:17]  (Global) -> JuanKa|z|#E17DFFç›Š: er mano q pena no me puedo mover
[2021:03:24-18:46:18]  (Team - Unemployed) -> (TEAM)CommonPie78: QUIEN ES
[2021:03:24-18:46:19]  (Global) -> zetassuawt|#E20280 à¶ž: bala c  bu
[2021:03:24-18:46:23]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: no tienes carros?
[2021:03:24-18:46:24]  (Global) -> Ghost|#0F7D64ï¼«ï¼°â†’å»¶: Bala Cbug
[2021:03:24-18:46:26]  (Local) -> (LOCAL)[2]C|ogoying|AUC: ish
[2021:03:24-18:46:27]  (Global) -> SANTIAGO(ELN): puto juan camacho
[2021:03:24-18:46:29]  (Local) -> (LOCAL)[1]Amnexxia: si tengo uno
[2021:03:24-18:46:32]  (Local) -> (LOCAL)[2]SANTIAGO(ELN): xdddddddddd
[2021:03:24-18:46:33]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: cual?
[2021:03:24-18:46:34]  (Global) -> Barrilete|CAPU|#5EF5F7í ½í±»: respete
[2021:03:24-18:46:38]  (Global) -> SANTIAGO(ELN): xdddddddddddd
[2021:03:24-18:46:38]  (Local) -> (LOCAL)[6]Randy[P]: decimelo
[2021:03:24-18:46:42]  (Global) -> aragan|#E20280 à¶ž: bala c vuf
[2021:03:24-18:46:44]  (Global) -> Maracachafa|z|: VENDO 4x4 ALGUN INTERESADO
[2021:03:24-18:46:46]  (Global) -> jitwas(AK): permiso
[2021:03:24-18:46:47]  (Local) -> (LOCAL)[2]FRANCOTIRADOR-AK: sube
[2021:03:24-18:46:48]  (Local) -> (LOCAL)[2]Amnexxia: clover
[2021:03:24-18:46:48]  (Local) -> (LOCAL)[6]Randy[P]: no
[2021:03:24-18:46:53]  (Local) -> (LOCAL)[1]JUANDA_9017^[ZETAS]: DONE ESTA PABLO
[2021:03:24-18:46:53]  (Global) -> #E20280Oreo|#E20280 à¶ž: (/tele
[2021:03:24-18:46:56]  (Local) -> (LOCAL)[1]Maicol/AK/: busquemos a mi amifo
[2021:03:24-18:46:59]  (Local) -> (LOCAL)[8]Randy[P]: yo no fui
[2021:03:24-18:47:00]  (Local) -> (LOCAL)[1]Maicol/AK/: amigo
[2021:03:24-18:47:01]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: amm ya
[2021:03:24-18:47:04]  (Global) -> zetassuawt|#E20280 à¶ž: c bu
[2021:03:24-18:47:05]  (Local) -> (LOCAL)[4]kick: santiago eln mrk
[2021:03:24-18:47:08]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: ahora vas a tener otros mas
[2021:03:24-18:47:09]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FFFF00PULIDUSK'2CB|#E20280 à¶ž: e
[2021:03:24-18:47:09]  (Global) -> #00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj-EVG|#5723FEGDT!: ./war SANTIAGO(ELN) (Grocero)
[2021:03:24-18:47:12]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: pero espere
[2021:03:24-18:47:13]  (Global) -> #E20280Oreo|#E20280 à¶ž: jajaj
[2021:03:24-18:47:16]  (Local) -> (LOCAL)[6]Maicol/AK/: espere
[2021:03:24-18:47:19]  (Local) -> (LOCAL)[9]Maicol/AK/: yaaa
[2021:03:24-18:47:21]  (Local) -> (LOCAL)[4]Fabius'2cB: .-.
[2021:03:24-18:47:23]  (Local) -> (LOCAL)[6]Randy[P]: rapiooo
[2021:03:24-18:47:23]  (Global) -> JuanKa|z|#E17DFFç›Š: bala me aparece netwokr pero no me puedo mover 
[2021:03:24-18:47:27]  (Local) -> (LOCAL)[4]Carlos_Escobar(2cb): asi saludo
[2021:03:24-18:47:31]  (Local) -> (LOCAL)[2]Maicol/AK/: tombos son unos hps
[2021:03:24-18:47:34]  (Global) -> #E20280Oreo|#E20280 à¶ž: JuanKa|z saque un carro
[2021:03:24-18:47:35]  (Local) -> (LOCAL)[2]Randy[P]: jsjsjs
[2021:03:24-18:47:36]  (Local) -> (LOCAL)[2]Amnexxia: no se si fiarme
[2021:03:24-18:47:36]  (Global) -> FRANCOTIRADOR-AK|#1914D7í ½í¸ˆ: que si que
[2021:03:24-18:47:39]  (Local) -> (LOCAL)[4]Don_Bazuco|AK|: HABLA
[2021:03:24-18:47:40]  (Global) -> Soplapichas-AUC: saque un carro
[2021:03:24-18:47:41]  (Local) -> (LOCAL)[2]Randy[P]: hay que matarlos
[2021:03:24-18:47:47]  (Global) -> JuanKa|z|#E17DFFç›Š: estoy en el banco 
[2021:03:24-18:47:48]  (Local) -> (LOCAL)[2]FRANCOTIRADOR-AK: mire esta mancion
[2021:03:24-18:47:50]  (Global) -> #E20280Oreo|#E20280 à¶ž: a
[2021:03:24-18:47:50]  (Local) -> (LOCAL)[2]Dilan_Jimenez|AK|: parchese
[2021:03:24-18:47:55]  (Global) -> Soplapichas-AUC: F
[2021:03:24-18:47:55]  (Local) -> (LOCAL)[2]Randy[P]: mela
[2021:03:24-18:47:57]  (Local) -> (LOCAL)[4]Arthur_Sidewalk: sobelo
[2021:03:24-18:47:58]  (Global) -> #E20280Oreo|#E20280 à¶ž: algun admn dele Jail
[2021:03:24-18:48:00]  (Local) -> (LOCAL)[2]Randy[P]: pa una farra
[2021:03:24-18:48:02]  (Global) -> Soplapichas-AUC:  /kill
[2021:03:24-18:48:07]  (Local) -> (LOCAL)[2]FRANCOTIRADOR-AK: con piscina
[2021:03:24-18:48:09]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: ya viene smirky?
[2021:03:24-18:48:10]  (Local) -> (LOCAL)[2]FRANCOTIRADOR-AK: y con agua
[2021:03:24-18:48:11]  (Local) -> (LOCAL)[2]Randy[P]: dj maicol
[2021:03:24-18:48:14]  (Local) -> (LOCAL)[2]FRANCOTIRADOR-AK: pa una farra
[2021:03:24-18:48:15]  (Global) -> JuanKa|z|#E17DFFç›Š: 7kill
[2021:03:24-18:48:16]  (Local) -> (LOCAL)[1]Amnexxia: se esta logeando
[2021:03:24-18:48:18]  (Local) -> (LOCAL)[6]kick: argan
[2021:03:24-18:48:23]  (Global) -> PANDEBONO"2CB"|#E20280 à¶ž: no le va a dar
[2021:03:24-18:48:27]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: szs
[2021:03:24-18:48:36]  (Local) -> (LOCAL)[0]EDWAR: hjhdhhdhhhwdhdhwhwdawmdwasaw
[2021:03:24-18:48:36]  (Global) -> PANDEBONO"2CB"|#E20280 à¶ž: es inmortal en banco
[2021:03:24-18:48:36]  (Global) -> Maicol/AK/: farra lleguen
[2021:03:24-18:48:38]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: MANO
[2021:03:24-18:48:44]  (Global) -> Maicol/AK/: piscina y todo
[2021:03:24-18:48:44]  (Global) -> FRANCOTIRADOR-AK|#1914D7í ½í¸ˆ: farra lleguen
[2021:03:24-18:48:50]  (Global) -> zetassuawt|#E20280 à¶ž: asg
[2021:03:24-18:48:52]  (Global) -> Randy[P]: farraaa
[2021:03:24-18:48:53]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#5723FEBalaclava|#5723FEGDT!: ya tengo los graficos
[2021:03:24-18:48:56]  (Local) -> (LOCAL)[1]PANDEBONO"2CB": AJAJAJ
[2021:03:24-18:48:56]  (Global) -> Soplapichas-AUC:  /kill
[2021:03:24-18:48:57]  (Local) -> (LOCAL)[1]#00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj-EVG: listo
[2021:03:24-18:48:58]  (Global) -> #7F7F7F|ADM||DJ|#FF0000#5723FEBalaclava|#5723FEGDT!: traigo gente oq
[2021:03:24-18:49:00]  (Global) -> zetassuawt|#E20280 à¶ž: activen c bug todo bien y le chupo ese pipi bien rico
[2021:03:24-18:49:20]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: como me reconocio?
[2021:03:24-18:49:26]  (Global) -> Trituracucas3000: no saben manejar estas lokas
[2021:03:24-18:49:28]  (Local) -> (LOCAL)[5]kick: fabius
[2021:03:24-18:49:29]  (Local) -> (LOCAL)[1]Amnexxia: el carro
[2021:03:24-18:49:30]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: por el carro?
[2021:03:24-18:49:33]  (Global) -> zetassuawt|#E20280 à¶ž: graciiiias
[2021:03:24-18:49:38]  (Global) -> PANDEBONO"2CB"|#E20280 à¶ž: porfin activan eso
[2021:03:24-18:49:41]  (Local) -> (LOCAL)[3]kick: presteme un carro
[2021:03:24-18:49:43]  (Local) -> (LOCAL)[1]WolfUser'2cb: eu
[2021:03:24-18:49:44]  (Local) -> (LOCAL)[1]PabloOwO~|PEPEGAN|: aca
[2021:03:24-18:49:44]  (Local) -> (LOCAL)[4]kick: una moto
[2021:03:24-18:49:44]  (Local) -> (LOCAL)[1]Gargajo|ELN: QQ
[2021:03:24-18:49:44]  (Local) -> (LOCAL)[1]Dilan_Jimenez|AK|: si no no se hubiera dado cuenta
[2021:03:24-18:49:45]  (Local) -> (LOCAL)[2]AndresSanchezX: como hago para usar el mic?
[2021:03:24-18:49:47]  (Local) -> (LOCAL)[1]Gargajo|ELN: AAA
[2021:03:24-18:49:49]  (Global) -> jitwas(AK): si que pasa
[2021:03:24-18:49:49]  (Local) -> (LOCAL)[1]Gargajo|ELN: HP VIDA
[2021:03:24-18:49:51]  (Local) -> (LOCAL)[1]WolfUser'2cb: no lo vende?
[2021:03:24-18:49:52]  (Local) -> (LOCAL)[1]PabloOwO~|PEPEGAN|: xd
[2021:03:24-18:49:54]  (Local) -> (LOCAL)[1]Amnexxia: no
[2021:03:24-18:49:54]  (Global) -> jitwas(AK): oficaial
[2021:03:24-18:49:55]  (Global) -> Maicol/AK/: Farra llegyen es gratis
[2021:03:24-18:49:59]  (Global) -> jitwas(AK): no 
[2021:03:24-18:50:01]  (Local) -> (LOCAL)[7]kick: una moto
[2021:03:24-18:50:01]  (Local) -> (LOCAL)[1]Gargajo|ELN: la otra vez lo cogi en la linea
[2021:03:24-18:50:02]  (Team - Law Enforcement) -> (TEAM)Don_Bazuco|AK|: MANO
[2021:03:24-18:50:04]  (Global) -> WolfUser'2cb: R
[2021:03:24-18:50:04]  (Local) -> (LOCAL)[2]Don_Bazuco|AK|: QUE PASO
[2021:03:24-18:50:07]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: Ã±ero
[2021:03:24-18:50:09]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF0000Balaclava: traigo gente oq
[2021:03:24-18:50:12]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: MANO SOLTAME
[2021:03:24-18:50:13]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj-EVG: sisas
[2021:03:24-18:50:13]  (Local) -> (LOCAL)[2]Randy[P]: quiere mariajuana
[2021:03:24-18:50:14]  (Local) -> (LOCAL)[2]#00146C|#A4B5FFPROD#00146C|#FF5C00alexispagedj-EVG: obvio
[2021:03:24-18:50:14]  (Local) -> (LOCAL)[1]PabloOwO~|PEPEGAN|: es mejor pasar derecho en el carro
[2021:03:24-18:50:15]  (Local) -> (LOCAL)[2]WolfUser'2cb: vea
[2021:03:24-18:50:15]  (Local) -> (LOCAL)[2]AndresSanchezX: que hago para ser tombo?
[2021:03:24-18:50:17]  (Global) -> Don_Bazuco|AK||#1914D7í ½í¸ˆ: MANO TO BIEN
[2021:03:24-18:50:17]  (Local) -> (LOCAL)[3]Stivenv28~|ELN: jj
[2021:03:24-18:50:18]  (Local) -> (LOCAL)[3]Oreo: jajasj
[2021:03:24-18:50:19]  (Local) -> (LOCAL)[2]PANDEBONO"2CB": oes
[2021:03:24-18:50:19]  (Global) -> Rakuten!#: bala me das la skin del swat
[2021:03:24-18:50:19]  (Local) -> (LOCAL)[1]PabloOwO~|PEPEGAN|: xq si algo
[2021:03:24-18:50:24]  (Local) -> (LOCAL)[1]WolfUser'2cb: moto de 5 plos
[2021:03:24-18:50:26]  (Global) -> PANDEBONO"2CB"|#E20280 à¶ž: yo
[2021:03:24-18:50:27]  (Global) -> Rakuten!#: tÂ´
[2021:03:24-18:50:28]  (Local) -> (LOCAL)[6]SANTIAGO(ELN): en rap como se lla
[2021:03:24-18:50:28]  (Global) -> Rakuten!#: tp
[2021:03:24-18:50:29]  (Global) -> Dilan_Jimenez|AK||#0F7D64ï¼«ï¼°â†’å»¶: yo
[2021:03:24-18:50:30]  (Global) -> Dilan_Jimenez|AK||#0F7D64ï¼«ï¼°â†’å»¶: yo
[2021:03:24-18:50:30]  (Global) -> Rakuten!#: yo
[2021:03:24-18:50:32]  (Local) -> (LOCAL)[3]Ghost: ya viene un amigo
[2021:03:24-18:50:32]  (Global) -> Dilan_Jimenez|AK||#0F7D64ï¼«ï¼°â†’å»¶: yo
[2021:03:24-18:50:32]  (Global) -> PANDEBONO"2CB"|#E20280 à¶ž: tp
[2021:03:24-18:50:32]  (Global) -> Rakuten!#: tp
