This file was generated by Console at 2021:04:28-00:00:00



[2021:04:28-00:00:00]  (Local) -> (LOCAL)[1]DosCoronas|CAPU: f
[2021:04:28-20:44:24]  (Local) -> (LOCAL)[1]ANDRES=zeta=: pa taxista
[2021:04:28-20:44:24]  (Global) -> acs'zzz|#9706BC 夜: el bind de las manitos
[2021:04:28-20:44:25]  (Local) -> (LOCAL)[3]Rakuten2cb: vayaa
[2021:04:28-20:44:28]  (Global) -> alias_cabo!2cb:  pilas
[2021:04:28-20:44:28]  (Global) -> nikolas_lopez: DELE VENGA PS
[2021:04:28-20:44:29]  (Global) -> Domaploit~>2cb: no lo tengo
[2021:04:28-20:44:32]  (Local) -> (LOCAL)[1]ANDRES=zeta=: se hizo el dia con migo no xd
[2021:04:28-20:44:36]  (Local) -> (LOCAL)[2]Rakuten2cb: ONORREA
[2021:04:28-20:44:37]  (Local) -> (LOCAL)[2]HushedJeep87: /entregar licencia
[2021:04:28-20:44:38]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: te deja el all weels?
[2021:04:28-20:44:38]  (Local) -> (LOCAL)[3]mata: XD
[2021:04:28-20:44:40]  (Team - Services) -> (TEAM)DETODITO[CDG]: pues un amigo me debia plata y me dio el carro
[2021:04:28-20:44:42]  (Team - Criminals) -> (TEAM)SpivKyICDGI: Donde es el paroooooooooooo o a que horas es aca?
[2021:04:28-20:44:43]  (Local) -> (LOCAL)[1]ANDRES=zeta=: puedo manejar
[2021:04:28-20:44:44]  (Global) -> nikolas_lopez: SUBA
[2021:04:28-20:44:44]  (Local) -> (LOCAL)[2]alcashingon||ZETAS||: hola
[2021:04:28-20:44:47]  (Global) -> nikolas_lopez: MM
[2021:04:28-20:44:52]  (Team - Criminals) -> (TEAM)SpivKyICDGI: en el JUEGO
[2021:04:28-20:44:53]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: ufff no esta a la venta?
[2021:04:28-20:44:54]  (Global) -> nikolas_lopez: pero se sabe el camino
[2021:04:28-20:44:57]  (Local) -> (LOCAL)[2]Felipe's: pongase mp
[2021:04:28-20:44:58]  (Global) -> Dominio[CDG]|#CBCBCBЯN: ES A LAS 9 CV
[2021:04:28-20:44:59]  (Local) -> (LOCAL)[2]ANDRES=zeta=: yo la cuido resto
[2021:04:28-20:45:02]  (Local) -> (LOCAL)[2]ANDRES=zeta=: no xd
[2021:04:28-20:45:06]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: deja lo pruebo
[2021:04:28-20:45:08]  (Local) -> (LOCAL)[3]ANDRES=zeta=: vamos
[2021:04:28-20:45:08]  (Local) -> (LOCAL)[10]CHOCORRAMO[AUC]: HOLA QUE HACE
[2021:04:28-20:45:09]  (Team - Criminals) -> (TEAM)SpivKyICDGI: de la noche?
[2021:04:28-20:45:09]  (Team - Services) -> (TEAM)DETODITO[CDG]: pues es que quiero comprarme el sultan para tener los dos
[2021:04:28-20:45:09]  (Global) -> PeterJ|#FFFFFFঔৣ☬: area 51 9:00 pm
[2021:04:28-20:45:10]  (Global) -> CHOCORRAMO[AUC]: #EB10BF ( ͡ ͡°  ͜ ʖ ͡ ͡°)  ( ͡❛ - ͡❛)
[2021:04:28-20:45:15]  (Global) -> Dominio[CDG]|#CBCBCBЯN: NO DE LA MAÑAAN BOBO
[2021:04:28-20:45:22]  (Team - Criminals) -> (TEAM)SpivKyICDGI: Ok
[2021:04:28-20:45:24]  (Local) -> (LOCAL)[1]ANDRES=zeta=: pare
[2021:04:28-20:45:25]  (Team - Services) -> (TEAM)DETODITO[CDG]: subase all techo
[2021:04:28-20:45:30]  (Global) -> Dominio[CDG]|#CBCBCBЯN: ES ENLANOCHE BOB
[2021:04:28-20:45:30]  (Team - Criminals) -> (TEAM)SpivKyICDGI: en el juego en si la hora
[2021:04:28-20:45:37]  (Global) -> nikolas_lopez: llegamos
[2021:04:28-20:45:37]  (Global) -> PARCERO_[CDG]|#F1F1F1ঔৣ☬: ./capitan
[2021:04:28-20:45:38]  (Team - Criminals) -> (TEAM)SpivKyICDGI: solo la hora del juego
[2021:04:28-20:45:38]  (Global) -> Dominio[CDG]|#CBCBCBЯN: ALAS99999999999999999999999999999999999
[2021:04:28-20:45:53]  (Global) -> PARCERO_[CDG]|#F1F1F1ঔৣ☬: ./capitan entren xd
[2021:04:28-20:45:55]  (Local) -> (LOCAL)[1]ANDRES=zeta=: ole
[2021:04:28-20:45:58]  (Global) -> nikolas_lopez: que
[2021:04:28-20:46:01]  (Global) -> JoaGalindo: quien me da nitro pa el auto
[2021:04:28-20:46:02]  (Local) -> (LOCAL)[1]ANDRES=zeta=: tiene devueltas?
[2021:04:28-20:46:06]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Meguu~: nadie
[2021:04:28-20:46:08]  (Global) -> nikolas_lopez: mm si por
[2021:04:28-20:46:12]  (Local) -> (LOCAL)[11]Jolyne'2cb: ash q miada ome
[2021:04:28-20:46:14]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: tiene las all drive
[2021:04:28-20:46:16]  (Team - Services) -> (TEAM)DETODITO[CDG]: tengo que trabajar de camionero ara arreglarlos todos jkajaja
[2021:04:28-20:46:19]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: oe
[2021:04:28-20:46:19]  (Team - Services) -> (TEAM)DETODITO[CDG]: sii
[2021:04:28-20:46:20]  (Local) -> (LOCAL)[1]AndresSanches47: ke
[2021:04:28-20:46:20]  (Local) -> (LOCAL)[1]ANDRES=zeta=: le doy 6 mil y me devulve 4 mil breve
[2021:04:28-20:46:21]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Catre^: que pasa piroba
[2021:04:28-20:46:25]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: quiere droga
[2021:04:28-20:46:28]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: no lo vende?
[2021:04:28-20:46:29]  (Local) -> (LOCAL)[1]AndresSanches47: si
[2021:04:28-20:46:29]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Catre^: la tenes pequeña
[2021:04:28-20:46:29]  (Local) -> (LOCAL)[12]Jolyne'2cb: no aqui descargando el miembro
[2021:04:28-20:46:30]  (Global) -> JoaGalindo: admin me das nitro
[2021:04:28-20:46:33]  (Team - Services) -> (TEAM)DETODITO[CDG]: pues nose
[2021:04:28-20:46:33]  (Team - Unemployed) -> (TEAM)nikolas_lopez: dele brebes
[2021:04:28-20:46:36]  (Global) -> Felipe's: quedese ahi
[2021:04:28-20:46:37]  (Global) -> StevenHM: Jajajaja noggg
[2021:04:28-20:46:37]  (Local) -> (LOCAL)[13]Jolyne'2cb: la cuca o q
[2021:04:28-20:46:38]  (Team - Services) -> (TEAM)DETODITO[CDG]: me toca maquinar
[2021:04:28-20:46:41]  (Local) -> (LOCAL)[1]ANDRES=zeta=: ya
[2021:04:28-20:46:43]  (Global) -> Felipe's: ya voy
[2021:04:28-20:46:43]  (Local) -> (LOCAL)[1]AndresSanches47: A ver
[2021:04:28-20:46:44]  (Local) -> (LOCAL)[12]Jolyne'2cb: si la tengo chiquita
[2021:04:28-20:46:44]  ([Msg] de PARCERO_[CDG] para Meguu~: Como salgo de la monda de capitan xd?) -> nil
[2021:04:28-20:46:45]  (Local) -> (LOCAL)[5]CHOCORRAMO[AUC]: SAJJSA
[2021:04:28-20:46:46]  (Local) -> (LOCAL)[11]Jolyne'2cb: apretada
[2021:04:28-20:46:47]  (Local) -> (LOCAL)[4]CHOCORRAMO[AUC]: ME COGIO
[2021:04:28-20:46:48]  (Team - Services) -> (TEAM)DETODITO[CDG]: este en cuanto esta de fabrica?
[2021:04:28-20:46:48]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: a 2mil la miruguana y a 4 el lsd
[2021:04:28-20:46:49]  (Local) -> (LOCAL)[13]ivan: no dejann haacer stunt
[2021:04:28-20:46:50]  (Local) -> (LOCAL)[11]Dominio[CDG]: Rico
[2021:04:28-20:46:50]  (Local) -> (LOCAL)[4]CHOCORRAMO[AUC]: XDE
[2021:04:28-20:46:51]  (Local) -> (LOCAL)[5]Rakuten2cb: facil
[2021:04:28-20:46:54]  (Local) -> (LOCAL)[5]CHOCORRAMO[AUC]: SOLTAME
[2021:04:28-20:46:54]  (Global) -> #7F7F7F|ADM|#FF5C00Meguu~:  /salircapitan
[2021:04:28-20:46:54]  (Global) -> AndresSanches47: Si deme marimba
[2021:04:28-20:46:55]  (Local) -> (LOCAL)[10]Jolyne'2cb: ombvio
[2021:04:28-20:47:00]  (Local) -> (LOCAL)[1]ANDRES=zeta=: ya
[2021:04:28-20:47:00]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: cuanta?
[2021:04:28-20:47:01]  (Local) -> (LOCAL)[10]CHOCORRAMO[AUC]: me cogiste
[2021:04:28-20:47:02]  (Global) -> nikolas_lopez: DELE
[2021:04:28-20:47:02]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: ese como 400k pero tuneado como 600 y algo
[2021:04:28-20:47:03]  (Local) -> (LOCAL)[8]CHOCORRAMO[AUC]: amigo
[2021:04:28-20:47:04]  (Global) -> nikolas_lopez:  SI
[2021:04:28-20:47:05]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: o menos
[2021:04:28-20:47:05]  (Local) -> (LOCAL)[8]CHOCORRAMO[AUC]: soltame
[2021:04:28-20:47:06]  (Local) -> (LOCAL)[8]Domaploit~>2cb: q
[2021:04:28-20:47:06]  (Local) -> (LOCAL)[2]ANDRES=zeta=: vemos
[2021:04:28-20:47:08]  (Team - Services) -> (TEAM)DETODITO[CDG]: ahhh
[2021:04:28-20:47:09]  (Local) -> (LOCAL)[1]AndresSanches47: como así
[2021:04:28-20:47:11]  (Local) -> (LOCAL)[12]CHOCORRAMO[AUC]: amigo AUC
[2021:04:28-20:47:14]  (Local) -> (LOCAL)[13]CHOCORRAMO[AUC]: me sueltas
[2021:04:28-20:47:16]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: cuanta lesdoy
[2021:04:28-20:47:17]  (Global) -> #7F7F7F|DJ|#0064FFMarcelJose||Z||: tussysabesponerc4´2cb
[2021:04:28-20:47:20]  (Local) -> (LOCAL)[14]ivan: nea jajajja
[2021:04:28-20:47:20]  ([Msg] de PARCERO_[CDG] para Meguu~: Fenkiu) -> nil
[2021:04:28-20:47:23]  (Team - Services) -> (TEAM)DETODITO[CDG]: deme 650
[2021:04:28-20:47:23]  (Global) -> AndresSanches47: deme 2
[2021:04:28-20:47:24]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: el mio me contro como 700k de fabrica
[2021:04:28-20:47:25]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: a 2mil la miruguana y a 4 el lsd
[2021:04:28-20:47:26]  (Global) -> PARCERO_[CDG]|#F1F1F1ঔৣ☬: JAJAAJAAJ
[2021:04:28-20:47:27]  (Team - Criminals) -> (TEAM)SpivKyICDGI: Hay que tapar las vias
[2021:04:28-20:47:35]  (Local) -> (LOCAL)[1]AndresSanches47: dos de marimba y 2 de lcd
[2021:04:28-20:47:36]  (Team - Services) -> (TEAM)DETODITO[CDG]: si ese vale eso
[2021:04:28-20:47:36]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: ahi puedes ver el precio
[2021:04:28-20:47:36]  (Local) -> (LOCAL)[8]Rakuten2cb: doble kill
[2021:04:28-20:47:39]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Catre^: hola luis
[2021:04:28-20:47:40]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Catre^: owo
[2021:04:28-20:47:41]  (Global) -> judas|#E20280 ඞ: puto rakuten
[2021:04:28-20:47:42]  (Team - Services) -> (TEAM)Felipe's: /modpasivo
[2021:04:28-20:47:43]  (Local) -> (LOCAL)[12]#7F7F7F|ADM|#FF5C00Catre^: como vamos
[2021:04:28-20:47:46]  (Local) -> (LOCAL)[4]Felipe's: modo
[2021:04:28-20:47:48]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: serian
[2021:04:28-20:47:48]  (Local) -> (LOCAL)[11]Luis|CDG|: hola Catre^[5] bien bro
[2021:04:28-20:47:49]  (Local) -> (LOCAL)[19]Domaploit~>2cb: kkkkkkk
[2021:04:28-20:47:49]  (Global) -> AndresSanches47: Cuánto sería
[2021:04:28-20:47:51]  (Local) -> (LOCAL)[12]Luis|CDG|: y tu
[2021:04:28-20:47:53]  (Local) -> (LOCAL)[4]Felipe's: no lo deja?
[2021:04:28-20:47:55]  (Local) -> (LOCAL)[2]Rakuten2cb: si vio
[2021:04:28-20:47:57]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Catre^: me alegro amigo, yo bien
[2021:04:28-20:47:58]  (Local) -> (LOCAL)[2]Domaploit~>2cb: mero pro
[2021:04:28-20:47:59]  (Local) -> (LOCAL)[2]Rakuten2cb: salte poniendo los c4s
[2021:04:28-20:48:01]  (Local) -> (LOCAL)[10]#7F7F7F|ADM|#FF5C00Catre^: ahora vuelvo
[2021:04:28-20:48:01]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: mira hagamos algo yo me hago esos 600k en una hora
[2021:04:28-20:48:01]  (Local) -> (LOCAL)[2]alcashingon||ZETAS||: 30 mil
[2021:04:28-20:48:03]  (Local) -> (LOCAL)[2]Domaploit~>2cb: deme autografo
[2021:04:28-20:48:04]  (Local) -> (LOCAL)[2]Rakuten2cb: macro potente
[2021:04:28-20:48:04]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: y se lo compro
[2021:04:28-20:48:10]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: no se cuanto tengo en el banco
[2021:04:28-20:48:11]  (Local) -> (LOCAL)[1]AndresSanches47: Pfffff
[2021:04:28-20:48:15]  (Local) -> (LOCAL)[3]Felipe's: ah otra cosa dentro de los carros las voces no se esuchan casi
[2021:04:28-20:48:15]  (Global) -> MarcelJose||Z||: xd
[2021:04:28-20:48:18]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: porque como gaste en el uranus ayer
[2021:04:28-20:48:18]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: 20 pues
[2021:04:28-20:48:20]  (Team - Services) -> (TEAM)DETODITO[CDG]: hagale
[2021:04:28-20:48:22]  (Local) -> (LOCAL)[1]AndresSanches47: listo
[2021:04:28-20:48:26]  (Global) -> ANDRES=zeta=: nico
[2021:04:28-20:48:26]  (Team - Services) -> (TEAM)DETODITO[CDG]: deme 650 y ya
[2021:04:28-20:48:27]  (Local) -> (LOCAL)[4]Felipe's: g
[2021:04:28-20:48:29]  (Global) -> Tochielaragan|AUC:  sobelo
[2021:04:28-20:48:29]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: apenas voy a laborar
[2021:04:28-20:48:30]  (Local) -> (LOCAL)[10]PARCERO_[CDG]: C fue como su papa a la tienda hcce 10 años
[2021:04:28-20:48:33]  (Global) -> MarcelJose||Z||: tussysabesponerc4´2cb
[2021:04:28-20:48:33]  (Team - Services) -> (TEAM)DETODITO[CDG]: jajaja es que estoy en rines
[2021:04:28-20:48:35]  (Local) -> (LOCAL)[1]Domaploit~>2cb: Zcb gays
[2021:04:28-20:48:37]  (Local) -> (LOCAL)[11]PARCERO_[CDG]: sobelo
[2021:04:28-20:48:37]  (Team - Services) -> (TEAM)DETODITO[CDG]: x2
[2021:04:28-20:48:38]  (Local) -> (LOCAL)[1]Rakuten2cb: oik
[2021:04:28-20:48:38]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: deja a ver cuanto tengo en el banco
[2021:04:28-20:48:41]  (Local) -> (LOCAL)[12]PARCERO_[CDG]: Aguante el perreo xd
[2021:04:28-20:48:44]  (Team - Services) -> (TEAM)DETODITO[CDG]: no tengo nada de plata
[2021:04:28-20:48:44]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: si no te hago esa money horit
[2021:04:28-20:48:44]  (Local) -> (LOCAL)[1]AndresSanches47: ya
[2021:04:28-20:48:47]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: listo gracias
[2021:04:28-20:48:50]  (Team - Services) -> (TEAM)DETODITO[CDG]: eso
[2021:04:28-20:48:51]  (Local) -> (LOCAL)[0]Domaploit~>2cb: q envidia nos tienen :)
[2021:04:28-20:48:52]  (Local) -> (LOCAL)[1]AndresSanches47: oe
[2021:04:28-20:48:52]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: hasta que hora estaras on
[2021:04:28-20:48:53]  (Local) -> (LOCAL)[12]PARCERO_[CDG]: Meguu~
[2021:04:28-20:48:55]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: que
[2021:04:28-20:48:55]  (Local) -> (LOCAL)[2]KAMET(2cb): uy
[2021:04:28-20:48:55]  (Team - Services) -> (TEAM)DETODITO[CDG]: tengo el mooney en rojito
[2021:04:28-20:48:56]  (Local) -> (LOCAL)[1]AndresSanches47: como me los tomo
[2021:04:28-20:48:56]  (Local) -> (LOCAL)[2]KAMET(2cb): melo
[2021:04:28-20:49:01]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: f6
[2021:04:28-20:49:04]  (Local) -> (LOCAL)[2]KAMET(2cb): xd
[2021:04:28-20:49:06]  (Local) -> (LOCAL)[1]AndresSanches47: listo
[2021:04:28-20:49:07]  (Local) -> (LOCAL)[12]PARCERO_[CDG]: Usted cree que suban los salarios con las protestas de las 9 xd??
[2021:04:28-20:49:08]  (Global) -> Juanci/ZETAS: hola
[2021:04:28-20:49:08]  (Team - Services) -> (TEAM)DETODITO[CDG]: pues hasta las 6.30 supongo
[2021:04:28-20:49:08]  (Local) -> (LOCAL)[1]alcashingon||ZETAS||: y use item
[2021:04:28-20:49:09]  (Local) -> (LOCAL)[1]COSCULLUELA"2cb: xd
[2021:04:28-20:49:11]  (Global) -> Topo[Z]: Ya voy por ud miguelito
[2021:04:28-20:49:12]  (Local) -> (LOCAL)[1]Felipe's: xd
[2021:04:28-20:49:15]  (Phone:SMS) -> From #ff0000ANDRES=zeta= | To: nikolas_lopez | Message: me presta 4 mil
[2021:04:28-20:49:17]  (Local) -> (LOCAL)[1]Felipe's: no le alcanza
[2021:04:28-20:49:20]  (Local) -> (LOCAL)[2]KAMET(2cb): sobelo
[2021:04:28-20:49:20]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: ahh me da tiempo
[2021:04:28-20:49:20]  ([Msg] de PARCERO_[CDG] para Luis|CDG|: VAMOS A HACER ALGO) -> nil
[2021:04:28-20:49:27]  (Local) -> (LOCAL)[1]Felipe's: pues depende
[2021:04:28-20:49:28]  (Team - Services) -> (TEAM)DETODITO[CDG]: sii
[2021:04:28-20:49:31]  (Local) -> (LOCAL)[2]PasminollZetasll: oe
[2021:04:28-20:49:33]  (Global) -> ELBARTO_[CDG]|#FFFFFFঔৣ☬: Dominio[CDG][MP] cuanto le valio ese tractpr
[2021:04:28-20:49:33]  (Global) -> CHOCORRAMO[AUC]: #EB10BF ( ͡ ͡°  ͜ ʖ ͡ ͡°)  ( ͡❛ - ͡❛)
[2021:04:28-20:49:34]  ([Msg] de PARCERO_[CDG] para Luis|CDG|: VAMOS EN SU YATE) -> nil
[2021:04:28-20:49:34]  (Global) -> Felipe(CDG): compro toyota
[2021:04:28-20:49:36]  (Local) -> (LOCAL)[2]PasminollZetasll: quiere vicio?
[2021:04:28-20:49:42]  (Team - Services) -> (TEAM)DETODITO[CDG]: que le da gei
[2021:04:28-20:49:44]  (Local) -> (LOCAL)[8]#7F7F7F|ADM|#FF5C00Meguu~: no
[2021:04:28-20:49:46]  (Global) -> mata|#E20280 ඞ:  ͜°ʖ°? 
[2021:04:28-20:49:46]  (Global) -> Juanca_Ortiz: 7lock
[2021:04:28-20:49:49]  (Global) -> CHOCORRAMO[AUC]: #EB10BF ( ͡ ͡°  ͜ ʖ ͡ ͡°)  ( ͡❛ - ͡❛)
[2021:04:28-20:49:56]  (Team - Unemployed) -> (TEAM)NoiselessOrator18: /ayuda
[2021:04:28-20:49:58]  (Team - Services) -> (TEAM)DETODITO[CDG]: me dañaron el carro jaksdkasjd
[2021:04:28-20:49:59]  (Global) -> Felipe(CDG): compro toyota
[2021:04:28-20:50:00]  (Global) -> Segura2711: Como gano 5millones rapido? 
[2021:04:28-20:50:01]  (Local) -> (LOCAL)[2]Rolando_Motta"2cb: tengo 90k dejame hacer la money en una hora
[2021:04:28-20:50:01]  (Global) -> Felipe's: con shif
[2021:04:28-20:50:02]  (Team - Services) -> (TEAM)DETODITO[CDG]: este gei
[2021:04:28-20:50:06]  ([Msg] de Luis|CDG| para PARCERO_[CDG]: TENGO UNA FLOJERA DE MOVERVE DE ACA) -> nil
[2021:04:28-20:50:10]  (Team - Services) -> (TEAM)DETODITO[CDG]: hagale pana
[2021:04:28-20:50:13]  ([Msg] de PARCERO_[CDG] para Faiber_xD: EFEE) -> nil
[2021:04:28-20:50:20]  (Global) -> CHOCORRAMO[AUC]: #EB10BF ( ͡ ͡°  ͜ ʖ ͡ ͡°)  ( ͡❛ - ͡❛)
[2021:04:28-20:50:22]  (Global) -> Paisa: segura los 5 millones con alt+f4
[2021:04:28-20:50:26]  (Local) -> (LOCAL)[2]Rolando_Motta"2cb: ven
[2021:04:28-20:50:29]  (Local) -> (LOCAL)[2]Berriondo: epaa
[2021:04:28-20:50:29]  (Global) -> CHOCORRAMO[AUC]: XDE
[2021:04:28-20:50:32]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:50:33]  (Global) -> KAMET(2cb): ./quit
[2021:04:28-20:50:33]  ([Msg] de PARCERO_[CDG] para Luis|CDG|: ME VOY A MATAR TOMBOS BV) -> nil
[2021:04:28-20:50:34]  (Team - Services) -> (TEAM)DETODITO[CDG]: pues voy a camellar y se lo arreglo
[2021:04:28-20:50:35]  (Local) -> (LOCAL)[1]Jolyne'2cb: te drogas pa matar un man bro
[2021:04:28-20:50:39]  (Local) -> (LOCAL)[1]Jolyne'2cb: jajajajaj
[2021:04:28-20:50:41]  (Local) -> (LOCAL)[4]Juanci/ZETAS: epaaa
[2021:04:28-20:50:41]  (Local) -> (LOCAL)[1]Zaramay->AUC: no estoy drogado
[2021:04:28-20:50:43]  (Local) -> (LOCAL)[1]Zaramay->AUC: JASJajJASJajs
[2021:04:28-20:50:44]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:50:45]  (Local) -> (LOCAL)[0]Zaramay->AUC: AJjajJAjaj
[2021:04:28-20:50:46]  (Global) -> Juanci/ZETAS: peorpa ca no vuelvas
[2021:04:28-20:50:47]  (Global) -> Segura2711: Jajajajja lampara
[2021:04:28-20:50:48]  ([Msg] de Luis|CDG| para PARCERO_[CDG]: JAAJA) -> nil
[2021:04:28-20:50:48]  (Global) -> nikolas_lopez: EEEEEEE
[2021:04:28-20:50:49]  (Local) -> (LOCAL)[4]Rolando_Motta"2cb: suba
[2021:04:28-20:50:56]  (Global) -> Topo[Z]: Con alt + f4 les dan plata
[2021:04:28-20:50:56]  (Local) -> (LOCAL)[0]Zaramay->AUC: es la skin que es un tanque VB
[2021:04:28-20:50:57]  (Global) -> Juanci/ZETAS: tombo baile
[2021:04:28-20:50:57]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:50:57]  (Local) -> (LOCAL)[3]Berriondo: esta emisora esta sad :c
[2021:04:28-20:51:01]  ([Msg] de PARCERO_[CDG] para Luis|CDG|: EL RANGO CRIMINAL NO SE SUBE SOLO XD) -> nil
[2021:04:28-20:51:03]  (Local) -> (LOCAL)[1]popeyesad: mi empanada
[2021:04:28-20:51:04]  (Global) -> Juanci/ZETAS: sii :/
[2021:04:28-20:51:08]  (Team - Services) -> (TEAM)DETODITO[CDG]: voy a camellar y le arreglo el carro para que lo tenga bien
[2021:04:28-20:51:09]  (Global) -> ANDRES=zeta=: zetas
[2021:04:28-20:51:13]  (Team - Criminals) -> (TEAM)Eusebio'2cb: /
[2021:04:28-20:51:13]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:51:15]  (Global) -> Segura2711: No pero en serio un metodo para ganar dinero rapido
[2021:04:28-20:51:15]  (Global) -> CHOCORRAMO[AUC]: #EB10BF ( ͡ ͡°  ͜ ʖ ͡ ͡°)  ( ͡❛ - ͡❛)
[2021:04:28-20:51:16]  (Global) -> Juanci/ZETAS: perame coloco una
[2021:04:28-20:51:16]  (Global) -> Topo[Z]: Con alt + f4 les dan plata
[2021:04:28-20:51:19]  (Local) -> (LOCAL)[4]Berriondo: al carajo le voy a hablar
[2021:04:28-20:51:19]  (Global) -> mata|#E20280 ඞ: ay
[2021:04:28-20:51:21]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: nod ejalo asi
[2021:04:28-20:51:23]  (Global) -> mata|#E20280 ඞ: esos pro a tazer
[2021:04:28-20:51:24]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: yo lo arreglo
[2021:04:28-20:51:26]  (Global) -> MarcelJose||Z||: w 
[2021:04:28-20:51:28]  (Local) -> (LOCAL)[1]Rolando_Motta"2cb: voy a aero
[2021:04:28-20:51:28]  (Global) -> mata|#E20280 ඞ: ay Dios
[2021:04:28-20:51:29]  (Team - Services) -> (TEAM)DETODITO[CDG]: asi dañado?
[2021:04:28-20:51:31]  (Local) -> (LOCAL)[2]Rolando_Motta"2cb: vienes igual ?
[2021:04:28-20:51:33]  (Local) -> (LOCAL)[4]Zaramay->AUC: SZS PARCE YO USO DROGAS Y USTED
[2021:04:28-20:51:33]  (Local) -> (LOCAL)[1]judas: gay
[2021:04:28-20:51:34]  (Global) -> VirtuoXS[EVG]: (LOCAL)[2]Vibra_Alegre_Games: onichannisanniaarigato
[2021:04:28-20:51:34]  (Team - Services) -> (TEAM)DETODITO[CDG]: bueno
[2021:04:28-20:51:34]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:51:36]  (Local) -> (LOCAL)[1]MarcelJose||Z||: yaya
[2021:04:28-20:51:38]  (Global) -> MouIsland: que dice la gente popper
[2021:04:28-20:51:41]  (Team - Services) -> (TEAM)DETODITO[CDG]: si hagale
[2021:04:28-20:51:45]  (Local) -> (LOCAL)[2]Zaramay->AUC: SZS PARCE YO USO DROGAS Y USTED
[2021:04:28-20:51:50]  (Team - Services) -> (TEAM)ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:51:52]  (Global) -> MouIsland: hoy comi en cali papas y gaseosa gratis gracias al paro jaja
[2021:04:28-20:51:59]  (Local) -> (LOCAL)[2]Berriondo: le metes muy riko al baile mano :v
[2021:04:28-20:52:01]  (Team - Services) -> (TEAM)ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:52:09]  ([Msg] de Zaramay->AUC para Jolyne'2cb: drogas ? ni que fuera su amiguito helado) -> nil
[2021:04:28-20:52:13]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:52:16]  (Global) -> ANDRES=zeta=: quien me presta 1 palo?
[2021:04:28-20:52:20]  (Local) -> (LOCAL)[1]KAMET(2cb): a
[2021:04:28-20:52:25]  (Team - Services) -> (TEAM)ANDRES=zeta=: quien me presta 1 palo? urgente
[2021:04:28-20:52:26]  (Local) -> (LOCAL)[2]Berriondo: de donde eres bro?
[2021:04:28-20:52:28]  (Local) -> (LOCAL)[1]PARCERO_[CDG]: tussy'2cb[5]
[2021:04:28-20:52:33]  (Local) -> (LOCAL)[3]popeyesad: becerro
[2021:04:28-20:52:33]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: q
[2021:04:28-20:52:33]  (Local) -> (LOCAL)[2]Berriondo: parte
