This file was generated by Console at 2021:03:29-00:00:12



[2021:03:29-00:00:12]  (Local) -> (LOCAL)[3]KiraOwO~Capu: agh
[2021:03:29-22:12:12]  (Local) -> (LOCAL)[1]BARCA: digame
[2021:03:29-22:12:16]  (Global) -> sks|#012F7AＫＰ→延: dilan
[2021:03:29-22:12:18]  (Global) -> sks|#012F7AＫＰ→延:   ya
[2021:03:29-22:12:23]  (Global) -> 000000dilan'2cb|#FF8CE7✿: q
[2021:03:29-22:12:25]  (Global) -> 000000dilan'2cb|#FF8CE7✿: voy :v
[2021:03:29-22:12:26]  (Global) -> sks|#012F7AＫＰ→延: venga
[2021:03:29-22:12:27]  (Global) -> DonBusetero|#FF8CE7✿: GRACIAS
[2021:03:29-22:12:33]  (Global) -> KiraOwO~Capu|#5723FEGDT!: :v
[2021:03:29-22:12:34]  (Global) -> 000000dilan'2cb|#FF8CE7✿: q ya voy cole
[2021:03:29-22:12:34]  (Global) -> KiraOwO~Capu|#5723FEGDT!: :v
[2021:03:29-22:12:36]  (Global) -> KiraOwO~Capu|#5723FEGDT!: :v
[2021:03:29-22:12:38]  (Global) -> 000000dilan'2cb|#FF8CE7✿: qn lo quiere ud o yo
[2021:03:29-22:12:41]  (Global) -> 000000dilan'2cb|#FF8CE7✿: pirobo
[2021:03:29-22:12:43]  (Global) -> KiraOwO~Capu|#5723FEGDT!: :v
[2021:03:29-22:12:43]  ([Msg] de Juana para Mari: ) -> nil
[2021:03:29-22:12:44]  (Global) -> JuanPablo|#4C4C4CRN: este gono gono
[2021:03:29-22:12:50]  (Local) -> (LOCAL)[1]Exi_Brr: AJAJAJJAJAA
[2021:03:29-22:12:52]  ([Msg] de Juana para Mari: oleooeleoleoele) -> nil
[2021:03:29-22:12:54]  (Global) -> MistySandbar59: XD
[2021:03:29-22:12:55]  (Global) -> KiraOwO~Capu|#5723FEGDT!: :v
[2021:03:29-22:13:01]  (Global) -> JuanKa|z|#FF8CE7✿: ya jhoan
[2021:03:29-22:13:02]  (Local) -> (LOCAL)[1]Juana: nada
[2021:03:29-22:13:03]  (Global) -> SANTIAGO: 7sound
[2021:03:29-22:13:03]  (Local) -> (LOCAL)[1]Juana: ñero
[2021:03:29-22:13:05]  (Local) -> (LOCAL)[1]Juana: sigo a 30
[2021:03:29-22:13:05]  (Local) -> (LOCAL)[4]ElViejoJuancho'2cb: ay ño
[2021:03:29-22:13:06]  (Local) -> (LOCAL)[1]Mari: el antilag
[2021:03:29-22:13:08]  (Local) -> (LOCAL)[5]ElViejoJuancho'2cb: jojo
[2021:03:29-22:13:09]  (Local) -> (LOCAL)[1]Mari: el antilag papu
[2021:03:29-22:13:12]  (Local) -> (LOCAL)[1]Mari: /anti-lag
[2021:03:29-22:13:13]  (Local) -> (LOCAL)[1]Juana: a
[2021:03:29-22:13:14]  (Global) -> sks|#012F7AＫＰ→延: dilam vem rampido porfam
[2021:03:29-22:13:17]  (Global) -> 000000dilan'2cb|#FF8CE7✿: voy hp
[2021:03:29-22:13:22]  (Global) -> 000000dilan'2cb|#FF8CE7✿: q tego 1 estrella
[2021:03:29-22:13:23]  (Global) -> 000000dilan'2cb|#FF8CE7✿: cole
[2021:03:29-22:13:28]  (Local) -> (LOCAL)[1]Juana: listo
[2021:03:29-22:13:31]  (Local) -> (LOCAL)[1]Juana: y sin arboles
[2021:03:29-22:13:32]  (Local) -> (LOCAL)[1]Juana: a 40
[2021:03:29-22:13:36]  (Local) -> (LOCAL)[1]Mari: todo al min
[2021:03:29-22:13:38]  (Local) -> (LOCAL)[1]Mari: todoooooooooooo
[2021:03:29-22:13:39]  (Local) -> (LOCAL)[1]Juana: si
[2021:03:29-22:13:41]  (Local) -> (LOCAL)[1]Mari: todooooooooooooooooooooooooooooooooooooo
[2021:03:29-22:13:43]  (Local) -> (LOCAL)[1]Mari: vision
[2021:03:29-22:13:44]  (Local) -> (LOCAL)[1]Mari: distancia
[2021:03:29-22:13:46]  (Local) -> (LOCAL)[1]Mari: niebla
[2021:03:29-22:13:47]  (Local) -> (LOCAL)[0]DonPolicia: HOLA
[2021:03:29-22:13:48]  (Local) -> (LOCAL)[1]Mari: tamaño sol
[2021:03:29-22:13:48]  (Local) -> (LOCAL)[1]Juana: 49
[2021:03:29-22:13:49]  (Local) -> (LOCAL)[1]Juana: 45
[2021:03:29-22:13:50]  (Local) -> (LOCAL)[1]Mari: tamaño luna
[2021:03:29-22:13:53]  (Local) -> (LOCAL)[1]Juana: 39
[2021:03:29-22:13:53]  (Local) -> (LOCAL)[1]JuanPablo: sano ñ
[2021:03:29-22:13:53]  (Local) -> (LOCAL)[1]Mari: dele al alt
[2021:03:29-22:13:54]  (Local) -> (LOCAL)[1]MARIACHI: oe
[2021:03:29-22:13:55]  (Local) -> (LOCAL)[1]Juana: 33
[2021:03:29-22:13:55]  (Local) -> (LOCAL)[1]JuanPablo: hey
[2021:03:29-22:13:55]  (Local) -> (LOCAL)[1]DonPolicia: OIGA
[2021:03:29-22:13:59]  (Local) -> (LOCAL)[2]JuanPablo: sano
[2021:03:29-22:14:01]  (Local) -> (LOCAL)[1]Juana: 35
[2021:03:29-22:14:03]  (Global) -> 000000dilan'2cb|#FF8CE7✿:  ᴠᴀɪ ᴘʀᴀ ᴏɴᴅᴇ ᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋ
[2021:03:29-22:14:04]  (Global) -> 000000dilan'2cb|#FF8CE7✿:  ᴠᴀɪ ᴘʀᴀ ᴏɴᴅᴇ ᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋ
[2021:03:29-22:14:04]  (Local) -> (LOCAL)[1]MARIACHI: voy a reconectar
[2021:03:29-22:14:05]  (Global) -> Nico[AK47]: que paso?
[2021:03:29-22:14:07]  (Global) -> 000000dilan'2cb|#FF8CE7✿:  ᴠᴀɪ ᴘʀᴀ ᴏɴᴅᴇ ᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋᴋ
[2021:03:29-22:14:07]  (Local) -> (LOCAL)[1]SANTIAGO: se baro xd
[2021:03:29-22:14:07]  (Local) -> (LOCAL)[1]DonPolicia: EN DONDE CONSIGO LA PISTOLA
[2021:03:29-22:14:08]  (Local) -> (LOCAL)[3]ROLO|ELN: sano ando e
[2021:03:29-22:14:11]  (Local) -> (LOCAL)[1]MARIACHI: ya entro y me recoje va?
[2021:03:29-22:14:14]  (Global) -> Nico[AK47]: esla armas silenciador
[2021:03:29-22:14:18]  (Local) -> (LOCAL)[1]Mari: no jodas
[2021:03:29-22:14:21]  (Local) -> (LOCAL)[1]Juana: le bajo mas la resolucion?
[2021:03:29-22:14:21]  ([Msg] de sks para #000000000000dilan'2cb: hp tengo un macro puesto veni rapido) -> nil
[2021:03:29-22:14:21]  (Local) -> (LOCAL)[1]Mari: que pc tenes vos
[2021:03:29-22:14:23]  (Local) -> (LOCAL)[2]Z_Polo: como pri?
[2021:03:29-22:14:23]  (Global) -> DonPolicia|#FF8CE7✿: EN DONDE LA COMPOR
[2021:03:29-22:14:25]  (Local) -> (LOCAL)[1]Juana: ñero
[2021:03:29-22:14:25]  (Local) -> (LOCAL)[1]Mari: cual le puso
[2021:03:29-22:14:26]  (Global) -> DonPolicia|#FF8CE7✿: COMPRO
[2021:03:29-22:14:28]  (Local) -> (LOCAL)[1]Juana: perdi las armas
[2021:03:29-22:14:31]  (Local) -> (LOCAL)[2]Z_Polo: cerdo
[2021:03:29-22:14:33]  (Local) -> (LOCAL)[1]Juana: hijueput
[2021:03:29-22:14:36]  (Local) -> (LOCAL)[1]Juana: ya no
[2021:03:29-22:14:38]  (Global) -> Nico[AK47]: armas silenciador
[2021:03:29-22:14:39]  (Local) -> (LOCAL)[2]PabloOwO~ELN: pa q
[2021:03:29-22:14:40]  (Local) -> (LOCAL)[1]Juana: un i3
[2021:03:29-22:14:41]  (Local) -> (LOCAL)[1]Mari: cual puso
[2021:03:29-22:14:41]  (Local) -> (LOCAL)[1]Juana: 4ram
[2021:03:29-22:14:45]  (Global) -> Zeze*Z: bellaco con bellacaaaaa
[2021:03:29-22:14:46]  (Local) -> (LOCAL)[2]PabloOwO~ELN: matelo usted
[2021:03:29-22:14:48]  (Local) -> (LOCAL)[1]Mari: cual puso que resolucion
[2021:03:29-22:14:48]  (Local) -> (LOCAL)[1]DonPolicia: QUE CARRO TAN BACANO
[2021:03:29-22:14:49]  (Local) -> (LOCAL)[1]Juana: puse
[2021:03:29-22:14:52]  (Local) -> (LOCAL)[2]DonPolicia: ESTE ES SUYO?
[2021:03:29-22:14:54]  (Local) -> (LOCAL)[1]Juana: 1024
[2021:03:29-22:14:56]  (Local) -> (LOCAL)[1]Carlos_Escobar(2cb): ey
[2021:03:29-22:14:56]  (Local) -> (LOCAL)[1]mata: ja
[2021:03:29-22:15:00]  (Local) -> (LOCAL)[2]Carlos_Escobar(2cb): soltame
[2021:03:29-22:15:02]  (Local) -> (LOCAL)[1]Mari: cccc
[2021:03:29-22:15:03]  (Global) -> sks|#012F7AＫＰ→延: tussy veni
[2021:03:29-22:15:04]  (Local) -> (LOCAL)[1]Mari: pongala
[2021:03:29-22:15:05]  (Local) -> (LOCAL)[1]Rivera_2CB: bajw
[2021:03:29-22:15:06]  (Local) -> (LOCAL)[1]Mari: a 800
[2021:03:29-22:15:06]  (Local) -> (LOCAL)[2]Carlos_Escobar(2cb): que te deje sano
[2021:03:29-22:15:07]  (Local) -> (LOCAL)[3]Z_Polo: me van a folla
[2021:03:29-22:15:08]  (Local) -> (LOCAL)[1]Mari: 800
[2021:03:29-22:15:10]  (Local) -> (LOCAL)[1]Juana: ok
[2021:03:29-22:15:11]  (Local) -> (LOCAL)[1]Mari: o 600
[2021:03:29-22:15:17]  (Local) -> (LOCAL)[1]Juana: pero mi pantalla es de portatil
[2021:03:29-22:15:19]  (Local) -> (LOCAL)[2]JUANDA_9017_Zcb: dejame sano
[2021:03:29-22:15:20]  (Local) -> (LOCAL)[1]Juana: sera que en 600
[2021:03:29-22:15:21]  (Local) -> (LOCAL)[2]Carlos_Escobar(2cb): pa estoy en directo
[2021:03:29-22:15:23]  (Local) -> (LOCAL)[1]Juana: no es tan pequeña=
[2021:03:29-22:15:25]  (Local) -> (LOCAL)[3]Carlos_Escobar(2cb): soltame
[2021:03:29-22:15:37]  (Local) -> (LOCAL)[4]sks: tussy
[2021:03:29-22:15:40]  (Local) -> (LOCAL)[7]sks: tenes perica
[2021:03:29-22:15:42]  (Local) -> (LOCAL)[6]sks: asi sea 1?
[2021:03:29-22:15:45]  (Local) -> (LOCAL)[2]JUANDA_9017_Zcb: sapo hp
[2021:03:29-22:15:47]  (Local) -> (LOCAL)[4]sks: quiero ver algo
[2021:03:29-22:15:51]  (Local) -> (LOCAL)[1]Juana: ?xd
[2021:03:29-22:15:53]  (Global) -> Cronik|CAPU||#18AED9カプガン: VENDOOOO HOTRING RACE1
[2021:03:29-22:15:58]  (Local) -> (LOCAL)[2]000000dilan'2cb: le dio rabia al fansito :c
[2021:03:29-22:16:00]  (Global) -> DonPolicia|#FF8CE7✿: Cuanto
[2021:03:29-22:16:01]  (Global) -> Juana: compro h2 o 3
[2021:03:29-22:16:02]  (Local) -> (LOCAL)[2]algaretiao|CApu: :v
[2021:03:29-22:16:08]  (Local) -> (LOCAL)[1]JuanPablo: ie
[2021:03:29-22:16:10]  (Local) -> (LOCAL)[1]Sky#!|ELN: Xd
[2021:03:29-22:16:11]  (Local) -> (LOCAL)[1]JuanPablo: me lo arregla
[2021:03:29-22:16:13]  (Local) -> (LOCAL)[4]mata: acabe de descubrir que mi mouse tiene una funcion llamada "macros dobles"
[2021:03:29-22:16:13]  (Global) -> Cronik|CAPU||#18AED9カプガン: DonPolicia[MP] 9 palos
[2021:03:29-22:16:20]  (Local) -> (LOCAL)[1]Gauss|ELN: acabe de usar el mio
[2021:03:29-22:16:21]  (Local) -> (LOCAL)[3]JuanKa|z: q
[2021:03:29-22:16:23]  (Local) -> (LOCAL)[1]JuanPablo: ok
[2021:03:29-22:16:24]  (Global) -> Nico[AK47]: sms
[2021:03:29-22:16:24]  (Local) -> (LOCAL)[3]mamlo'2cb: q
[2021:03:29-22:16:25]  (Local) -> (LOCAL)[1]Mari: si me mata le paso todos mis macros
[2021:03:29-22:16:27]  (Local) -> (LOCAL)[3]JuanKa|z: wtf
[2021:03:29-22:16:29]  (Local) -> (LOCAL)[5]sks: a ver
[2021:03:29-22:16:31]  (Local) -> (LOCAL)[3]mamlo'2cb: ahhffhfhsjdajda
[2021:03:29-22:16:32]  (Local) -> (LOCAL)[2]el_monolZETAS: oew
[2021:03:29-22:16:34]  (Local) -> (LOCAL)[1]Juana: jum
[2021:03:29-22:16:36]  (Local) -> (LOCAL)[1]Juana: cuantos tiene
[2021:03:29-22:16:38]  (Local) -> (LOCAL)[1]Mari: 11
[2021:03:29-22:16:40]  (Local) -> (LOCAL)[1]Juana: JAJAJA
[2021:03:29-22:16:43]  (Local) -> (LOCAL)[1]Juana: pa q tantos
[2021:03:29-22:16:48]  (Local) -> (LOCAL)[3]mata: yo quiero ver como va correr
[2021:03:29-22:16:50]  (Local) -> (LOCAL)[4]mata: con eso
[2021:03:29-22:16:52]  (Local) -> (LOCAL)[1]Juana: hasufafs
[2021:03:29-22:16:52]  (Local) -> (LOCAL)[4]sks: yo tambien
[2021:03:29-22:16:57]  (Local) -> (LOCAL)[4]mata: xdddd
[2021:03:29-22:16:59]  (Local) -> (LOCAL)[3]sks: u y
[2021:03:29-22:17:06]  (Global) -> KiraOwO~Capu|#5723FEGDT!: :v
[2021:03:29-22:17:13]  (Local) -> (LOCAL)[3]mata: sen ota que lleva macro
[2021:03:29-22:17:16]  (Local) -> (LOCAL)[3]sks: que gono xd
[2021:03:29-22:17:17]  (Local) -> (LOCAL)[3]mata: te lagueas
[2021:03:29-22:17:18]  (Local) -> (LOCAL)[3]sks: si
[2021:03:29-22:17:27]  (Local) -> (LOCAL)[4]sks: xdd
[2021:03:29-22:17:29]  (Local) -> (LOCAL)[4]sks: qeu caja
[2021:03:29-22:17:34]  (Local) -> (LOCAL)[2]el_monolZETAS: oe
[2021:03:29-22:17:40]  (Local) -> (LOCAL)[2]mata: santandereano hpta
[2021:03:29-22:17:42]  (Local) -> (LOCAL)[3]mata: que te suvas
[2021:03:29-22:17:44]  (Local) -> (LOCAL)[3]sks: j ajajja
[2021:03:29-22:17:47]  (Local) -> (LOCAL)[2]el_monolZETAS: me compra tripis o mari
[2021:03:29-22:17:52]  (Local) -> (LOCAL)[2]sks: seacabo
[2021:03:29-22:17:52]  (Local) -> (LOCAL)[2]JuanKa|z: solos no pueden
[2021:03:29-22:17:56]  (Local) -> (LOCAL)[3]PabloOwO~ELN: ?
[2021:03:29-22:17:56]  (Local) -> (LOCAL)[1]Juana: severo lag
[2021:03:29-22:17:56]  (Global) -> 000000dilan'2cb|#FF8CE7✿: gualter
[2021:03:29-22:17:59]  (Global) -> sks|#012F7AＫＰ→延:  w  a    
[2021:03:29-22:18:00]  (Local) -> (LOCAL)[1]Juana: lo vi en otro lado
[2021:03:29-22:18:00]  (Global) -> 000000dilan'2cb|#FF8CE7✿: yaestoy
[2021:03:29-22:18:01]  (Global) -> sks|#012F7AＫＰ→延:    a   
[2021:03:29-22:18:01]  (Global) -> Nico[AK47]: admin
[2021:03:29-22:18:03]  (Global) -> matarife[2cb: hagale
[2021:03:29-22:18:03]  (Global) -> JuanPablo|#4C4C4CRN: #CDD900COMPRO ROLL ROYCE 
[2021:03:29-22:18:05]  (Global) -> ALCapone|EVG|: TENGO 6.8 QUE OFRECEN
[2021:03:29-22:18:05]  (Global) -> sks|#012F7AＫＰ→延:        v    o                 
[2021:03:29-22:18:07]  (Global) -> sks|#012F7AＫＰ→延:       y       
[2021:03:29-22:18:08]  (Global) -> 000000dilan'2cb|#FF8CE7✿: bn
[2021:03:29-22:18:09]  (Local) -> (LOCAL)[2]el_monolZETAS: cuanto
[2021:03:29-22:18:12]  (Local) -> (LOCAL)[1]sks: x d
[2021:03:29-22:18:14]  (Local) -> (LOCAL)[1]sks: d eme una
[2021:03:29-22:18:15]  (Local) -> (LOCAL)[2]sks: ayayya
[2021:03:29-22:18:17]  (Local) -> (LOCAL)[1]Mari: a
[2021:03:29-22:18:22]  (Local) -> (LOCAL)[1]sks: pase se que te va gustar
[2021:03:29-22:18:22]  (Global) -> ALCapone|EVG|: TENGO 6.8 QUE OFRECEN
[2021:03:29-22:18:22]  (Local) -> (LOCAL)[1]matarife[2cb: pues acomo tenes
[2021:03:29-22:18:23]  (Team - Criminals) -> (TEAM)PERICOA7:  uy  q paso
[2021:03:29-22:18:24]  (Local) -> (LOCAL)[5]algaretiao|CApu: kkk
[2021:03:29-22:18:24]  (Local) -> (LOCAL)[1]el_monolZETAS: y que los tripis tienen mucho efecto alu
[2021:03:29-22:18:27]  (Local) -> (LOCAL)[1]ElBromas: LLEVEME
[2021:03:29-22:18:30]  (Global) -> PERICOA7: q paso
[2021:03:29-22:18:31]  (Global) -> SANTIAGO: suba
[2021:03:29-22:18:32]  (Global) -> ALCapone|EVG|: TENGO 6.8 QUE OFRECEN
[2021:03:29-22:18:33]  (Local) -> (LOCAL)[1]Mari: tramposo hpta
[2021:03:29-22:18:35]  (Local) -> (LOCAL)[1]Juana: q va
[2021:03:29-22:18:35]  (Local) -> (LOCAL)[1]JuanKa|z: lo areste
[2021:03:29-22:18:35]  (Local) -> (LOCAL)[1]ElBromas: al job de camionero
[2021:03:29-22:18:37]  (Local) -> (LOCAL)[1]Juana: lo mate
[2021:03:29-22:18:38]  (Local) -> (LOCAL)[1]SANTIAGO: dele x
[2021:03:29-22:18:38]  (Global) -> JUANDA_9017_Zcb|#FF8CE7✿: MANO
[2021:03:29-22:18:38]  (Local) -> (LOCAL)[1]Juana: ahora paselos
[2021:03:29-22:18:39]  (Global) -> PERICOA7: pq
[2021:03:29-22:18:40]  (Local) -> (LOCAL)[1]ElBromas: ya
[2021:03:29-22:18:42]  (Local) -> (LOCAL)[1]Juana: mienteas
[2021:03:29-22:18:44]  (Local) -> (LOCAL)[1]JuanKa|z: pa q mata
[2021:03:29-22:18:44]  (Local) -> (LOCAL)[1]Juana: reinicio
[2021:03:29-22:18:44]  (Local) -> (LOCAL)[1]el_monolZETAS: ey
[2021:03:29-22:18:45]  (Local) -> (LOCAL)[1]Juana: a 600
[2021:03:29-22:18:48]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: ta bloqueado
[2021:03:29-22:18:49]  (Global) -> PERICOA7: yoooo
[2021:03:29-22:18:50]  (Local) -> (LOCAL)[1]sks: no le ponga precio
[2021:03:29-22:18:51]  (Global) -> 000000dilan'2cb|#FF8CE7✿: perica?
[2021:03:29-22:18:52]  (Global) -> matarife[2cb: como te compro
[2021:03:29-22:18:52]  (Local) -> (LOCAL)[1]sks: ahora se lo paso
[2021:03:29-22:18:53]  (Local) -> (LOCAL)[1]sks: si
[2021:03:29-22:18:56]  (Local) -> (LOCAL)[1]el_monolZETAS: tripis o mari
[2021:03:29-22:18:57]  (Team - Criminals) -> (TEAM)PERICOA7: ajjajaaja
[2021:03:29-22:18:58]  (Local) -> (LOCAL)[2]sks: perica
[2021:03:29-22:19:02]  (Global) -> ALCapone|EVG|: TENGO 6.7 QUE OFRECEN CARROS O MOTS
[2021:03:29-22:19:05]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: cuanto por el carrito
[2021:03:29-22:19:05]  (Global) -> matarife[2cb: lo q sea
[2021:03:29-22:19:07]  (Local) -> (LOCAL)[1]el_monolZETAS: cuanto dinero tienes?
[2021:03:29-22:19:08]  (Local) -> (LOCAL)[1]Juana: no gonorrea
[2021:03:29-22:19:08]  (Local) -> (LOCAL)[2]PericoHpta|AUC: nada pa
[2021:03:29-22:19:09]  (Local) -> (LOCAL)[1]Juana: no me mate
[2021:03:29-22:19:10]  (Local) -> (LOCAL)[2]PericoHpta|AUC: :(
[2021:03:29-22:19:11]  (Global) -> CamiloSZ'2CB: HAROLLL
[2021:03:29-22:19:12]  (Local) -> (LOCAL)[1]Juana: que pierdo las armas
[2021:03:29-22:19:13]  (Local) -> (LOCAL)[1]Mari: cocck
[2021:03:29-22:19:14]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: vealo
[2021:03:29-22:19:16]  (Local) -> (LOCAL)[1]Mari: cccccccocckcc
[2021:03:29-22:19:16]  (Global) -> matarife[2cb: 711
[2021:03:29-22:19:16]  (Local) -> (LOCAL)[3]PericoHpta|AUC: q
[2021:03:29-22:19:17]  (Local) -> (LOCAL)[1]Mari: cccccockc
[2021:03:29-22:19:18]  (Local) -> (LOCAL)[1]Chancleta: Gracias jeje
[2021:03:29-22:19:18]  (Local) -> (LOCAL)[1]Juana: hijueputa
[2021:03:29-22:19:19]  (Local) -> (LOCAL)[1]Mari: cccccockc
[2021:03:29-22:19:20]  (Local) -> (LOCAL)[2]Z_Polo: ols
[2021:03:29-22:19:20]  (Local) -> (LOCAL)[1]sks: que p arte de
[2021:03:29-22:19:21]  (Global) -> 000000dilan'2cb|#FF8CE7✿: como paro de vender droga
[2021:03:29-22:19:22]  (Local) -> (LOCAL)[1]Mari: ccccccccc
[2021:03:29-22:19:23]  (Local) -> (LOCAL)[1]sks: no le ponga precio
[2021:03:29-22:19:23]  (Local) -> (LOCAL)[3]PericoHpta|AUC: Hola
[2021:03:29-22:19:24]  (Local) -> (LOCAL)[3]Z_Polo: me ayudan
[2021:03:29-22:19:25]  (Local) -> (LOCAL)[1]sks: no e ntendio
[2021:03:29-22:19:26]  (Global) -> CamiloSZ'2CB: HAROLLLPEREME
[2021:03:29-22:19:26]  (Local) -> (LOCAL)[1]sks: xd
[2021:03:29-22:19:28]  (Local) -> (LOCAL)[4]PericoHpta|AUC: a q?
[2021:03:29-22:19:28]  (Global) -> el_monolZETAS: 711k?
[2021:03:29-22:19:29]  (Local) -> (LOCAL)[1]000000dilan'2cb: pq
[2021:03:29-22:19:29]  (Global) -> Nico[AK47]: algarerito salgase
[2021:03:29-22:19:31]  (Global) -> KiraOwO~Capu|#5723FEGDT!:  /pararventa
[2021:03:29-22:19:34]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: cuanto su panocha
[2021:03:29-22:19:34]  (Local) -> (LOCAL)[2]PericoHpta|AUC: jjjj
[2021:03:29-22:19:35]  (Local) -> (LOCAL)[2]sks: no tengo
[2021:03:29-22:19:38]  (Local) -> (LOCAL)[2]sks: los 50k aca
[2021:03:29-22:19:40]  (Local) -> (LOCAL)[2]000000dilan'2cb: si compro?
[2021:03:29-22:19:41]  (Global) -> algaretiao|CApu|#18AED9カプガン: e
[2021:03:29-22:19:42]  (Local) -> (LOCAL)[2]sks: ponele 20k
[2021:03:29-22:19:45]  (Global) -> matarife[2cb: solo 711
[2021:03:29-22:19:45]  (Local) -> (LOCAL)[1]PericoHpta|AUC: jjjjjjjjjjjjjj
[2021:03:29-22:19:48]  (Local) -> (LOCAL)[2]000000dilan'2cb: valla por los 50k
[2021:03:29-22:19:48]  (Local) -> (LOCAL)[1]Mari: no lo voy a matar
[2021:03:29-22:19:49]  (Local) -> (LOCAL)[1]Rivera_2CB: w
[2021:03:29-22:19:49]  (Local) -> (LOCAL)[1]Mari: sapolio
[2021:03:29-22:19:50]  (Local) -> (LOCAL)[3]000000dilan'2cb: lo espero
[2021:03:29-22:19:51]  (Local) -> (LOCAL)[5]sks: ahora le paso lo otro
[2021:03:29-22:19:52]  (Local) -> (LOCAL)[1]Juana: jumm
[2021:03:29-22:19:56]  (Local) -> (LOCAL)[3]000000dilan'2cb: lo espero
[2021:03:29-22:19:57]  (Local) -> (LOCAL)[2]el_monolZETAS: no mano eso no le alcansa pa nada
[2021:03:29-22:19:57]  (Local) -> (LOCAL)[2]sks: se que te bva gustar
[2021:03:29-22:19:58]  (Global) -> matarife[2cb: a como la tenes
[2021:03:29-22:19:58]  (Local) -> (LOCAL)[2]Mari: si lo mato soy 2cb
[2021:03:29-22:19:59]  (Local) -> (LOCAL)[2]sks: pase
[2021:03:29-22:20:01]  (Local) -> (LOCAL)[2]000000dilan'2cb: lo espero
[2021:03:29-22:20:02]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: vamos sortear o miedo?
[2021:03:29-22:20:03]  (Local) -> (LOCAL)[1]000000dilan'2cb: valla por los 50k
[2021:03:29-22:20:07]  (Local) -> (LOCAL)[1]PericoHpta|AUC: na soy pobre
[2021:03:29-22:20:09]  (Local) -> (LOCAL)[1]PericoHpta|AUC: jjjjjjjjjj
[2021:03:29-22:20:12]  (Local) -> (LOCAL)[1]PabloOwO~ELN: algarete
[2021:03:29-22:20:12]  (Global) -> matarife[2cb: ole como se a vende 
[2021:03:29-22:20:13]  (Local) -> (LOCAL)[1]JUANDA_9017_Zcb: loca
[2021:03:29-22:20:14]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: :(
[2021:03:29-22:20:15]  (Local) -> (LOCAL)[1]algaretiao|CApu: yo
[2021:03:29-22:20:18]  (Local) -> (LOCAL)[1]Mari: antarsia
[2021:03:29-22:20:20]  (Local) -> (LOCAL)[1]000000dilan'2cb: valla por los 50k
[2021:03:29-22:20:21]  (Local) -> (LOCAL)[2]mata: tenes bug la anim
[2021:03:29-22:20:23]  (Local) -> (LOCAL)[1]PabloOwO~ELN: decile a ese Cronik q no nos tire xd
[2021:03:29-22:20:24]  (Global) -> SANTIAGO: 7sound
[2021:03:29-22:20:25]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF0000tussy'2cb: ud tambn
[2021:03:29-22:20:28]  (Local) -> (LOCAL)[2]mata: qq
[2021:03:29-22:20:28]  (Local) -> (LOCAL)[1]algaretiao|CApu: sisa
[2021:03:29-22:20:29]  (Local) -> (LOCAL)[1]CamiloSZ'2CB: OEE
[2021:03:29-22:20:31]  (Local) -> (LOCAL)[1]PabloOwO~ELN: q nosotros no lo matamos
[2021:03:29-22:20:34]  (Local) -> (LOCAL)[2]mata: ya?
[2021:03:29-22:20:37]  (Local) -> (LOCAL)[1]Harol2cb: me toco en los santos
[2021:03:29-22:20:37]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF0000tussy'2cb: s
[2021:03:29-22:20:38]  (Local) -> (LOCAL)[1]Mari: no te voy a matar careverga
[2021:03:29-22:20:39]  (Local) -> (LOCAL)[1]Harol2cb: dime
[2021:03:29-22:20:39]  (Local) -> (LOCAL)[1]CamiloSZ'2CB: Discord
[2021:03:29-22:20:43]  (Local) -> (LOCAL)[1]Harol2cb: ya etro
[2021:03:29-22:20:43]  (Global) -> ALCapone|EVG|: TENGO 6.7 QUE OFRECEN CARROS O MOTS
[2021:03:29-22:20:43]  (Local) -> (LOCAL)[1]Mari: enseñame drift
[2021:03:29-22:20:48]  (Local) -> (LOCAL)[3]PericoHpta|AUC: como ve mi carrito
[2021:03:29-22:20:49]  (Local) -> (LOCAL)[2]PericoHpta|AUC: melo no?
[2021:03:29-22:20:50]  (Local) -> (LOCAL)[2]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: cuanto por el hpta carro
[2021:03:29-22:20:55]  (Local) -> (LOCAL)[6]#00146C|#A4B5FFPROD#00146C|#0064FFGeneral'palomino: a
[2021:03:29-22:20:55]  (Local) -> (LOCAL)[1]#7F7F7F|DJ|#FF5C00RUIZ[ELN]: si
[2021:03:29-22:20:55]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF0000tussy'2cb: q pena q no les de sin tombo
