This file was generated by Console at 2020:10:12-00:00:00



[2020:10:12-00:00:00]  (Local) -> (LOCAL)[17][EVG]Orgalor: Chys
[2020:10:12-22:21:41]  (Global) -> Pana_Miguel: haski se le olvido lo hymilde :(
[2020:10:12-22:21:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 Francine98: vamos
[2020:10:12-22:21:43]  (Team - Services) -> (TEAM)vegetta777: señor
[2020:10:12-22:21:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 Khausu: vampos
[2020:10:12-22:21:44]  (Local) -> (LOCAL)[2]Haski_Canson: nel
[2020:10:12-22:21:46]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Patches: mero tema
[2020:10:12-22:21:47]  (Local) -> (LOCAL)[2]Haski_Canson: debo 40 ´palos xd
[2020:10:12-22:21:50]  (Global) -> #7F7F7F|CVR|#FF0000[EVG]Lopez: si
[2020:10:12-22:21:52]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: a qn
[2020:10:12-22:21:54]  (Local) -> (LOCAL)[1][ZETAS]pablito: porque ya no se vende viciio
[2020:10:12-22:21:55]  (Local) -> (LOCAL)[2]Haski_Canson: a popeye
[2020:10:12-22:21:56]  (Global) -> Pana_Miguel: el millon de la otra vezzzz
[2020:10:12-22:21:57]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: qn presta tanto
[2020:10:12-22:21:59]  (Local) -> (LOCAL)[6]DJ_ANDROS: ale
[2020:10:12-22:22:03]  (Global) -> S.A.S[CAD]paulo: MI GENERAL COMO AGO PARA QUITARMELA
[2020:10:12-22:22:03]  (Global) -> [ZETA]Henrry: n c
[2020:10:12-22:22:06]  (Local) -> (LOCAL)[1]Amber: qitate eljob
[2020:10:12-22:22:08]  (Local) -> (LOCAL)[2]Haski_Canson: es pq somos conocidos
[2020:10:12-22:22:08]  (Local) -> (LOCAL)[1]2cb'ELpepe: estoy de militar
[2020:10:12-22:22:09]  (Local) -> (LOCAL)[1][ZETAS]pablito: :(
[2020:10:12-22:22:11]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: a
[2020:10:12-22:22:19]  (Local) -> (LOCAL)[1][ZETAS]pablito: cuando hay guerras
[2020:10:12-22:22:22]  (Local) -> (LOCAL)[1]sanpatricio: ESPERAME UN SEGUNDO
[2020:10:12-22:22:24]  (Global) -> Pana_Miguel: hayyyy 40 palos debes???
[2020:10:12-22:22:27]  (Local) -> (LOCAL)[2]Haski_Canson: szs
[2020:10:12-22:22:32]  (Global) -> [ZETA]Henrry: cuando Dios quiera xd
[2020:10:12-22:22:33]  (Local) -> (LOCAL)[1]Amber: qitate eljob
[2020:10:12-22:22:33]  (Global) -> [S.A.S][G]Daniels: nos arrima
[2020:10:12-22:22:36]  (Local) -> (LOCAL)[1][ZETAS]pablito: xdddddd
[2020:10:12-22:22:38]  (Global) -> S.A.S[CAD]Jhon[1]: perros hp
[2020:10:12-22:22:40]  (Global) -> vegetta777: quieren ir
[2020:10:12-22:22:43]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: hey wbn llego la pollita al sv
[2020:10:12-22:22:43]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: nonas quitatelo tu :3
[2020:10:12-22:22:47]  (Global) -> [S.A.S][G]Daniels: a lo de camiones a trabajar
[2020:10:12-22:22:48]  (Local) -> (LOCAL)[1]Amber: no
[2020:10:12-22:22:49]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: le doy 5 luka por el paseo
[2020:10:12-22:22:50]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: :c
[2020:10:12-22:22:55]  (Local) -> (LOCAL)[1]CW|Brainy63|Ak: q te pasa
[2020:10:12-22:22:56]  (Local) -> (LOCAL)[1][ZETAS]pablito: que hacemos
[2020:10:12-22:22:56]  (Local) -> (LOCAL)[1]Amber: vamosa morir los dos
[2020:10:12-22:22:57]  (Local) -> (LOCAL)[2]Haski_Canson: 10
[2020:10:12-22:22:57]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000[EVG]Lopez: sicroniza pato marica
[2020:10:12-22:22:58]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: skip
[2020:10:12-22:22:59]  (Local) -> (LOCAL)[2]Haski_Canson: pa la gasolina xd
[2020:10:12-22:23:01]  (Global) -> 2cb'Escobar: tra 
[2020:10:12-22:23:01]  (Local) -> (LOCAL)[10][CAPU]AlgaretePai: a
[2020:10:12-22:23:01]  (Local) -> (LOCAL)[1]2cb_LILPUSSY: que bobo hp
[2020:10:12-22:23:02]  (Global) -> [S.A.S][G]Daniels: unda x
[2020:10:12-22:23:04]  (Global) -> [ZETA]Henrry: yo espero a un amigo que va a entrar a un juego
[2020:10:12-22:23:06]  (Local) -> (LOCAL)[1]Amber: na ronda de 50 veces tu y 50 veces yo
[2020:10:12-22:23:06]  (Global) -> [ZETA]Henrry:  osae a este 
[2020:10:12-22:23:08]  (Local) -> (LOCAL)[1][ZETAS]pablito: ahh yaya
[2020:10:12-22:23:09]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: ya sapa
[2020:10:12-22:23:12]  (Local) -> (LOCAL)[1]CW|Brainy63|Ak: y tu tambien
[2020:10:12-22:23:12]  (Local) -> (LOCAL)[1]Amber: va_
[2020:10:12-22:23:14]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: aaok
[2020:10:12-22:23:15]  (Local) -> (LOCAL)[1]Amber: ?
[2020:10:12-22:23:15]  (Global) -> [ZETA]Henrry: michalegiovany
[2020:10:12-22:23:16]  (Local) -> (LOCAL)[5]Haski_Canson: umildad
[2020:10:12-22:23:17]  (Global) -> S.A.S[CAD]Jhon[1]: estos manes estan haciendo dm JODA
[2020:10:12-22:23:17]  (Global) -> NicolasC: ?
[2020:10:12-22:23:19]  (Local) -> (LOCAL)[1]Amber: qitate
[2020:10:12-22:23:19]  (Global) -> S.A.S[CAD]paulo: COMO AGO PTXAW 
[2020:10:12-22:23:21]  (Local) -> (LOCAL)[1][ZETAS]pablito: a
[2020:10:12-22:23:21]  (Local) -> (LOCAL)[1]2cb'JuanPablo: veo bro
[2020:10:12-22:23:22]  (Local) -> (LOCAL)[1]Amber: el job
[2020:10:12-22:23:25]  (Local) -> (LOCAL)[1]2cb'JuanPablo: te tengo una propuesta
[2020:10:12-22:23:28]  (Local) -> (LOCAL)[1]Amber: y despues yote paso laplata
[2020:10:12-22:23:29]  (Global) -> NicolasC: dimelo
[2020:10:12-22:23:30]  (Global) -> [ZETA]Henrry: aja
[2020:10:12-22:23:31]  (Local) -> (LOCAL)[3]2cb'pablitopai: cubrame
[2020:10:12-22:23:31]  (Local) -> (LOCAL)[1]sanpatricio: EY
[2020:10:12-22:23:31]  (Local) -> (LOCAL)[1]Amber: y me matas ami
[2020:10:12-22:23:34]  (Local) -> (LOCAL)[1]2cb'JuanPablo: es que cuando uno mata policias da de a 50k
[2020:10:12-22:23:37]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: sisas
[2020:10:12-22:23:39]  (Local) -> (LOCAL)[1][ZETAS]pablito: ahora vamos a pelar 2cb?
[2020:10:12-22:23:42]  (Local) -> (LOCAL)[1]Amber: bno empiezo
[2020:10:12-22:23:43]  (Global) -> Haski_Canson: nel
[2020:10:12-22:23:45]  (Local) -> (LOCAL)[1]2cB^Buitre: tenemos setso en el monte?
[2020:10:12-22:23:47]  (Global) -> NicolasC: ajà
[2020:10:12-22:23:50]  (Global) -> S.A.S[CAD]paulo: COMO AGO PARA QUITARME EL TRAGE
[2020:10:12-22:23:50]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: ojo yo c cuanto paga eso
[2020:10:12-22:23:50]  (Local) -> (LOCAL)[1]2cb'JuanPablo: entonces si te pones de tombo hastq llegue al millon te doy la mitad
[2020:10:12-22:23:52]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: pere
[2020:10:12-22:23:55]  (Local) -> (LOCAL)[1]2cb'JuanPablo: osea 500k
[2020:10:12-22:23:56]  (Local) -> (LOCAL)[2]$oltec: ola
[2020:10:12-22:23:56]  (Local) -> (LOCAL)[5](CAPU)Carneconyuca: voy pa ls
[2020:10:12-22:23:58]  (Local) -> (LOCAL)[1]Amber: sisas
[2020:10:12-22:24:00]  (Global) -> [ZETA]Henrry: oe
[2020:10:12-22:24:02]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: tengo 200k ensima :v
[2020:10:12-22:24:02]  (Local) -> (LOCAL)[1]Amber: usted mira tab
[2020:10:12-22:24:09]  (Global) -> NicolasC: no parce ya ahorita mismo me desconecto
[2020:10:12-22:24:09]  (Local) -> (LOCAL)[2]$oltec: q
[2020:10:12-22:24:09]  (Local) -> (LOCAL)[1]Amber: a
[2020:10:12-22:24:10]  (Local) -> (LOCAL)[4]2cb'pablitopai: xddddd
[2020:10:12-22:24:11]  (Local) -> (LOCAL)[2][ZETAS]pablito: quien ere tu xd
[2020:10:12-22:24:13]  (Global) -> [ZETA]Henrry: paz}}}}}}}}?
[2020:10:12-22:24:14]  (Local) -> (LOCAL)[1]Amber: yo tengo 120
[2020:10:12-22:24:15]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: deje pa la gasolina
[2020:10:12-22:24:16]  (Local) -> (LOCAL)[1]2cb'JuanPablo: vale
[2020:10:12-22:24:16]  (Local) -> (LOCAL)[2]$oltec: sisas
[2020:10:12-22:24:17]  (Local) -> (LOCAL)[1]Amber: mandeme los 200k
[2020:10:12-22:24:18]  (Local) -> (LOCAL)[1]2cB''$elTrakegunz: oe
[2020:10:12-22:24:19]  (Global) -> [S.A.S][G]Daniels: no se puede quitar solo coloquese el job y el se desaparese 
[2020:10:12-22:24:20]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: pq voy en 9
[2020:10:12-22:24:20]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 Patches: curioso con problemas cognitivos
[2020:10:12-22:24:20]  (Local) -> (LOCAL)[2][ZETAS]pablito: dale pueh
[2020:10:12-22:24:22]  (Global) -> PapiChamberUwU: ADMIN
[2020:10:12-22:24:23]  (Global) -> Pana_Miguel: epa
[2020:10:12-22:24:24]  (Global) -> PapiChamberUwU: ADMIN
[2020:10:12-22:24:25]  (Local) -> (LOCAL)[1]sanpatricio: sos el que vende el carro?
[2020:10:12-22:24:25]  (Global) -> #7F7F7F|CVR|#FF0000[EVG]Lopez: si
[2020:10:12-22:24:26]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: PapiChamberUwU[6] dime
[2020:10:12-22:24:26]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: señor
[2020:10:12-22:24:26]  (Local) -> (LOCAL)[1]2CB'TU'DIOSA: :v
[2020:10:12-22:24:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#A9A9A9 Francine98: pera
[2020:10:12-22:24:31]  (Global) -> PapiChamberUwU: ME BUGUEE
[2020:10:12-22:24:32]  (Local) -> (LOCAL)[2]Amber: o la mato
[2020:10:12-22:24:33]  (Global) -> [S.A.S][G]Daniels: si lo quiere tener de nuevo solo coloca /resign
[2020:10:12-22:24:34]  (Local) -> (LOCAL)[2]2cb_LILPUSSY: hey aja
[2020:10:12-22:24:34]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: donde
[2020:10:12-22:24:34]  (Local) -> (LOCAL)[3]2cb'ELpepe: uy socio
[2020:10:12-22:24:38]  (Local) -> (LOCAL)[1]2cB''$elTrakegunz: no
[2020:10:12-22:24:39]  (Local) -> (LOCAL)[4]2cb'ELpepe: donde consigo esa mcaiob
[2020:10:12-22:24:40]  (Global) -> PapiChamberUwU: ME METES JAIL
[2020:10:12-22:24:41]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Andaba viendo was
[2020:10:12-22:24:41]  (Local) -> (LOCAL)[3]2cb'ELpepe: camionet
[2020:10:12-22:24:43]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: Donde x2
[2020:10:12-22:24:44]  (Global) -> PapiChamberUwU: ?
[2020:10:12-22:24:47]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: donde se bugeo
[2020:10:12-22:24:48]  (Local) -> (LOCAL)[2]2cb_LILPUSSY: como seria juaz juaz
[2020:10:12-22:24:48]  (Global) -> 2CB'TU'DIOSA: te estoy buscando no me mates
[2020:10:12-22:24:51]  (Local) -> (LOCAL)[2]Amber: vea unaronda de 100 y lo que salga
[2020:10:12-22:24:52]  (Local) -> (LOCAL)[3]2cb'ELpepe: juan pablpo
[2020:10:12-22:24:54]  (Team - Fuerzas Armadas) -> (TEAM)S.A.S[CAD]Jhon[1]: donde estan señores?
[2020:10:12-22:24:56]  (Global) -> S.A.S[CAD]paulo: PEREO CUNDO TOCA PONERSE EL TRAGE DE SOLDADO
[2020:10:12-22:24:59]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: bn
[2020:10:12-22:24:59]  (Local) -> (LOCAL)[2]Amber: lodividimospalos 3
[2020:10:12-22:24:59]  (Global) -> [ZETA]Henrry: oe quiere saber un chiste?
[2020:10:12-22:25:00]  (Local) -> (LOCAL)[4]2cb'JuanPablo: que
[2020:10:12-22:25:04]  (Global) -> PapiChamberUwU: ESTPY CALLENDO EN EL VACIO ESTOY EN UNA AUTOPIST CON BUITRE
[2020:10:12-22:25:06]  (Local) -> (LOCAL)[1]CARRANCHO: oe
[2020:10:12-22:25:07]  (Local) -> (LOCAL)[4]2cb'pablitopai: a?
[2020:10:12-22:25:07]  (Local) -> (LOCAL)[2]2cb_LILPUSSY: hagaleee
[2020:10:12-22:25:08]  (Local) -> (LOCAL)[4]2cb'ELpepe: la camioneta
[2020:10:12-22:25:09]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: <3
[2020:10:12-22:25:12]  (Local) -> (LOCAL)[2]Amber: bueno
[2020:10:12-22:25:14]  (Team - Services) -> (TEAM)vegetta777: hola
[2020:10:12-22:25:14]  (Local) -> (LOCAL)[3]2cb'ELpepe: saquela
[2020:10:12-22:25:17]  (Local) -> (LOCAL)[1][ZETAS]pablito: viejos recuerdos
[2020:10:12-22:25:18]  (Local) -> (LOCAL)[3]2cb'pablitopai: hola
[2020:10:12-22:25:19]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: uy
[2020:10:12-22:25:19]  (Global) -> [S.A.S][G]Daniels: hay dios que no hay problema solo se lo coloca y ya
[2020:10:12-22:25:20]  (Global) -> 2cb'Farid: Juan Pablo cerda hp no mate gente del gang
[2020:10:12-22:25:21]  (Global) -> PapiChamberUwU: ayuda :((
[2020:10:12-22:25:21]  (Global) -> 2cB^Buitre: se lo trago el piso admin
[2020:10:12-22:25:21]  (Global) -> [ZETA]Henrry: oh si amigo
[2020:10:12-22:25:22]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: es verdad
[2020:10:12-22:25:24]  (Local) -> (LOCAL)[3]2cb'JuanPablo: cual
[2020:10:12-22:25:24]  (Team - Services) -> (TEAM)vegetta777: que hae
[2020:10:12-22:25:26]  (Local) -> (LOCAL)[2]Amber: hay pana
[2020:10:12-22:25:29]  (Local) -> (LOCAL)[3]2cb'ELpepe: en la que venia
[2020:10:12-22:25:31]  (Local) -> (LOCAL)[3]2cb'pablitopai: matando policias o z
[2020:10:12-22:25:32]  (Local) -> (LOCAL)[1][ZETAS]pablito: si
[2020:10:12-22:25:32]  (Local) -> (LOCAL)[3]2cb'JuanPablo: esta
[2020:10:12-22:25:33]  (Team - Services) -> (TEAM)vegetta777: que hace
[2020:10:12-22:25:33]  (Local) -> (LOCAL)[3]2cb'ELpepe: no la otra
[2020:10:12-22:25:33]  (Local) -> (LOCAL)[2]2CB'TU'DIOSA: te envie 123k
[2020:10:12-22:25:35]  (Local) -> (LOCAL)[2]Amber: en lama;aniticapa farmiar bn bno
[2020:10:12-22:25:35]  (Local) -> (LOCAL)[1]CARRANCHO: oe
[2020:10:12-22:25:36]  (Global) -> [S.A.S][G]Daniels: vea asi
[2020:10:12-22:25:37]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: quien es el otro
[2020:10:12-22:25:39]  (Local) -> (LOCAL)[2]Rastacuando: sin gasofa
[2020:10:12-22:25:40]  (Global) -> S.A.S[CAD]paulo: PERO AY UNA COMANDO
[2020:10:12-22:25:41]  (Local) -> (LOCAL)[3]2cb'pablitopai: oe
[2020:10:12-22:25:42]  (Local) -> (LOCAL)[3]2cb'ELpepe: uff
[2020:10:12-22:25:44]  (Local) -> (LOCAL)[3]2cb'ELpepe: esta
[2020:10:12-22:25:49]  (Local) -> (LOCAL)[3]2cb'ELpepe: donde se compra
[2020:10:12-22:25:50]  (Global) -> PapiChamberUwU: gracias uwu
[2020:10:12-22:25:52]  (Global) -> [ZETA]Henrry: miraaa
[2020:10:12-22:25:52]  (Local) -> (LOCAL)[3]2cb'pablitopai: donde encuentro un carro fino?
[2020:10:12-22:25:53]  (Local) -> (LOCAL)[3]2cb'JuanPablo: vamos
[2020:10:12-22:25:53]  (Global) -> [ZETA]Henrry: hey
[2020:10:12-22:25:57]  (Global) -> CARRANCHO: sanpatricio
[2020:10:12-22:25:57]  (Local) -> (LOCAL)[3]2cb'pablitopai: que se vea fino
[2020:10:12-22:25:58]  (Local) -> (LOCAL)[1][ZETAS]pablito: dilo
[2020:10:12-22:26:01]  (Local) -> (LOCAL)[2]DraconianSniper68: holi
[2020:10:12-22:26:02]  (Global) -> S.A.S[CAD]paulo: AI COMO ME LA PONGO 
[2020:10:12-22:26:03]  (Global) -> [ZETA]Henrry: mi amigo es comediante
[2020:10:12-22:26:05]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: bno mor dele g
[2020:10:12-22:26:05]  (Global) -> 2cb'Escobar: ar
[2020:10:12-22:26:06]  (Global) -> [ZETA]Henrry: esper que venga
[2020:10:12-22:26:07]  (Local) -> (LOCAL)[3]2cb'pablitopai: vamos
[2020:10:12-22:26:07]  (Local) -> (LOCAL)[1][ZETAS]pablito: xd
[2020:10:12-22:26:07]  (Local) -> (LOCAL)[2]Amber: xd
[2020:10:12-22:26:08]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: vemos pana
[2020:10:12-22:26:08]  (Global) -> [S.A.S][G]Daniels: si quiere volver como estaba solo dele /resign
[2020:10:12-22:26:10]  (Local) -> (LOCAL)[2]2cb'Escobar: con el nbate en el piso
[2020:10:12-22:26:12]  (Local) -> (LOCAL)[2]CARRANCHO: oew
[2020:10:12-22:26:12]  (Local) -> (LOCAL)[1][ZETAS]pablito: dale jajaja
[2020:10:12-22:26:16]  (Local) -> (LOCAL)[3]2cb'ELpepe: xdd
[2020:10:12-22:26:17]  (Local) -> (LOCAL)[2]DraconianSniper68: jajajja
[2020:10:12-22:26:18]  (Local) -> (LOCAL)[2]PapiChamberUwU: dime
[2020:10:12-22:26:18]  (Local) -> (LOCAL)[3]2cb'Escobar: como lo haces
[2020:10:12-22:26:19]  (Local) -> (LOCAL)[1]CAPU|~CapuCurioso~|: Uy gono
[2020:10:12-22:26:24]  (Team - Fuerzas Armadas) -> (TEAM)S.A.S[CAD]Jhon[1]: cada vez mas pobre hp
[2020:10:12-22:26:24]  (Local) -> (LOCAL)[1]CAPU|~CapuCurioso~|: Noooo
[2020:10:12-22:26:25]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: cambiate ese nombre
[2020:10:12-22:26:26]  (Local) -> (LOCAL)[2]2cb_LILPUSSY: hey cuanto dan por matar
[2020:10:12-22:26:28]  (Global) -> #7F7F7F|CVR|#FF0000_SEMDS_: aa
[2020:10:12-22:26:29]  (Team - Fuerzas Armadas) -> (TEAM)S.A.S[CAD]Jhon[1]: donde la plata
[2020:10:12-22:26:29]  (Local) -> (LOCAL)[2]CARRANCHO: para teletransportarme a lv
[2020:10:12-22:26:34]  (Global) -> S.A.S[CAD]paulo: AAAAYAL
[2020:10:12-22:26:37]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: dizq draconiansniper68
[2020:10:12-22:26:37]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: nooo
[2020:10:12-22:26:38]  (Team - Services) -> (TEAM)[S.A.S][G]Daniels: ya entendio
[2020:10:12-22:26:38]  (Local) -> (LOCAL)[1]DraconianSniper68: y como
[2020:10:12-22:26:39]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: el chimbo
[2020:10:12-22:26:39]  (Local) -> (LOCAL)[1]2cb'ELpepe: entonces si mato a tombos me dan 50k?
[2020:10:12-22:26:40]  (Team - Criminals) -> (TEAM)ClammyFireengine32: donde consigo una escopeta?
[2020:10:12-22:26:41]  (Local) -> (LOCAL)[2]PapiChamberUwU: dele /tele
[2020:10:12-22:26:42]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: nooo
[2020:10:12-22:26:43]  (Local) -> (LOCAL)[2]2CB'TU'DIOSA: ya tenes 200k mas sierto?
[2020:10:12-22:26:45]  (Local) -> (LOCAL)[1]2cb'ELpepe: y civil 5k
[2020:10:12-22:26:45]  (Local) -> (LOCAL)[1]2cb'JuanPablo: siii
[2020:10:12-22:26:46]  (Local) -> (LOCAL)[2]CARRANCHO: si
[2020:10:12-22:26:46]  (Global) -> CAPU|~CapuCurioso~|: noooooo
[2020:10:12-22:26:49]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: le da en escape
[2020:10:12-22:26:50]  (Global) -> CAPU|~CapuCurioso~|: hp que dolor
[2020:10:12-22:26:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000_SEMDS_: ya vengop
[2020:10:12-22:26:51]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: XD
[2020:10:12-22:26:52]  (Local) -> (LOCAL)[1]2cb'JuanPablo: por q esta bug lo de civiles
[2020:10:12-22:26:53]  (Global) -> [ZETAS]pablito: como se pone eso xd
[2020:10:12-22:26:55]  (Local) -> (LOCAL)[2]2cb_LILPUSSY: cuanto dan 0k por muertes??
[2020:10:12-22:26:58]  (Global) -> (CAPU)Carneconyuca: luego en configuracion
[2020:10:12-22:26:58]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: ¿ese man tiene pañaes?
[2020:10:12-22:27:00]  (Local) -> (LOCAL)[1]2cb'ELpepe: k chimba de trabajo
[2020:10:12-22:27:02]  (Local) -> (LOCAL)[1]2cb'ELpepe: aajaj
[2020:10:12-22:27:02]  (Global) -> S.A.S[CAD]paulo: MELA LO SUYA
[2020:10:12-22:27:03]  (Local) -> (LOCAL)[3]PapiChamberUwU: no entiendo que quiere?
[2020:10:12-22:27:04]  (Global) -> [ZETA]Henrry: lo escucha?
[2020:10:12-22:27:04]  (Local) -> (LOCAL)[2][ZETAS]pablito: sisas
[2020:10:12-22:27:05]  (Local) -> (LOCAL)[1]CAPU|~CapuCurioso~|: Si crep
[2020:10:12-22:27:10]  (Global) -> [S.A.S][G]Daniels: yo la compre
[2020:10:12-22:27:11]  (Local) -> (LOCAL)[1]2cb'JuanPablo: mk
[2020:10:12-22:27:12]  (Local) -> (LOCAL)[3]CARRANCHO: irme a las venturas
[2020:10:12-22:27:12]  (Local) -> (LOCAL)[2][ZETAS]pablito: cuentelo
[2020:10:12-22:27:13]  (Local) -> (LOCAL)[1]DraconianSniper68: cual escape
[2020:10:12-22:27:14]  (Local) -> (LOCAL)[1]2cb'Escobar: e
[2020:10:12-22:27:16]  (Local) -> (LOCAL)[2]Amber: da 50milpor matarlos\
[2020:10:12-22:27:16]  (Team - Criminals) -> (TEAM)ClammyFireengine32: donde
[2020:10:12-22:27:17]  (Global) -> DearCeilingfan44:  oes donde esta la nmax
[2020:10:12-22:27:18]  (Local) -> (LOCAL)[1]2cb'Escobar: respondem parccero
[2020:10:12-22:27:18]  (Global) -> S.A.S[CAD]paulo: QUISIEREA TENER CARRO
[2020:10:12-22:27:18]  (Local) -> (LOCAL)[1]2cb'JuanPablo: hagamos lo que le digo
[2020:10:12-22:27:21]  (Local) -> (LOCAL)[2][ZETAS]pablito: JAJAJAJ
[2020:10:12-22:27:22]  (Local) -> (LOCAL)[2]2cb_LILPUSSY: hey dan 50 uffff
[2020:10:12-22:27:22]  (Local) -> (LOCAL)[3]2cb'JuanPablo: asi se hace lkas
[2020:10:12-22:27:23]  (Local) -> (LOCAL)[3]2cb'ELpepe: farmear
[2020:10:12-22:27:25]  (Local) -> (LOCAL)[3](CAPU)Carneconyuca: pas
[2020:10:12-22:27:26]  (Local) -> (LOCAL)[1]CAPU|~CapuCurioso~|: JAJAJAJAJJA
[2020:10:12-22:27:26]  (Local) -> (LOCAL)[3]2cb'Escobar: como haces para arrestar en el piso
[2020:10:12-22:27:28]  (Global) -> GT|~Holis: ele
[2020:10:12-22:27:28]  (Local) -> (LOCAL)[2][ZETAS]pablito: don comedias activo
[2020:10:12-22:27:29]  (Local) -> (LOCAL)[2]2cb'ELpepe: pero mitad y mitas
[2020:10:12-22:27:29]  (Local) -> (LOCAL)[3]2cb'Escobar: como en golpes
[2020:10:12-22:27:30]  (Local) -> (LOCAL)[2]2CB'TU'DIOSA: ya llevamos 3 veses en total serian 300k tan rapidod
[2020:10:12-22:27:31]  (Local) -> (LOCAL)[2]2cb'JuanPablo: hay esta
[2020:10:12-22:27:32]  (Local) -> (LOCAL)[3]CARRANCHO: que me van a comprara mi camioneta
[2020:10:12-22:27:36]  (Local) -> (LOCAL)[3]PapiChamberUwU: no se mk
[2020:10:12-22:27:36]  (Global) -> [S.A.S][G]Daniels: tiene que reunir y comprarlo 
[2020:10:12-22:27:38]  (Local) -> (LOCAL)[1]CAPU|~CapuCurioso~|: JASJASJJASJASJASJAS
[2020:10:12-22:27:41]  (Global) -> [ZETA]Henrry: jajajaajaj
[2020:10:12-22:27:42]  (Local) -> (LOCAL)[2](ZETA)michael-giovanny: xddd
[2020:10:12-22:27:42]  (Local) -> (LOCAL)[1]DraconianSniper68: no entiendo jajaja
[2020:10:12-22:27:43]  (Local) -> (LOCAL)[3]PapiChamberUwU: valla en avion
[2020:10:12-22:27:44]  (Global) -> [ZETA]Henrry: mi tio me toca
[2020:10:12-22:27:45]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: XDDD
[2020:10:12-22:27:47]  (Global) -> [S.A.S][G]Daniels: con lo que yo le di se compraba uno
[2020:10:12-22:27:49]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: ya le estoy mandando video
[2020:10:12-22:27:49]  (Local) -> (LOCAL)[2][ZETAS]pablito: vamos por tombos que?
[2020:10:12-22:27:50]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: que pesar velo
[2020:10:12-22:27:51]  (Global) -> S.A.S[CAD]paulo: ABONDE LO BENDEN
[2020:10:12-22:27:51]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: como quedo
[2020:10:12-22:27:57]  (Local) -> (LOCAL)[1]DraconianSniper68: buwño
[2020:10:12-22:27:58]  (Local) -> (LOCAL)[2][ZETAS]pablito: :0
[2020:10:12-22:27:58]  (Global) -> [CAPU]Dillom: wow
[2020:10:12-22:28:01]  (Global) -> GT|Depreda: XDDDDD
[2020:10:12-22:28:05]  (Global) -> 2cb'JuanPablo: ojos tristes
[2020:10:12-22:28:06]  (Global) -> [S.A.S][G]Daniels: yo lo llevo ahora
[2020:10:12-22:28:07]  (Local) -> (LOCAL)[1](CAPU)Carneconyuca: pere
[2020:10:12-22:28:11]  (Global) -> #7F7F7F|CVR|#FF7C00 Patches: XD
[2020:10:12-22:28:12]  (Global) -> #7F7F7F|CVR|#1F00FFOjosTristes: ?
[2020:10:12-22:28:15]  (Local) -> (LOCAL)[2](CAPU)Carneconyuca: le toy mandando un video
