This file was generated by Console at 2020:10:09-00:00:00



[2020:10:09-00:00:00]  (Global) -> [GT]AndresCanson: okampo¿
[2020:10:09-21:17:57]  (Global) -> [GT]LEANDRO: me compre este lokillo
[2020:10:09-21:17:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: como es para revivir costeland
[2020:10:09-21:17:59]  (Local) -> (LOCAL)[4]LOKILLO: nea
[2020:10:09-21:18:00]  (Global) -> 2cb*sumadre: PA QUE ME ARRESTE
[2020:10:09-21:18:00]  (Local) -> (LOCAL)[1][GT]CARRANCHO: se gana bueno
[2020:10:09-21:18:01]  (Local) -> (LOCAL)[4]La_Loli: o me lo pelo
[2020:10:09-21:18:04]  (Local) -> (LOCAL)[5]2cb|JuanEstebanRamirez: puede haber cole mas estupido??
[2020:10:09-21:18:04]  (Local) -> (LOCAL)[1][GT]AndresCanson: meh
[2020:10:09-21:18:04]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): no la venden
[2020:10:09-21:18:05]  (Local) -> (LOCAL)[4][GT]Jhojan: ajjakjajjkajkjkas
[2020:10:09-21:18:06]  (Local) -> (LOCAL)[4]LOKILLO: cuanto
[2020:10:09-21:18:09]  (Local) -> (LOCAL)[4][GT]Jhojan: como se llama
[2020:10:09-21:18:09]  (Global) -> Avalencia: jajajajjajaja
[2020:10:09-21:18:12]  (Local) -> (LOCAL)[5][GT]Jhojan: pa acticarlo?
[2020:10:09-21:18:12]  (Local) -> (LOCAL)[1][GT]AndresCanson: es que al principio se gana feo
[2020:10:09-21:18:14]  (Local) -> (LOCAL)[4]2cb|JuanEstebanRamirez: me tienes al lado curame cole
[2020:10:09-21:18:14]  (Local) -> (LOCAL)[4]La_Loli: vea
[2020:10:09-21:18:15]  (Local) -> (LOCAL)[1]Tetranutra~2cB: lo llevo a su casa costeña parse?
[2020:10:09-21:18:15]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): no la vendo jasjsaj
[2020:10:09-21:18:15]  (Global) -> (CAPU)Jutsu-Milplones: aaaaaaaaa
[2020:10:09-21:18:16]  (Local) -> (LOCAL)[4]La_Loli: lokillo
[2020:10:09-21:18:18]  (Local) -> (LOCAL)[1][GT]AndresCanson: pero toca tener artos vuelo
[2020:10:09-21:18:18]  (Local) -> (LOCAL)[4]LOKILLO: pa
[2020:10:09-21:18:19]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): no vendo mis carros
[2020:10:09-21:18:20]  (Local) -> (LOCAL)[1][GT]CARRANCHO: aa como todo
[2020:10:09-21:18:20]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: claro parse
[2020:10:09-21:18:21]  (Local) -> (LOCAL)[3]SkyMask: sapa hpta
[2020:10:09-21:18:21]  (Local) -> (LOCAL)[4]La_Loli: no le pregunte una mierda
[2020:10:09-21:18:24]  (Local) -> (LOCAL)[4]2cB'Beltran: esa era la skin de klaus......
[2020:10:09-21:18:24]  (Local) -> (LOCAL)[1]Tetranutra~2cB: vamos ps
[2020:10:09-21:18:24]  (Local) -> (LOCAL)[3][ZETAS]JUAN-AA-51: que
[2020:10:09-21:18:25]  (Local) -> (LOCAL)[1][GT]AndresCanson: para que empiezen a pagar bueno
[2020:10:09-21:18:26]  (Local) -> (LOCAL)[4]LOKILLO: no em regla un carro deportivo?
[2020:10:09-21:18:26]  (Local) -> (LOCAL)[1][GT]AndresCanson: sisas
[2020:10:09-21:18:26]  (Local) -> (LOCAL)[4][GT]Jhojan: pa activar el mod
[2020:10:09-21:18:26]  (Global) -> HangingPainting23: que asemos
[2020:10:09-21:18:26]  (Team - Law Enforcement) -> (TEAM)GlisteningDeer96: compañero
[2020:10:09-21:18:27]  (Local) -> (LOCAL)[5]La_Loli: ese no vende ni las nalgas
[2020:10:09-21:18:28]  (Local) -> (LOCAL)[5][GT]Carding999: fabio debloqueela
[2020:10:09-21:18:31]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): con /mod
[2020:10:09-21:18:32]  (Global) -> HangingPainting23: si
[2020:10:09-21:18:32]  (Local) -> (LOCAL)[5][GT]Jhojan: como se llama
[2020:10:09-21:18:32]  (Local) -> (LOCAL)[5]LOKILLO: o me aiuda a comrpar uno
[2020:10:09-21:18:33]  (Team - Law Enforcement) -> (TEAM)GlisteningDeer96: nos toco devolvernos 
[2020:10:09-21:18:33]  (Local) -> (LOCAL)[1][GT]AndresCanson: ayer me hice casi 2 palos
[2020:10:09-21:18:35]  (Local) -> (LOCAL)[1][GT]CARRANCHO: igual que pescador
[2020:10:09-21:18:37]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): cual?
[2020:10:09-21:18:37]  (Local) -> (LOCAL)[5][GT]Jhojan: pero como es llaamaaa
[2020:10:09-21:18:38]  (Local) -> (LOCAL)[5][GT]Carding999: fabio
[2020:10:09-21:18:38]  (Local) -> (LOCAL)[1][GT]AndresCanson: sisa
[2020:10:09-21:18:40]  (Local) -> (LOCAL)[5]Avalencia: Oe favio
[2020:10:09-21:18:42]  (Local) -> (LOCAL)[5][GT]Carding999: desbloquela
[2020:10:09-21:18:43]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): digame
[2020:10:09-21:18:45]  (Local) -> (LOCAL)[2]2cb[MAURO]: oe
[2020:10:09-21:18:46]  (Local) -> (LOCAL)[1]Tetranutra~2cB: aragan
[2020:10:09-21:18:46]  (Local) -> (LOCAL)[6]Avalencia: Un pique
[2020:10:09-21:18:47]  (Local) -> (LOCAL)[6][GT]Jhojan: esta
[2020:10:09-21:18:47]  (Local) -> (LOCAL)[2]2cb*sumadre: EO
[2020:10:09-21:18:47]  (Local) -> (LOCAL)[6]LOKILLO: dejemo rpobar valencia
[2020:10:09-21:18:49]  (Local) -> (LOCAL)[3]2cb|JuanEstebanRamirez: curameeeeeee estupido
[2020:10:09-21:18:50]  (Local) -> (LOCAL)[2]Jabon_Gatillero: gordo pirobo
[2020:10:09-21:18:51]  (Local) -> (LOCAL)[2]2cb[MAURO]: se deja coger?
[2020:10:09-21:18:55]  (Local) -> (LOCAL)[7][GT]Carding999: aaa
[2020:10:09-21:18:56]  (Local) -> (LOCAL)[7][GT]Carding999: ajajaj
[2020:10:09-21:18:59]  (Local) -> (LOCAL)[7][GT]~$Fabio_vidal69$:): es la stretch pero no la venden
[2020:10:09-21:19:02]  (Local) -> (LOCAL)[7]Avalencia: suave
[2020:10:09-21:19:02]  (Local) -> (LOCAL)[2]2cb*sumadre: NO YA NO YA TENGO 4 ERA PA TRABAJAR SJSJJ LA BUENA
[2020:10:09-21:19:03]  (Local) -> (LOCAL)[5]carlos: si a trabajado esto
[2020:10:09-21:19:04]  (Local) -> (LOCAL)[7][GT]Jhojan: stretch
[2020:10:09-21:19:05]  (Local) -> (LOCAL)[7]LOKILLO: leandro
[2020:10:09-21:19:10]  (Global) -> [GT]LEANDRO: q
[2020:10:09-21:19:10]  (Local) -> (LOCAL)[6][GT]Carding999: bueno llevame
[2020:10:09-21:19:11]  (Local) -> (LOCAL)[6]LOKILLO: cuanto el blista
[2020:10:09-21:19:12]  (Local) -> (LOCAL)[3]2cb[MAURO]: hagale
[2020:10:09-21:19:12]  (Global) -> Miguel_polo: hace mucho timpo
[2020:10:09-21:19:16]  (Local) -> (LOCAL)[1]carlos: a
[2020:10:09-21:19:17]  (Local) -> (LOCAL)[7]Avalencia: se fue pa lagua
[2020:10:09-21:19:19]  (Local) -> (LOCAL)[1][GT]CARRANCHO: melo
[2020:10:09-21:19:19]  (Local) -> (LOCAL)[7]Avalencia: uajajajaja
[2020:10:09-21:19:21]  (Global) -> Miguel_polo:  yo no juego hace unos 9 meses
[2020:10:09-21:19:26]  (Global) -> [GT]LEANDRO: lo compre a 1 palo
[2020:10:09-21:19:27]  (Local) -> (LOCAL)[7]Avalencia: Oe lokillo
[2020:10:09-21:19:29]  (Local) -> (LOCAL)[7][GT]Carding999: llevame
[2020:10:09-21:19:31]  (Local) -> (LOCAL)[7][GT]Jhojan: ole
[2020:10:09-21:19:31]  (Local) -> (LOCAL)[1][GT]AndresCanson: sisa xd
[2020:10:09-21:19:32]  (Local) -> (LOCAL)[7]LOKILLO: mkusetd es muy burto
[2020:10:09-21:19:34]  (Local) -> (LOCAL)[7][GT]Carding999: jhogan
[2020:10:09-21:19:35]  (Global) -> [GT]LEANDRO: full tuning
[2020:10:09-21:19:36]  (Local) -> (LOCAL)[7]LOKILLO: eprdone que eldiga
[2020:10:09-21:19:37]  (Global) -> (CAPU)Jutsu-Milplones: temaso
[2020:10:09-21:19:38]  (Local) -> (LOCAL)[8][GT]Jhojan: quien me lleva a pescadores?
[2020:10:09-21:19:39]  (Local) -> (LOCAL)[1][GT]CARRANCHO: yo me hice 1,500 en pescador
[2020:10:09-21:19:39]  (Local) -> (LOCAL)[8][GT]Carding999: llevame
[2020:10:09-21:19:39]  (Local) -> (LOCAL)[8][GT]Jhojan: quien me lleva a pescadores?
[2020:10:09-21:19:42]  (Local) -> (LOCAL)[8]LOKILLO: ese caror vale 600k xd
[2020:10:09-21:19:42]  (Global) -> (CAPU)Jutsu-Milplones: no te desesperes
[2020:10:09-21:19:44]  (Local) -> (LOCAL)[8]LOKILLO: XD
[2020:10:09-21:19:47]  (Local) -> (LOCAL)[1][GT]CARRANCHO: y 1palo en camionero
[2020:10:09-21:19:48]  (Global) -> (CAPU)Jutsu-Milplones: q eta noche yo te robare
[2020:10:09-21:19:49]  (Global) -> [GT]LEANDRO: sno
[2020:10:09-21:19:52]  (Local) -> (LOCAL)[1][GT]AndresCanson: xdd
[2020:10:09-21:19:55]  (Local) -> (LOCAL)[8]LOKILLO: full uos 800k
[2020:10:09-21:19:59]  (Local) -> (LOCAL)[1][GT]AndresCanson: melo tambien
[2020:10:09-21:20:04]  (Global) -> [GT]LEANDRO: ya me lo compre
[2020:10:09-21:20:04]  (Global) -> (CAPU)Jutsu-Milplones: o o ozuna
[2020:10:09-21:20:05]  (Local) -> (LOCAL)[7][GT]Jhojan: neas
[2020:10:09-21:20:05]  (Local) -> (LOCAL)[7][GT]Carding999: jhojan
[2020:10:09-21:20:06]  (Local) -> (LOCAL)[1][GT]CARRANCHO: oe hay le envie la foto
[2020:10:09-21:20:07]  (Global) -> [GT]LEANDRO: tarde
[2020:10:09-21:20:08]  (Local) -> (LOCAL)[7][GT]Jhojan: dime
[2020:10:09-21:20:09]  (Global) -> 2cb[MAURO]: tetranutra
[2020:10:09-21:20:10]  (Local) -> (LOCAL)[8]LOKILLO: le tumbarin 200
[2020:10:09-21:20:11]  (Local) -> (LOCAL)[3][EVG]-[ROQUE]: beltran care monda
[2020:10:09-21:20:12]  (Local) -> (LOCAL)[8]LOKILLO: xd
[2020:10:09-21:20:13]  (Global) -> [GT]~$Fabio_vidal69$:): por que no ponen lo de la dizco en los santos por que en las venturas es pura guerra
[2020:10:09-21:20:13]  (Global) -> Tetranutra~2cB: q
[2020:10:09-21:20:15]  (Local) -> (LOCAL)[7][GT]Carding999: si me da 30k para la gasofa lo llevo
[2020:10:09-21:20:18]  (Local) -> (LOCAL)[3]2cB'Beltran: si ud
[2020:10:09-21:20:21]  (Global) -> 2cb[MAURO]: cuantos arrestos tiene?
[2020:10:09-21:20:22]  (Local) -> (LOCAL)[7][GT]Jhojan: jajaj bre
[2020:10:09-21:20:22]  (Local) -> (LOCAL)[1][GT]AndresCanson: ya la miro
[2020:10:09-21:20:23]  (Local) -> (LOCAL)[8][GT]~$Fabio_vidal69$:): buena camisa bro
[2020:10:09-21:20:25]  (Global) -> [GT]LEANDRO: no importa tengo mucha plata 
[2020:10:09-21:20:26]  (Local) -> (LOCAL)[7][GT]Carding999: y me dice en que lo llevo
[2020:10:09-21:20:26]  (Global) -> Tetranutra~2cB: 555
[2020:10:09-21:20:30]  (Local) -> (LOCAL)[8]LOKILLO: a valea
[2020:10:09-21:20:30]  (Local) -> (LOCAL)[0]2cb[MAURO]: uy
[2020:10:09-21:20:32]  (Global) -> [GT]LEANDRO: pero no me pagan
[2020:10:09-21:20:32]  (Global) -> 2cb[MAURO]: uy
[2020:10:09-21:20:33]  (Local) -> (LOCAL)[8][GT]Jhojan: olee
[2020:10:09-21:20:33]  (Local) -> (LOCAL)[1]Tetranutra~2cB: su casa parse
[2020:10:09-21:20:34]  (Local) -> (LOCAL)[8][GT]Jhojan: nos pia
[2020:10:09-21:20:36]  (Local) -> (LOCAL)[8]LOKILLO: no me aiudas
[2020:10:09-21:20:38]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: claro parse
[2020:10:09-21:20:39]  (Local) -> (LOCAL)[8][GT]Jhojan: nospi
[2020:10:09-21:20:39]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: gracias
[2020:10:09-21:20:40]  (Local) -> (LOCAL)[8][GT]Carding999: aire agua o tieera
[2020:10:09-21:20:40]  (Local) -> (LOCAL)[8][GT]~$Fabio_vidal69$:): buena camisa bro
[2020:10:09-21:20:41]  (Local) -> (LOCAL)[8]LOKILLO: a comrapr uncarro deportivo
[2020:10:09-21:20:41]  (Local) -> (LOCAL)[1][GT]CARRANCHO: sisa quiero el bullet pero casi no me gusta trabajar
[2020:10:09-21:20:43]  (Local) -> (LOCAL)[1][GT]CARRANCHO: ajajajja
[2020:10:09-21:20:45]  (Local) -> (LOCAL)[1]Tetranutra~2cB: de nada mi parse
[2020:10:09-21:20:46]  (Local) -> (LOCAL)[8][GT]Jhojan: aire
[2020:10:09-21:20:48]  (Global) -> [GT]LEANDRO: si 
[2020:10:09-21:20:49]  (Local) -> (LOCAL)[8]LR|-PABLO-|GT: Lo mismo digo
[2020:10:09-21:20:49]  (Local) -> (LOCAL)[8][GT]Jhojan: mas rapido
[2020:10:09-21:20:52]  (Local) -> (LOCAL)[8]LR|-PABLO-|GT: Esta chimba
[2020:10:09-21:20:54]  (Local) -> (LOCAL)[7][GT]Jhojan: nospi bbes
[2020:10:09-21:20:55]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: perdon por no ofrecerte nada
[2020:10:09-21:20:56]  (Local) -> (LOCAL)[1][GT]AndresCanson: XDDD
[2020:10:09-21:20:57]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: no tengo gaseosa
[2020:10:09-21:20:57]  (Local) -> (LOCAL)[7][GT]~$Fabio_vidal69$:): esta plena
[2020:10:09-21:20:59]  (Local) -> (LOCAL)[1][GT]AndresCanson: PUES parcero
[2020:10:09-21:20:59]  (Local) -> (LOCAL)[7][GT]Jhojan: ya hablamos mas rato
[2020:10:09-21:21:01]  (Local) -> (LOCAL)[1][GT]AndresCanson: eventos
[2020:10:09-21:21:02]  (Local) -> (LOCAL)[2][GT]Carding999: vamos
[2020:10:09-21:21:03]  (Local) -> (LOCAL)[7][GT]~$Fabio_vidal69$:): breeve vmzz
[2020:10:09-21:21:03]  (Global) -> Tetranutra~2cB: tranquilo parse
[2020:10:09-21:21:04]  (Local) -> (LOCAL)[7]LOKILLO: o me regals pltica para repar mis carros es que no tneog plata en ningun lado
[2020:10:09-21:21:06]  (Local) -> (LOCAL)[1][GT]AndresCanson: ey
[2020:10:09-21:21:07]  (Global) -> [GT]Carding999: jhojan vamos
[2020:10:09-21:21:07]  (Local) -> (LOCAL)[7]LOKILLO: no tnego
[2020:10:09-21:21:09]  (Global) -> [GT]~$Fabio_vidal69$:): #0000ff chaos
[2020:10:09-21:21:11]  (Global) -> Tetranutra~2cB: ya me acostumbre a andar con pobres
[2020:10:09-21:21:12]  (Local) -> (LOCAL)[1]SkyMask: martin elias 2
[2020:10:09-21:21:13]  (Local) -> (LOCAL)[7]LOKILLO: esoty en quiebra
[2020:10:09-21:21:16]  (Global) -> [GT]LEANDRO: cual se quiere comprar
[2020:10:09-21:21:20]  (Local) -> (LOCAL)[4]LOKILLO: un lambo
[2020:10:09-21:21:20]  (Global) -> [GT]CARRANCHO: andres me salve
[2020:10:09-21:21:20]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): lokillo
[2020:10:09-21:21:22]  (Local) -> (LOCAL)[4]LOKILLO: XD
[2020:10:09-21:21:23]  (Local) -> (LOCAL)[1][GT]Jhojan: es q me da pereza condicir xdd
[2020:10:09-21:21:27]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): sabe cuanto tengo en el banco?
[2020:10:09-21:21:28]  (Global) -> [GT]LEANDRO: huis
[2020:10:09-21:21:29]  (Global) -> [GT]AndresCanson: JASDJASJDASJ NO LE CREO
[2020:10:09-21:21:31]  (Global) -> 2cb[MAURO]: tetranutra
[2020:10:09-21:21:33]  (Local) -> (LOCAL)[1][GT]Jhojan: uhs
[2020:10:09-21:21:34]  (Local) -> (LOCAL)[4]LOKILLO: cuanto
[2020:10:09-21:21:35]  (Global) -> Tetranutra~2cB: qqqqqqqqq
[2020:10:09-21:21:35]  (Local) -> (LOCAL)[1][GT]Jhojan: melo
[2020:10:09-21:21:38]  (Local) -> (LOCAL)[1][GT]Carding999: me rola para gasofa
[2020:10:09-21:21:38]  (Global) -> 2cb[MAURO]: despues del sargento que viene?
[2020:10:09-21:21:39]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): 19 lukas
[2020:10:09-21:21:40]  (Local) -> (LOCAL)[5]LOKILLO: na es boma leandro
[2020:10:09-21:21:41]  (Local) -> (LOCAL)[1][GT]Jhojan: se puede entrar?
[2020:10:09-21:21:42]  (Global) -> 2cb'Royal: xde
[2020:10:09-21:21:43]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): no se queje jajsjaj
[2020:10:09-21:21:43]  (Local) -> (LOCAL)[0][GT]CARRANCHO: ya le mando fot
[2020:10:09-21:21:43]  (Global) -> [GT]AndresCanson: espereme allá
[2020:10:09-21:21:44]  (Local) -> (LOCAL)[5]LOKILLO: XD
[2020:10:09-21:21:45]  (Global) -> Tetranutra~2cB: no se
[2020:10:09-21:21:47]  (Local) -> (LOCAL)[1][GT]Carding999: no se
[2020:10:09-21:21:51]  (Global) -> [GT]CARRANCHO: ya le mando foto
[2020:10:09-21:21:52]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): oe pablo
[2020:10:09-21:21:53]  (Local) -> (LOCAL)[5]LOKILLO: n carro abrato que corra
[2020:10:09-21:21:55]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: Oe
[2020:10:09-21:21:55]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): pongase ropa
[2020:10:09-21:22:02]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): como gafas y mascara
[2020:10:09-21:22:02]  (Local) -> (LOCAL)[1][GT]Jhojan: blanco
[2020:10:09-21:22:04]  (Global) -> [GT]LEANDRO: la rancher corre
[2020:10:09-21:22:10]  (Local) -> (LOCAL)[6]LOKILLO: no peor un blista
[2020:10:09-21:22:10]  (Global) -> (CAPU)Jutsu-Milplones: q mas pues
[2020:10:09-21:22:15]  (Global) -> (CAPU)Jutsu-Milplones: sigo aqui pensando en q
[2020:10:09-21:22:17]  (Local) -> (LOCAL)[6]LOKILLO: o algo ahsi que no apsa de un millon
[2020:10:09-21:22:18]  (Global) -> (CAPU)Jutsu-Milplones: enq rico fies
[2020:10:09-21:22:29]  (Global) -> [GT]LEANDRO: a usted le cambie el hotrin race
[2020:10:09-21:22:32]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): la riñonera es dificil
[2020:10:09-21:22:35]  (Local) -> (LOCAL)[5]LOKILLO: no
[2020:10:09-21:22:44]  (Local) -> (LOCAL)[1][GT]Jhojan: era cchimba cuando se podia andar si n gasofia
[2020:10:09-21:22:45]  (Local) -> (LOCAL)[5]LOKILLO: yo nucna tuve el hotrign
[2020:10:09-21:22:47]  (Global) -> [GT]LEANDRO: a no fue a tuerto
[2020:10:09-21:22:48]  (Local) -> (LOCAL)[1][GT]Carding999: sza
[2020:10:09-21:22:54]  (Global) -> [GT]CARRANCHO: necesito un medico
[2020:10:09-21:22:59]  (Local) -> (LOCAL)[2]2cb[MAURO]: oe
[2020:10:09-21:23:01]  (Local) -> (LOCAL)[2]penecabezon: porque sos asi
[2020:10:09-21:23:02]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): oigan vamos a correr o no?
[2020:10:09-21:23:04]  (Local) -> (LOCAL)[4][GT]Jhojan: chao nea, la bna
[2020:10:09-21:23:04]  (Local) -> (LOCAL)[1]Jabon_Gatillero: aa
[2020:10:09-21:23:04]  (Local) -> (LOCAL)[2]2cb[MAURO]: pegueme
[2020:10:09-21:23:06]  (Local) -> (LOCAL)[1]2cb'Royal: a
[2020:10:09-21:23:08]  (Local) -> (LOCAL)[1]penecabezon: naa
[2020:10:09-21:23:08]  (Local) -> (LOCAL)[1]Tetranutra~2cB: VAMOS A TURFEAR PARSE
[2020:10:09-21:23:09]  (Global) -> (CAPU)Jutsu-Milplones: un medico necesita ud medico XD
[2020:10:09-21:23:09]  (Local) -> (LOCAL)[1]2cb[MAURO]: si
[2020:10:09-21:23:10]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 [COSTELAND]Khausu: No dispare con Job
[2020:10:09-21:23:10]  (Local) -> (LOCAL)[5][GT]Carding999: dale perro
[2020:10:09-21:23:11]  (Local) -> (LOCAL)[1][GT]AndresCanson: JSADJADJA
[2020:10:09-21:23:13]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): ushhh salio a volar
[2020:10:09-21:23:13]  (Local) -> (LOCAL)[1][GT]CARRANCHO: oe
[2020:10:09-21:23:15]  (Global) -> [GT]Jhojan: afk
[2020:10:09-21:23:15]  (Local) -> (LOCAL)[1][GT]CARRANCHO: ajajaja
[2020:10:09-21:23:15]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: comoasi parse
[2020:10:09-21:23:16]  (Local) -> (LOCAL)[1]2cb'Royal: necesito dinero me das¿
[2020:10:09-21:23:19]  (Local) -> (LOCAL)[1][GT]AndresCanson: perdon
[2020:10:09-21:23:20]  (Local) -> (LOCAL)[1]Jabon_Gatillero: nose
[2020:10:09-21:23:21]  (Local) -> (LOCAL)[1]Tetranutra~2cB: aaa
[2020:10:09-21:23:22]  (Local) -> (LOCAL)[0]2cb*sumadre: ud
[2020:10:09-21:23:23]  (Local) -> (LOCAL)[1]Jabon_Gatillero: encaneme
[2020:10:09-21:23:24]  (Local) -> (LOCAL)[1]Tetranutra~2cB: me bugee
[2020:10:09-21:23:24]  (Local) -> (LOCAL)[5]LOKILLO: nea
[2020:10:09-21:23:24]  (Local) -> (LOCAL)[1][GT]AndresCanson: le di a enter sin qierer
[2020:10:09-21:23:25]  (Local) -> (LOCAL)[5]penecabezon: vea
[2020:10:09-21:23:27]  (Local) -> (LOCAL)[5]LOKILLO: cmaine vmaos y miramos carro
[2020:10:09-21:23:27]  (Local) -> (LOCAL)[2]2cb'JuanPablo: eleeeeeeeee
[2020:10:09-21:23:27]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): avalencia
[2020:10:09-21:23:28]  (Local) -> (LOCAL)[1][GT]CARRANCHO: estaba buscando la plata
[2020:10:09-21:23:30]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF7C00 [COSTELAND]Khausu: Quitese medico si va a disparar
[2020:10:09-21:23:30]  (Local) -> (LOCAL)[1][GT]CARRANCHO: jajaja
[2020:10:09-21:23:31]  (Local) -> (LOCAL)[5]LOKILLO: haber cual em tram
[2020:10:09-21:23:38]  (Local) -> (LOCAL)[1]Tetranutra~2cB: ya
[2020:10:09-21:23:39]  (Global) -> [GT]LEANDRO: dele ps
[2020:10:09-21:23:39]  (Local) -> (LOCAL)[1][GT]AndresCanson: cogio eso?
[2020:10:09-21:23:40]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: ey parse
[2020:10:09-21:23:40]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): carreras?
[2020:10:09-21:23:40]  (Local) -> (LOCAL)[1]Tetranutra~2cB: VAMOS A TURFEAR PARSE
[2020:10:09-21:23:44]  (Local) -> (LOCAL)[1][GT]CARRANCHO: no
[2020:10:09-21:23:44]  (Global) -> [GT]Jhojan: afk
[2020:10:09-21:23:46]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): aver
[2020:10:09-21:23:51]  (Local) -> (LOCAL)[1][GT]AndresCanson: el paquete XD
[2020:10:09-21:23:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: malditasea
[2020:10:09-21:23:56]  (Local) -> (LOCAL)[4]LOKILLO: cierra
[2020:10:09-21:23:57]  (Local) -> (LOCAL)[1][GT]AndresCanson: dele a f6
[2020:10:09-21:23:58]  (Local) -> (LOCAL)[1]Tetranutra~2cB: q
[2020:10:09-21:24:01]  (Local) -> (LOCAL)[1]Tetranutra~2cB: no me va a ayudar
[2020:10:09-21:24:03]  (Local) -> (LOCAL)[1]Tetranutra~2cB: parse
[2020:10:09-21:24:03]  (Global) -> [GT]LEANDRO: me dolio vender esta camioneta
[2020:10:09-21:24:05]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): dele dos veces o leandro
[2020:10:09-21:24:07]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: vmao a turfear pues parse mio
[2020:10:09-21:24:08]  (Local) -> (LOCAL)[1][GT]AndresCanson: y donde dice "helth pack
[2020:10:09-21:24:09]  (Local) -> (LOCAL)[1]Tetranutra~2cB: tele gratis conmigo
[2020:10:09-21:24:11]  (Local) -> (LOCAL)[1]Tetranutra~2cB: vamo
[2020:10:09-21:24:11]  (Local) -> (LOCAL)[1][GT]CARRANCHO: sisas
[2020:10:09-21:24:15]  (Local) -> (LOCAL)[1][GT]AndresCanson: xd
[2020:10:09-21:24:17]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): pere
[2020:10:09-21:24:17]  (Local) -> (LOCAL)[1][GT]AndresCanson: vamos
[2020:10:09-21:24:24]  (Local) -> (LOCAL)[1][GT]AndresCanson: utilice por ahi 10
[2020:10:09-21:24:25]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): aver yo pongo contador hasta la meta
[2020:10:09-21:24:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: quitese el job
[2020:10:09-21:24:32]  (Local) -> (LOCAL)[1][GT]CARRANCHO: asi
[2020:10:09-21:24:34]  (Local) -> (LOCAL)[4][GT]~$Fabio_vidal69$:): hagase al lado
[2020:10:09-21:24:41]  (Local) -> (LOCAL)[4]LOKILLO: eladnro
[2020:10:09-21:24:42]  (Global) -> #7F7F7F|CVR|#FF0000[COSTELAND]SEMDS: aaa
[2020:10:09-21:24:43]  (Local) -> (LOCAL)[1][GT]CARRANCHO: por hay consigo un medico
[2020:10:09-21:24:45]  (Local) -> (LOCAL)[4]LOKILLO: vmaos
[2020:10:09-21:24:45]  (Local) -> (LOCAL)[1][GT]AndresCanson: cogio la plata??
[2020:10:09-21:24:47]  (Local) -> (LOCAL)[5]LOKILLO: suba
[2020:10:09-21:24:48]  (Global) -> [GT]LEANDRO: maneje usted
[2020:10:09-21:24:49]  (Local) -> (LOCAL)[1][GT]CARRANCHO: no
[2020:10:09-21:24:54]  (Local) -> (LOCAL)[1][GT]AndresCanson: ahs
[2020:10:09-21:24:55]  (Local) -> (LOCAL)[5]LOKILLO: suab
[2020:10:09-21:24:57]  (Local) -> (LOCAL)[5][GT]~$Fabio_vidal69$:): aver yo pongo contador hasta la meta
