This file was generated by Console at 2020:12:16-00:00:03



[2020:12:16-00:00:03]  (Local) -> (LOCAL)[1]2cb'ratix: oe
[2020:12:16-22:05:07]  (Global) -> ElRodriguez: porfa
[2020:12:16-22:05:07]  (Local) -> (LOCAL)[1]2cBPrexto: voy
[2020:12:16-22:05:07]  (Global) -> [ak]jimenez: pablo
[2020:12:16-22:05:08]  (Local) -> (LOCAL)[19]CAPU'Julian_SkiGg: no esta en directo patron
[2020:12:16-22:05:11]  (Global) -> marlon_cajica: pablo
[2020:12:16-22:05:13]  (Global) -> [ak]jimenez: pabloo
[2020:12:16-22:05:13]  (Global) -> Tribilon: Jueputa 1 palo en investigaciones
[2020:12:16-22:05:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: XDD
[2020:12:16-22:05:16]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: lo de los bugs de este trabajo
[2020:12:16-22:05:17]  (Global) -> marlon_cajica: puedo unirme
[2020:12:16-22:05:18]  (Local) -> (LOCAL)[20]CAPU'Julian_SkiGg: a listo
[2020:12:16-22:05:18]  (Global) -> 2cb'Jolyne: jajajajajja
[2020:12:16-22:05:23]  (Local) -> (LOCAL)[1]2cb'Jolyne: re meme ese final ajsjasjjas
[2020:12:16-22:05:23]  (Global) -> [ak]jimenez: pablo
[2020:12:16-22:05:24]  (Local) -> (LOCAL)[19]CAPU'Julian_SkiGg: patron
[2020:12:16-22:05:24]  (Global) -> ElRodriguez: graciuas
[2020:12:16-22:05:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: xdddd
[2020:12:16-22:05:29]  (Local) -> (LOCAL)[1]2cb'Jolyne: venga
[2020:12:16-22:05:29]  (Global) -> ElRodriguez: ud es el mejor
[2020:12:16-22:05:29]  (Global) -> [ak]jimenez: pablo
[2020:12:16-22:05:30]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Pelea de invalidos
[2020:12:16-22:05:31]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Literal
[2020:12:16-22:05:33]  (Local) -> (LOCAL)[16]CAPU'Julian_SkiGg: agale pues
[2020:12:16-22:05:33]  (Global) -> [ak]jimenez: pablo
[2020:12:16-22:05:35]  (Global) -> ElRodriguez: siga asi
[2020:12:16-22:05:36]  (Global) -> [ak]jimenez: pablo
[2020:12:16-22:05:38]  (Global) -> [ak]jimenez: pablo
[2020:12:16-22:05:39]  (Local) -> (LOCAL)[1]2cb'Jolyne: a la proxima verifiquemos no estar bugiados
[2020:12:16-22:05:45]  (Global) -> [ak]jimenez: pabloooo
[2020:12:16-22:05:46]  (Local) -> (LOCAL)[14]CAPU'Julian_SkiGg: vamos a quemar a ese hijueputa
[2020:12:16-22:05:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Usted estaba bug?
[2020:12:16-22:05:48]  (Global) -> Kopycat_1: nea, esta bien
[2020:12:16-22:05:54]  (Local) -> (LOCAL)[2]2cb'Jolyne: ahi estamos bn
[2020:12:16-22:05:54]  (Local) -> (LOCAL)[4]Speartick: Duele
[2020:12:16-22:05:55]  (Global) -> [ak]jimenez: no importa los año que tenga
[2020:12:16-22:05:57]  (Local) -> (LOCAL)[15]CAPU'Julian_SkiGg: solo cartel de medellin
[2020:12:16-22:05:57]  (Global) -> 2cb_Parolo.: duro
[2020:12:16-22:05:58]  (Local) -> (LOCAL)[2]2cb'Jolyne: o no?
[2020:12:16-22:05:59]  (Global) -> [ak]jimenez: yo
[2020:12:16-22:06:01]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: Nea
[2020:12:16-22:06:01]  (Global) -> Kopycat_1: que le duele, el culo?
[2020:12:16-22:06:03]  (Local) -> (LOCAL)[4]Speartick: pero estoy bien
[2020:12:16-22:06:04]  (Local) -> (LOCAL)[1]2cBPrexto: te voy a
[2020:12:16-22:06:05]  (Local) -> (LOCAL)[1]2cb'Jolyne: ud me choca?
[2020:12:16-22:06:05]  (Global) -> [ak]jimenez: tengo 13
[2020:12:16-22:06:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Para usted qué es bugeado jajaja
[2020:12:16-22:06:05]  (Global) -> ElRodriguez: gracias
[2020:12:16-22:06:06]  (Local) -> (LOCAL)[4]Speartick: Un poco
[2020:12:16-22:06:06]  (Local) -> (LOCAL)[1]2cBPrexto: dar unas lucas
[2020:12:16-22:06:08]  (Global) -> Kopycat_1: ah, en la buena
[2020:12:16-22:06:08]  (Global) -> #7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: reuerden pueden usar el chat local que es U
[2020:12:16-22:06:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: Sisas
[2020:12:16-22:06:09]  (Local) -> (LOCAL)[1]2cBPrexto: para que tengas
[2020:12:16-22:06:10]  (Local) -> (LOCAL)[15]CAPU'Julian_SkiGg: patorn
[2020:12:16-22:06:11]  (Local) -> (LOCAL)[2]2cb'Jolyne: ps q nos choquemos
[2020:12:16-22:06:14]  (Global) -> Kopycat_1: siga con el buen trabajo
[2020:12:16-22:06:14]  (Global) -> 2cb_Parolo.: aqui tiene pa qe me las bese
[2020:12:16-22:06:16]  (Local) -> (LOCAL)[4]Speartick: la buena mr
[2020:12:16-22:06:20]  (Global) -> [ak]jimenez: pablo si
[2020:12:16-22:06:20]  (Local) -> (LOCAL)[13]CAPU'Julian_SkiGg: no ya no q pena
[2020:12:16-22:06:21]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: Yo sí lo choco
[2020:12:16-22:06:23]  (Local) -> (LOCAL)[2]2cb'Jolyne: lo normal es q traspasemos nada mas
[2020:12:16-22:06:24]  (Global) -> 2cb_Parolo.:  jaja pa que se regala
[2020:12:16-22:06:26]  (Global) -> [ak]jimenez: tengo 13
[2020:12:16-22:06:27]  (Local) -> (LOCAL)[1]2cBPrexto: breve
[2020:12:16-22:06:31]  (Global) -> marlon_cajica: yo tambien
[2020:12:16-22:06:34]  (Global) -> 2cb_Parolo.: miestra me la mama me crece
[2020:12:16-22:06:35]  (Global) -> ElRodriguez: gracias
[2020:12:16-22:06:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Ya
[2020:12:16-22:06:38]  (Local) -> (LOCAL)[13]CAPU'Julian_SkiGg: q yo le tengo meras ganas a l miembro alegre ese
[2020:12:16-22:06:40]  (Global) -> [ak]jimenez: pablo ablo por voz
[2020:12:16-22:06:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Mmmm
[2020:12:16-22:06:43]  (Local) -> (LOCAL)[14]CAPU'Julian_SkiGg: ganas de pelarlo
[2020:12:16-22:06:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Pero parece que ud no jajaja
[2020:12:16-22:06:46]  (Local) -> (LOCAL)[1]2cb'Jolyne: no
[2020:12:16-22:06:48]  (Local) -> (LOCAL)[1]2cb'Jolyne: imposible
[2020:12:16-22:06:49]  (Local) -> (LOCAL)[14]CAPU'Julian_SkiGg: a breve
[2020:12:16-22:06:59]  (Local) -> (LOCAL)[1]2cb'Jolyne: si ud esta bien yo no y viceversa
[2020:12:16-22:07:01]  (Local) -> (LOCAL)[12]CAPU'Julian_SkiGg: solo hay q pelar a los sicarios de el
[2020:12:16-22:07:03]  (Global) -> 2cb_Parolo.: patron
[2020:12:16-22:07:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: sisas
[2020:12:16-22:07:05]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: mmmm
[2020:12:16-22:07:07]  (Global) -> [ak]jimenez: bueno
[2020:12:16-22:07:07]  (Local) -> (LOCAL)[1]2cb'Jolyne: vamos asi q puras
[2020:12:16-22:07:08]  (Local) -> (LOCAL)[14]CAPU'Julian_SkiGg: R
[2020:12:16-22:07:09]  (Team - Criminals) -> (TEAM)2cb'Jolyne: putas
[2020:12:16-22:07:10]  (Global) -> 2cb_Parolo.: lo tiramos por la borda
[2020:12:16-22:07:12]  (Global) -> [ak]jimenez: bueno
[2020:12:16-22:07:14]  (Local) -> (LOCAL)[13]LocaHp: XD
[2020:12:16-22:07:15]  (Local) -> (LOCAL)[1]Speartick: hey
[2020:12:16-22:07:24]  (Global) -> 2cb_Parolo.: patron
[2020:12:16-22:07:27]  (Global) -> [ak]jimenez: pablo si le guzt mi voz
[2020:12:16-22:07:28]  (Local) -> (LOCAL)[1]2cb'Jolyne: ajsjas
[2020:12:16-22:07:30]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: xd
[2020:12:16-22:07:33]  (Global) -> 2cb_Parolo.: lo tiramos por la borda
[2020:12:16-22:07:38]  (Local) -> (LOCAL)[14]CAPU'Julian_SkiGg: toca matarlo
[2020:12:16-22:07:43]  (Local) -> (LOCAL)[1]2cb'Jolyne: na
[2020:12:16-22:07:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Paila
[2020:12:16-22:07:48]  (Local) -> (LOCAL)[1]2cb'Jolyne: me voltea horrible
[2020:12:16-22:07:51]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Sisas
[2020:12:16-22:07:53]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: mmm
[2020:12:16-22:07:54]  (Local) -> (LOCAL)[1]2cb'Jolyne: de new
[2020:12:16-22:07:57]  (Global) -> 2cb_Parolo.: chao
[2020:12:16-22:08:04]  (Local) -> (LOCAL)[11]CAPU'Julian_SkiGg: patorn
[2020:12:16-22:08:06]  (Global) -> marlon_cajica: patron
[2020:12:16-22:08:07]  (Local) -> (LOCAL)[11]CAPU'Julian_SkiGg: con esta skin?
[2020:12:16-22:08:20]  (Global) -> marlon_cajica: puedo unirme
[2020:12:16-22:08:24]  (Global) -> marlon_cajica: a su cartel
[2020:12:16-22:08:28]  (Local) -> (LOCAL)[9]CAPU'Julian_SkiGg: patron se dice bobo cagao
[2020:12:16-22:08:29]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: muy pocos trabajan en esto
[2020:12:16-22:08:31]  (Local) -> (LOCAL)[8][2cb]kpinto12: hola
[2020:12:16-22:08:35]  (Global) -> marlon_cajica: ok si señor
[2020:12:16-22:08:37]  (Global) -> [ak]jimenez: jajaja}
[2020:12:16-22:08:38]  ([Msg] de Tribilon para #000000L#FF00FFocaHp: dejeme buscar pistas gano plato y lo dejo a usted en paz que dice) -> nil
[2020:12:16-22:08:41]  (Global) -> marlon_cajica: ok
[2020:12:16-22:08:42]  (Local) -> (LOCAL)[7]LocaHp: qn pa rolear sexo duro
[2020:12:16-22:08:44]  (Local) -> (LOCAL)[7][2cb]kpinto12: qeu mas patron
[2020:12:16-22:08:47]  (Local) -> (LOCAL)[7]LocaHp: sexo hardcore
[2020:12:16-22:08:51]  (Local) -> (LOCAL)[7]LocaHp: sexo fuerte
[2020:12:16-22:08:55]  (Global) -> marlon_cajica: yoo
[2020:12:16-22:08:55]  (Global) -> 2cb*ARETE: :v
[2020:12:16-22:08:55]  (Local) -> (LOCAL)[6]CAPU'Julian_SkiGg: ui kieto
[2020:12:16-22:08:57]  (Local) -> (LOCAL)[6][2cb]kpinto12: de q
[2020:12:16-22:08:58]  (Local) -> (LOCAL)[6]LocaHp: venga ps
[2020:12:16-22:09:06]  (Local) -> (LOCAL)[5][2cb]kpinto12: nose
[2020:12:16-22:09:07]  (Global) -> [ak]jimenez: tsi con ese marica
[2020:12:16-22:09:10]  (Local) -> (LOCAL)[4]CAPU'Julian_SkiGg: patron
[2020:12:16-22:09:12]  (Global) -> [ak]jimenez: se apunta
[2020:12:16-22:09:15]  (Local) -> (LOCAL)[4]CAPU'Julian_SkiGg: entonces hablame
[2020:12:16-22:09:16]  (Local) -> (LOCAL)[4][2cb]kpinto12: si ajjaja
[2020:12:16-22:09:17]  (Global) -> marlon_cajica: aaa
[2020:12:16-22:09:20]  (Global) -> [ak]jimenez: bueno
[2020:12:16-22:09:22]  (Local) -> (LOCAL)[3]LocaHp: oh
[2020:12:16-22:09:23]  (Local) -> (LOCAL)[4][2cb]kpinto12: okey no
[2020:12:16-22:09:24]  (Global) -> oscarrodriguez: marlon
[2020:12:16-22:09:27]  (Local) -> (LOCAL)[3]LocaHp: you got a really big dick
[2020:12:16-22:09:29]  (Local) -> (LOCAL)[3]Speartick: hey!
[2020:12:16-22:09:32]  (Local) -> (LOCAL)[5][2cb]kpinto12: pero conquien nos damos
[2020:12:16-22:09:33]  (Team - Services) -> (TEAM)oscarrodriguez: mire el telefono
[2020:12:16-22:09:38]  (Local) -> (LOCAL)[3]LocaHp: so thicc
[2020:12:16-22:09:39]  (Local) -> (LOCAL)[2]2cb'Jolyne: lo choque?
[2020:12:16-22:09:40]  (Global) -> marlon_cajica: listto bb grax
[2020:12:16-22:09:42]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: sisas xd
[2020:12:16-22:09:43]  (Local) -> (LOCAL)[8][2cb]kpinto12: lsito als 6
[2020:12:16-22:09:43]  (Local) -> (LOCAL)[2]2cB"Trakegunz: a
[2020:12:16-22:09:43]  (Local) -> (LOCAL)[8]CAPU'Julian_SkiGg: miembro alegre
[2020:12:16-22:09:44]  (Local) -> (LOCAL)[2]2cb'Jolyne: na
[2020:12:16-22:09:46]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: justo atras
[2020:12:16-22:09:47]  (Local) -> (LOCAL)[2]2cb'Jolyne: asi no c puede
[2020:12:16-22:09:48]  (Local) -> (LOCAL)[4]Speartick: Como carajos funciona el banco xD?
[2020:12:16-22:09:48]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: me volteo
[2020:12:16-22:09:50]  (Local) -> (LOCAL)[8]CAPU'Julian_SkiGg: kevin
[2020:12:16-22:09:51]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: sí creo
[2020:12:16-22:09:52]  (Global) -> [ak]jimenez: tyaaa
[2020:12:16-22:09:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: tal vez
[2020:12:16-22:09:54]  (Local) -> (LOCAL)[2]2cb'Jolyne: sigamos en bigear mejor
[2020:12:16-22:09:56]  (Local) -> (LOCAL)[7]CAPU'Julian_SkiGg: ud q es buen gatillero
[2020:12:16-22:09:57]  (Global) -> [ak]jimenez: bueno patron
[2020:12:16-22:09:58]  (Global) -> marlon_cajica: vamo a otro lugar
[2020:12:16-22:09:58]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: entrando a la zona al mismo tiempo
[2020:12:16-22:10:00]  (Local) -> (LOCAL)[5]CAPU'Julian_SkiGg: patorn
[2020:12:16-22:10:03]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: ey pa uy kieto
[2020:12:16-22:10:04]  (Local) -> (LOCAL)[2]2cb'Jolyne: tal vez con elegys de spawn
[2020:12:16-22:10:04]  (Local) -> (LOCAL)[5]CAPU'Julian_SkiGg: digale a ocampo
[2020:12:16-22:10:04]  (Global) -> [ak]jimenez: le gusta mi voz
[2020:12:16-22:10:05]  (Local) -> (LOCAL)[2]LocaHp: no sr ando matando tombos
[2020:12:16-22:10:06]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: Y warpeamos el carro
[2020:12:16-22:10:07]  (Local) -> (LOCAL)[2]2cB"Trakegunz: a verrrrrrrrrrrrrrrrrrrrrrrrrr
[2020:12:16-22:10:10]  (Global) -> (CAPU)Arnulfo_Punketo: nerfearon el trabajo de piloto?
[2020:12:16-22:10:11]  (Local) -> (LOCAL)[7]CAPU'Julian_SkiGg: ese es buen gatillero
[2020:12:16-22:10:11]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: pille
[2020:12:16-22:10:12]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#0064FFFrancine98: ey
[2020:12:16-22:10:14]  (Local) -> (LOCAL)[2]2cb'Jolyne: y como entramos al mismo tiempo
[2020:12:16-22:10:16]  (Global) -> Tribilon: si
[2020:12:16-22:10:21]  (Local) -> (LOCAL)[4]Speartick: jejej
[2020:12:16-22:10:21]  (Global) -> Tribilon: ahora toca esperar 4 mn
[2020:12:16-22:10:27]  (Global) -> Felip_Cor017: ?
[2020:12:16-22:10:30]  (Global) -> #7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: si pero se acomodara , por ahora camelle en otra vaina pa
[2020:12:16-22:10:30]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Pues no al mismo tiempo
[2020:12:16-22:10:34]  (Local) -> (LOCAL)[3]2cbcapojuan: chao
[2020:12:16-22:10:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Pero meter los carros de esta forma
[2020:12:16-22:10:38]  (Global) -> (CAPU)Arnulfo_Punketo: ah finisimos reyes
[2020:12:16-22:10:40]  (Local) -> (LOCAL)[4]Speartick: chaolin
[2020:12:16-22:10:40]  (Global) -> (CAPU)Arnulfo_Punketo: la bna
[2020:12:16-22:10:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: pero desde aguera
[2020:12:16-22:10:51]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: afuera*
[2020:12:16-22:10:53]  (Global) -> Felip_Cor017: ¡???
[2020:12:16-22:10:54]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: que pasí jhaa
[2020:12:16-22:10:55]  (Local) -> (LOCAL)[7]CAPU'Julian_SkiGg: patron
[2020:12:16-22:10:56]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Metalo again
[2020:12:16-22:11:00]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: desde afuera de la zona
[2020:12:16-22:11:01]  (Local) -> (LOCAL)[1]2cb'Jolyne: y ahi los warpeamos adentro?
[2020:12:16-22:11:01]  (Global) -> oscarrodriguez: marlon mire el telefono
[2020:12:16-22:11:02]  (Local) -> (LOCAL)[7]CAPU'Julian_SkiGg: firme con ud
[2020:12:16-22:11:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: sisas
[2020:12:16-22:11:05]  (Global) -> marlon_cajica: oye
[2020:12:16-22:11:07]  (Local) -> (LOCAL)[1]2cb'Jolyne: ya
[2020:12:16-22:11:09]  (Local) -> (LOCAL)[8]|AK|pancho: MONTECE PATRON
[2020:12:16-22:11:09]  (Global) -> [ak]jimenez: patron
[2020:12:16-22:11:10]  (Local) -> (LOCAL)[3]2cb'Razzork: jajaja
[2020:12:16-22:11:13]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Aaaa no
[2020:12:16-22:11:14]  (Local) -> (LOCAL)[8]CAPU'Julian_SkiGg: matar a miembro alegre
[2020:12:16-22:11:18]  (Local) -> (LOCAL)[8]|AK|pancho: NOOO PATRON
[2020:12:16-22:11:19]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Dejarlos aca y warpearlos sin guardarlos
[2020:12:16-22:11:25]  (Global) -> marlon_cajica: wwuiwro mas
[2020:12:16-22:11:26]  (Local) -> (LOCAL)[1]2cb'Jolyne: veamos
[2020:12:16-22:11:27]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Seb: Pero la idea es que entren a la zona desde afuera
[2020:12:16-22:11:31]  (Local) -> (LOCAL)[7]LocaHp: no sr
[2020:12:16-22:11:40]  (Global) -> Loctarsito12: ´
[2020:12:16-22:11:40]  (Local) -> (LOCAL)[0]2cb'Jolyne: aaa
[2020:12:16-22:11:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: esas chinas disq de 12
[2020:12:16-22:11:41]  (Global) -> [MZ]PabloEscobar: q sucede si hay 2 pablos escobar
[2020:12:16-22:11:44]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: o 14
[2020:12:16-22:11:46]  (Local) -> (LOCAL)[1]2cb'Jolyne: claro
[2020:12:16-22:11:47]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: xddd
[2020:12:16-22:11:50]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: uyy man, como así jajaj
[2020:12:16-22:11:54]  (Global) -> #7F7F7F|CVR|#FF0000Seb: Ya
[2020:12:16-22:11:55]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: están dentro del server
[2020:12:16-22:12:05]  (Global) -> [ak]jimenez: bueno
[2020:12:16-22:12:07]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: melo?
[2020:12:16-22:12:09]  (Global) -> [2cb]kpinto12: que pelan al que no se verdadero
[2020:12:16-22:12:09]  (Local) -> (LOCAL)[2]2cb'Jolyne: sisas o pailas
[2020:12:16-22:12:15]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: A mi me sirve
[2020:12:16-22:12:16]  (Local) -> (LOCAL)[2]2cb'Jolyne: pa mi si
[2020:12:16-22:12:17]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: ud?
[2020:12:16-22:12:19]  (Global) -> [MZ]PabloEscobar: jimenez
[2020:12:16-22:12:20]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Seb: breve
[2020:12:16-22:12:20]  (Local) -> (LOCAL)[2]2cb'Jolyne: sisas
[2020:12:16-22:12:21]  (Local) -> (LOCAL)[2]2cb'Jolyne: bn
[2020:12:16-22:12:23]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: no no
[2020:12:16-22:12:25]  (Global) -> [ak]jimenez: sisa
[2020:12:16-22:12:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: esta como en 8
[2020:12:16-22:12:26]  (Global) -> [MZ]PabloEscobar: pageme mi plata padre
[2020:12:16-22:12:27]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: y qué, muy raro o qué?
[2020:12:16-22:12:29]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: esa chjina
[2020:12:16-22:12:35]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: no
[2020:12:16-22:12:36]  (Local) -> (LOCAL)[9][2cb]kpinto12: lo mate
[2020:12:16-22:12:36]  (Global) -> CAPU'Julian_SkiGg: skippers
[2020:12:16-22:12:37]  (Global) -> [ak]jimenez: veng
[2020:12:16-22:12:38]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: en octavo
[2020:12:16-22:12:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: osea
[2020:12:16-22:12:43]  (Global) -> [ak]jimenez: marino
[2020:12:16-22:12:45]  (Global) -> [MZ]PabloEscobar: a donde esta
[2020:12:16-22:12:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: ta chikita
[2020:12:16-22:12:48]  (Local) -> (LOCAL)[11]Diez: silencio
[2020:12:16-22:12:49]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: pero bnaa
[2020:12:16-22:12:50]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: asjajsajsajs
[2020:12:16-22:12:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: q gonorrea
[2020:12:16-22:12:55]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: ahh jajaja
[2020:12:16-22:12:55]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: pa
[2020:12:16-22:12:55]  (Local) -> (LOCAL)[2][MZ]PabloEscobar: oe
[2020:12:16-22:12:56]  (Global) -> Tribilon: Puto retrasado soy de tu gang
[2020:12:16-22:12:57]  (Global) -> [ak]jimenez: oe
[2020:12:16-22:13:00]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: y como sabes que está buena jjajaa
[2020:12:16-22:13:02]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: finisima
[2020:12:16-22:13:04]  (Local) -> (LOCAL)[9][2cb]kpinto12: mate al tombo
[2020:12:16-22:13:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: por las fotos pa
[2020:12:16-22:13:10]  (Global) -> [ak]jimenez: oe
[2020:12:16-22:13:14]  (Global) -> Kopycat_1: chino
[2020:12:16-22:13:18]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: y en el 2019 q gonorrea
[2020:12:16-22:13:19]  (Local) -> (LOCAL)[8]CAPU'Julian_SkiGg: no
[2020:12:16-22:13:20]  (Global) -> Kopycat_1: estoy volado
[2020:12:16-22:13:21]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: ahh, y donde las mostraron jaja
[2020:12:16-22:13:22]  (Global) -> [MZ]PabloEscobar: jimenez
[2020:12:16-22:13:22]  (Local) -> (LOCAL)[7]CAPU'Julian_SkiGg: mero niños pa
[2020:12:16-22:13:23]  (Global) -> Kopycat_1: dejeme quieto
[2020:12:16-22:13:25]  (Global) -> [MZ]PabloEscobar: donde esta
[2020:12:16-22:13:26]  (Local) -> (LOCAL)[1]Sancocho-kun: ajajaj nada pa
[2020:12:16-22:13:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: a ps face
[2020:12:16-22:13:29]  (Global) -> Kopycat_1: no
[2020:12:16-22:13:35]  (Local) -> (LOCAL)[4]IZI_Omar25: hay malo
[2020:12:16-22:13:36]  (Global) -> Tribilon: encana a ese sapo
[2020:12:16-22:13:36]  (Local) -> (LOCAL)[1]*/$%Daniel_OMG%$\*: es que ahora esas viejas se desarrollan super rápido
[2020:12:16-22:13:38]  (Global) -> Kopycat_1: me va a robar
[2020:12:16-22:13:39]  (Global) -> Kopycat_1: o que
[2020:12:16-22:13:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Llanerito: ?
[2020:12:16-22:13:45]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#0064FFFrancine98: con gusto
[2020:12:16-22:13:46]  (Global) -> Kopycat_1: hpta
[2020:12:16-22:13:53]  (Local) -> (LOCAL)[5]IZI_Omar25: jajajajajajajajja}
[2020:12:16-22:13:54]  (Global) -> 2cb_Parolo.: canson
[2020:12:16-22:13:57]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: si por eso
[2020:12:16-22:13:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: xds
[2020:12:16-22:14:01]  (Local) -> (LOCAL)[3]CAPU'Julian_SkiGg: regala
[2020:12:16-22:14:02]  (Global) -> Sebastian: loca que le hice
[2020:12:16-22:14:05]  (Global) -> 2cb_Parolo.: gorresela pues
[2020:12:16-22:14:07]  (Local) -> (LOCAL)[6]Speartick: oops
[2020:12:16-22:14:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FFFF00Venezuela|Orgalor|: muy gonorrea no?
[2020:12:16-22:14:12]  (Local) -> (LOCAL)[2]Speartick: xD
