This file was generated by Console at 2020:09:11-00:00:02



[2020:09:11-00:00:02]  (Global) -> BurlyPlate49: perdon
[2020:09:11-21:50:21]  (Local) -> (LOCAL)[2]quesoxd: NO RELAX
[2020:09:11-21:50:23]  (Global) -> Jhaideru_u: me buguie me pegan? xd
[2020:09:11-21:50:23]  (Local) -> (LOCAL)[1]dilan: la estan cogiendo!
[2020:09:11-21:50:24]  (Local) -> (LOCAL)[2]Vakea: si ya te digo
[2020:09:11-21:50:24]  (Local) -> (LOCAL)[2]Diesel: MENTIRAS JEJEJEJ
[2020:09:11-21:50:25]  (Local) -> (LOCAL)[1]JuanPablo: ahhh ya
[2020:09:11-21:50:25]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: en dos dias me devuelve la plata
[2020:09:11-21:50:25]  (Global) -> MarvelousMobster88: este espacio es neutro
[2020:09:11-21:50:26]  (Local) -> (LOCAL)[5]Gustavo-lopez: a ya
[2020:09:11-21:50:27]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: ya sabe
[2020:09:11-21:50:27]  (Global) -> elTrakegunz: ¡¡¡¡¡CHIVA AEREA!!!!!!!! EL MEJOR PASEO POR SAN ANDREAS A TAN SOLO MIL
[2020:09:11-21:50:28]  (Local) -> (LOCAL)[3][GT]Bonicedeguarapo: lag dicw
[2020:09:11-21:50:28]  (Global) -> elTrakegunz: NADA MEJOR QUE VIAJAR POR AIRE POR TODO EL MAPA. UNA EXPERIENCIA INOLVIDABLE
[2020:09:11-21:50:29]  (Local) -> (LOCAL)[1](CT.S).Elcapo$$: so
[2020:09:11-21:50:33]  (Local) -> (LOCAL)[4][CT-S]bray: NEA PONGO /STOPANIM
[2020:09:11-21:50:34]  (Local) -> (LOCAL)[2](CT.S)LOKILLO: esopere
[2020:09:11-21:50:34]  (Global) -> Haski: #FF0000 PASEO EN TRACKTOR A 10K 
[2020:09:11-21:50:36]  (Global) -> (RCA)GustavoPetro: haski se me habia saido todavia hace paseos en grua???
[2020:09:11-21:50:36]  (Global) -> Vakea: mira en f1 dice el discor
[2020:09:11-21:50:38]  (Global) -> SapoCerdoBLETRIPLEHPTA: vuela 
[2020:09:11-21:50:41]  (Local) -> (LOCAL)[8]TomHanks: men soy tombo
[2020:09:11-21:50:42]  (Global) -> Haski: szs
[2020:09:11-21:50:43]  (Global) -> Haski: venga a peces
[2020:09:11-21:50:44]  (Local) -> (LOCAL)[1](CT.S).Elcapo$$: zarco
[2020:09:11-21:50:45]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: oal
[2020:09:11-21:50:46]  (Global) -> Jhaideru_u: gracias
[2020:09:11-21:50:47]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: dome
[2020:09:11-21:50:48]  (Local) -> (LOCAL)[2](CT.S)LOKILLO: como me miqueoi
[2020:09:11-21:50:50]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: dime
[2020:09:11-21:50:50]  (Global) -> (RCA)GustavoPetro: haski estoy en pescadores
[2020:09:11-21:50:51]  (Global) -> OLAVE: a
[2020:09:11-21:50:53]  (Global) -> Vakea: f1 información
[2020:09:11-21:50:54]  (Local) -> (LOCAL)[3][CAPU]DENII: ola
[2020:09:11-21:50:56]  (Local) -> (LOCAL)[1](CT.S).Elcapo$$: le dice al patro de mi oye
[2020:09:11-21:50:58]  (Global) -> Haski: subite
[2020:09:11-21:50:59]  (Global) -> (CT.S)_Yogan666: salte dos veces
[2020:09:11-21:50:59]  (Local) -> (LOCAL)[1]GT|~Beltran: xde
[2020:09:11-21:50:59]  (Local) -> (LOCAL)[3]StealthyTuningfork34: q vamos a hacer cuando saglgamos
[2020:09:11-21:51:02]  (Global) -> elTrakegunz: ¡¡¡¡¡CHIVA AEREA!!!!!!!! EL MEJOR PASEO POR SAN ANDREAS A TAN SOLO MIL
[2020:09:11-21:51:03]  (Global) -> (RCA)GustavoPetro: donde esta
[2020:09:11-21:51:06]  (Global) -> dilan: valla a gasolinera
[2020:09:11-21:51:06]  (Global) -> [Z]opj: xD
[2020:09:11-21:51:07]  (Global) -> -->pan: yogaaaaaaaaaaaaaam
[2020:09:11-21:51:07]  (Global) -> Haski: veme
[2020:09:11-21:51:10]  (Global) -> (CT.S)_Yogan666: no hacia las llantas
[2020:09:11-21:51:11]  (Global) -> [Z]opj: man te pasas no tengo armas :(
[2020:09:11-21:51:12]  (Local) -> (LOCAL)[1]GT|~Beltran: casi no puedoxD
[2020:09:11-21:51:12]  (Local) -> (LOCAL)[5]CM:TOMBO: oe y cuanto tiempo dura el vip?
[2020:09:11-21:51:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000DonBerni: bobo hpra
[2020:09:11-21:51:14]  (Local) -> (LOCAL)[1]JuanPablo: xd
[2020:09:11-21:51:15]  (Local) -> (LOCAL)[3]Hir0: vamo a matar tombos
[2020:09:11-21:51:16]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: ah?
[2020:09:11-21:51:16]  (Local) -> (LOCAL)[1]GT|~Beltran: shak
[2020:09:11-21:51:17]  (Local) -> (LOCAL)[2](CT.S)LOKILLO: ya
[2020:09:11-21:51:18]  (Local) -> (LOCAL)[2](CT.S)Buitre: grscias
[2020:09:11-21:51:19]  (Local) -> (LOCAL)[1]GT|~Beltran: shale*
[2020:09:11-21:51:20]  (Global) -> [Z]opj: na normal, con un infernus
[2020:09:11-21:51:21]  (Global) -> Vakea: 1 mes
[2020:09:11-21:51:21]  (Global) -> #7F7F7F|CVR|#A9A9A9 Kaicer: Cual chiva ome elTrakegunz Si estas en un avión
[2020:09:11-21:51:22]  (Local) -> (LOCAL)[1]GT|~Beltran: yo si decia
[2020:09:11-21:51:24]  (Local) -> (LOCAL)[1](CT.S).Elcapo$$: jaja na mentiras
[2020:09:11-21:51:24]  (Team - Unemployed) -> (TEAM)StealthyTuningfork34: copy
[2020:09:11-21:51:25]  (Local) -> (LOCAL)[4](L.E)EL_TOPOLLIYO: como compro carro?
[2020:09:11-21:51:25]  (Global) -> Haski: HASKI TRACKTOR´S EL MEJOR SERVICIO DE LA CIUDAD
[2020:09:11-21:51:27]  (Local) -> (LOCAL)[4][CT-S]bray: a
[2020:09:11-21:51:30]  (Local) -> (LOCAL)[7][Zetas]SR-OscarP: OE
[2020:09:11-21:51:31]  (Local) -> (LOCAL)[4]Hir0: listo
[2020:09:11-21:51:31]  (Global) -> [Z]opj: seeee por eso corria y corria
[2020:09:11-21:51:34]  (Global) -> [Z]opj: :(
[2020:09:11-21:51:35]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: el lunes espero los 300k que dijo
[2020:09:11-21:51:35]  (Global) -> OLAVE: a
[2020:09:11-21:51:36]  (Local) -> (LOCAL)[1]GT|~Beltran: shale
[2020:09:11-21:51:36]  (Local) -> (LOCAL)[1][CT.S]ElZarco$$$: chao
[2020:09:11-21:51:36]  (Global) -> ItsAlexyXD: eoo pare
[2020:09:11-21:51:38]  (Local) -> (LOCAL)[1]GT|~Beltran: F
[2020:09:11-21:51:38]  (Global) -> (RCA)GustavoPetro: vamos
[2020:09:11-21:51:40]  (Global) -> elTrakegunz: AEREA. AEREA
[2020:09:11-21:51:42]  (Global) -> [Z]opj: sueltame >:(
[2020:09:11-21:51:42]  (Global) -> ElMillor: PLATA FREE
[2020:09:11-21:51:44]  (Global) -> TomHanks: severo pirovo
[2020:09:11-21:51:45]  (Global) -> ItsAlexyXD: el del buss detengase
[2020:09:11-21:51:45]  (Global) -> Haski: sapo vamos
[2020:09:11-21:51:46]  (Global) -> #7F7F7F|CVR|#A9A9A9 Kaicer: Este man esta loco
[2020:09:11-21:51:46]  (Local) -> (LOCAL)[1]GT|~Beltran: ño
[2020:09:11-21:51:47]  (Local) -> (LOCAL)[4]StealthyTuningfork34: ya voy a salir
[2020:09:11-21:51:48]  (Local) -> (LOCAL)[2](L.E)EL_TOPOLLIYO: eeeeeeeeeeeeeeeeeeee
[2020:09:11-21:51:49]  (Global) -> SapoCerdoBLETRIPLEHPTA: oe mi bx se bugeo
[2020:09:11-21:51:50]  (Team - Services) -> (TEAM)terse: que
[2020:09:11-21:51:51]  (Local) -> (LOCAL)[3]Hir0: 60
[2020:09:11-21:51:52]  (Local) -> (LOCAL)[3][CT-S]bray: y yo ayudando a su gang ome
[2020:09:11-21:51:52]  (Global) -> Haski: Xd
[2020:09:11-21:51:54]  (Global) -> elTrakegunz: RUMBA EN EL AIRE
[2020:09:11-21:51:54]  (Global) -> Haski: esta mala
[2020:09:11-21:51:54]  (Global) -> ItsAlexyXD: salga
[2020:09:11-21:51:54]  (Global) -> [Z]opj: beltraaan no sea asiii parce
[2020:09:11-21:51:55]  (Local) -> (LOCAL)[1]osoriodj: TOCO QUEBRARLO
[2020:09:11-21:51:56]  (Local) -> (LOCAL)[1]nicoo-prestige: quien era ese hpta
[2020:09:11-21:51:56]  (Local) -> (LOCAL)[1]TomHanks: ya perdio el dueño de esta mierda
[2020:09:11-21:51:56]  (Global) -> [Z]opj: AAAA NO
[2020:09:11-21:51:56]  (Local) -> (LOCAL)[3]StealthyTuningfork34: 28
[2020:09:11-21:51:57]  (Team - Services) -> (TEAM)terse: oig
[2020:09:11-21:51:58]  (Global) -> [Z]opj: AAAAA
[2020:09:11-21:51:59]  (Local) -> (LOCAL)[3]|DV|Prexto: /kill
[2020:09:11-21:52:00]  (Global) -> Haski: sacá el barco pa llevar al men
[2020:09:11-21:52:00]  (Global) -> [Z]opj: :(
[2020:09:11-21:52:03]  (Global) -> elTrakegunz: NADA MEJOR QUE VIAJAR POR AIRE POR TODO EL MAPA. UNA EXPERIENCIA INOLVIDABLE
[2020:09:11-21:52:05]  (Team - Services) -> (TEAM)terse: lo pueden banear
[2020:09:11-21:52:05]  (Local) -> (LOCAL)[4]StealthyTuningfork34: 17
[2020:09:11-21:52:11]  (Local) -> (LOCAL)[1][DV]EsthebanGZ: que hablas
[2020:09:11-21:52:12]  (Team - Services) -> (TEAM)terse: por mata
[2020:09:11-21:52:13]  (Global) -> Haski: oe saca el barco Xd
[2020:09:11-21:52:15]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:52:18]  (Local) -> (LOCAL)[3]Hir0: 40
[2020:09:11-21:52:19]  (Global) -> [Z]opj: A WENA TE AMO 
[2020:09:11-21:52:21]  (Global) -> OLAVE: a
[2020:09:11-21:52:22]  (Local) -> (LOCAL)[8][CT-S]bray: que por mi su compañero esta libre
[2020:09:11-21:52:26]  (Local) -> (LOCAL)[2](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:52:26]  (Global) -> GT|~Beltran: shh
[2020:09:11-21:52:29]  (Global) -> Haski: espera
[2020:09:11-21:52:29]  (Local) -> (LOCAL)[1][CT-S]bray: lo tenia un tombo y lo ayude
[2020:09:11-21:52:31]  (Global) -> dilan: -
[2020:09:11-21:52:33]  (Local) -> (LOCAL)[2]HuskyBanjo1: PA DONDE
[2020:09:11-21:52:33]  (Local) -> (LOCAL)[2](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:52:33]  (Global) -> GT|~Beltran: nada paso, xde
[2020:09:11-21:52:34]  (Global) -> (RCA)GustavoPetro: ok
[2020:09:11-21:52:36]  (Global) -> Haski: traeran un barco para una mejor experiencia
[2020:09:11-21:52:39]  (Global) -> (CT.S)_Yogan666: con el de borrar se baja
[2020:09:11-21:52:39]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:52:41]  (Global) -> [Z]opj: SE ME HABIA OLVIDADO ESO
[2020:09:11-21:52:42]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: del del
[2020:09:11-21:52:44]  (Global) -> GT|~Beltran: nada paso, xde
[2020:09:11-21:52:44]  (Local) -> (LOCAL)[4][CAPU]Changua-Tropeler: a
[2020:09:11-21:52:46]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: dele dele
[2020:09:11-21:52:47]  (Local) -> (LOCAL)[3][CT-S]bray: a
[2020:09:11-21:52:48]  (Global) -> [Z]opj: <3
[2020:09:11-21:52:50]  (Global) -> GT|~Beltran: nada paso, xde
[2020:09:11-21:52:52]  (Global) -> Haski: HASKI TRACKTOR´S EL MEJOR SERVICIO DE LA CIUDAD
[2020:09:11-21:52:54]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:52:56]  (Global) -> Haski: #FF0000 PASEO EN TRACKTOR A 10K 
[2020:09:11-21:53:02]  (Local) -> (LOCAL)[4][Z]DanielFly: oe tom
[2020:09:11-21:53:04]  (Global) -> OLAVE: aaaaaaaaaaaaaaaaaaaa
[2020:09:11-21:53:05]  (Global) -> [Z]DanielFly: oe
[2020:09:11-21:53:06]  (Global) -> (RCA)GustavoPetro: no das final feliz??? uwu
[2020:09:11-21:53:06]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: oigan a este
[2020:09:11-21:53:07]  (Local) -> (LOCAL)[3]Jedalo: tiremonos a un edificio xd
[2020:09:11-21:53:09]  (Local) -> (LOCAL)[3](CT.S)LOKILLO: aprce me voya quedar afk un momento esperen noi me demor
[2020:09:11-21:53:12]  (Local) -> (LOCAL)[13]Haski: pagueps
[2020:09:11-21:53:12]  (Global) -> dilan: 7gc si
[2020:09:11-21:53:14]  (Local) -> (LOCAL)[4][Z]DanielFly: quien me presta 3k
[2020:09:11-21:53:16]  (Local) -> (LOCAL)[1](CT.S).Elcapo$$: bro
[2020:09:11-21:53:17]  (Local) -> (LOCAL)[0]dilan: /gc si
[2020:09:11-21:53:19]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: N0
[2020:09:11-21:53:22]  (Local) -> (LOCAL)[4][Z]DanielFly: mano
[2020:09:11-21:53:22]  (Global) -> Twister: dime
[2020:09:11-21:53:22]  (Global) -> GT|~Beltran: xD
[2020:09:11-21:53:23]  (Global) -> (RCA)GustavoPetro: pago depues
[2020:09:11-21:53:24]  (Global) -> OLAVE: 7gc si
[2020:09:11-21:53:26]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: Pa'mi es gratis
[2020:09:11-21:53:27]  (Local) -> (LOCAL)[3]Jedalo: ya hablo?
[2020:09:11-21:53:28]  (Global) -> (RCA)GustavoPetro: del servicio
[2020:09:11-21:53:28]  (Local) -> (LOCAL)[3]TomHanks: men soy nuevo
[2020:09:11-21:53:29]  (Global) -> dilan: XD
[2020:09:11-21:53:32]  (Local) -> (LOCAL)[3][Z]DanielFly: me prestas 3k
[2020:09:11-21:53:36]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:53:36]  (Global) -> dilan: Sii
[2020:09:11-21:53:37]  (Local) -> (LOCAL)[3]TomHanks: solo tengo 150
[2020:09:11-21:53:39]  (Local) -> (LOCAL)[4](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:53:40]  (Global) -> Haski: HASKI TRACKTOR´S EL MEJOR SERVICIO DE LA CIUDAD
[2020:09:11-21:53:40]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: me regalas dinero pal auto mas barato
[2020:09:11-21:53:40]  (Local) -> (LOCAL)[3][Z]DanielFly: compra la pistola con silenciador
[2020:09:11-21:53:42]  (Local) -> (LOCAL)[5]YandrixOfYisus(ENP): jajajajja
[2020:09:11-21:53:43]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: ishhhh+
[2020:09:11-21:53:43]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: JAJAJAJAJ
[2020:09:11-21:53:44]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: si quieres
[2020:09:11-21:53:45]  (Local) -> (LOCAL)[3]Jedalo: ya hablo?
[2020:09:11-21:53:46]  (Global) -> (RCA)SingleChamber: xd
[2020:09:11-21:53:46]  (Local) -> (LOCAL)[3]TomHanks: no tengo mas dinero
[2020:09:11-21:53:46]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: re fariseo
[2020:09:11-21:53:49]  (Local) -> (LOCAL)[3][Z]DanielFly: ese es el taiser
[2020:09:11-21:53:49]  (Local) -> (LOCAL)[3][CT-S]bray: lo saco
[2020:09:11-21:53:50]  (Global) -> (RCA)GustavoPetro: wtff
[2020:09:11-21:53:51]  (Local) -> (LOCAL)[5](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:53:51]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: o un prestamo
[2020:09:11-21:53:51]  (Local) -> (LOCAL)[3][CT-S]bray: que me da
[2020:09:11-21:53:52]  (Global) -> Twister: ando re pobre men xdd
[2020:09:11-21:53:54]  (Global) -> OLAVE: a
[2020:09:11-21:53:55]  (Local) -> (LOCAL)[3]Jedalo: epa
[2020:09:11-21:53:56]  (Global) -> Jabon: a
[2020:09:11-21:53:57]  (Local) -> (LOCAL)[3][Z]DanielFly: ash:(
[2020:09:11-21:53:57]  (Local) -> (LOCAL)[3](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:53:57]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: picos
[2020:09:11-21:53:59]  (Local) -> (LOCAL)[3]TomHanks: jaja y con eso mato?
[2020:09:11-21:53:59]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: porfa
[2020:09:11-21:54:00]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: te doy
[2020:09:11-21:54:01]  (Global) -> Haski: te dije que era el mejor de la ciudad
[2020:09:11-21:54:02]  (Local) -> (LOCAL)[3][CT-S]bray: deme 10 k y lo sacoo ya
[2020:09:11-21:54:04]  (Global) -> Twister: serio mano
[2020:09:11-21:54:06]  (Global) -> Haski: no esas chivas voladoras feas
[2020:09:11-21:54:06]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: naaaaa
[2020:09:11-21:54:08]  (Local) -> (LOCAL)[3]HuskyBanjo1: UOLE
[2020:09:11-21:54:08]  (Global) -> SapoCerdoBLETRIPLEHPTA: a la izquierda tenemos venta de droga
[2020:09:11-21:54:09]  (Local) -> (LOCAL)[4][CAPU]Changua-Tropeler: no te creo bb
[2020:09:11-21:54:11]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: ni 20k
[2020:09:11-21:54:11]  (Global) -> Twister: mejor vamos a trabajar
[2020:09:11-21:54:13]  (Local) -> (LOCAL)[4][CT-S]bray: deme el pico
[2020:09:11-21:54:13]  (Local) -> (LOCAL)[3][Z]DanielFly: denii
[2020:09:11-21:54:16]  (Local) -> (LOCAL)[4][CT-S]bray: bai
[2020:09:11-21:54:17]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: de que
[2020:09:11-21:54:17]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: wtf, quién se estaba muriendo
[2020:09:11-21:54:18]  (Local) -> (LOCAL)[3][CAPU]DENII: q
[2020:09:11-21:54:19]  (Global) -> Twister: tengo 5k
[2020:09:11-21:54:19]  (Local) -> (LOCAL)[1]TomHanks: vemos
[2020:09:11-21:54:20]  (Local) -> (LOCAL)[3][Z]DanielFly: me prestas 3k
[2020:09:11-21:54:21]  (Local) -> (LOCAL)[3][CT-S]bray: uwu
[2020:09:11-21:54:23]  (Local) -> (LOCAL)[3][CAPU]DENII: va
[2020:09:11-21:54:23]  (Local) -> (LOCAL)[3][CAPU]Changua-Tropeler: uwu
[2020:09:11-21:54:24]  (Local) -> (LOCAL)[3][CT-S]bray: libre
[2020:09:11-21:54:28]  (Local) -> (LOCAL)[3][Z]DanielFly: grax
[2020:09:11-21:54:31]  (Local) -> (LOCAL)[4][CAPU]Changua-Tropeler: siiiiiiiiiiiiiiiiiiiiii
[2020:09:11-21:54:32]  (Local) -> (LOCAL)[1]HuskyBanjo1: OLE TOMBO
[2020:09:11-21:54:33]  (Local) -> (LOCAL)[1]dilan: sii
[2020:09:11-21:54:35]  (Local) -> (LOCAL)[1](L.E)EL_TOPOLLIYO: no se bugeo
[2020:09:11-21:54:36]  (Local) -> (LOCAL)[1]RomanPearce: bero
[2020:09:11-21:54:38]  (Local) -> (LOCAL)[2][DV]EsthebanGZ: que
[2020:09:11-21:54:38]  (Local) -> (LOCAL)[1]RomanPearce: ey
[2020:09:11-21:54:38]  (Local) -> (LOCAL)[2]HuskyBanjo1: HAY PARO
[2020:09:11-21:54:39]  (Global) -> #7F7F7F|CVR|#A9A9A9 Kaicer: Que hacen
[2020:09:11-21:54:41]  (Local) -> (LOCAL)[1](CT.S).Elcapo$$: tu tienes un lambo cierto
[2020:09:11-21:54:43]  (Global) -> MIGUEL14501: dance3
[2020:09:11-21:54:44]  (Local) -> (LOCAL)[1]RomanPearce: nuevo
[2020:09:11-21:54:44]  (Local) -> (LOCAL)[1]Diesel: error de musculo jejeje
[2020:09:11-21:54:45]  (Local) -> (LOCAL)[6]HuskyBanjo1: EN EL LUCERO
[2020:09:11-21:54:46]  (Global) -> #7F7F7F|CVR|#A9A9A9 Kaicer: porque ese barco esta en un carro
[2020:09:11-21:54:46]  (Local) -> (LOCAL)[3][Z]DanielFly: t amo
[2020:09:11-21:54:47]  (Local) -> (LOCAL)[1]RomanPearce: ?9
[2020:09:11-21:54:48]  (Local) -> (LOCAL)[1][DV]EsthebanGZ: not idea
[2020:09:11-21:54:48]  (Global) -> (RCA)GustavoPetro: cuando comienza el tour
[2020:09:11-21:54:49]  (Global) -> Haski: HASKI TRACKTOR´S EL MEJOR SERVICIO DE LA CIUDAD
[2020:09:11-21:54:50]  (Global) -> SapoCerdoBLETRIPLEHPTA: kaiser mira esto
[2020:09:11-21:54:51]  (Local) -> (LOCAL)[1]Diesel: si
[2020:09:11-21:54:51]  (Local) -> (LOCAL)[1]RomanPearce: ajajaja
[2020:09:11-21:54:53]  (Global) -> elTrakegunz: ESE TRACTOR LLEGA A LAS VETURAS COMO EN UNA SEMANA
[2020:09:11-21:54:54]  (Local) -> (LOCAL)[2](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:54:55]  (Global) -> #7F7F7F|CVR|#A9A9A9 Kaicer: Hey eso da mucho lag
[2020:09:11-21:55:01]  (Global) -> Haski: es mis ervicio
[2020:09:11-21:55:03]  (Local) -> (LOCAL)[1]RomanPearce: espereme aca
[2020:09:11-21:55:06]  (Local) -> (LOCAL)[4][DV]EsthebanGZ: oe cursos
[2020:09:11-21:55:09]  (Local) -> (LOCAL)[1]Diesel: uok
[2020:09:11-21:55:10]  (Global) -> Eldiomedazo: hey haski mi plata
[2020:09:11-21:55:12]  (Global) -> OLAVE: AAAAAAAAAAAAAAAAAA
[2020:09:11-21:55:13]  (Global) -> terse: 2 cabrones andan matando a traabajadores
[2020:09:11-21:55:13]  (Local) -> (LOCAL)[6]dilan: XD
[2020:09:11-21:55:16]  (Global) -> Haski: HASKI TRACKTOR´S EL MEJOR SERVICIO DE LA CIUDAD
[2020:09:11-21:55:19]  (Local) -> (LOCAL)[1]Hir0: mejor un carro
[2020:09:11-21:55:19]  (Global) -> Vakea: cuidado las alturas
[2020:09:11-21:55:23]  (Local) -> (LOCAL)[1]Hir0: para reunir a mas gente
[2020:09:11-21:55:24]  (Global) -> elTrakegunz: AH PUES NO JODA AL MIO
[2020:09:11-21:55:24]  (Local) -> (LOCAL)[12]GT|~Beltran: xD
[2020:09:11-21:55:25]  (Local) -> (LOCAL)[7]dilan: Jaboncito siiii
[2020:09:11-21:55:29]  (Local) -> (LOCAL)[1]Hir0: y subirse encima
[2020:09:11-21:55:31]  (Local) -> (LOCAL)[2][CT-S]bray: bai
[2020:09:11-21:55:31]  (Global) -> Eldiomedazo: haski mi plata
[2020:09:11-21:55:33]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: dale ve tu
[2020:09:11-21:55:34]  (Local) -> (LOCAL)[1]Jabon: a
[2020:09:11-21:55:34]  (Global) -> Haski: <horita
[2020:09:11-21:55:34]  (Global) -> Eldiomedazo: hpta
[2020:09:11-21:55:35]  (Local) -> (LOCAL)[2]Jabon: nada
[2020:09:11-21:55:37]  (Global) -> Haski: Xd
[2020:09:11-21:55:37]  (Global) -> Eldiomedazo: xd
[2020:09:11-21:55:41]  (Global) -> Twister: el buen pacheco
[2020:09:11-21:55:41]  (Local) -> (LOCAL)[3]TomHanks: severa
[2020:09:11-21:55:42]  (Local) -> (LOCAL)[5][CAPU]Changua-Tropeler: a
[2020:09:11-21:55:45]  (Local) -> (LOCAL)[5][CT-S]bray: a
[2020:09:11-21:55:48]  (Global) -> Haski: #FF0000 PASEO EN TRACKTOR A 10K 
[2020:09:11-21:55:50]  (Global) -> Eldiomedazo: oe donde esta?
[2020:09:11-21:55:50]  (Local) -> (LOCAL)[5][CT-S]bray: wtf
[2020:09:11-21:55:50]  (Local) -> (LOCAL)[5][CAPU]Changua-Tropeler: tkm
[2020:09:11-21:55:53]  (Local) -> (LOCAL)[4]dilan: hable
[2020:09:11-21:55:54]  (Global) -> Haski: en ls
[2020:09:11-21:55:55]  (Local) -> (LOCAL)[5]StealthyTuningfork34: como fu3e
[2020:09:11-21:55:57]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: que paso con ekl
[2020:09:11-21:55:57]  (Local) -> (LOCAL)[5][CT-S]bray: ameb
[2020:09:11-21:55:57]  (Global) -> Haski: vaya  apeces
[2020:09:11-21:56:01]  (Local) -> (LOCAL)[5](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:56:01]  (Local) -> (LOCAL)[1]RomanPearce: g
[2020:09:11-21:56:01]  (Global) -> OLAVE: q
[2020:09:11-21:56:02]  (Global) -> (RCA)GustavoPetro: uy ya subio
[2020:09:11-21:56:02]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: Aparemonos
[2020:09:11-21:56:04]  (Global) -> Eldiomedazo: ok
[2020:09:11-21:56:06]  (Local) -> (LOCAL)[4]SapoCerdoBLETRIPLEHPTA: vendo trucha con arroz de coco a 10k
[2020:09:11-21:56:06]  (Global) -> Twister: él me  regaló dinero 
[2020:09:11-21:56:08]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: bro
[2020:09:11-21:56:10]  (Global) -> Haski: #FF0000 PASEO EN TRACKTOR A 10K 
[2020:09:11-21:56:12]  (Local) -> (LOCAL)[4]TomHanks: venga aca
[2020:09:11-21:56:13]  (Local) -> (LOCAL)[4]Haski: onde
[2020:09:11-21:56:16]  (Local) -> (LOCAL)[4]GT|~[ToxiSoplado]~: sajkdhakjdhjad
[2020:09:11-21:56:17]  (Local) -> (LOCAL)[4]SapoCerdoBLETRIPLEHPTA: breve deme 3 hijos
[2020:09:11-21:56:18]  (Local) -> (LOCAL)[3]TomHanks: que como fue?
[2020:09:11-21:56:20]  (Local) -> (LOCAL)[2](CT.S).Elcapo$$: donde es mecanico
[2020:09:11-21:56:22]  (Global) -> GT|~Beltran: Que no haski canson
[2020:09:11-21:56:28]  (Local) -> (LOCAL)[7](L.E)EL_TOPOLLIYO: tombos hps
[2020:09:11-21:56:34]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#A9A9A9 SancochoPermaBanAFK: Le estoy diciendo a mi gorila bonito
[2020:09:11-21:56:36]  (Global) -> Twister: nos vemos 
[2020:09:11-21:56:36]  (Global) -> Haski: sube
[2020:09:11-21:56:37]  (Local) -> (LOCAL)[7]TomHanks: soy tombo
[2020:09:11-21:56:37]  (Local) -> (LOCAL)[2]RomanPearce: suelteme
[2020:09:11-21:56:37]  (Global) -> elTrakegunz: que hp robo el de haski
