This file was generated by Console at 2020:09:23-00:00:00



[2020:09:23-00:00:00]  (Local) -> (LOCAL)[4]GT|~Beltran: osi
[2020:09:23-19:38:26]  (Local) -> (LOCAL)[5]2CB_+WALTER+: epa
[2020:09:23-19:38:28]  (Global) -> CamiloSZ_: yo se donde
[2020:09:23-19:38:34]  (Global) -> TU_DIOSA: sisas callate
[2020:09:23-19:38:38]  (Local) -> (LOCAL)[6](Z)IceWipe: oe
[2020:09:23-19:38:43]  (Local) -> (LOCAL)[10]2cb'Vulkanus: buenarda esa
[2020:09:23-19:38:44]  (Local) -> (LOCAL)[6](Z)IceWipe: gallo
[2020:09:23-19:38:48]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: ñor
[2020:09:23-19:38:49]  (Local) -> (LOCAL)[10]GT|~[Orgalor]: buena esa
[2020:09:23-19:38:52]  (Local) -> (LOCAL)[6](Z)IceWipe: esta royal?
[2020:09:23-19:38:52]  (Local) -> (LOCAL)[6]2cb'Andrestp: ojo que estoy matando mecanicos....
[2020:09:23-19:38:54]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: sisa
[2020:09:23-19:38:55]  (Global) -> Uribe: oe
[2020:09:23-19:38:57]  (Local) -> (LOCAL)[10]2cb'LILPUSSY: jajajaja szs
[2020:09:23-19:38:57]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: esta de camionero
[2020:09:23-19:38:58]  (Local) -> (LOCAL)[6](Z)IceWipe: tenemos mision o algo?
[2020:09:23-19:38:59]  (Local) -> (LOCAL)[6]2cb'Andrestp: oe
[2020:09:23-19:39:00]  (Global) -> Uribe: solo quiero arreglar el carro
[2020:09:23-19:39:02]  (Global) -> JuanLasso: ÑEROOOOO
[2020:09:23-19:39:03]  (Local) -> (LOCAL)[4]2cb'Andrestp: nidea
[2020:09:23-19:39:03]  (Local) -> (LOCAL)[1][ZETAS]Tussi_Sabes: cureme
[2020:09:23-19:39:05]  (Local) -> (LOCAL)[4][CAPU]Gallo_Pepe: l obuscamos?
[2020:09:23-19:39:05]  (Global) -> Uribe: me explica
[2020:09:23-19:39:09]  (Local) -> (LOCAL)[5]2cB-Apu_N: No se
[2020:09:23-19:39:11]  (Global) -> [ZETAS]Tussi_Sabes: algun staff?
[2020:09:23-19:39:11]  (Local) -> (LOCAL)[5](Z)IceWipe: si no hay necesidad no
[2020:09:23-19:39:11]  (Local) -> (LOCAL)[6]2cb'Andrestp: no se cmo pana
[2020:09:23-19:39:14]  (Global) -> [ZETAS]Tussi_Sabes: papito se desconecto cuando lo arreste
[2020:09:23-19:39:14]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: vale
[2020:09:23-19:39:16]  (Local) -> (LOCAL)[6](Z)IceWipe: usted dice
[2020:09:23-19:39:17]  (Global) -> Uribe: hagale que yo no robo carros
[2020:09:23-19:39:17]  (Local) -> (LOCAL)[0]YandrixOfYisus(ENP): no
[2020:09:23-19:39:19]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: erl man esta de trabajador
[2020:09:23-19:39:19]  (Local) -> (LOCAL)[6](Z)IceWipe: vamos o que?
[2020:09:23-19:39:22]  (Global) -> Uribe: por mi despreocupese
[2020:09:23-19:39:23]  (Local) -> (LOCAL)[1]2cb'Vulkanus: estos hptas de donde sacan tanta plata mk
[2020:09:23-19:39:23]  (Global) -> LUNCHIZ: sebasduk donde eata
[2020:09:23-19:39:24]  (Local) -> (LOCAL)[2]||2.c.B||$DanBrz$: cuantto quiere
[2020:09:23-19:39:24]  (Local) -> (LOCAL)[1]2cb'Vulkanus: ea
[2020:09:23-19:39:25]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: tu dirás
[2020:09:23-19:39:25]  (Local) -> (LOCAL)[6]2cb'Andrestp: no se como los arreglan
[2020:09:23-19:39:25]  (Global) -> CARRANCHO: oe que le paso
[2020:09:23-19:39:26]  (Local) -> (LOCAL)[4]2cb'Vulkanus: jajajajaja
[2020:09:23-19:39:28]  (Local) -> (LOCAL)[4]2cb'LILPUSSY: jajajaja
[2020:09:23-19:39:31]  (Local) -> (LOCAL)[8]CharmingTongue32: vida
[2020:09:23-19:39:32]  (Local) -> (LOCAL)[5](Z)IceWipe: tengo el discord cerrado
[2020:09:23-19:39:32]  (Global) -> ELVIEJOJUANCHO: que temazo
[2020:09:23-19:39:34]  (Global) -> ESMAD-TIROFIJO: de q ome
[2020:09:23-19:39:35]  (Local) -> (LOCAL)[6](Z)IceWipe: ha dicho algo?
[2020:09:23-19:39:35]  (Local) -> (LOCAL)[6]2cB-Apu_N: Hola gallo
[2020:09:23-19:39:36]  (Global) -> JuanLasso: ÑERO NO ME PUEDO PARAR
[2020:09:23-19:39:37]  (Local) -> (LOCAL)[7][CAPU]Gallo_Pepe: x 2
[2020:09:23-19:39:37]  (Global) -> (2cb)mAnicomio777: 7tele
[2020:09:23-19:39:38]  (Local) -> (LOCAL)[1]2cb'Vulkanus: chimbas de hacks
[2020:09:23-19:39:39]  (Local) -> (LOCAL)[2]||2.c.B||$DanBrz$: pa que me suelte
[2020:09:23-19:39:41]  (Local) -> (LOCAL)[7][CAPU]Gallo_Pepe: hola apu
[2020:09:23-19:39:42]  (Local) -> (LOCAL)[1]2cb'LILPUSSY: JAJAJAJA
[2020:09:23-19:39:42]  (Local) -> (LOCAL)[2]2cB'ratix86: aaaaa
[2020:09:23-19:39:43]  (Local) -> (LOCAL)[7]2cb'Andrestp: hay novedad?
[2020:09:23-19:39:43]  (Local) -> (LOCAL)[7]2CB_+WALTER+: HASKI VAMOS
[2020:09:23-19:39:47]  (Global) -> ESMAD-TIROFIJO: porue  me disparaste
[2020:09:23-19:39:48]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: no , no hay nada
[2020:09:23-19:39:48]  (Global) -> Uribe: owa
[2020:09:23-19:39:48]  (Local) -> (LOCAL)[6]2cb'Andrestp: de roleo?
[2020:09:23-19:39:49]  (Global) -> JuanLasso: MATEME
[2020:09:23-19:39:50]  (Global) -> CARRANCHO: vamos afuera que aqui no puedo
[2020:09:23-19:39:50]  (Global) -> Uribe: oe
[2020:09:23-19:39:50]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: oigannn
[2020:09:23-19:39:52]  (Global) -> CamiloSZ_: ya?
[2020:09:23-19:39:53]  (Local) -> (LOCAL)[1]2cb'LILPUSSY: TENGO UN LAMBO TAMBIEN
[2020:09:23-19:39:53]  (Local) -> (LOCAL)[1]NoChimbee: ahaaa
[2020:09:23-19:39:53]  (Local) -> (LOCAL)[6]2cB-Apu_N: Soy MiguelV xD
[2020:09:23-19:39:54]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: esa es la skin de 2cb
[2020:09:23-19:39:55]  (Local) -> (LOCAL)[1]NoChimbee: oe
[2020:09:23-19:39:55]  (Local) -> (LOCAL)[3]||2.c.B||$DanBrz$: usted me daño el carro
[2020:09:23-19:39:56]  (Local) -> (LOCAL)[6]2cb'Andrestp: de royal
[2020:09:23-19:39:58]  (Local) -> (LOCAL)[1]2cb'Vulkanus: imaginese
[2020:09:23-19:39:58]  (Local) -> (LOCAL)[6]||2.c.B||$DanBrz$: y es tombo
[2020:09:23-19:40:02]  (Local) -> (LOCAL)[2]||2.c.B||$DanBrz$: se la gano
[2020:09:23-19:40:02]  (Local) -> (LOCAL)[7]2cb'Andrestp: sisa
[2020:09:23-19:40:06]  (Local) -> (LOCAL)[1]2cb'Vulkanus: como consiguio toda esa plata'
[2020:09:23-19:40:06]  (Local) -> (LOCAL)[7]2cB-Apu_N: SI
[2020:09:23-19:40:06]  (Local) -> (LOCAL)[7][CAPU]Gallo_Pepe: melo
[2020:09:23-19:40:07]  (Global) -> Uribe: a robarle a otro
[2020:09:23-19:40:14]  (Local) -> (LOCAL)[7](Z)IceWipe: pero cual es la necesidad de volver esta mrda roleo?
[2020:09:23-19:40:16]  (Global) -> CARRANCHO: listo
[2020:09:23-19:40:18]  (Local) -> (LOCAL)[5]CharmingTongue32: cuanto
[2020:09:23-19:40:19]  (Local) -> (LOCAL)[6]2cb'Andrestp: es como mas para parchar
[2020:09:23-19:40:24]  (Global) -> CARRANCHO: nada
[2020:09:23-19:40:27]  (Local) -> (LOCAL)[1]2cb'LILPUSSY: JAJAJA ESTA DAÑADO
[2020:09:23-19:40:28]  (Local) -> (LOCAL)[5]2cb'Andrestp: nidea
[2020:09:23-19:40:29]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: sisa
[2020:09:23-19:40:30]  (Local) -> (LOCAL)[5]CharmingTongue32: aaa bree gracias
[2020:09:23-19:40:32]  (Local) -> (LOCAL)[3]2cb'LILPUSSY: MANOW
[2020:09:23-19:40:32]  (Local) -> (LOCAL)[6]2cb'Andrestp: pero pagan
[2020:09:23-19:40:34]  (Local) -> (LOCAL)[2]||2.c.B||$DanBrz$: solo 2cB
[2020:09:23-19:40:34]  (Global) -> CARRANCHO: hagale
[2020:09:23-19:40:36]  (Local) -> (LOCAL)[5]CharmingTongue32: pero venga le doy alguito
[2020:09:23-19:40:36]  (Local) -> (LOCAL)[6]2cb'Andrestp: por ello
[2020:09:23-19:40:40]  (Global) -> El_marra: szs
[2020:09:23-19:40:43]  (Global) -> [ZETAS]Tussi_Sabes: algun staff?
[2020:09:23-19:40:43]  (Local) -> (LOCAL)[6][CAPU]Gallo_Pepe: al menos, que tal no pagaran
[2020:09:23-19:40:43]  (Local) -> (LOCAL)[6]2cb'Andrestp: asi que es rentable
[2020:09:23-19:40:43]  (Local) -> (LOCAL)[6]Jasqui_Scott: chau
[2020:09:23-19:40:44]  (Global) -> [ZETAS]Tussi_Sabes: papito se desconecto cuando lo arreste
[2020:09:23-19:40:44]  (Local) -> (LOCAL)[6](Z)IceWipe: 50k nos van a dar mk
[2020:09:23-19:40:45]  (Local) -> (LOCAL)[2]||2.c.B||$DanBrz$: BUENA
[2020:09:23-19:40:50]  (Local) -> (LOCAL)[1]2cb'Vulkanus: que hpta tan mamon
[2020:09:23-19:40:52]  (Local) -> (LOCAL)[6](Z)IceWipe: ni tanto
[2020:09:23-19:40:54]  (Local) -> (LOCAL)[6]CharmingTongue32: pere
[2020:09:23-19:40:55]  (Global) -> Dominic: ya
[2020:09:23-19:40:57]  (Global) -> TU_DIOSA: xd
[2020:09:23-19:40:57]  (Local) -> (LOCAL)[4]2cB-Apu_N: Porque cosa
[2020:09:23-19:40:57]  (Global) -> Uribe: buenas
[2020:09:23-19:40:58]  (Global) -> CARRANCHO: thagale
[2020:09:23-19:40:58]  (Global) -> JuanLasso: AGALE
[2020:09:23-19:40:59]  (Local) -> (LOCAL)[4]2cb'Andrestp: algo es algo
[2020:09:23-19:40:59]  (Local) -> (LOCAL)[4][CAPU]Gallo_Pepe: aunque si, ni tanto
[2020:09:23-19:40:59]  (Local) -> (LOCAL)[1]ELVIEJOJUANCHO: enga lo curo
[2020:09:23-19:41:00]  (Local) -> (LOCAL)[4](Z)IceWipe: gano mas por turf
[2020:09:23-19:41:01]  (Global) -> Cadabra: menor
[2020:09:23-19:41:01]  (Global) -> CallousGiraffe84: pero que mird
[2020:09:23-19:41:02]  (Global) -> Uribe: por donde esta el eln
[2020:09:23-19:41:05]  (Local) -> (LOCAL)[3]2cb'Vulkanus: canson carechimba
[2020:09:23-19:41:06]  (Global) -> JuanLasso: YA LO UBIQUE
[2020:09:23-19:41:06]  (Global) -> Uribe: ajajaj
[2020:09:23-19:41:07]  (Local) -> (LOCAL)[2]||2.c.B||$DanBrz$: QUE DICE
[2020:09:23-19:41:08]  (Local) -> (LOCAL)[1]fernanda: pasa
[2020:09:23-19:41:10]  (Global) -> Uribe: oe
[2020:09:23-19:41:11]  (Global) -> [EVG]Avalencia: OE DJ RICARDO ARJONA HISTI
[2020:09:23-19:41:11]  (Local) -> (LOCAL)[2][Z]Dominic: ey mandaame fotos del tecladoooooooooooooooooooooooooooooooooooo
[2020:09:23-19:41:13]  (Global) -> Uribe: una pregunta
[2020:09:23-19:41:14]  (Local) -> (LOCAL)[7](2cb)mAnicomio777: oe
[2020:09:23-19:41:14]  (Local) -> (LOCAL)[4]2cb'Andrestp: digan ustedes
[2020:09:23-19:41:16]  (Local) -> (LOCAL)[4][CAPU]Gallo_Pepe: ya vengo, voy a almorzaar
[2020:09:23-19:41:16]  (Global) -> Uribe: como arreglo carros
[2020:09:23-19:41:17]  (Local) -> (LOCAL)[6](2cb)mAnicomio777: a pikes
[2020:09:23-19:41:20]  (Local) -> (LOCAL)[5][ZETAS]Tussi_Sabes: la chimba a mi ya me baneraon tambien por lo mismo
[2020:09:23-19:41:22]  (Local) -> (LOCAL)[1]ELVIEJOJUANCHO: maneja
[2020:09:23-19:41:23]  (Local) -> (LOCAL)[3]Dominic: Para que?
[2020:09:23-19:41:24]  (Global) -> 2cB'ratix86: lil piussy a chupaarlaaaa
[2020:09:23-19:41:24]  (Global) -> ESMAD-TIROFIJO: COMO ES PUES
[2020:09:23-19:41:25]  (Global) -> ESMAD-TIROFIJO: MI GENTE
[2020:09:23-19:41:27]  (Local) -> (LOCAL)[1]ELVIEJOJUANCHO: soy tu curandero
[2020:09:23-19:41:27]  (Local) -> (LOCAL)[6]CharmingTongue32: listo
[2020:09:23-19:41:28]  (Global) -> [EVG]Avalencia: OE DJ HISTORIA DE TAXI RICARDO ARJONA
[2020:09:23-19:41:33]  (Global) -> ESMAD-TIROFIJO: 2CISABES
[2020:09:23-19:41:36]  (Local) -> (LOCAL)[4]2cb'Andrestp: de rolear para cuidar a royal el dj
[2020:09:23-19:41:37]  (Global) -> ESMAD-TIROFIJO: VAMOS A COGER RATAS
[2020:09:23-19:41:38]  (Local) -> (LOCAL)[8]CharmingTongue32: ya lo tiene
[2020:09:23-19:41:38]  (Global) -> CARRANCHO: listo todo bn
[2020:09:23-19:41:38]  (Local) -> (LOCAL)[6][ZETAS]Tussi_Sabes: cantelas
[2020:09:23-19:41:40]  (Local) -> (LOCAL)[4](Z)IceWipe: yo se
[2020:09:23-19:41:42]  (Local) -> (LOCAL)[0]YandrixOfYisus(ENP): andaba carteleado
[2020:09:23-19:41:43]  (Local) -> (LOCAL)[5][ZETAS]Tussi_Sabes: vmaos
[2020:09:23-19:41:45]  (Local) -> (LOCAL)[4](Z)IceWipe: soy de seguridad de el
[2020:09:23-19:41:47]  (Local) -> (LOCAL)[8]CharmingTongue32: hagale papi todo bien
[2020:09:23-19:41:50]  (Local) -> (LOCAL)[4]2cb'Andrestp: a utd no le digo xd
[2020:09:23-19:41:52]  (Global) -> CARRANCHO: me avisa si necesita que lo cure
[2020:09:23-19:41:53]  (Local) -> (LOCAL)[4](Z)IceWipe: ah
[2020:09:23-19:41:56]  (Local) -> (LOCAL)[4]2cb'Andrestp: a ellos
[2020:09:23-19:41:56]  (Local) -> (LOCAL)[4](Z)IceWipe: XDDDDDDD
[2020:09:23-19:41:57]  (Global) -> ELVIEJOJUANCHO: enga lo curo
[2020:09:23-19:41:59]  (Local) -> (LOCAL)[4]2cb'Andrestp: xdxdxd
[2020:09:23-19:42:01]  (Local) -> (LOCAL)[9]CharmingTongue32: agale le mando un mensaje
[2020:09:23-19:42:03]  (Local) -> (LOCAL)[4][Z]Dominic: ey mandamelas que yo puedo editar las foto y señalar las teclas
[2020:09:23-19:42:04]  (Global) -> 2cB'ratix86: lil pussy dodne tas
[2020:09:23-19:42:05]  (Global) -> ESMAD-TIROFIJO: VAYA
[2020:09:23-19:42:05]  (Local) -> (LOCAL)[7]ELVIEJOJUANCHO: enga lo curo
[2020:09:23-19:42:06]  (Global) -> CARRANCHO: al whatsapp
[2020:09:23-19:42:06]  (Global) -> ESMAD-TIROFIJO: VAYA
[2020:09:23-19:42:09]  (Local) -> (LOCAL)[8]CharmingTongue32: eso
[2020:09:23-19:42:11]  (Local) -> (LOCAL)[7]LUNCHIZ: ya anda el patrol por ahi
[2020:09:23-19:42:12]  (Global) -> CARRANCHO: todo bn
[2020:09:23-19:42:14]  (Local) -> (LOCAL)[3]Dominic: Quitate mi name we
[2020:09:23-19:42:15]  (Global) -> CARRANCHO: nos vemos
[2020:09:23-19:42:16]  (Local) -> (LOCAL)[1][ZETAS]Tussi_Sabes: ajja
[2020:09:23-19:42:16]  (Local) -> (LOCAL)[2]2cb'Andrestp: no me golpe que lo demando
[2020:09:23-19:42:16]  (Global) -> [C.D.S]LuigiBendetta: jajjsapa
[2020:09:23-19:42:19]  (Local) -> (LOCAL)[3]Dominic: Para podermelo poner
[2020:09:23-19:42:20]  (Local) -> (LOCAL)[1][ZETAS]Tussi_Sabes: ok
[2020:09:23-19:42:21]  (Global) -> CamiloSZ_: mk pa lento
[2020:09:23-19:42:22]  (Global) -> ESMAD/cejon: me pregunta
[2020:09:23-19:42:23]  (Local) -> (LOCAL)[8]CharmingTongue32: nos vemos pa
[2020:09:23-19:42:23]  (Local) -> (LOCAL)[2]2cb'Andrestp: lo woa reportar
[2020:09:23-19:42:23]  (Local) -> (LOCAL)[1]NoChimbee: ajmajmajakja
[2020:09:23-19:42:26]  (Local) -> (LOCAL)[1]NoChimbee: porfin gono
[2020:09:23-19:42:27]  (Local) -> (LOCAL)[8](2cb)mAnicomio777: vamos de piketes
[2020:09:23-19:42:28]  (Local) -> (LOCAL)[2]2cB-Apu_N: Ahi
[2020:09:23-19:42:30]  (Local) -> (LOCAL)[1]GT|~Diegonorreas: ajajjaja maricon hpta
[2020:09:23-19:42:34]  (Local) -> (LOCAL)[3]2cb'Andrestp: jaskajsa
[2020:09:23-19:42:37]  (Local) -> (LOCAL)[3]LUNCHIZ: no le esoty diciendo
[2020:09:23-19:42:44]  (Local) -> (LOCAL)[5]Dominic: Quiatte mi anme si?
[2020:09:23-19:42:47]  (Global) -> ESMAD/cejon: en donde esta
[2020:09:23-19:42:49]  (Local) -> (LOCAL)[5]Dominic: Pa podermelo poner
[2020:09:23-19:42:51]  (Local) -> (LOCAL)[3]2cb'Andrestp: bno voy hacerme las lukas
[2020:09:23-19:42:52]  (Global) -> santiagohptA:  el negro de jhosep ya esta jugando 
[2020:09:23-19:42:52]  (Local) -> (LOCAL)[3]2CB_+WALTER+: FACTURANDO
[2020:09:23-19:42:55]  (Local) -> (LOCAL)[5]LUNCHIZ: no se
[2020:09:23-19:42:57]  (Global) -> CamiloSZ_: aca
[2020:09:23-19:42:57]  (Local) -> (LOCAL)[5]Dominic: Ya se pponer los corchetes
[2020:09:23-19:43:02]  (Global) -> santiagohptA:  ahorita pasamos x el 
[2020:09:23-19:43:03]  (Local) -> (LOCAL)[3]2cb'Andrestp: xd
[2020:09:23-19:43:03]  (Global) -> CamiloSZ_: como se llama
[2020:09:23-19:43:04]  (Local) -> (LOCAL)[1]NoChimbee: f
[2020:09:23-19:43:06]  (Global) -> CamiloSZ_: bno
[2020:09:23-19:43:07]  (Global) -> [C.D.S]LuigiBendetta: oe
[2020:09:23-19:43:10]  (Local) -> (LOCAL)[5][Z]Dominic: ey deja de pitar pareces marica
[2020:09:23-19:43:10]  (Global) -> santiagohptA: mr.negroo
[2020:09:23-19:43:14]  (Global) -> TheCadavid: 7resultt
[2020:09:23-19:43:16]  (Local) -> (LOCAL)[5]Dominic: Oe keki
[2020:09:23-19:43:17]  (Global) -> CamiloSZ_: bree
[2020:09:23-19:43:20]  (Global) -> Jasqui_Scott: EZ
[2020:09:23-19:43:20]  (Global) -> CARRANCHO: oe
[2020:09:23-19:43:20]  (Local) -> (LOCAL)[5]Dominic: quietese ps mi name
[2020:09:23-19:43:21]  (Local) -> (LOCAL)[8]NoChimbee: esta gonorrea es haker
[2020:09:23-19:43:21]  (Local) -> (LOCAL)[1]CamiloSZ_: lisrto
[2020:09:23-19:43:24]  (Global) -> Jasqui_Scott: Familia, hoy se come
[2020:09:23-19:43:26]  (Local) -> (LOCAL)[5]2cB'ratix86: decilo
[2020:09:23-19:43:28]  (Local) -> (LOCAL)[5]Dominic: Pa ponermelo
[2020:09:23-19:43:28]  (Local) -> (LOCAL)[6]CharmingTongue32: oeee
[2020:09:23-19:43:30]  (Local) -> (LOCAL)[6](CTA)stiven2882: oe
[2020:09:23-19:43:35]  (Global) -> CARRANCHO: ese man lo mato
[2020:09:23-19:43:36]  (Global) -> Uribe: mi camion
[2020:09:23-19:43:40]  (Local) -> (LOCAL)[4]LUNCHIZ: vamos pal hospital
[2020:09:23-19:43:41]  (Local) -> (LOCAL)[6]CharmingTongue32: sisas
[2020:09:23-19:43:46]  (Local) -> (LOCAL)[4]NoChimbee: eso vaileme todo lo que quiera
[2020:09:23-19:43:47]  (Global) -> CARRANCHO: con una vieja
[2020:09:23-19:43:50]  (Local) -> (LOCAL)[6]CharmingTongue32: veo no me puedo mover
[2020:09:23-19:44:05]  (Local) -> (LOCAL)[5]CharmingTongue32: pere
[2020:09:23-19:44:06]  (Global) -> [ZETAS]Cris: ya
[2020:09:23-19:44:11]  (Global) -> CARRANCHO: con la m
[2020:09:23-19:44:15]  (Local) -> (LOCAL)[5]CharmingTongue32: calmado Jjaja
[2020:09:23-19:44:18]  (Local) -> (LOCAL)[7][Z]Dominic: ya
[2020:09:23-19:44:20]  (Local) -> (LOCAL)[1](CTA)Javier_Alonso: vamos a san fierro a el concsesionario de lujo
[2020:09:23-19:44:21]  (Local) -> (LOCAL)[5]CharmingTongue32: ya
[2020:09:23-19:44:29]  (Local) -> (LOCAL)[0]YandrixOfYisus(ENP): supuestamente me van a perseguir
[2020:09:23-19:44:29]  (Local) -> (LOCAL)[7][$BABY$]C4rtex: MY FUTURE
[2020:09:23-19:44:29]  (Local) -> (LOCAL)[7][Z]Dominic: Hay un alto mando ahora mismo en el server?
[2020:09:23-19:44:31]  (Local) -> (LOCAL)[1](CTA)stiven2882: discord
[2020:09:23-19:44:34]  (Global) -> Uribe: aoe
[2020:09:23-19:44:35]  (Local) -> (LOCAL)[7][$BABY$]C4rtex: is coming up
[2020:09:23-19:44:38]  (Global) -> Uribe: venga le arreglo el caror
[2020:09:23-19:44:40]  (Local) -> (LOCAL)[7][$BABY$]C4rtex: is coming up
[2020:09:23-19:44:54]  (Global) -> JuanLasso: HOLAA
[2020:09:23-19:44:59]  (Local) -> (LOCAL)[7][Z]Dominic: velo
[2020:09:23-19:44:59]  (Local) -> (LOCAL)[7][$BABY$]C4rtex: epaaa
[2020:09:23-19:45:01]  (Local) -> (LOCAL)[6]CharmingTongue32: oeee
[2020:09:23-19:45:01]  (Local) -> (LOCAL)[7][$BABY$]C4rtex: wiiiiiiiiiiiiii
[2020:09:23-19:45:10]  (Local) -> (LOCAL)[6][Z]Dominic: Salga ps noe s muy macho
[2020:09:23-19:45:12]  (Local) -> (LOCAL)[4]CharmingTongue32: socio
[2020:09:23-19:45:14]  (Local) -> (LOCAL)[1]Jasqui_Scott: q
[2020:09:23-19:45:14]  (Global) -> [ZETAS]Cris: que
[2020:09:23-19:45:15]  (Global) -> Nicolas_94: con cual se habla? :v
[2020:09:23-19:45:17]  (Local) -> (LOCAL)[1]2CB_+WALTER+: ola
[2020:09:23-19:45:20]  (Local) -> (LOCAL)[1]Jasqui_Scott: ola
[2020:09:23-19:45:20]  (Local) -> (LOCAL)[1]2CB_+WALTER+: vamos
[2020:09:23-19:45:23]  (Local) -> (LOCAL)[1]Jasqui_Scott: a onde
[2020:09:23-19:45:24]  (Local) -> (LOCAL)[4]CharmingTongue32: vamos a tantan tombos o q
[2020:09:23-19:45:24]  (Global) -> [ZETAS]Cris: que
[2020:09:23-19:45:26]  (Global) -> JuanLasso: TRABAJEMOS EN ALGO
[2020:09:23-19:45:28]  (Local) -> (LOCAL)[1]Jasqui_Scott: estoy robando caqrros xdd
[2020:09:23-19:45:29]  (Local) -> (LOCAL)[1]2CB_+WALTER+: cuanto vale ese carro
[2020:09:23-19:45:32]  (Local) -> (LOCAL)[1]2CB_+WALTER+: xddd
[2020:09:23-19:45:32]  (Local) -> (LOCAL)[1]Jasqui_Scott: no c
[2020:09:23-19:45:34]  (Local) -> (LOCAL)[1]Jasqui_Scott: me lo robe xd
[2020:09:23-19:45:36]  (Local) -> (LOCAL)[1][Z]Dominic: Amos me cambio de ropa
[2020:09:23-19:45:38]  (Local) -> (LOCAL)[7]YandrixOfYisus(ENP): ay veeeeeeeeee
[2020:09:23-19:45:38]  (Global) -> ESMAD-TIROFIJO: VAMOS A ARESTAR
[2020:09:23-19:45:40]  (Global) -> YandrixOfYisus(ENP): supuestamente me van a perseguir
[2020:09:23-19:45:41]  (Local) -> (LOCAL)[1]2CB_+WALTER+: esta lindo jaj
[2020:09:23-19:45:44]  (Global) -> ESMAD-TIROFIJO: JAJAJAJZJ
[2020:09:23-19:45:46]  (Global) -> ESMAD-TIROFIJO: LO SIGO
[2020:09:23-19:45:47]  (Global) -> JuanLasso: CON CUAL ME PEGO
[2020:09:23-19:45:50]  (Local) -> (LOCAL)[4]YandrixOfYisus(ENP): *supuestamente*
[2020:09:23-19:46:01]  (Local) -> (LOCAL)[1]CharmingTongue32: donde es q es pa malandro
[2020:09:23-19:46:12]  (Global) -> [ZETAS]Cris: en la estación
[2020:09:23-19:46:21]  (Global) -> TU_DIOSA: oe
[2020:09:23-19:46:22]  (Global) -> [$BABY$]C4rtex: jaski
[2020:09:23-19:46:34]  (Local) -> (LOCAL)[11]YandrixOfYisus(ENP): los muchachos no se rinden
[2020:09:23-19:46:37]  (Global) -> JuanLasso: CAMIONEROO
[2020:09:23-19:46:38]  (Local) -> (LOCAL)[2]CamiloSZ_: de camioneros?
[2020:09:23-19:46:42]  (Global) -> Londono: hahahah
[2020:09:23-19:46:43]  (Local) -> (LOCAL)[0]DevilishGlue40: como apago mi vehiculo
[2020:09:23-19:46:45]  (Global) -> ESMAD/cejon: cumo fu
[2020:09:23-19:46:46]  (Global) -> JuanLasso: SISI
[2020:09:23-19:46:48]  (Local) -> (LOCAL)[9]LUNCHIZ: ?
[2020:09:23-19:46:50]  (Global) -> El_marra: patron de q gva
[2020:09:23-19:46:51]  (Global) -> foreroxd: como es
[2020:09:23-19:46:52]  (Local) -> (LOCAL)[2]CamiloSZ_: bre
[2020:09:23-19:46:57]  (Local) -> (LOCAL)[9]2cb'elpablitopai: SALGA SEBAS
[2020:09:23-19:46:58]  (Local) -> (LOCAL)[1][Z]El_keki: ey pasame 1k
[2020:09:23-19:46:59]  (Team - Unemployed) -> (TEAM)santiagohptA: bb donde vives
[2020:09:23-19:46:59]  (Local) -> (LOCAL)[8][$BABY$]C4rtex: patrooooooooon
[2020:09:23-19:46:59]  (Global) -> ESMAD/cejon: si
[2020:09:23-19:46:59]  (Global) -> CARRANCHO: venga lo curo
[2020:09:23-19:47:02]  (Global) -> [ZETAS]Cris: oe
[2020:09:23-19:47:02]  (Local) -> (LOCAL)[1][Z]Dominic: ok
[2020:09:23-19:47:05]  (Global) -> [CAPU]Jeison_Jimenez: neaaaa ese dj esta todo sad JAJAJAJAJJAJAJAJAJAJAJAJAJA
[2020:09:23-19:47:05]  (Local) -> (LOCAL)[2]CamiloSZ_: o busetas?
[2020:09:23-19:47:09]  (Local) -> (LOCAL)[11]2CB_+WALTER+: QE
[2020:09:23-19:47:11]  (Global) -> JuanLasso: DONDE ESTA NICOLAS
[2020:09:23-19:47:11]  (Global) -> [$BABY$]Royal: :c
[2020:09:23-19:47:11]  (Local) -> (LOCAL)[3][chatarrasolorojo]Z: oe mano
[2020:09:23-19:47:13]  (Local) -> (LOCAL)[2]CamiloSZ_: soacha
[2020:09:23-19:47:14]  (Global) -> santiagohptA:  tienes planes para hoy? :3
[2020:09:23-19:47:14]  (Local) -> (LOCAL)[12]2cb'elpablitopai: jaajajajaj disque patron
[2020:09:23-19:47:15]  (Local) -> (LOCAL)[13](CTA)juann: esta gonorrea cuidado presta el helicoptero
