This file was generated by Console at 2020:10:11-00:00:00



[2020:10:11-00:00:00]  (Global) -> |2cb|dilan: a
[2020:10:11-22:15:01]  (Local) -> (LOCAL)[0]themateo: que verga
[2020:10:11-22:15:01]  (Local) -> (LOCAL)[1][Z]XhnGuaracha: lleevame a grove
[2020:10:11-22:15:03]  (Local) -> (LOCAL)[2]Breyner: este dinosaurio tapa mucho
[2020:10:11-22:15:07]  (Local) -> (LOCAL)[1]2cb[MAURO]: WTF
[2020:10:11-22:15:08]  (Global) -> PapiCaliche: bno
[2020:10:11-22:15:08]  (Team - Services) -> (TEAM)(EJER)C.RTONYMONTANA: porfavor me puede curar
[2020:10:11-22:15:14]  (Local) -> (LOCAL)[1]2cb[MAURO]: ESO SE ESTABA MOVIENDO
[2020:10:11-22:15:15]  (Local) -> (LOCAL)[1]|GT|~Omar25~: holas
[2020:10:11-22:15:21]  (Local) -> (LOCAL)[3][Z]XhnGuaracha: creo que hay tombos entonces dependiendo nos bajamos ajsdjsadjasd
[2020:10:11-22:15:21]  (Global) -> [S.A.S][G]Daniels: en total son como 6
[2020:10:11-22:15:21]  (Local) -> (LOCAL)[1]2cb'Camilashade: que
[2020:10:11-22:15:23]  (Global) -> DeathSoulx: aaaaaa
[2020:10:11-22:15:26]  (Local) -> (LOCAL)[2]DeathSoulx: necesito plata
[2020:10:11-22:15:28]  (Team - Services) -> (TEAM)vegetta777: no puedomontarme
[2020:10:11-22:15:30]  (Local) -> (LOCAL)[3]LR|-Benson-|GT: necesitas que te explique algo o ya esta todo claro?
[2020:10:11-22:15:34]  (Global) -> [S.A.S][G]Daniels: claro
[2020:10:11-22:15:41]  (Local) -> (LOCAL)[1]LR|-Benson-|GT: que dice mi patron fav xd
[2020:10:11-22:15:42]  (Local) -> (LOCAL)[1]2cb'Camilashade: alusionas?
[2020:10:11-22:15:46]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: hola :3
[2020:10:11-22:15:46]  (Local) -> (LOCAL)[1]2cb[MAURO]: NO
[2020:10:11-22:15:47]  (Global) -> [CAPU]camilo: tirame una granada
[2020:10:11-22:15:48]  (Local) -> (LOCAL)[3][Z]XhnGuaracha: izi
[2020:10:11-22:15:52]  (Local) -> (LOCAL)[1]2cb'Camilashade: tonces
[2020:10:11-22:15:52]  (Global) -> [S.A.S][G]Daniels: con f
[2020:10:11-22:15:53]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: aqui cuidado
[2020:10:11-22:15:54]  (Global) -> vegetta777: ponga otro
[2020:10:11-22:15:56]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: groove
[2020:10:11-22:15:58]  (Local) -> (LOCAL)[3]2cb[MAURO]: LO VI MOVIENDO
[2020:10:11-22:15:58]  (Local) -> (LOCAL)[1]2cb|YandrixOfYisus|ENP: bromomento
[2020:10:11-22:15:59]  (Local) -> (LOCAL)[3]2cb[MAURO]: AJAJAJAJA
[2020:10:11-22:16:02]  (Global) -> PapiCaliche: el verdadero súbdito de satanas
[2020:10:11-22:16:02]  (Local) -> (LOCAL)[1]DeathSoulx: hermosa skin
[2020:10:11-22:16:03]  (Local) -> (LOCAL)[3]GT|~SubditoDeSatanas: con mi shot gun
[2020:10:11-22:16:04]  (Local) -> (LOCAL)[3]LR|-Benson-|GT: por?
[2020:10:11-22:16:05]  (Local) -> (LOCAL)[3]2cb[MAURO]: METASE A DETECTIVE
[2020:10:11-22:16:10]  (Global) -> 2cb'FabiusxGaming: stonks
[2020:10:11-22:16:11]  (Local) -> (LOCAL)[2]2cb[MAURO]: AH VERDAD, NO PUEDE
[2020:10:11-22:16:12]  (Local) -> (LOCAL)[2]2cb[MAURO]: UPS
[2020:10:11-22:16:13]  (Local) -> (LOCAL)[2]2cb'Camilashade: aun no puedo
[2020:10:11-22:16:14]  (Local) -> (LOCAL)[2]Breyner: mi waifu preferida xd
[2020:10:11-22:16:15]  (Local) -> (LOCAL)[2]2cb'Camilashade: ahahhahahaah
[2020:10:11-22:16:15]  (Global) -> Q'Piskero: fabius
[2020:10:11-22:16:16]  (Local) -> (LOCAL)[2]2cb'Camilashade: sucio
[2020:10:11-22:16:22]  (Global) -> [GT]Speedrun: suba a este
[2020:10:11-22:16:27]  (Global) -> [S.A.S][G]Daniels: minimo estas lageado
[2020:10:11-22:16:31]  (Local) -> (LOCAL)[4]CAPU|~CapuCurioso~|: Daleeee guaracha daleeeeeeee
[2020:10:11-22:16:47]  (Local) -> (LOCAL)[5]PapiCaliche: solo reales humildes sin dobles
[2020:10:11-22:16:51]  (Local) -> (LOCAL)[2]Breyner: esto que es
[2020:10:11-22:16:54]  (Global) -> [GT]Speedrun: listo 
[2020:10:11-22:16:57]  (Local) -> (LOCAL)[2]DeathSoulx: el banco
[2020:10:11-22:17:00]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: te compro
[2020:10:11-22:17:01]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: uey que mentira
[2020:10:11-22:17:01]  (Global) -> vegetta777: ponga un helicoptero
[2020:10:11-22:17:01]  (Local) -> (LOCAL)[5]PapiCaliche: subdito q opinas de mi nuevo carro
[2020:10:11-22:17:02]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: ese camion
[2020:10:11-22:17:04]  (Global) -> Wilthor: aqui ahi bandas?
[2020:10:11-22:17:04]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: Ni le pegue
[2020:10:11-22:17:05]  (Local) -> (LOCAL)[5]PapiCaliche: cuanto
[2020:10:11-22:17:07]  (Local) -> (LOCAL)[2]DeathSoulx: podes guardar o sacar plata
[2020:10:11-22:17:07]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: 10millones
[2020:10:11-22:17:09]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: Y una estrella
[2020:10:11-22:17:12]  (Local) -> (LOCAL)[5]PapiCaliche: no
[2020:10:11-22:17:14]  (Local) -> (LOCAL)[5]PapiCaliche: nose vende
[2020:10:11-22:17:15]  (Local) -> (LOCAL)[2]Breyner: ah yo no ser cuanta plata tengo
[2020:10:11-22:17:16]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: cuanto?
[2020:10:11-22:17:19]  (Global) -> [CAPU]camilo: OANTERAS HP
[2020:10:11-22:17:22]  (Global) -> [S.A.S][G]Daniels: salte dosveces
[2020:10:11-22:17:24]  (Local) -> (LOCAL)[2]Breyner: no me aparece xd
[2020:10:11-22:17:24]  (Global) -> #7F7F7F|CVR|#FF0000Khausu: jjjjjjjjjjjjjjjjjjjjjjjjjaj
[2020:10:11-22:17:26]  (Local) -> (LOCAL)[5]PapiCaliche: igual ud me la hizo la otra vez con la cicla tuneada y nao nao
[2020:10:11-22:17:27]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: Dime
[2020:10:11-22:17:31]  (Local) -> (LOCAL)[2][Zetas]MAJACA: lo estas reclutando?
[2020:10:11-22:17:33]  (Local) -> (LOCAL)[3](ZETA)michael-giovanny: como mk gastando los c4
[2020:10:11-22:17:37]  (Local) -> (LOCAL)[5][Z]XhnGuaracha: nos besamos taseados ajsdjsajd
[2020:10:11-22:17:37]  (Local) -> (LOCAL)[3]DeathSoulx: uno siempre iniciar con cero pesos xd
[2020:10:11-22:17:43]  (Phone:SMS) -> From Wilyrex | To: GT|~SubditoDeSatanas | Message: oelo el rare q esta vendiendo es el bandito???
[2020:10:11-22:17:43]  (Local) -> (LOCAL)[5]CAPU|~CapuCurioso~|: UwU
[2020:10:11-22:17:43]  (Local) -> (LOCAL)[3]themateo: hola
[2020:10:11-22:17:44]  (Local) -> (LOCAL)[3]DeathSoulx: no, yo no recluto gente
[2020:10:11-22:17:44]  (Global) -> [GT]Speedrun: entrene las armas que mas le guste omar
[2020:10:11-22:17:45]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: quieres
[2020:10:11-22:17:46]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: uno?
[2020:10:11-22:17:47]  (Local) -> (LOCAL)[1]2cb[MAURO]: DONDE ESTA SU MARIDO?
[2020:10:11-22:17:49]  (Local) -> (LOCAL)[4]LR|-Benson-|GT: si
[2020:10:11-22:17:52]  (Local) -> (LOCAL)[4]LR|-Benson-|GT: ps si se puede
[2020:10:11-22:17:52]  (Local) -> (LOCAL)[4]GT|~SubditoDeSatanas: en la tarde se lo doy
[2020:10:11-22:17:53]  (Local) -> (LOCAL)[3]DeathSoulx: hole
[2020:10:11-22:17:53]  (Local) -> (LOCAL)[1]2cb'Camilashade: se fueee
[2020:10:11-22:17:53]  (Global) -> [S.A.S][G]Daniels: dos veces
[2020:10:11-22:17:55]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: ahora tengo perecita
[2020:10:11-22:17:55]  (Local) -> (LOCAL)[5]LR|-Benson-|GT: R
[2020:10:11-22:17:56]  (Local) -> (LOCAL)[3][Zetas]MAJACA: no te pregunto
[2020:10:11-22:17:57]  (Local) -> (LOCAL)[3]Breyner: si lo se pero ni me sale la sangre
[2020:10:11-22:18:01]  (Local) -> (LOCAL)[1]2cb[MAURO]: AH, SALIO CON LA OTRA
[2020:10:11-22:18:01]  (Local) -> (LOCAL)[3][Zetas]MAJACA: por que yo ya puedo xd
[2020:10:11-22:18:05]  (Local) -> (LOCAL)[1]2cb'Camilashade: obvio
[2020:10:11-22:18:05]  (Local) -> (LOCAL)[2]|GT|~Omar25~: entrene
[2020:10:11-22:18:06]  (Local) -> (LOCAL)[1]2cb[MAURO]: MERA CACHONA
[2020:10:11-22:18:09]  (Local) -> (LOCAL)[2]|GT|~Omar25~: casi todas
[2020:10:11-22:18:11]  (Local) -> (LOCAL)[3]DeathSoulx: aa
[2020:10:11-22:18:12]  (Global) -> [GT]Speedrun: ah 
[2020:10:11-22:18:14]  (Global) -> PapiCaliche: XD
[2020:10:11-22:18:14]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: :3
[2020:10:11-22:18:16]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: esa colita
[2020:10:11-22:18:17]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: me tento
[2020:10:11-22:18:18]  (Local) -> (LOCAL)[5][Z]XhnGuaracha: careverga
[2020:10:11-22:18:19]  (Local) -> (LOCAL)[6]GT|~SubditoDeSatanas: a pegarle
[2020:10:11-22:18:25]  (Global) -> PapiCaliche: q cochino q eres
[2020:10:11-22:18:28]  (Local) -> (LOCAL)[5]DeathSoulx: usted no se acuerda quien soy xd
[2020:10:11-22:18:34]  (Global) -> [S.A.S][G]Daniels: jajaja si sabia eso
[2020:10:11-22:18:37]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: pen
[2020:10:11-22:18:43]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: xd re papiados
[2020:10:11-22:18:53]  (Local) -> (LOCAL)[4]DeathSoulx: buenisima
[2020:10:11-22:18:58]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF0000Francine98: salta
[2020:10:11-22:18:59]  (Global) -> Wilthor: como escribo con t es para todos? con u pa las personas cercas?
[2020:10:11-22:19:02]  (Team - Services) -> (TEAM)vegetta777: BAJE EL HELICOPTERO
[2020:10:11-22:19:04]  (Local) -> (LOCAL)[3]DeathSoulx: aaa
[2020:10:11-22:19:06]  (Local) -> (LOCAL)[2]2cb[MAURO]: HAHAHAHAHAHAHAHAH
[2020:10:11-22:19:08]  (Local) -> (LOCAL)[2]Breyner: vamonos xd
[2020:10:11-22:19:12]  (Global) -> 2cb'Haze: al reves
[2020:10:11-22:19:20]  (Global) -> Q'Piskero: xdddd
[2020:10:11-22:19:23]  (Global) -> PapiCaliche: si Wilthor
[2020:10:11-22:19:24]  (Global) -> Q'Piskero: Re meme
[2020:10:11-22:19:25]  (Global) -> 2cb'Haze: buen momo
[2020:10:11-22:19:27]  (Local) -> (LOCAL)[7][Zetas]MAJACA: canson xd
[2020:10:11-22:19:28]  (Global) -> 2cb[MAURO]: CAMILA
[2020:10:11-22:19:31]  (Global) -> 2cb[MAURO]: DONDE ESTA
[2020:10:11-22:19:33]  (Local) -> (LOCAL)[1]Breyner: uhs HAHAHAHAHAAJHAJA
[2020:10:11-22:19:34]  (Global) -> CAPU|~CapuCurioso~|:  (　-_･) ︻デ═一 ▸ 2cB
[2020:10:11-22:19:37]  (Global) -> #7F7F7F|CVR|#FF0000Khausu: ( ཀ ʖ̯ ཀ)
[2020:10:11-22:19:38]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: (⌐ ■ _ ■) –︻╦╤─
[2020:10:11-22:19:45]  (Global) -> PapiCaliche: ey ultimamente el servidor va como q un poquito lag
[2020:10:11-22:19:49]  (Global) -> Wilthor: dodne compro armas?
[2020:10:11-22:19:54]  (Local) -> (LOCAL)[5]GT|~SubditoDeSatanas: te amo
[2020:10:11-22:19:54]  (Global) -> 2cb'Haze: (　-_･) ︻デ═一 ▸ 2cB
[2020:10:11-22:19:54]  (Local) -> (LOCAL)[1]DeathSoulx: ajajja
[2020:10:11-22:19:56]  (Global) -> CAPU|~CapuCurioso~|:  (　-_･) ︻デ═一 ▸ 2cB
[2020:10:11-22:20:01]  (Global) -> 2cb'Python: (　-_･) ︻デ═一 ▸ curioso
[2020:10:11-22:20:02]  (Local) -> (LOCAL)[3][Z]XhnGuaracha: pues voy a50
[2020:10:11-22:20:05]  (Global) -> [S.A.S][G]Daniels: con g
[2020:10:11-22:20:05]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: Wilthor en el simbolo de arma en el mapa
[2020:10:11-22:20:07]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: (´-ω ･) ︻┻┳══━ 一
[2020:10:11-22:20:09]  (Global) -> PapiCaliche: f
[2020:10:11-22:20:12]  (Global) -> [GT]Speedrun: tiene que entrenar todas las armas al 100
[2020:10:11-22:20:12]  (Local) -> (LOCAL)[1]Breyner: SE INCENDIA EL CARRO ME ASUSTA WEBON
[2020:10:11-22:20:14]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: Mira
[2020:10:11-22:20:14]  (Global) -> Wilthor: me bugie que ago?
[2020:10:11-22:20:22]  (Local) -> (LOCAL)[6]|GT|~Omar25~: asi ?
[2020:10:11-22:20:26]  (Global) -> [GT]Speedrun: si
[2020:10:11-22:20:27]  (Local) -> (LOCAL)[1]DeathSoulx: jaja
[2020:10:11-22:20:27]  (Local) -> (LOCAL)[6]|GT|~Omar25~: creo que me falta solo
[2020:10:11-22:20:30]  (Local) -> (LOCAL)[6]|GT|~Omar25~: pistola
[2020:10:11-22:20:30]  (Local) -> (LOCAL)[0]ChockysYT: hola
[2020:10:11-22:20:32]  (Local) -> (LOCAL)[2]CAPU|~CapuCurioso~|: Soy un patito juicioso
[2020:10:11-22:20:32]  (Local) -> (LOCAL)[2][Z]XhnGuaracha: zZzzzZ
[2020:10:11-22:20:34]  (Local) -> (LOCAL)[1]LR|-Benson-|GT: JAJAJAJA
[2020:10:11-22:20:37]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: presiona la M
[2020:10:11-22:20:38]  (Global) -> PapiCaliche: q hacen
[2020:10:11-22:20:45]  (Global) -> Wilthor: mmmm
[2020:10:11-22:20:49]  (Local) -> (LOCAL)[1]Wilyrex: ey nea piskero
[2020:10:11-22:20:49]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: aaaaaaaa
[2020:10:11-22:20:53]  (Team - Law Enforcement) -> (TEAM)vegetta777: MONTESE
[2020:10:11-22:21:03]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: Aaaaaaaaa
[2020:10:11-22:21:03]  (Local) -> (LOCAL)[1]Q'Piskero: oe
[2020:10:11-22:21:03]  (Global) -> Wilthor: este juego lo vi en yt
[2020:10:11-22:21:04]  (Global) -> PapiCaliche: sosio q pena será q te puedes salir del servidor
[2020:10:11-22:21:05]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: Hp
[2020:10:11-22:21:09]  (Local) -> (LOCAL)[1]Wilyrex: te ami
[2020:10:11-22:21:10]  (Local) -> (LOCAL)[1]2cb'Haze: ste sapo ome
[2020:10:11-22:21:14]  (Local) -> (LOCAL)[1]Q'Piskero: qn es ud
[2020:10:11-22:21:16]  (Local) -> (LOCAL)[1]Breyner: casi me matan xd
[2020:10:11-22:21:18]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: Consientame arturo
[2020:10:11-22:21:19]  (Local) -> (LOCAL)[6]themateo: oye porque desaparecen
[2020:10:11-22:21:20]  (Local) -> (LOCAL)[1]Wilyrex: su novio
[2020:10:11-22:21:23]  (Local) -> (LOCAL)[1]Q'Piskero: a
[2020:10:11-22:21:25]  (Local) -> (LOCAL)[1]Q'Piskero: ola amor
[2020:10:11-22:21:28]  (Local) -> (LOCAL)[3][Z]XhnGuaracha: lindos
[2020:10:11-22:21:28]  (Local) -> (LOCAL)[1]Wilyrex: ola
[2020:10:11-22:21:30]  (Global) -> Wilthor: quien yo?
[2020:10:11-22:21:31]  (Local) -> (LOCAL)[1]Q'Piskero: q mas
[2020:10:11-22:21:32]  (Local) -> (LOCAL)[6](ZETA)michael-giovanny: esta mrd esta tda bugeada
[2020:10:11-22:21:33]  (Local) -> (LOCAL)[6]themateo: los munecos
[2020:10:11-22:21:35]  (Local) -> (LOCAL)[1]Wilyrex: bn
[2020:10:11-22:21:35]  (Team - Law Enforcement) -> (TEAM)JuanEstrada:  neas
[2020:10:11-22:21:35]  (Global) -> [GT]Speedrun: cuando tenga las arams al 100 le dan un laser
[2020:10:11-22:21:39]  (Global) -> [GT]Speedrun: si no estoy mal
[2020:10:11-22:21:39]  (Local) -> (LOCAL)[3]|GT|ArturoCortez: Listo
[2020:10:11-22:21:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: q
[2020:10:11-22:21:41]  (Local) -> (LOCAL)[4]PapiCaliche: arturo me da 1 palo
[2020:10:11-22:21:41]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: XD
[2020:10:11-22:21:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: xdd
[2020:10:11-22:21:43]  (Team - Law Enforcement) -> (TEAM)JuanEstrada: alguien pa patrullar?
[2020:10:11-22:21:44]  (Global) -> DeathSoulx: 2cb cansones 
[2020:10:11-22:21:54]  (Local) -> (LOCAL)[5]themateo: y yo intentadon mejora la uzi
[2020:10:11-22:21:55]  (Global) -> CAPU|~CapuCurioso~|:  (　-_･) ︻デ═一 ▸ 2cB
[2020:10:11-22:21:59]  (Global) -> PadreChucho: Tucibi es el setas 2.0
[2020:10:11-22:22:00]  (Local) -> (LOCAL)[3]|GT|ArturoCortez: Te doy demipalo?
[2020:10:11-22:22:00]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: (⌐ ■ _ ■) –︻╦╤─
[2020:10:11-22:22:01]  (Global) -> Breyner: aparece re lejos 
[2020:10:11-22:22:02]  (Local) -> (LOCAL)[4]CAPU|~CapuCurioso~|: JAJAJAJJAJAJA
[2020:10:11-22:22:04]  (Local) -> (LOCAL)[4]PapiCaliche: no
[2020:10:11-22:22:06]  (Local) -> (LOCAL)[5]|GT|~Omar25~: con razon todos tienen eso
[2020:10:11-22:22:08]  (Local) -> (LOCAL)[4][Z]XhnGuaracha: dale curiosoooo
[2020:10:11-22:22:09]  (Local) -> (LOCAL)[4]CAPU|~CapuCurioso~|: JAJSAJSJASJASJASJSAJASJSA
[2020:10:11-22:22:10]  (Local) -> (LOCAL)[3]PapiCaliche: cacorro hp
[2020:10:11-22:22:13]  (Local) -> (LOCAL)[5]|GT|~Omar25~: entonces terminare de completar a l 100
[2020:10:11-22:22:13]  (Global) -> Q'Piskero: subdito
[2020:10:11-22:22:14]  (Global) -> 2cb'Camilashade: ADMIIIIN
[2020:10:11-22:22:16]  (Global) -> Q'Piskero: me vendes tu carro
[2020:10:11-22:22:21]  (Local) -> (LOCAL)[5](ZETA)michael-giovanny: no le dan un laser
[2020:10:11-22:22:22]  (Global) -> Breyner: estoy en el decierto 
[2020:10:11-22:22:23]  (Global) -> Q'Piskero: >.<
[2020:10:11-22:22:25]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: camila q pasa
[2020:10:11-22:22:30]  (Local) -> (LOCAL)[6](ZETA)michael-giovanny: tiene que comprar el vip
[2020:10:11-22:22:32]  (Global) -> [GT]Speedrun: ah
[2020:10:11-22:22:34]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: a
[2020:10:11-22:22:36]  (Local) -> (LOCAL)[3]|GT|ArturoCortez: Espera
[2020:10:11-22:22:41]  (Global) -> [GT]Speedrun: no sabia, gracias por la info
[2020:10:11-22:22:44]  (Local) -> (LOCAL)[3]|GT|ArturoCortez: Hijo?
[2020:10:11-22:22:45]  (Global) -> PapiCaliche: XD
[2020:10:11-22:22:46]  (Local) -> (LOCAL)[7]Wilthor: me prestan plata porfa
[2020:10:11-22:22:49]  (Local) -> (LOCAL)[7](ZETA)michael-giovanny: ale
[2020:10:11-22:22:50]  (Local) -> (LOCAL)[3]CAPU|~CapuCurioso~|: papa?
[2020:10:11-22:22:54]  (Local) -> (LOCAL)[4]|GT|ArturoCortez: xD
[2020:10:11-22:22:55]  (Global) -> GT|~SubditoDeSatanas: a
[2020:10:11-22:22:57]  (Local) -> (LOCAL)[4]CAPU|~CapuCurioso~|: XDD
[2020:10:11-22:22:57]  (Global) -> 2cb'Camilashade: Me quede en el banco, no puedo salir
[2020:10:11-22:22:58]  (Global) -> CHOCORRAMO: DJ COCHORRAMO TOCANDO EN VIVO< F3 CVR RADIO 2020< PLAY MUSIC< 
[2020:10:11-22:23:08]  (Local) -> (LOCAL)[7]|GT|~Omar25~: entreno despues por que no me vana dejar aqui
[2020:10:11-22:23:11]  (Local) -> (LOCAL)[1]DeathSoulx: xd
[2020:10:11-22:23:11]  (Global) -> Q'Piskero: subdito me vendes el carro >:<?
[2020:10:11-22:23:17]  (Local) -> (LOCAL)[1]DeathSoulx: no
[2020:10:11-22:23:18]  (Global) -> ChockysYT: un medico
[2020:10:11-22:23:23]  (Local) -> (LOCAL)[2]DeathSoulx: no me dispares con job de medico
[2020:10:11-22:23:24]  (Global) -> DanielAgosto: e
[2020:10:11-22:23:26]  (Global) -> PapiCaliche: VENDO CAMIONETA DE CAMPO 10 PALOS VENGA PA Q LA VEA
[2020:10:11-22:23:27]  (Local) -> (LOCAL)[6]|GT|ArturoCortez: ez
[2020:10:11-22:23:28]  (Global) -> Wilthor: me prestan plata
[2020:10:11-22:23:29]  (Local) -> (LOCAL)[3]DeathSoulx: ni con ninguno
[2020:10:11-22:23:29]  (Global) -> DanielAgosto: SOCIO XQ NO TENGO ARMAS
[2020:10:11-22:23:33]  (Local) -> (LOCAL)[5]Wilthor: me prestan
[2020:10:11-22:23:35]  (Local) -> (LOCAL)[5]Wilthor: plata
[2020:10:11-22:23:36]  (Local) -> (LOCAL)[4]|GT|ArturoCortez: ez
[2020:10:11-22:23:38]  (Global) -> diegovp21: hola
[2020:10:11-22:23:39]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: que quiere?
[2020:10:11-22:23:41]  (Local) -> (LOCAL)[4]Wilthor: pa armas
[2020:10:11-22:23:42]  (Global) -> diegovp21: soy nuevo xd
[2020:10:11-22:23:42]  (Global) -> DanielAgosto: ME TUMBO ESTA PUTA SRVER
[2020:10:11-22:23:43]  (Team - Law Enforcement) -> (TEAM)vegetta777: SIGAMOS 
[2020:10:11-22:23:43]  (Local) -> (LOCAL)[5]Wilthor: porfa
[2020:10:11-22:23:46]  (Local) -> (LOCAL)[5]LR|-PABLO-|GT: no
[2020:10:11-22:23:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Khausu: vende
[2020:10:11-22:23:50]  (Global) -> #7F7F7F|CVR|#FF0000Francine98: q
[2020:10:11-22:23:54]  (Local) -> (LOCAL)[2]DeathSoulx: hole XD
[2020:10:11-22:23:57]  (Global) -> Breyner: aca no se puede hacer tp?
[2020:10:11-22:23:59]  (Global) -> DanielAgosto: HOLE
[2020:10:11-22:24:02]  (Global) -> PapiCaliche: bindeado hasta las gvas pa
[2020:10:11-22:24:12]  (Local) -> (LOCAL)[7]DeathSoulx: kiubo daniel
[2020:10:11-22:24:19]  (Global) -> DanielAgosto: q mas deat
[2020:10:11-22:24:22]  (Local) -> (LOCAL)[7]Wilthor: hola
[2020:10:11-22:24:25]  (Local) -> (LOCAL)[7]Wilthor: soy nuevo
[2020:10:11-22:24:32]  (Local) -> (LOCAL)[6]DeathSoulx: donde estabas?
[2020:10:11-22:24:39]  (Global) -> CAPU|~CapuCurioso~|:  (　-_･) ︻デ═一 ▸ 2cB
[2020:10:11-22:24:40]  (Global) -> DanielAgosto: me habia desconectado
[2020:10:11-22:24:45]  (Team - Law Enforcement) -> (TEAM)vegetta777: OGAVAMOSEN CARRO
[2020:10:11-22:24:45]  (Global) -> 2cb'Haze: https://lsl.ijjiii.is/a96cbf1605e97ec0f8f06160e64bda37/ouTSq5P6XXI/cscwncwiewmm
[2020:10:11-22:24:46]  (Local) -> (LOCAL)[6]DeathSoulx: jajaja f
[2020:10:11-22:24:51]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Khausu: vamos por esos manes
[2020:10:11-22:24:52]  (Global) -> 2cb'Haze: musicapura
[2020:10:11-22:24:52]  (Local) -> (LOCAL)[1]CHOCORRAMO: a
[2020:10:11-22:24:53]  (Global) -> DanielAgosto: aaa usted no fue el q me esño a ahblar?
[2020:10:11-22:24:53]  (Local) -> (LOCAL)[4]PapiCaliche: qn es tan amable y me pasa healt packs
[2020:10:11-22:24:55]  (Global) -> DanielAgosto: con z?
[2020:10:11-22:24:56]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: go
[2020:10:11-22:24:59]  (Global) -> themateo: algun admin
[2020:10:11-22:25:01]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Francine98: se salvaron q subdito me taseo
[2020:10:11-22:25:03]  (Local) -> (LOCAL)[4]|GT|ArturoCortez: No tengo :8
[2020:10:11-22:25:05]  (Local) -> (LOCAL)[2]Q'Piskero: ola
[2020:10:11-22:25:06]  (Local) -> (LOCAL)[6]DeathSoulx: no creo
[2020:10:11-22:25:11]  (Local) -> (LOCAL)[6]Wilthor: oe
[2020:10:11-22:25:13]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Francine98: vamos al amu
[2020:10:11-22:25:15]  (Global) -> Wilthor: oe
[2020:10:11-22:25:16]  (Local) -> (LOCAL)[4]CAPU|~CapuCurioso~|: aa hp bail
[2020:10:11-22:25:20]  (Local) -> (LOCAL)[1]2cb'Haze: aaa
[2020:10:11-22:25:20]  (Global) -> PapiCaliche: porrigueva
[2020:10:11-22:25:23]  (Local) -> (LOCAL)[5]Wilthor: hola
[2020:10:11-22:25:24]  (Local) -> (LOCAL)[1]2cb'Haze: muchohp
[2020:10:11-22:25:24]  (Global) -> DanielAgosto: diga
[2020:10:11-22:25:27]  (Local) -> (LOCAL)[5]DanielAgosto: hola
[2020:10:11-22:25:33]  (Team - Law Enforcement) -> (TEAM)vegetta777: QUE VENDE POR ACA
[2020:10:11-22:25:36]  (Local) -> (LOCAL)[1]2cb'JuanPablo: oe
[2020:10:11-22:25:37]  (Global) -> Wilthor: soy nuevo
[2020:10:11-22:25:39]  (Local) -> (LOCAL)[1]2cb'JuanPablo: roteme 20k
[2020:10:11-22:25:39]  (Global) -> PapiCaliche: ya casi alccanzo los 15 d
