This file was generated by Console at 2021:02:04-00:00:00



[2021:02:04-00:00:00]  (Local) -> (LOCAL)[1]manuuwu: q
[2021:02:04-20:56:36]  (Local) -> (LOCAL)[8]koky28|2cB|: PARCE DE QUE ES
[2021:02:04-20:56:46]  (Local) -> (LOCAL)[1]|?|'[~Slyzzy~]|'?|Kp!: oe
[2021:02:04-20:56:50]  (Local) -> (LOCAL)[1]|?|'[~Slyzzy~]|'?|Kp!: metete al dc
[2021:02:04-20:56:51]  (Global) -> NoSoyFelix: https://dicord.gg/EeaemXa
[2021:02:04-20:56:52]  (Local) -> (LOCAL)[1]W4LTER~>L-ZANO~KP: ya
[2021:02:04-20:56:56]  (Local) -> (LOCAL)[1][Perico-|GT]: ?
[2021:02:04-20:56:59]  (Local) -> (LOCAL)[5]Leonardo_Pimentel: ir
[2021:02:04-20:57:03]  (Local) -> (LOCAL)[2][Perico-|GT]: Que Busca?
[2021:02:04-20:57:08]  (Local) -> (LOCAL)[1]Apu_N'2cb: xd
[2021:02:04-20:57:10]  (Local) -> (LOCAL)[2]Pinina: que dice mi carnal
[2021:02:04-20:57:11]  (Local) -> (LOCAL)[2]jeferuwuz: xd
[2021:02:04-20:57:22]  (Local) -> (LOCAL)[2]El_Mexicano(CM): Que se dice compa
[2021:02:04-20:57:23]  (Local) -> (LOCAL)[1]MINI/2CB: no me puedo elevar
[2021:02:04-20:57:25]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: mucho gusto señor casillas
[2021:02:04-20:57:27]  (Local) -> (LOCAL)[1]Jack: que paso
[2021:02:04-20:57:28]  (Local) -> (LOCAL)[1]iMatt: porque?
[2021:02:04-20:57:29]  (Local) -> (LOCAL)[2]Pinina: vea le presento nuevo integrante del combo
[2021:02:04-20:57:33]  (Global) -> Weyne026: HOLA
[2021:02:04-20:57:34]  (Local) -> (LOCAL)[1]MINI/2CB: porque esta dañado
[2021:02:04-20:57:36]  (Local) -> (LOCAL)[1]Jack: hola
[2021:02:04-20:57:36]  (Local) -> (LOCAL)[3]W4LTER~>L-ZANO~KP: vamos
[2021:02:04-20:57:37]  (Local) -> (LOCAL)[3]W4LTER~>L-ZANO~KP: gogo
[2021:02:04-20:57:37]  (Local) -> (LOCAL)[2]Pinina: elvis ya lo meto al grupo
[2021:02:04-20:57:38]  (Local) -> (LOCAL)[1]MINI/2CB: y si me elvo nos caemos
[2021:02:04-20:57:39]  (Local) -> (LOCAL)[1]iMatt: nah
[2021:02:04-20:57:39]  (Local) -> (LOCAL)[2]El_Mexicano(CM): Mucho gusto Elvis
[2021:02:04-20:57:40]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: un placer
[2021:02:04-20:57:42]  (Global) -> Weyne026: COMO ESTAS 
[2021:02:04-20:57:44]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: el gusto el mio
[2021:02:04-20:57:45]  (Global) -> AddictedSoda83: HOLA
[2021:02:04-20:57:45]  (Local) -> (LOCAL)[3]SAPAhpta(GT): paz
[2021:02:04-20:57:46]  (Local) -> (LOCAL)[1]MINI/2CB: no alcanza a volar
[2021:02:04-20:57:46]  (Local) -> (LOCAL)[1]Jack: bien y usted
[2021:02:04-20:57:47]  (Local) -> (LOCAL)[3]SAPAhpta(GT): paz
[2021:02:04-20:57:48]  (Global) -> Weyne026: BN Y TU
[2021:02:04-20:57:49]  (Local) -> (LOCAL)[2]MINI/2CB: toca esperar
[2021:02:04-20:57:49]  (Local) -> (LOCAL)[3]SAPAhpta(GT): paz
[2021:02:04-20:57:51]  (Local) -> (LOCAL)[3]Apu_N'2cb: jaja
[2021:02:04-20:57:54]  (Global) -> AddictedSoda83: ALGUIEN ESTA ACA
[2021:02:04-20:57:58]  (Local) -> (LOCAL)[2]Apu_N'2cb: ᴇᴜ ꜱᴏᴜ ᴍᴀɪꜱ ᴘʀᴏꜰɪꜱꜱɪᴏɴᴀʟ ᴅᴏ Qᴜᴇ ᴀᴘᴜ ᴄᴠʀ ╭∩╮(▰ ͜ʖ▰)╭∩╮
[2021:02:04-20:58:00]  (Local) -> (LOCAL)[2]jeferuwuz: jajajaj
[2021:02:04-20:58:00]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: que pena señor
[2021:02:04-20:58:03]  (Local) -> (LOCAL)[3]SAPAhpta(GT): el fue el que me dio
[2021:02:04-20:58:05]  (Global) -> Weyne026: QUE HACES
[2021:02:04-20:58:09]  (Global) -> TROLIFEIS: por favor 
[2021:02:04-20:58:10]  (Local) -> (LOCAL)[2]El_Mexicano(CM): tranquilo mijo no hay problema
[2021:02:04-20:58:12]  (Global) -> DecisiveTherapist74: montese
[2021:02:04-20:58:14]  (Global) -> TROLIFEIS: que es esto
[2021:02:04-20:58:16]  (Global) -> Josekilometro9: pregunta
[2021:02:04-20:58:21]  (Local) -> (LOCAL)[1]Jack: busco a un señor llamado pablo escobar
[2021:02:04-20:58:24]  (Global) -> Josekilometro9: por que se porta mal
[2021:02:04-20:58:26]  (Local) -> (LOCAL)[2]Apu_N'2cb: xd
[2021:02:04-20:58:30]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: bueno señor
[2021:02:04-20:58:34]  (Global) -> [Perico-|GT]: a
[2021:02:04-20:58:37]  (Local) -> (LOCAL)[3]M01S|2cb: porque me porte mal?
[2021:02:04-20:58:39]  (Local) -> (LOCAL)[2]Apu_N'2cb: uw
[2021:02:04-20:58:51]  (Local) -> (LOCAL)[2]Pinina: pablo ya esta entrando
[2021:02:04-20:58:52]  (Global) -> DecisiveTherapist74: montese
[2021:02:04-20:58:53]  (Local) -> (LOCAL)[10]Jack: oe flechaz
[2021:02:04-20:58:56]  (Global) -> AddictedSoda83: WWW
[2021:02:04-20:59:00]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: se van a reunir entonces?
[2021:02:04-20:59:00]  (Local) -> (LOCAL)[5]Bellaqueohpta: REFLEXIONA MOR
[2021:02:04-20:59:00]  (Global) -> NoSoyFelix: kevinOcampo
[2021:02:04-20:59:01]  (Local) -> (LOCAL)[11]ElFlechas[mp]: quepasa
[2021:02:04-20:59:01]  (Local) -> (LOCAL)[2]El_Mexicano(CM): Sizas eso me dijo
[2021:02:04-20:59:06]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: no es mejor en la hacienda?
[2021:02:04-20:59:07]  (Local) -> (LOCAL)[1]Joya(Ak): ole
[2021:02:04-20:59:08]  (Global) -> Onomatopeya: por arrebatado
[2021:02:04-20:59:09]  (Local) -> (LOCAL)[11]Jack: vamos pa otro lado o que
[2021:02:04-20:59:13]  (Local) -> (LOCAL)[2]jeferuwuz: vengado
[2021:02:04-20:59:13]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: perdonen que me meta
[2021:02:04-20:59:18]  (Local) -> (LOCAL)[11]ElFlechas[mp]: bueno
[2021:02:04-20:59:19]  (Local) -> (LOCAL)[2]Elvis_Ajoso[CM]: per oes mas seguro
[2021:02:04-20:59:19]  (Global) -> AddictedSoda83: HOLA
[2021:02:04-20:59:20]  (Local) -> (LOCAL)[2]Joya(Ak): no eso fue injusto
[2021:02:04-20:59:22]  (Local) -> (LOCAL)[1]ChoJuan_56: ole suelte
[2021:02:04-20:59:25]  (Local) -> (LOCAL)[1]Python'Kp: vair
[2021:02:04-20:59:27]  (Local) -> (LOCAL)[4]M01S|2cb: juegas sth o q
[2021:02:04-20:59:27]  (Global) -> Andres_Villegas20: Espalderos hptas
[2021:02:04-20:59:27]  (Local) -> (LOCAL)[1]Apu_N'2cb: sefue
[2021:02:04-20:59:33]  (Local) -> (LOCAL)[1]jeferuwuz: c fue
[2021:02:04-20:59:33]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000KevinOcampo|GDT: Hay pruebas mor
[2021:02:04-20:59:33]  (Global) -> JUAN-AA:  ♥
[2021:02:04-20:59:34]  (Local) -> (LOCAL)[10]ElFlechas[mp]: pere yo activo los mods
[2021:02:04-20:59:35]  (Local) -> (LOCAL)[4]Joya(Ak): como me iva a meter a la carcel cuando ese hp estaba mantado en zona
[2021:02:04-20:59:35]  (Global) -> [O]reo~|GT: quedo aterrado este bobo
[2021:02:04-20:59:39]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000KevinOcampo|GDT: Si quieres apelar me dices
[2021:02:04-20:59:40]  (Local) -> (LOCAL)[10]ElFlechas[mp]: bn
[2021:02:04-20:59:42]  (Local) -> (LOCAL)[3]#7F7F7F|ADM|#FF0000KevinOcampo|GDT: Tienes pruebas?
[2021:02:04-20:59:44]  (Local) -> (LOCAL)[2]Pinina: quieren marihuana
[2021:02:04-20:59:47]  (Local) -> (LOCAL)[10]Jack: yo como activo eso
[2021:02:04-20:59:48]  (Local) -> (LOCAL)[3]Python'Kp: q lag
[2021:02:04-20:59:51]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: se fue
[2021:02:04-20:59:55]  (Local) -> (LOCAL)[1]Aragan'2cb: si jajaaj
[2021:02:04-20:59:55]  (Local) -> (LOCAL)[4]Joya(Ak): espere miro si arodabia esta el pantallaso
[2021:02:04-20:59:56]  (Local) -> (LOCAL)[1]Apu_N'2cb: xd
[2021:02:04-20:59:58]  (Local) -> (LOCAL)[1]Pinina: jajaj se le salio
[2021:02:04-20:59:58]  (Local) -> (LOCAL)[9]ElFlechas[mp]: pone /mods
[2021:02:04-20:59:58]  (Local) -> (LOCAL)[1]jeferuwuz: xd
[2021:02:04-21:00:01]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: volemos de acá
[2021:02:04-21:00:01]  (Local) -> (LOCAL)[1]Python'Kp: uy
[2021:02:04-21:00:04]  (Global) -> bsvc: kevin ocampo
[2021:02:04-21:00:08]  (Local) -> (LOCAL)[9]Jack: y q hago mas
[2021:02:04-21:00:11]  (Local) -> (LOCAL)[1]Python'Kp: diz 8fps
[2021:02:04-21:00:13]  (Global) -> JUAN-AA: oe spcem
[2021:02:04-21:00:14]  (Global) -> JUAN-AA: oe spcem
[2021:02:04-21:00:15]  (Global) -> bsvc: alguna idea de por que no me aparece mi carro que compre
[2021:02:04-21:00:15]  (Local) -> (LOCAL)[1]Aragan'2cb: uy
[2021:02:04-21:00:16]  (Local) -> (LOCAL)[11]elcatrehpta-CAPU: oe
[2021:02:04-21:00:16]  (Local) -> (LOCAL)[1]Onomatopeya: perdona
[2021:02:04-21:00:16]  (Local) -> (LOCAL)[3]iMatt: oe
[2021:02:04-21:00:18]  (Local) -> (LOCAL)[1]WolfuserlAKl: donde lo llevo
[2021:02:04-21:00:20]  (Global) -> bsvc: no me aparece en el celular
[2021:02:04-21:00:22]  (Local) -> (LOCAL)[6]ELN:::: felipe
[2021:02:04-21:00:22]  (Local) -> (LOCAL)[11]elcatrehpta-CAPU: me escuchan
[2021:02:04-21:00:23]  (Global) -> Leonardo_Pimentel: solta pa
[2021:02:04-21:00:24]  (Local) -> (LOCAL)[6]ELN:::: mamañena
[2021:02:04-21:00:24]  (Local) -> (LOCAL)[1]eJdexx|2cb: a
[2021:02:04-21:00:25]  (Local) -> (LOCAL)[10]elcatrehpta-CAPU: ?
[2021:02:04-21:00:26]  (Local) -> (LOCAL)[6]ChoJuan_56: no he comprado caro XDD
[2021:02:04-21:00:27]  (Global) -> [O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:00:27]  (Local) -> (LOCAL)[1]Onomatopeya: a un taller de pitura porf
[2021:02:04-21:00:29]  (Local) -> (LOCAL)[9]ElFlechas[mp]: ay le aparese activar todos y ya
[2021:02:04-21:00:35]  (Local) -> (LOCAL)[6]ChoJuan_56: carro*
[2021:02:04-21:00:38]  (Global) -> JUAN-AA: oe ELN:::
[2021:02:04-21:00:40]  (Local) -> (LOCAL)[6]ELN:::: felipe kbron
[2021:02:04-21:00:40]  (Local) -> (LOCAL)[2]Toloteli|2cb-|$$: saque
[2021:02:04-21:00:41]  (Local) -> (LOCAL)[9]Jack: listo
[2021:02:04-21:00:42]  (Global) -> ELN:::: A
[2021:02:04-21:00:43]  (Local) -> (LOCAL)[1]jeferuwuz: como hago pa disparar la desert como una m4
[2021:02:04-21:00:47]  (Local) -> (LOCAL)[4]Briham|2cB: ajajjajjaja
[2021:02:04-21:00:48]  (Global) -> JUAN-AA: mandame 5k <3
[2021:02:04-21:00:49]  (Local) -> (LOCAL)[9]Jack: ahor que hago mas
[2021:02:04-21:00:50]  (Local) -> (LOCAL)[9]ElFlechas[mp]: pero se demora un momentico
[2021:02:04-21:00:52]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: te sigo
[2021:02:04-21:00:52]  (Local) -> (LOCAL)[1]Apu_N'2cb: practicando
[2021:02:04-21:00:54]  (Local) -> (LOCAL)[1]Apu_N'2cb: xd
[2021:02:04-21:00:55]  (Global) -> ELN:::: no me sirve el f3
[2021:02:04-21:00:57]  (Local) -> (LOCAL)[6][O]reo~|GT: paz
[2021:02:04-21:00:57]  (Local) -> (LOCAL)[6]Stivenv28[GT]: np
[2021:02:04-21:00:59]  (Local) -> (LOCAL)[9]ElFlechas[mp]: ya vengo
[2021:02:04-21:00:59]  (Local) -> (LOCAL)[6]Stivenv28[GT]: no
[2021:02:04-21:00:59]  (Global) -> JUAN-AA: agh
[2021:02:04-21:01:04]  (Global) -> ElFlechas[mp]: 7mods
[2021:02:04-21:01:07]  (Global) -> JUAN-AA: spcewm pirobo mandame
[2021:02:04-21:01:07]  (Global) -> Leonardo_Pimentel: bellaqueo
[2021:02:04-21:01:13]  (Local) -> (LOCAL)[8]Bellaqueohpta: ??
[2021:02:04-21:01:14]  (Local) -> (LOCAL)[3]Joya(Ak): no
[2021:02:04-21:01:20]  (Local) -> (LOCAL)[3]Leonardo_Pimentel: Solta pa}
[2021:02:04-21:01:23]  (Global) -> [O]reo~|GT: paz
[2021:02:04-21:01:25]  (Local) -> (LOCAL)[4]Bellaqueohpta: NO
[2021:02:04-21:01:25]  (Global) -> [O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:01:30]  (Local) -> (LOCAL)[3]eJdexx|2cb: ya soy Rango RESPETADO
[2021:02:04-21:01:37]  (Local) -> (LOCAL)[1]WolfuserlAKl: oo gracias
[2021:02:04-21:01:39]  (Local) -> (LOCAL)[1]Onomatopeya: gracias pana, ahi tiene para la gaseosa
[2021:02:04-21:01:41]  (Local) -> (LOCAL)[2]MykeTowers: vea agachecen para q no den
[2021:02:04-21:01:47]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: como me siento?
[2021:02:04-21:01:48]  (Local) -> (LOCAL)[2]MykeTowers: lag
[2021:02:04-21:01:52]  (Global) -> Briham|2cB: OMBO TRUCO
[2021:02:04-21:01:54]  (Local) -> (LOCAL)[1]Pinina: con k
[2021:02:04-21:01:59]  (Local) -> (LOCAL)[9]ElFlechas[mp]: ya
[2021:02:04-21:02:01]  (Local) -> (LOCAL)[2]|don|jimenez|AK|: casi no
[2021:02:04-21:02:02]  (Local) -> (LOCAL)[1]Pinina: venga pues le doy bareta
[2021:02:04-21:02:03]  (Local) -> (LOCAL)[9]ELN:::: ey
[2021:02:04-21:02:09]  (Local) -> (LOCAL)[9]Jack: bueno ahora que hago mas
[2021:02:04-21:02:17]  (Local) -> (LOCAL)[9]ElFlechas[mp]: pere
[2021:02:04-21:02:18]  (Local) -> (LOCAL)[7]Cagaleto|EVG|: ijij
[2021:02:04-21:02:18]  (Local) -> (LOCAL)[3]Weed'2cb: bellaqueo cuanto quire
[2021:02:04-21:02:21]  (Local) -> (LOCAL)[7]Stivenv28[GT]: a
[2021:02:04-21:02:22]  (Local) -> (LOCAL)[0]AddictedSoda83: OO
[2021:02:04-21:02:27]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: como le recibo?
[2021:02:04-21:02:29]  (Local) -> (LOCAL)[5]Bellaqueohpta: DEME 50K
[2021:02:04-21:02:33]  (Local) -> (LOCAL)[8]Weed'2cb: vou
[2021:02:04-21:02:33]  (Global) -> Leonardo_Pimentel: mamelo
[2021:02:04-21:02:33]  (Global) -> JUAN-AA: jmm
[2021:02:04-21:02:35]  (Local) -> (LOCAL)[8]Weed'2cb: voy
[2021:02:04-21:02:35]  (Global) -> JUAN-AA: adm
[2021:02:04-21:02:36]  (Local) -> (LOCAL)[9]Jack: jm
[2021:02:04-21:02:36]  (Global) -> Leonardo_Pimentel: meta en la carcel
[2021:02:04-21:02:37]  (Global) -> AddictedSoda83: TTTT
[2021:02:04-21:02:37]  (Local) -> (LOCAL)[5]Andres_Villegas20: Yo crei que ibamos pal banco
[2021:02:04-21:02:38]  (Local) -> (LOCAL)[5]G4(2cB): te apoyo hermano
[2021:02:04-21:02:40]  (Local) -> (LOCAL)[9]ElFlechas[mp]: estoy poniendo musica en celu
[2021:02:04-21:02:42]  (Local) -> (LOCAL)[1]Aragan'2cb: ay señor
[2021:02:04-21:02:42]  (Global) -> JUAN-AA: ADM
[2021:02:04-21:02:45]  (Local) -> (LOCAL)[9]Jack: a oks
[2021:02:04-21:02:47]  (Global) -> Leonardo_Pimentel: weed
[2021:02:04-21:02:50]  (Local) -> (LOCAL)[1]Hopex06[evg]: esperese prra
[2021:02:04-21:02:51]  (Global) -> JUAN-AA: jumm
[2021:02:04-21:02:52]  (Global) -> Leonardo_Pimentel: quien te tiene hagarrado soy yo
[2021:02:04-21:02:57]  (Local) -> (LOCAL)[6]Weed'2cb: no
[2021:02:04-21:03:00]  (Local) -> (LOCAL)[6]Weed'2cb: es bellaqueo
[2021:02:04-21:03:02]  (Global) -> eJdexx|2cb: No es reportable 
[2021:02:04-21:03:02]  (Global) -> [O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:03:08]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: como me la fumo?
[2021:02:04-21:03:09]  (Local) -> (LOCAL)[1]Pinina: una f6
[2021:02:04-21:03:09]  (Global) -> eJdexx|2cb: Juaz juaz
[2021:02:04-21:03:09]  (Local) -> (LOCAL)[9]Cagaleto|EVG|: arretando pirobos si sr
[2021:02:04-21:03:12]  (Global) -> JUAN-AA: amigo eJdexx|2cb[6] es re reportable
[2021:02:04-21:03:13]  (Global) -> [O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:03:15]  (Global) -> Leonardo_Pimentel: lol
[2021:02:04-21:03:16]  ([Msg] de Stivenv28[GT] para ELNZetas: uy pa) -> nil
[2021:02:04-21:03:16]  (Global) -> JUAN-AA: amigo eJdexx|2cb[6] es re reportable
[2021:02:04-21:03:21]  (Local) -> (LOCAL)[10]Stivenv28[GT]: /mp ELNZetas perdon
[2021:02:04-21:03:23]  (Local) -> (LOCAL)[11]Toloteli|2cb-|$$: xd
[2021:02:04-21:03:23]  (Local) -> (LOCAL)[3]Weed'2cb: briham mateme
[2021:02:04-21:03:24]  ([Msg] de Stivenv28[GT] para ELNZetas: perdon) -> nil
[2021:02:04-21:03:24]  (Global) -> jeferuwuz: qpu
[2021:02:04-21:03:26]  (Global) -> jeferuwuz: apuuu
[2021:02:04-21:03:29]  (Global) -> Apu_N'2cb: q
[2021:02:04-21:03:31]  (Global) -> [O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:03:36]  ([Msg] de Stivenv28[GT] para ELNZetas: udno tenia el Z?) -> nil
[2021:02:04-21:03:39]  (Local) -> (LOCAL)[7]Toloteli|2cb-|$$: cagaleto pilas que se le sueltam
[2021:02:04-21:03:41]  (Local) -> (LOCAL)[1]jeferuwuz: Voy a comer bro
[2021:02:04-21:03:45]  ([Msg] de Stivenv28[GT] para ELNZetas: igual perdon) -> nil
[2021:02:04-21:03:46]  (Local) -> (LOCAL)[1]Apu_N'2cb: Bre
[2021:02:04-21:03:46]  (Local) -> (LOCAL)[5]Toloteli|2cb-|$$: llevelos rapido
[2021:02:04-21:03:48]  (Global) -> eJdexx|2cb: Ademas ud ya tiene dobles para que quiere cojer mas carros
[2021:02:04-21:03:49]  (Local) -> (LOCAL)[6][O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:03:55]  (Global) -> JUAN-AA: hptaaaaaaaaa
[2021:02:04-21:03:56]  (Global) -> #7F7F7F|ADM|#FF0000MoraHpta|2cb: cooomo q diesiocho
[2021:02:04-21:03:57]  (Global) -> JUAN-AA: mis armas q
[2021:02:04-21:03:59]  (Global) -> JUAN-AA: wtf
[2021:02:04-21:04:02]  (Local) -> (LOCAL)[1]Apu_N'2cb: Yo AFk haciendo tarea
[2021:02:04-21:04:05]  (Local) -> (LOCAL)[7]Jefer|2Aucb: oe
[2021:02:04-21:04:06]  (Local) -> (LOCAL)[1]Apu_N'2cb: xd
[2021:02:04-21:04:11]  (Local) -> (LOCAL)[1]ElFlechas[mp]: como puso su eskin
[2021:02:04-21:04:12]  (Local) -> (LOCAL)[6]koky28|2cB|: OE
[2021:02:04-21:04:14]  (Local) -> (LOCAL)[7]Jefer|2Aucb: soy de la gang ma
[2021:02:04-21:04:15]  (Global) -> Andres_Villegas20: Oe me bugioe
[2021:02:04-21:04:17]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: usted ha fumado de verdad?
[2021:02:04-21:04:17]  (Local) -> (LOCAL)[7]koky28|2cB|: DISCULPA
[2021:02:04-21:04:17]  (Global) -> LOKILLO(Z): JUAN
[2021:02:04-21:04:19]  (Global) -> LOKILLO(Z): OME
[2021:02:04-21:04:20]  (Global) -> JUAN-AA: ola
[2021:02:04-21:04:21]  (Global) -> Andres_Villegas20: No me deja sacar armas
[2021:02:04-21:04:21]  (Local) -> (LOCAL)[6]Jefer|2Aucb: xd
[2021:02:04-21:04:22]  (Local) -> (LOCAL)[6]koky28|2cB|: COMO TE SUELTO
[2021:02:04-21:04:22]  (Local) -> (LOCAL)[1]Jolyne|2cb: ah me aburri
[2021:02:04-21:04:23]  (Local) -> (LOCAL)[1]ElFlechas[mp]: oe
[2021:02:04-21:04:23]  (Local) -> (LOCAL)[1]Jack: yo entre y eso la tenia
[2021:02:04-21:04:24]  (Global) -> LOKILLO(Z): LEA EL DISCORD
[2021:02:04-21:04:24]  (Local) -> (LOCAL)[1]Jolyne|2cb: asjajsjsa
[2021:02:04-21:04:25]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MoraHpta|2cb: XDD
[2021:02:04-21:04:27]  (Global) -> JUAN-AA: voy
[2021:02:04-21:04:29]  (Local) -> (LOCAL)[5]Cagaleto|EVG|: xd?
[2021:02:04-21:04:29]  (Global) -> LOKILLO(Z): OLA XD
[2021:02:04-21:04:29]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MoraHpta|2cb: mire initial d
[2021:02:04-21:04:31]  (Local) -> (LOCAL)[1]ElFlechas[mp]: bn
[2021:02:04-21:04:32]  (Global) -> #7F7F7F|ADM|#FF0000MoraHpta|2cb: sapo hp
[2021:02:04-21:04:34]  (Local) -> (LOCAL)[6]Jefer|2Aucb: ecribe /release jefer
[2021:02:04-21:04:34]  (Global) -> M01S|2cb: quien tiene droga que me venda
[2021:02:04-21:04:35]  (Local) -> (LOCAL)[1]Jolyne|2cb: pille
[2021:02:04-21:04:35]  (Local) -> (LOCAL)[3][O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:04:37]  (Local) -> (LOCAL)[1]Pinina: ya se le acabo la bareta
[2021:02:04-21:04:37]  (Local) -> (LOCAL)[1]Jack: szs
[2021:02:04-21:04:38]  (Local) -> (LOCAL)[1]ExoticHuman7: llora
[2021:02:04-21:04:42]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: szs
[2021:02:04-21:04:42]  (Global) -> M01S|2cb: se la compro al mayoreo
[2021:02:04-21:04:42]  (Local) -> (LOCAL)[7]|don|jimenez|AK|: q paso amor
[2021:02:04-21:04:43]  (Local) -> (LOCAL)[1]ElFlechas[mp]: pero estaba trabajando
[2021:02:04-21:04:43]  (Local) -> (LOCAL)[1]Jolyne|2cb: wait
[2021:02:04-21:04:44]  (Local) -> (LOCAL)[1]Hopex06[evg]: llore usted
[2021:02:04-21:04:44]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MoraHpta|2cb: ese es el 3?
[2021:02:04-21:04:46]  (Local) -> (LOCAL)[6][O]reo~|GT: quedo aterrado este bobo
[2021:02:04-21:04:47]  (Local) -> (LOCAL)[1]Pinina: neaa
[2021:02:04-21:04:47]  (Local) -> (LOCAL)[1]Jolyne|2cb: szs
[2021:02:04-21:04:49]  (Global) -> MykeTowers: lleguen donde estavamos
[2021:02:04-21:04:51]  (Local) -> (LOCAL)[4]|don|jimenez|AK|: no abrase piroba hpta
[2021:02:04-21:04:52]  (Global) -> ELNZetas: ADM
[2021:02:04-21:04:53]  (Local) -> (LOCAL)[1]ElFlechas[mp]: eso se le quits
[2021:02:04-21:04:53]  (Local) -> (LOCAL)[1]Pinina: es que paso mero problema
[2021:02:04-21:04:54]  (Global) -> ELNZetas: ADM
[2021:02:04-21:04:55]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MoraHpta|2cb: pense q decia 3 en el nombre
[2021:02:04-21:04:59]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: kekas?
[2021:02:04-21:04:59]  (Local) -> (LOCAL)[1]Jack: yo le di
[2021:02:04-21:05:02]  (Global) -> Onomatopeya: chao bebe
[2021:02:04-21:05:02]  (Local) -> (LOCAL)[1]#7F7F7F|ADM|#FF0000MoraHpta|2cb: entonce ya lo habia visto
[2021:02:04-21:05:02]  (Local) -> (LOCAL)[1]Jolyne|2cb: nonas
[2021:02:04-21:05:04]  (Local) -> (LOCAL)[1]ExoticHuman7: llorando
[2021:02:04-21:05:05]  (Local) -> (LOCAL)[3]MINI/2CB: ey vibra
[2021:02:04-21:05:06]  (Local) -> (LOCAL)[1]Jolyne|2cb: active el mod
[2021:02:04-21:05:07]  (Local) -> (LOCAL)[7]Weed'2cb: sasuho severa gracias <3
[2021:02:04-21:05:08]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: yo si vi que se pusieron a dar plomo
[2021:02:04-21:05:11]  (Local) -> (LOCAL)[1]Jack: /resign
[2021:02:04-21:05:12]  (Local) -> (LOCAL)[1]ElFlechas[mp]: que
[2021:02:04-21:05:12]  (Local) -> (LOCAL)[2]Chupala: no
[2021:02:04-21:05:14]  (Local) -> (LOCAL)[1]Elvis_Ajoso[CM]: tons yo me metí a cambio de nada
[2021:02:04-21:05:15]  (Local) -> (LOCAL)[1]ElFlechas[mp]: ?
[2021:02:04-21:05:15]  (Global) -> ELNZetas: Parce el tombo que me arresto se quedo afk en spawn 
[2021:02:04-21:05:16]  (Local) -> (LOCAL)[4]Stivenv28[GT]: dc pa
[2021:02:04-21:05:18]  (Local) -> (LOCAL)[1]eJdexx|2cb: eres de lagang?
[2021:02:04-21:05:18]  (Local) -> (LOCAL)[1]Pinina: pille nosotros creamos esta organizacion el cartel de medellim
[2021:02:04-21:05:20]  (Local) -> (LOCAL)[1]Jack: copie eso
[2021:02:04-21:05:21]  (Local) -> (LOCAL)[4]Stivenv28[GT]: a matar tombos
[2021:02:04-21:05:21]  (Global) -> GustavoPetro(RCA): noo
[2021:02:04-21:05:22]  (Global) -> ELNZetas: ajsajsajsajsajsj
[2021:02:04-21:05:23]  (Local) -> (LOCAL)[4][O]reo~|GT: Naughty~lGT
[2021:02:04-21:05:23]  (Global) -> JUAN-AA: parce nagh
[2021:02:04-21:05:26]  (Local) -> (LOCAL)[7]koky28|2cB|: srro
[2021:02:04-21:05:26]  (Local) -> (LOCAL)[6]Onomatopeya: hahaahha
[2021:02:04-21:05:27]  (Local) -> (LOCAL)[2]MykeTowers: dspara
[2021:02:04-21:05:28]  (Global) -> JUAN-AA: ADM
