This file was generated by Console at 2020:12:18-00:00:04



[2020:12:18-00:00:04]  (Local) -> (LOCAL)[11]COMANDANTEEE: bn
[2020:12:18-22:11:32]  (Global) -> Loctarsito12: fonorrea moment
[2020:12:18-22:11:33]  (Local) -> (LOCAL)[4]PornHub: hay q tema paaa
[2020:12:18-22:11:33]  (Local) -> (LOCAL)[1]?'ffa#00017?: hp
[2020:12:18-22:11:35]  (Local) -> (LOCAL)[6]roberto0escobar: en la comuna 13
[2020:12:18-22:11:35]  (Local) -> (LOCAL)[6]chimboLOCO: suba ps
[2020:12:18-22:11:36]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: -_-
[2020:12:18-22:11:36]  (Global) -> 0TostadoraGamer0: LA LIGA
[2020:12:18-22:11:36]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: que hacemos de evento
[2020:12:18-22:11:39]  (Local) -> (LOCAL)[4][MZ]24k: Que?
[2020:12:18-22:11:40]  (Global) -> NeutroPimpHuh?: jajajajajajajja
[2020:12:18-22:11:40]  (Local) -> (LOCAL)[1]2cb,francovillar**/+}{: OE
[2020:12:18-22:11:40]  (Local) -> (LOCAL)[4]PornHub: no hay nadie iguaaal
[2020:12:18-22:11:41]  (Local) -> (LOCAL)[1]?'ffa#00017?: suba
[2020:12:18-22:11:41]  (Local) -> (LOCAL)[7]chimboLOCO: baje
[2020:12:18-22:11:41]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: y cuales son los premios
[2020:12:18-22:11:41]  (Local) -> (LOCAL)[3]AbackPrincess7: hola
[2020:12:18-22:11:41]  (Global) -> 2cb,francovillar**/+}{: OE
[2020:12:18-22:11:42]  (Local) -> (LOCAL)[7]chimboLOCO: eso
[2020:12:18-22:11:43]  (Team - Criminals) -> (TEAM)2cb,francovillar**/+}{: OE
[2020:12:18-22:11:43]  (Global) -> 0TostadoraGamer0: LA LIGA CABRON.
[2020:12:18-22:11:45]  (Local) -> (LOCAL)[1]2cb,francovillar**/+}{: OE
[2020:12:18-22:11:46]  (Global) -> 0TostadoraGamer0: O LO BIOLO
[2020:12:18-22:11:46]  (Global) -> Sancocho-Kun: jajajjajjjjjj
[2020:12:18-22:11:50]  (Local) -> (LOCAL)[4]PornHub: hey q yo participo o q
[2020:12:18-22:11:51]  (Local) -> (LOCAL)[4]<MZ>cagaleto: de de de quien es este ca ca carro
[2020:12:18-22:11:53]  (Local) -> (LOCAL)[7]chimboLOCO: nos fuimos
[2020:12:18-22:11:54]  (Local) -> (LOCAL)[1]2cb'RandyNotaLoca: no puedo cucho
[2020:12:18-22:11:54]  (Local) -> (LOCAL)[4]PornHub: me va a dejar botalero
[2020:12:18-22:11:54]  (Local) -> (LOCAL)[1]?'ffa#00017?: salte
[2020:12:18-22:11:55]  (Global) -> Loctarsito12: punto
[2020:12:18-22:11:58]  (Global) -> AbackPrincess7: como me cambio el nombre?
[2020:12:18-22:12:00]  (Local) -> (LOCAL)[7]roberto0escobar: suba
[2020:12:18-22:12:00]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: tu tambe
[2020:12:18-22:12:01]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: estaba cartelado?
[2020:12:18-22:12:02]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: participa
[2020:12:18-22:12:03]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: con /nick
[2020:12:18-22:12:06]  (Local) -> (LOCAL)[4]PornHub: dime si me regala 1 noche ma
[2020:12:18-22:12:06]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00_SEMDS_: ponete mp
[2020:12:18-22:12:06]  (Local) -> (LOCAL)[1]?'ffa#00017?: saque un carro
[2020:12:18-22:12:07]  (Local) -> (LOCAL)[4]PornHub: >:)
[2020:12:18-22:12:08]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: pillen
[2020:12:18-22:12:08]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00_SEMDS_: XD
[2020:12:18-22:12:10]  (Local) -> (LOCAL)[1]?'ffa#00017?: salte y saque el carro
[2020:12:18-22:12:10]  (Global) -> PornHub: #FF00FF >:)
[2020:12:18-22:12:14]  (Local) -> (LOCAL)[4][MZ]24k: Xd
[2020:12:18-22:12:14]  (Global) -> 0TostadoraGamer0: CHAU AO,MR
[2020:12:18-22:12:14]  (Global) -> TOLOTELLI:  HAGALE
[2020:12:18-22:12:17]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF0000lauraaa: naaa que chimbada
[2020:12:18-22:12:18]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: ASDJAJSDJASDJASD
[2020:12:18-22:12:23]  (Local) -> (LOCAL)[4]PornHub: nos vamos a cagar a pvp
[2020:12:18-22:12:26]  (Local) -> (LOCAL)[4]PornHub: XDD
[2020:12:18-22:12:31]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#0064FFFrancine98: no puedes matar trabajadores
[2020:12:18-22:12:31]  (Local) -> (LOCAL)[7]chimboLOCO: vea vea
[2020:12:18-22:12:31]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: vamos a hacer pvp entre todos en una montala
[2020:12:18-22:12:34]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: montaña
[2020:12:18-22:12:35]  (Local) -> (LOCAL)[7]Arison45: si
[2020:12:18-22:12:38]  (Local) -> (LOCAL)[7]chimboLOCO: voten por pablito
[2020:12:18-22:12:40]  (Global) -> 0TostadoraGamer0: HAHAHA
[2020:12:18-22:12:42]  (Local) -> (LOCAL)[4]PornHub: eso lo gano yo
[2020:12:18-22:12:44]  (Global) -> TOLOTELLI:  MANII SI ME CONSIGIO PLATICA?
[2020:12:18-22:12:44]  (Local) -> (LOCAL)[4]PornHub: con esta skin
[2020:12:18-22:12:45]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: yo encanada y Cheverry me mata
[2020:12:18-22:12:46]  (Local) -> (LOCAL)[4]<MZ>cagaleto: cuanto cuesta el carro mas barato
[2020:12:18-22:12:47]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: wow
[2020:12:18-22:12:48]  (Local) -> (LOCAL)[9]chimboLOCO: ESCUCHEN
[2020:12:18-22:12:48]  (Local) -> (LOCAL)[8]NeutroPimpHuh?: llevese a esse hp
[2020:12:18-22:12:50]  (Global) -> $AK47$JJ_Gamer: los alve
[2020:12:18-22:12:51]  (Local) -> (LOCAL)[4]Changuita[MZ]: 70k
[2020:12:18-22:12:52]  (Local) -> (LOCAL)[4]PornHub: cuesta 70k
[2020:12:18-22:12:53]  (Local) -> (LOCAL)[6]NeutroPimpHuh?: echeverry mamon
[2020:12:18-22:12:53]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: ya encana a ese sapo
[2020:12:18-22:12:55]  (Local) -> (LOCAL)[7]chimboLOCO: uy que grosero
[2020:12:18-22:12:57]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: a
[2020:12:18-22:12:58]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: despues, vamos a hacer una carrera con motos de ciudad en ciudad
[2020:12:18-22:12:59]  (Global) -> $AK47$JJ_Gamer: los alve
[2020:12:18-22:13:00]  (Global) -> Cheverry: comoais
[2020:12:18-22:13:00]  (Local) -> (LOCAL)[4]Changuita[MZ]: le vendo uno
[2020:12:18-22:13:00]  (Local) -> (LOCAL)[1]Arison45: no
[2020:12:18-22:13:02]  (Local) -> (LOCAL)[4]PornHub: pero eso es q kanaima
[2020:12:18-22:13:03]  (Local) -> (LOCAL)[8]chimboLOCO: le voy a mochar las patas
[2020:12:18-22:13:03]  (Global) -> TOLOTELLI:  GROSERO PATRON
[2020:12:18-22:13:04]  (Global) -> $AK47$JJ_Gamer: lo salve
[2020:12:18-22:13:04]  (Local) -> (LOCAL)[4]<MZ>cagaleto: voy por ese
[2020:12:18-22:13:05]  (Local) -> (LOCAL)[8]chimboLOCO: por grosero
[2020:12:18-22:13:06]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: HEY PARENME BOLAS
[2020:12:18-22:13:08]  (Global) -> $AK47$JJ_Gamer: jaja xd
[2020:12:18-22:13:08]  (Local) -> (LOCAL)[1]ZEUS: VEA SUELTEME
[2020:12:18-22:13:08]  (Global) -> Sancocho-Kun: coooooomo
[2020:12:18-22:13:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: bno mas cuidado
[2020:12:18-22:13:11]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: frasnis
[2020:12:18-22:13:11]  (Global) -> UnrulyTwister78: qhubo gyevon
[2020:12:18-22:13:11]  (Local) -> (LOCAL)[4]<MZ>cagaleto: sisi
[2020:12:18-22:13:12]  (Local) -> (LOCAL)[4]PornHub: na ps el q tenga NRG
[2020:12:18-22:13:13]  (Local) -> (LOCAL)[8]chimboLOCO: le voy a mochar las patas patron por grosero
[2020:12:18-22:13:14]  (Local) -> (LOCAL)[1]Arison45: como asi
[2020:12:18-22:13:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: lee las reglas en F1
[2020:12:18-22:13:16]  (Global) -> UnrulyTwister78: que paso
[2020:12:18-22:13:16]  (Local) -> (LOCAL)[5]PornHub: gana esa carrera
[2020:12:18-22:13:17]  (Local) -> (LOCAL)[1]Dxvid: y porq
[2020:12:18-22:13:17]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: nono
[2020:12:18-22:13:19]  (Global) -> #7F7F7F|CVR|#0064FFFrancine98: e
[2020:12:18-22:13:20]  (Global) -> 0TostadoraGamer0: CABRON
[2020:12:18-22:13:21]  (Global) -> AbackPrincess7: como camibio mi norbre
[2020:12:18-22:13:21]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: con dts
[2020:12:18-22:13:22]  (Local) -> (LOCAL)[1]ZEUS: vamos a dar un rose
[2020:12:18-22:13:23]  (Local) -> (LOCAL)[1]Arison45: bno amigo
[2020:12:18-22:13:24]  (Local) -> (LOCAL)[8]NeutroPimpHuh?: lo salve
[2020:12:18-22:13:25]  (Global) -> $AK47$JJ_Gamer: gracias
[2020:12:18-22:13:26]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: bueno
[2020:12:18-22:13:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: bno
[2020:12:18-22:13:27]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: naa q demora para que lo encanen a uno
[2020:12:18-22:13:31]  (Local) -> (LOCAL)[5]PornHub: añañay
[2020:12:18-22:13:31]  (Global) -> #7F7F7F|CVR|#FF5C00_SEMDS_: a
[2020:12:18-22:13:32]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: y el ganador de esas dos
[2020:12:18-22:13:32]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: digame la tercera regla
[2020:12:18-22:13:33]  (Local) -> (LOCAL)[5][MZ]24k: xd
[2020:12:18-22:13:35]  (Local) -> (LOCAL)[1]Arison45: me puedo ir
[2020:12:18-22:13:39]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00|~Agente~|: por z4rra
[2020:12:18-22:13:41]  (Local) -> (LOCAL)[9]chimboLOCO: amigo
[2020:12:18-22:13:42]  (Global) -> UnrulyTwister78: que necesita señora
[2020:12:18-22:13:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: digame la tercera regla y se va
[2020:12:18-22:13:44]  (Local) -> (LOCAL)[5]Changuita[MZ]: oe prestemela
[2020:12:18-22:13:45]  (Local) -> (LOCAL)[5]PornHub: una noche ma
[2020:12:18-22:13:45]  (Local) -> (LOCAL)[9]roberto0escobar: quieto
[2020:12:18-22:13:46]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: se va a ganar 2 palos y un carro
[2020:12:18-22:13:48]  (Global) -> $AK47$JJ_Gamer: jajaj xd
[2020:12:18-22:13:48]  (Local) -> (LOCAL)[5]PornHub: >:)
[2020:12:18-22:13:49]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00|~Agente~|: snacochoo
[2020:12:18-22:13:49]  (Local) -> (LOCAL)[9]NeutroPimpHuh?: cheverry vaya
[2020:12:18-22:13:51]  (Local) -> (LOCAL)[4]PornHub: huy kieto
[2020:12:18-22:13:51]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: pues q me tiene encanada
[2020:12:18-22:13:51]  (Local) -> (LOCAL)[9]NeutroPimpHuh?: ome
[2020:12:18-22:13:53]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: -_-
[2020:12:18-22:13:54]  (Local) -> (LOCAL)[9]NeutroPimpHuh?: huele a sopa
[2020:12:18-22:13:54]  (Local) -> (LOCAL)[4]<MZ>cagaleto: weje
[2020:12:18-22:13:55]  (Local) -> (LOCAL)[4]PornHub: me voy a ganar 2 palos
[2020:12:18-22:14:03]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: claro
[2020:12:18-22:14:04]  (Local) -> (LOCAL)[9]Patron_WK: ojo
[2020:12:18-22:14:04]  (Local) -> (LOCAL)[11]Sancocho-Kun: orgalooooor
[2020:12:18-22:14:06]  (Local) -> (LOCAL)[5]PornHub: bno pero vamos a guardar 1 palo q tengo en el hospi
[2020:12:18-22:14:07]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: sopa de cum
[2020:12:18-22:14:07]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: ese es el premio de 1 lugar
[2020:12:18-22:14:08]  (Local) -> (LOCAL)[1]marlon_cajica: el numero es 1723
[2020:12:18-22:14:11]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: oplaaa
[2020:12:18-22:14:11]  (Global) -> $AK47$JJ_Gamer: que?
[2020:12:18-22:14:11]  (Local) -> (LOCAL)[9]Patron_WK: yo soy bueno
[2020:12:18-22:14:13]  (Local) -> (LOCAL)[9]Sancocho-Kun: voy con resto de lag mkkk
[2020:12:18-22:14:14]  (Local) -> (LOCAL)[8]chimboLOCO: perico
[2020:12:18-22:14:15]  (Global) -> marlon_cajica: si
[2020:12:18-22:14:17]  (Local) -> (LOCAL)[5]PornHub: me da miedo andar con plata en el bolsillo
[2020:12:18-22:14:17]  (Global) -> UnrulyTwister78: señora hable bien que es encanaday
[2020:12:18-22:14:17]  (Local) -> (LOCAL)[1]Arison45: no puedo matar a trabajadores de amarillo ni celeste
[2020:12:18-22:14:17]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00|~Agente~|: como estas
[2020:12:18-22:14:18]  (Global) -> TOLOTELLI:  JAJAJJA LO PELARON
[2020:12:18-22:14:20]  (Local) -> (LOCAL)[8]chimboLOCO: tiene curitas?
[2020:12:18-22:14:21]  (Local) -> (LOCAL)[8]roberto0escobar: el tombo
[2020:12:18-22:14:23]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: exacto
[2020:12:18-22:14:23]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: yo voy a 13 FPS
[2020:12:18-22:14:23]  (Local) -> (LOCAL)[8]chimboLOCO: me duele la cabeza
[2020:12:18-22:14:24]  (Local) -> (LOCAL)[6]|MZ|Ga$ter: el 2 puesto gana
[2020:12:18-22:14:26]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: no me quedjo
[2020:12:18-22:14:26]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: ya se puede ir
[2020:12:18-22:14:27]  (Local) -> (LOCAL)[9]$AK47$JJ_Gamer: oe espere dele esto y le doy 50 lukas
[2020:12:18-22:14:30]  (Local) -> (LOCAL)[1]marlon_cajica: marlon pro 1723
[2020:12:18-22:14:30]  (Local) -> (LOCAL)[1]Arison45: jeje perdon
[2020:12:18-22:14:32]  (Local) -> (LOCAL)[8]chimboLOCO: tiene curas perico?
[2020:12:18-22:14:32]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|~Agente~|: 16 ahora
[2020:12:18-22:14:33]  (Local) -> (LOCAL)[6]|MZ|Ga$ter: 1 palo y un carro comun
[2020:12:18-22:14:35]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|~Agente~|: 14
[2020:12:18-22:14:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: bno mas cuidado pa
[2020:12:18-22:14:36]  (Local) -> (LOCAL)[7]Sancocho-Kun: yo voy a 9000 de ping XD
[2020:12:18-22:14:36]  (Local) -> (LOCAL)[6]PornHub: la industria inc
[2020:12:18-22:14:40]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|~Agente~|: ajsajsj
[2020:12:18-22:14:40]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: suelatelos
[2020:12:18-22:14:40]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#0064FFFrancine98: que te diviertas
[2020:12:18-22:14:41]  (Local) -> (LOCAL)[1]Arison45: ale
[2020:12:18-22:14:42]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00|~Agente~|: bueno
[2020:12:18-22:14:42]  (Local) -> (LOCAL)[6]PornHub: NICK
[2020:12:18-22:14:42]  (Local) -> (LOCAL)[9]chimboLOCO: Suba adelante patron
[2020:12:18-22:14:44]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: enfin
[2020:12:18-22:14:45]  (Local) -> (LOCAL)[5]PornHub: KR
[2020:12:18-22:14:45]  (Local) -> (LOCAL)[3]AbackPrincess7: hola bro
[2020:12:18-22:14:46]  (Global) -> UnrulyTwister78: oye bb a donde queres ir
[2020:12:18-22:14:46]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00|~Agente~|: como estas
[2020:12:18-22:14:46]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: dele /release $AK47$JJ_Gamer[2]
[2020:12:18-22:14:52]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: dele eso
[2020:12:18-22:14:54]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: sueltelos primero
[2020:12:18-22:14:55]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: soltame pues
[2020:12:18-22:14:55]  (Local) -> (LOCAL)[9]chimboLOCO: naaa
[2020:12:18-22:14:56]  (Local) -> (LOCAL)[5]PornHub: hay q tema
[2020:12:18-22:14:57]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: y el tercero gana 500k y una bisicleta
[2020:12:18-22:14:59]  (Global) -> 0TostadoraGamer0: yaa
[2020:12:18-22:14:59]  (Local) -> (LOCAL)[8]Sancocho-Kun: bien bien y uste'?
[2020:12:18-22:14:59]  (Local) -> (LOCAL)[8]NeutroPimpHuh?: ome
[2020:12:18-22:15:01]  (Global) -> Loctarsito12: a donde su papád
[2020:12:18-22:15:05]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: ok
[2020:12:18-22:15:06]  (Local) -> (LOCAL)[5]PornHub: añañayyy
[2020:12:18-22:15:07]  (Global) -> UnrulyTwister78: como lo hago soy nuevo jajaj
[2020:12:18-22:15:07]  (Local) -> (LOCAL)[4]<MZ>cagaleto: sii
[2020:12:18-22:15:07]  (Local) -> (LOCAL)[4]PornHub: temon
[2020:12:18-22:15:07]  (Local) -> (LOCAL)[8]Patron_WK: se va quedar quieto o que hp
[2020:12:18-22:15:07]  (Global) -> TOLOTELLI:  POERE
[2020:12:18-22:15:07]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00|~Agente~|: ando haciendo sancocho de cum
[2020:12:18-22:15:08]  (Local) -> (LOCAL)[3]AbackPrincess7: sabes como cambio mi nombre
[2020:12:18-22:15:09]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: a quien?
[2020:12:18-22:15:10]  (Global) -> TOLOTELLI:  PERE
[2020:12:18-22:15:10]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: entonces vamos
[2020:12:18-22:15:11]  (Local) -> (LOCAL)[9]Sancocho-Kun: uy esas gafas remelas xd
[2020:12:18-22:15:12]  (Local) -> (LOCAL)[4]PornHub: ojos de diablo dic la doña
[2020:12:18-22:15:12]  (Local) -> (LOCAL)[9]Cheverry: si
[2020:12:18-22:15:13]  (Local) -> (LOCAL)[7]roberto0escobar: suba
[2020:12:18-22:15:13]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: empecemos ps
[2020:12:18-22:15:13]  (Local) -> (LOCAL)[5]AbackPrincess7: ??
[2020:12:18-22:15:14]  (Local) -> (LOCAL)[9]Sancocho-Kun: jjjjjaa
[2020:12:18-22:15:16]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: con /release
[2020:12:18-22:15:17]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00|~Agente~|: son del conejo
[2020:12:18-22:15:17]  (Global) -> Loctarsito12: poere
[2020:12:18-22:15:18]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: avca
[2020:12:18-22:15:18]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: 50
[2020:12:18-22:15:18]  (Local) -> (LOCAL)[9]Patron_WK: mmm
[2020:12:18-22:15:18]  (Local) -> (LOCAL)[5]PornHub: vamos a banco
[2020:12:18-22:15:19]  (Global) -> #7F7F7F|CVR|#FF0000lauraaa: pero ya que
[2020:12:18-22:15:20]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: aca todos
[2020:12:18-22:15:21]  (Local) -> (LOCAL)[8]Cheverry: soltame
[2020:12:18-22:15:21]  (Local) -> (LOCAL)[5]PornHub: guardo lucas
[2020:12:18-22:15:25]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: o que
[2020:12:18-22:15:25]  (Local) -> (LOCAL)[8]Sancocho-Kun: jjajjajajajja
[2020:12:18-22:15:25]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: sueltepues
[2020:12:18-22:15:25]  (Local) -> (LOCAL)[9]Cheverry: soy tombo
[2020:12:18-22:15:28]  (Local) -> (LOCAL)[4]AbackPrincess7: hola bro
[2020:12:18-22:15:28]  (Local) -> (LOCAL)[10]Sancocho-Kun: uy
[2020:12:18-22:15:28]  (Local) -> (LOCAL)[10]Patron_WK: y que?
[2020:12:18-22:15:30]  (Local) -> (LOCAL)[10]NeutroPimpHuh?: llevatelo
[2020:12:18-22:15:30]  (Local) -> (LOCAL)[10]Sancocho-Kun: cooomo
[2020:12:18-22:15:31]  (Local) -> (LOCAL)[11]NeutroPimpHuh?: asi es
[2020:12:18-22:15:32]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: mandelos a ver {
[2020:12:18-22:15:33]  (Local) -> (LOCAL)[6]chimboLOCO: perdon
[2020:12:18-22:15:33]  (Local) -> (LOCAL)[13]NeutroPimpHuh?: eso no importa
[2020:12:18-22:15:34]  (Local) -> (LOCAL)[5]PornHub: los espero en banco?
[2020:12:18-22:15:36]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: pere
[2020:12:18-22:15:37]  (Local) -> (LOCAL)[12]NeutroPimpHuh?: el tampoco come cuento
[2020:12:18-22:15:37]  (Local) -> (LOCAL)[5]PornHub: o donde me esperan?
[2020:12:18-22:15:37]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: sisas
[2020:12:18-22:15:39]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000lauraaa: pq dejas que me encanen
[2020:12:18-22:15:41]  (Local) -> (LOCAL)[10]NeutroPimpHuh?: vaya patron
[2020:12:18-22:15:41]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF0000lauraaa: por dios
[2020:12:18-22:15:41]  (Local) -> (LOCAL)[1]$AK47$JJ_Gamer: por efecty verdad
[2020:12:18-22:15:42]  (Local) -> (LOCAL)[10]Cheverry: el q encana tombos es un gay
[2020:12:18-22:15:44]  (Local) -> (LOCAL)[4]PornHub: bn nos pillamo en banc
[2020:12:18-22:15:44]  (Global) -> #7F7F7F|CVR|#FF5C00|~Agente~|: noooooooo
[2020:12:18-22:15:47]  (Global) -> #7F7F7F|CVR|#FF5C00|~Agente~|: sancochooo
[2020:12:18-22:15:50]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: mande por donde sea
[2020:12:18-22:15:52]  (Local) -> (LOCAL)[5]<MZ>cagaleto: a mi los pvp se me hacen re dificil
[2020:12:18-22:15:53]  (Global) -> $AK47$JJ_Gamer: del telefono es?
[2020:12:18-22:15:53]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: nea
[2020:12:18-22:15:54]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: vamos
[2020:12:18-22:15:57]  (Local) -> (LOCAL)[4]<MZ>cagaleto: no tengo muose
[2020:12:18-22:15:59]  (Team - Unemployed) -> (TEAM)$AK47$JJ_Gamer: ya?
[2020:12:18-22:16:00]  (Local) -> (LOCAL)[4]Changuita[MZ]: espereme xd
[2020:12:18-22:16:00]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: sii
[2020:12:18-22:16:00]  (Local) -> (LOCAL)[7]AbackPrincess7: hola
[2020:12:18-22:16:00]  (Local) -> (LOCAL)[4]<MZ>cagaleto: JAJAJAJ
[2020:12:18-22:16:03]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: XDD
[2020:12:18-22:16:05]  (Local) -> (LOCAL)[5]Cheverry: /release Cheverry y le dan 1 millon
[2020:12:18-22:16:06]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: no llega nada
[2020:12:18-22:16:06]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF0000lauraaa: mmm
[2020:12:18-22:16:06]  (Global) -> UnrulyTwister78: lauraaaa veni no te vayas
[2020:12:18-22:16:09]  (Local) -> (LOCAL)[5][MZ]24k: Valio
[2020:12:18-22:16:12]  (Local) -> (LOCAL)[5]AbackPrincess7: bro
[2020:12:18-22:16:16]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|~Agente~|: quieres
[2020:12:18-22:16:17]  (Local) -> (LOCAL)[6]|MZ|Ga$ter: guarde los carros que sacaron
[2020:12:18-22:16:19]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|~Agente~|: ancocho de cum?
[2020:12:18-22:16:21]  (Team - Unemployed) -> (TEAM)$AK47$JJ_Gamer: pere envio otra vez
[2020:12:18-22:16:23]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF5C00|~Agente~|: sancocho*
[2020:12:18-22:16:26]  (Global) -> 0TostadoraGamer0: yaa
[2020:12:18-22:16:28]  (Global) -> 0TostadoraGamer0: perodn
[2020:12:18-22:16:28]  (Team - Law Enforcement) -> (TEAM)Diomedesxxx: le da en mandar plata y me busvca ahi
[2020:12:18-22:16:28]  (Local) -> (LOCAL)[5]|MZ|Ga$ter: bueno repaso los puestos
[2020:12:18-22:16:28]  (Global) -> $AK47$JJ_Gamer: perdon se me quedo lag
[2020:12:18-22:16:30]  (Local) -> (LOCAL)[5][MZ]24k: NO me tuneo el mio >:c
[2020:12:18-22:16:32]  (Local) -> (LOCAL)[8]#7F7F7F|CVR|#FF5C00_SEMDS_: q le hablas a mi jeva malparido
[2020:12:18-22:16:32]  (Global) -> UnrulyTwister78: hola bb
[2020:12:18-22:16:34]  (Local) -> (LOCAL)[4]|MZ|Ga$ter: espereee
[2020:12:18-22:16:34]  (Local) -> (LOCAL)[3]AbackPrincess7: zeus
[2020:12:18-22:16:35]  (Local) -> (LOCAL)[8]chimboLOCO: que fastidio con estos hptas
[2020:12:18-22:16:37]  (Local) -> (LOCAL)[2]ElRodriguez: marlon pro#1723
