This file was generated by Console at 2020:12:22-00:00:02



[2020:12:22-00:00:02]  (Global) -> |MZ|Omar: JOKEEEEEEERRRRRRRR
[2020:12:22-06:07:01]  (Local) -> (LOCAL)[1]2cb'Francesco: sube
[2020:12:22-06:07:07]  (Team - Services) -> (TEAM)KRATTOS: GWWWWWWWWWWWWW
[2020:12:22-06:07:08]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: berna
[2020:12:22-06:07:10]  (Global) -> #7F7F7F|LG|#FF5C00XhnGuaracha: da igual si el abuson va a usar sus vainas hasta apra un evento xd
[2020:12:22-06:07:12]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: eo
[2020:12:22-06:07:19]  (Global) -> 2cb'Francesco: abuson
[2020:12:22-06:07:19]  (Local) -> (LOCAL)[1]KRATTOS: LISTO DIME
[2020:12:22-06:07:24]  (Global) -> 2cb'Francesco: abuson
[2020:12:22-06:07:26]  (Global) -> 2cb'Francesco: si sr
[2020:12:22-06:07:28]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: pones el tiempo rapido y hacemos una a pata
[2020:12:22-06:07:30]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: ud fue la unica que se cayo de la moto jasdjas de resto a nadie afecto axad
[2020:12:22-06:07:30]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARASA: abuson moment
[2020:12:22-06:07:37]  (Global) -> 2cb'ViejoRichard: naa  carroo :c
[2020:12:22-06:07:39]  (Global) -> 2cb'Francesco: abuson moment
[2020:12:22-06:07:40]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: na dizq a pie
[2020:12:22-06:07:41]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARASA: si ponlo rapido
[2020:12:22-06:07:41]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: XD
[2020:12:22-06:07:46]  (Local) -> (LOCAL)[1]KRATTOS: OKI
[2020:12:22-06:07:47]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: saquen piernas bagos
[2020:12:22-06:07:49]  (Global) -> #7F7F7F|LG|#FF5C00XhnGuaracha: bueno porque el resto iba en recta
[2020:12:22-06:07:51]  (Global) -> #7F7F7F|LG|#FF5C00XhnGuaracha: xd
[2020:12:22-06:07:51]  (Global) -> 2cb'ViejoRichard: jjajajajaj naa
[2020:12:22-06:07:53]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: a pata xd
[2020:12:22-06:07:54]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARASA: carrera a chilliad
[2020:12:22-06:07:55]  (Local) -> (LOCAL)[7]ISMAELITO: era arete
[2020:12:22-06:07:58]  (Global) -> 2cb'Francesco: abuson
[2020:12:22-06:07:59]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: ey si
[2020:12:22-06:08:02]  (Global) -> 2cb'ViejoRichard: carrera bajando chilliad
[2020:12:22-06:08:05]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: Hasta chilliad
[2020:12:22-06:08:08]  (Global) -> 2cb'ViejoRichard: o hasta
[2020:12:22-06:08:08]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: Pero todos deben estar
[2020:12:22-06:08:09]  (Local) -> (LOCAL)[1]KRATTOS: COMASI?
[2020:12:22-06:08:12]  (Global) -> 2cb'ViejoRichard: pero en buenos carrosss
[2020:12:22-06:08:16]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: sin drogas
[2020:12:22-06:08:16]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: corriendo
[2020:12:22-06:08:18]  (Local) -> (LOCAL)[1]2cb'Francesco: mira
[2020:12:22-06:08:21]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: y sin bugs
[2020:12:22-06:08:21]  (Local) -> (LOCAL)[1]2cb'Francesco: anota
[2020:12:22-06:08:22]  (Global) -> 2cb'ViejoRichard: uy no kjjjajaja
[2020:12:22-06:08:22]  (Local) -> (LOCAL)[1]KRATTOS: dime
[2020:12:22-06:08:24]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: malparidos
[2020:12:22-06:08:25]  (Local) -> (LOCAL)[1]KRATTOS: si
[2020:12:22-06:08:40]  (Local) -> (LOCAL)[1]2cb'Francesco: primero tienes que copiar el link de la cancion de youtube
[2020:12:22-06:08:46]  (Global) -> 2cb'ViejoRichard: pa saber que van a usar bufs para correr
[2020:12:22-06:08:50]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: pimpo pro
[2020:12:22-06:08:50]  (Local) -> (LOCAL)[1]KRATTOS: si
[2020:12:22-06:08:54]  (Team - Unemployed) -> (TEAM)2cb'ViejoRichard: en carro no se puede hacer eso
[2020:12:22-06:08:55]  (Local) -> (LOCAL)[1]KRATTOS: despiees
[2020:12:22-06:08:57]  (Global) -> 2cb'ViejoRichard: jeje
[2020:12:22-06:09:04]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: el que corra mas me lo funo
[2020:12:22-06:09:04]  (Local) -> (LOCAL)[1]2cb'Francesco: luego vas a una pagina que se llama ytmp3
[2020:12:22-06:09:04]  (Local) -> (LOCAL)[4]#7F7F7F|LG|#FF5C00XhnGuaracha: hola amiga
[2020:12:22-06:09:10]  (Local) -> (LOCAL)[1]2cb'Francesco: ytmp3
[2020:12:22-06:09:15]  (Local) -> (LOCAL)[1]2cb'Francesco: asi se llama
[2020:12:22-06:09:18]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: berna
[2020:12:22-06:09:19]  (Global) -> POLLO: oeee sigue ay?
[2020:12:22-06:09:19]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00FUMARASA: hool Q MA
[2020:12:22-06:09:21]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: desde la t?
[2020:12:22-06:09:22]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF5C00FUMARASA: hola q mas
[2020:12:22-06:09:24]  (Local) -> (LOCAL)[1]KRATTOS: siiii....
[2020:12:22-06:09:24]  (Global) -> 2cb'ViejoRichard: mera gestion correr hasta chilliad jkjjajaja
[2020:12:22-06:09:25]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: ey puede curarme
[2020:12:22-06:09:27]  (Local) -> (LOCAL)[7]#7F7F7F|LG|#FF5C00XhnGuaracha: ola bn
[2020:12:22-06:09:30]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: no se demora na
[2020:12:22-06:09:33]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: es mas
[2020:12:22-06:09:34]  (Local) -> (LOCAL)[1]2cb'Francesco: luego le das en convertir a mp3
[2020:12:22-06:09:38]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: 1 Millon 
[2020:12:22-06:09:39]  (Global) -> 2cb'ViejoRichard: jaa
[2020:12:22-06:09:45]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: al que gane
[2020:12:22-06:09:47]  (Local) -> (LOCAL)[1]KRATTOS: siiiii... que mas sigue?
[2020:12:22-06:09:52]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: si kiere
[2020:12:22-06:10:01]  (Local) -> (LOCAL)[1]2cb'Francesco: una vez se convierte, das click derecho en el boton de "descargar"
[2020:12:22-06:10:01]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: epaa
[2020:12:22-06:10:06]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: vamonos en helicoptero
[2020:12:22-06:10:07]  (Global) -> POLLO: vamos pa la estacion
[2020:12:22-06:10:09]  (Global) -> 2cb'ViejoRichard: naa hp pero corriendo se presta para mucha trampa
[2020:12:22-06:10:12]  (Global) -> 2cb'ViejoRichard: pero weno
[2020:12:22-06:10:15]  (Team - Services) -> (TEAM)KRATTOS: eso se mete en canciones de usuario?
[2020:12:22-06:10:24]  (Local) -> (LOCAL)[1]KRATTOS: del gta?
[2020:12:22-06:10:25]  (Global) -> 2cb'ViejoRichard: toca mostrar la resistencia de dedos
[2020:12:22-06:10:28]  (Local) -> (LOCAL)[1]2cb'Francesco: nono
[2020:12:22-06:10:34]  (Local) -> (LOCAL)[1]KRATTOS: aaaaa ya poray
[2020:12:22-06:10:39]  (Local) -> (LOCAL)[1]2cb'Francesco: aja
[2020:12:22-06:10:54]  (Local) -> (LOCAL)[1]2cb'Francesco: luego le das click derecho al bton de descarga
[2020:12:22-06:10:57]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: Entonces pongo el tiempo a tope
[2020:12:22-06:10:59]  (Local) -> (LOCAL)[1]2cb'Francesco: y le das en copiar link
[2020:12:22-06:10:59]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: sioq
[2020:12:22-06:10:59]  (Local) -> (LOCAL)[7]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: has un shout
[2020:12:22-06:11:00]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: coja ese
[2020:12:22-06:11:03]  (Local) -> (LOCAL)[8]ISMAELITO: donde consigo eso?
[2020:12:22-06:11:03]  (Local) -> (LOCAL)[8]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: sisas
[2020:12:22-06:11:04]  (Local) -> (LOCAL)[1]KRATTOS: sip
[2020:12:22-06:11:09]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00DonBerna: curioso
[2020:12:22-06:11:10]  (Local) -> (LOCAL)[1]2cb'Francesco: y ese link es el que pondrás en el bafle
[2020:12:22-06:11:12]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00FUMARASA: si
[2020:12:22-06:11:12]  (Local) -> (LOCAL)[9]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: dime
[2020:12:22-06:11:14]  (Local) -> (LOCAL)[1]2cb'Francesco: y listo
[2020:12:22-06:11:16]  (Local) -> (LOCAL)[9]#7F7F7F|CVR|#FF5C00DonBerna: pero es que hay gente trabajando
[2020:12:22-06:11:17]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: quiere ese helicoptero
[2020:12:22-06:11:18]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00DonBerna: sera que no afecta?
[2020:12:22-06:11:22]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00DonBerna: ya los mate ahorita :V
[2020:12:22-06:11:23]  (Local) -> (LOCAL)[10]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: no creo
[2020:12:22-06:11:24]  (Team - Services) -> (TEAM)KRATTOS: para tener un parlante?
[2020:12:22-06:11:24]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00DonBerna: no quiero matarlos am
[2020:12:22-06:11:26]  (Local) -> (LOCAL)[10]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: XD
[2020:12:22-06:11:26]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00DonBerna: mas
[2020:12:22-06:11:28]  (Global) -> 2cb'Francesco: ABUSON
[2020:12:22-06:11:30]  (Global) -> 2cb'Francesco: ABUSON
[2020:12:22-06:11:36]  (Local) -> (LOCAL)[10]2cb'Francesco: xdxdddd
[2020:12:22-06:11:40]  (Local) -> (LOCAL)[10]#7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: son solo 3
[2020:12:22-06:11:46]  (Global) -> POLLO: vamos o que
[2020:12:22-06:12:08]  (Global) -> ~N1Rocv~: NO ME JODAS
[2020:12:22-06:12:09]  (Local) -> (LOCAL)[10]2cb'Razzork: naaaaaaaaaa
[2020:12:22-06:12:10]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: pa donde
[2020:12:22-06:12:17]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: #00FFFF MISMA REGLA SALEN A MI CONTEO
[2020:12:22-06:12:26]  (Global) -> 2cb'Francesco: si sr
[2020:12:22-06:12:32]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: #00FFFF SI LOS VEO CORRIENDO MAS QUE LOS DEMAS LOS JAILEO
[2020:12:22-06:12:36]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: pa donde
[2020:12:22-06:12:44]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: #00FFFF NADA DE DRUGS
[2020:12:22-06:12:46]  (Local) -> (LOCAL)[10]2cb'ViejoRichard: na mera vuelta ir
[2020:12:22-06:12:47]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: sin drogarse
[2020:12:22-06:12:54]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: LISTOS
[2020:12:22-06:12:57]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: ?
[2020:12:22-06:12:58]  (Global) -> 2cb'Francesco: si
[2020:12:22-06:13:01]  (Global) -> ~N1Rocv~: sisas
[2020:12:22-06:13:10]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: y la velocidad
[2020:12:22-06:13:11]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: QUIETOS
[2020:12:22-06:13:12]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: ?
[2020:12:22-06:13:14]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: QUIETOS
[2020:12:22-06:13:15]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: corran
[2020:12:22-06:13:16]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: QUIETOS
[2020:12:22-06:13:19]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: o no espere
[2020:12:22-06:13:20]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: xd
[2020:12:22-06:13:21]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: DEVUELVANSE JAJAJA
[2020:12:22-06:13:21]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: jasja
[2020:12:22-06:13:25]  (Local) -> (LOCAL)[5]ISMAELITO: hasta donde es?
[2020:12:22-06:13:27]  (Global) -> pipo: na
[2020:12:22-06:13:29]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: DIJE A MI CONTEO HPTAS
[2020:12:22-06:13:29]  (Local) -> (LOCAL)[5]2cb'Razzork: naa
[2020:12:22-06:13:34]  (Global) -> pipo: iba en mero pique
[2020:12:22-06:13:35]  (Local) -> (LOCAL)[6]2cb'Razzork: ya perdi la energia en la mano
[2020:12:22-06:13:38]  (Global) -> 2cb'ViejoRichard: tan marica ese franciscovilla pegando puños xd
[2020:12:22-06:13:40]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: a linea
[2020:12:22-06:13:43]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: VENGAN PUES
[2020:12:22-06:13:43]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: a linea
[2020:12:22-06:13:45]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: corran
[2020:12:22-06:13:46]  (Global) -> ~N1Rocv~: pongale por 100
[2020:12:22-06:13:47]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: corran
[2020:12:22-06:13:49]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: FORMEN
[2020:12:22-06:13:51]  (Global) -> 2cb'ViejoRichard: a es ese francesco
[2020:12:22-06:13:53]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: EY QUE HACEMOS
[2020:12:22-06:13:53]  (Global) -> 2cb'ViejoRichard: re marica
[2020:12:22-06:13:54]  (Local) -> (LOCAL)[10]2cb'Francesco: buenas
[2020:12:22-06:13:54]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: FORMEN
[2020:12:22-06:13:55]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: DONDE VAMOS
[2020:12:22-06:13:56]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: corran
[2020:12:22-06:13:56]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: FORMEN
[2020:12:22-06:13:56]  (Global) -> POLLO: uy gonorrea que paso
[2020:12:22-06:13:58]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: a linea
[2020:12:22-06:13:58]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: FORMEN
[2020:12:22-06:13:59]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: CON LOS HELICPTEROS
[2020:12:22-06:14:00]  (Global) -> 2CB_Maicol_jimenez: 7entrar evento
[2020:12:22-06:14:03]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: FORMEN
[2020:12:22-06:14:05]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: FORMEN
[2020:12:22-06:14:08]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: rapido
[2020:12:22-06:14:10]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: rapido
[2020:12:22-06:14:11]  (Global) -> POLLO: que evento?
[2020:12:22-06:14:11]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF5C00FUMARASA: aca
[2020:12:22-06:14:12]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: quietos
[2020:12:22-06:14:13]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: CAMINAMOS RARO
[2020:12:22-06:14:14]  (Global) -> #7F7F7F|LG||Coomo?|#FF5C00CAPU|~Curiosin~|: #00FFFF FORMEN PUES
[2020:12:22-06:15:28]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: hasta donde era? Xd
[2020:12:22-06:15:35]  (Global) -> POLLO: oe
[2020:12:22-06:15:41]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: a chiliad
[2020:12:22-06:15:43]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: xddddd
[2020:12:22-06:15:48]  (Global) -> POLLO: como quito la flecha
[2020:12:22-06:15:51]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: VAMOS
[2020:12:22-06:15:55]  (Global) -> POLLO: no puedo caminar 
[2020:12:22-06:15:57]  (Global) -> 2cb'Francesco: hppp
[2020:12:22-06:15:59]  (Global) -> 2cb'Francesco: q paso
[2020:12:22-06:15:59]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: con m
[2020:12:22-06:16:01]  (Global) -> ISMAELITO: hasta donde es?
[2020:12:22-06:16:03]  (Global) -> GT|~SubditoDeSatanas: pulsa m pollo
[2020:12:22-06:16:10]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: pq me morii
[2020:12:22-06:16:13]  (Global) -> 2cb'Francesco: hey pero uds si son llorones
[2020:12:22-06:16:15]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: ni idea jaja
[2020:12:22-06:16:15]  (Global) -> 2cb'Francesco: joa
[2020:12:22-06:16:17]  (Local) -> (LOCAL)[1]2CB_Maicol_jimenez: por ue todo esta tan rapido
[2020:12:22-06:16:18]  (Global) -> ISMAELITO: hasta donde es?
[2020:12:22-06:16:26]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: nao tramposo
[2020:12:22-06:16:27]  ([Msg] de GT|~SubditoDeSatanas para POLLO: pulsa m) -> nil
[2020:12:22-06:16:36]  (Global) -> POLLO: que paso
[2020:12:22-06:16:43]  (Local) -> (LOCAL)[2]GT|~SubditoDeSatanas: trepese
[2020:12:22-06:16:43]  (Global) -> 2cb'Francesco: cual tramposo, lea sobre las cosas que juega pa
[2020:12:22-06:16:43]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: xd
[2020:12:22-06:16:43]  (Global) -> POLLO: porque caminamos rapido?
[2020:12:22-06:16:51]  (Global) -> ISMAELITO: hasta donde era joder
[2020:12:22-06:16:51]  (Global) -> 2cb'Francesco: y q tramposo akjskajkjaj
[2020:12:22-06:16:53]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: EY LE VOY A DAR EL HELICOPTERO QUE YA NO VOY A JUGAR MAS
[2020:12:22-06:16:58]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: HASTA EL CHILLIAD
[2020:12:22-06:17:03]  (Global) -> POLLO: aa dele
[2020:12:22-06:17:04]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: Te vi mlp
[2020:12:22-06:17:10]  (Local) -> (LOCAL)[1]GT|~SubditoDeSatanas: reparar
[2020:12:22-06:17:26]  (Global) -> GT|~SubditoDeSatanas: huy no pa
[2020:12:22-06:17:29]  (Global) -> GT|~SubditoDeSatanas: ese mapeo que
[2020:12:22-06:17:39]  (Global) -> 2cb'ViejoRichard: es hasta arriba ?
[2020:12:22-06:17:41]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: ese mk meras piernas que se manda
[2020:12:22-06:17:43]  (Global) -> pipo: A ME MATE
[2020:12:22-06:17:46]  (Global) -> pipo: .-.
[2020:12:22-06:17:50]  (Global) -> 2cb'ViejoRichard: es hasta arriba ?
[2020:12:22-06:17:52]  (Team - Law Enforcement) -> (TEAM)2cb/MINI: VEMOS 
[2020:12:22-06:18:15]  (Global) -> POLLO: oeee ñerooo me dejo votao
[2020:12:22-06:18:29]  (Global) -> ~N1Rocv~: me la paso en un avion todo el dia y me ponen a correr 
[2020:12:22-06:18:51]  (Global) -> 2cb'ViejoRichard: ya
[2020:12:22-06:18:56]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: GANADOR VIEJORICHARD
[2020:12:22-06:19:15]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: esgundo puesto
[2020:12:22-06:19:16]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: q gane
[2020:12:22-06:19:19]  (Local) -> (LOCAL)[4]KRATTOS: maikol lo llevo
[2020:12:22-06:19:22]  (Global) -> 2cb'ViejoRichard: uy meros lindos
[2020:12:22-06:19:29]  (Global) -> 2cb'ViejoRichard: tussy donde compro ese falo papito
[2020:12:22-06:19:32]  (Global) -> 2cb'ViejoRichard: los dejamos regados
[2020:12:22-06:19:32]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: #cc0099( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2020:12:22-06:19:41]  (Local) -> (LOCAL)[3]KRATTOS: curameeee
[2020:12:22-06:19:48]  (Local) -> (LOCAL)[1]ISMAELITO: ola
[2020:12:22-06:19:50]  (Local) -> (LOCAL)[2]#7F7F7F|LG|#FF5C002cb'tussy: q gane
[2020:12:22-06:19:59]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: ay
[2020:12:22-06:20:02]  (Global) -> 2cb'Razzork: naa
[2020:12:22-06:20:03]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: xd
[2020:12:22-06:20:03]  (Global) -> ~N1Rocv~: xd
[2020:12:22-06:20:05]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: bueno
[2020:12:22-06:20:09]  (Global) -> POLLO: uy gononea que paso
[2020:12:22-06:20:15]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: richard 800 y tussy 200
[2020:12:22-06:20:23]  (Global) -> 2cb'ViejoRichard: a
[2020:12:22-06:20:24]  (Global) -> #7F7F7F|CVR|#FF5C00DonBerna: es que lo paro asi para que no sea bruzco el cambio
[2020:12:22-06:20:25]  (Global) -> 2cb'ViejoRichard: bueno
[2020:12:22-06:20:28]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: ( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2020:12:22-06:20:34]  (Global) -> pipo: q final tan tenso
[2020:12:22-06:20:36]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: ( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2020:12:22-06:20:39]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: xdd
[2020:12:22-06:20:42]  (Global) -> #7F7F7F|LG|#FF5C002cb'tussy: #cc0099( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2020:12:22-06:21:00]  (Global) -> ISMAELITO: ponganlo rapido de nuevo
[2020:12:22-06:21:01]  (Global) -> POLLO: que fue
[2020:12:22-06:21:02]  (Global) -> #7F7F7F|CVR|#FF5C00FUMARATTO: ( ͡ ͡°  ͜ ʖ ͡ ͡°)
[2020:12:22-06:21:07]  (Local) -> (LOCAL)[1]#7F7F7F|LG|#FF5C002cb'tussy: tiene c4?
[2020:12:22-06:21:08]  (Local) -> (LOCAL)[2]2CB_Maicol_jimenez: QUE=
[2020:12:22-06:21:11]  (Local) -> (LOCAL)[1]2cb'ViejoRichard: nao
[2020:12:22-06:21:11]  (Global) -> 2cb'Francesco: mie
[2020:12:22-06:21:13]  (Global) -> POLLO: de que
[2020:12:22-06:21:18]  (Local) -> (LOCAL)[2]2CB_Maicol_jimenez: o que?
[2020:12:22-06:21:19]  (Global) -> 2cb'Francesco: berna
[2020:12:22-06:21:24]  (Global) -> 2cb'Francesco: dame jail pls
[2020:12:22-06:21:26]  (Global) -> POLLO: entonces como fue
[2020:12:22-06:21:28]  (Global) -> 2cb'Francesco: estoy bug
[2020:12:22-06:21:34]  (Local) -> (LOCAL)[2]2CB_Maicol_jimenez: uque como fue
[2020:12:22-06:21:41]  (Global) -> yeyoramos: LOCK/
[2020:12:22-06:21:48]  (Global) -> POLLO: lo pega o como
[2020:12:22-06:21:55]  (Local) -> (LOCAL)[2]2CB_Maicol_jimenez: jaja
[2020:12:22-06:22:00]  (Global) -> POLLO: ajaja
[2020:12:22-06:22:11]  (Local) -> (LOCAL)[3]2CB_Maicol_jimenez: no me arreste jajaj
[2020:12:22-06:22:30]  (Local) -> (LOCAL)[3]KRATTOS: fabius que le paso?
[2020:12:22-06:22:30]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: Listo pa
[2020:12:22-06:22:34]  (Local) -> (LOCAL)[1]ISMAELITO: BLOQUEADO
[2020:12:22-06:22:36]  (Global) -> 2cb'ViejoRichard: bna
[2020:12:22-06:22:37]  (Global) -> 2cb'ViejoRichard: a
[2020:12:22-06:22:42]  (Local) -> (LOCAL)[3]2CB_Maicol_jimenez: nose
[2020:12:22-06:23:00]  (Global) -> POLLO: jajaj
[2020:12:22-06:23:12]  (Local) -> (LOCAL)[2]KRATTOS: oee
[2020:12:22-06:23:12]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00FUMARASA: coge la plata
[2020:12:22-06:23:17]  (Global) -> #7F7F7F|LG||Coomo?|#FF8C00CAPU|~Curiosin~|: wow fabius conectado a esta hora
[2020:12:22-06:23:21]  (Local) -> (LOCAL)[1]KRATTOS: al poli por qe murio
[2020:12:22-06:23:21]  (Global) -> POLLO: hablamelo
[2020:12:22-06:23:27]  (Global) -> POLLO: no se 
[2020:12:22-06:23:36]  (Global) -> POLLO: pillelo
