This file was generated by Console at 2020:10:28-00:00:02



[2020:10:28-00:00:02]  (Local) -> (LOCAL)[4]C4rtex: veni
[2020:10:28-19:11:20]  (Local) -> (LOCAL)[2]|2cb|pablitopai: ve como les fue en la fiesta
[2020:10:28-19:11:20]  (Local) -> (LOCAL)[5]|GT|stivenv28|LP|: ajjajaa
[2020:10:28-19:11:21]  (Global) -> DonYorman: llegue nea
[2020:10:28-19:11:22]  (Local) -> (LOCAL)[6]LP: yo lo chupo 1000
[2020:10:28-19:11:25]  (Global) -> Cornizo: pero si ya lo tiene WTFFFFFFFFFFFFFFF
[2020:10:28-19:11:25]  (Global) -> -|CTL|-Pacho: doblas con e y q
[2020:10:28-19:11:27]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: ufffffffff
[2020:10:28-19:11:27]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: primero las preguntas luego la practica
[2020:10:28-19:11:28]  (Global) -> [Zetas]Matachivos: a
[2020:10:28-19:11:31]  (Global) -> |2cb|pablitopai: ve como les fue en la fiesta
[2020:10:28-19:11:31]  (Local) -> (LOCAL)[2](RCA)Kakashi_nea: lesite?
[2020:10:28-19:11:31]  (Global) -> (EVG)TU_DIOSa: COMPRO SANDKING 
[2020:10:28-19:11:33]  (Local) -> (LOCAL)[3]LP: añañañi
[2020:10:28-19:11:34]  (Global) -> (EVG)TU_DIOSa: COMPRO SANDKING 
[2020:10:28-19:11:34]  (Global) -> |2cb|pablitopai: claro, retirada del cvr
[2020:10:28-19:11:37]  (Global) -> [Zetas]Matachivos: SOLO AMERICA DE CALI
[2020:10:28-19:11:38]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: jajaajjajaaj
[2020:10:28-19:11:40]  (Local) -> (LOCAL)[3]LP: mejor la practica de unaa
[2020:10:28-19:11:41]  (Global) -> [GT]LOCO: mono
[2020:10:28-19:11:41]  (Global) -> 2cb_SCRIMBOY: se compra sandking
[2020:10:28-19:11:43]  (Local) -> (LOCAL)[3]LP: al bancoooo
[2020:10:28-19:11:43]  (Global) -> [Z]DanielFly: solo berde
[2020:10:28-19:11:44]  (Local) -> (LOCAL)[1]2cb_ObitoNea: sisaw
[2020:10:28-19:11:45]  (Global) -> 2cb_SCRIMBOY: se compra sandking
[2020:10:28-19:11:46]  (Global) -> [GT]LOCO: mono
[2020:10:28-19:11:47]  (Local) -> (LOCAL)[4][Z]Siracusa: noo
[2020:10:28-19:11:48]  (Global) -> [Zetas]Matachivos: Comooooo
[2020:10:28-19:11:50]  (Local) -> (LOCAL)[4][Z]Siracusa: t
[2020:10:28-19:11:50]  (Global) -> WOS: espera
[2020:10:28-19:11:51]  (Local) -> (LOCAL)[3][Z]Siracusa: gt
[2020:10:28-19:11:55]  (Local) -> (LOCAL)[4][Z]Siracusa: no le dispares a montes
[2020:10:28-19:11:55]  (Global) -> |2cb|pablitopai: claro, retirada del cvr
[2020:10:28-19:11:59]  (Local) -> (LOCAL)[3][Z]Siracusa: a
[2020:10:28-19:12:04]  (Local) -> (LOCAL)[3]Lauriita: matemolosssssss
[2020:10:28-19:12:05]  (Local) -> (LOCAL)[3]MontesSicario: nea
[2020:10:28-19:12:05]  (Local) -> (LOCAL)[4]|GT|BAZUCO{LP}: a
[2020:10:28-19:12:08]  (Local) -> (LOCAL)[3]MontesSicario: perdi mi pistola
[2020:10:28-19:12:10]  (Local) -> (LOCAL)[3]MontesSicario: que asco
[2020:10:28-19:12:11]  (Global) -> (EVG)TU_DIOSa: COMPRO SANDKING 
[2020:10:28-19:12:13]  (Local) -> (LOCAL)[2][Z]Siracusa: xd
[2020:10:28-19:12:13]  (Local) -> (LOCAL)[2]DonYorman: serio
[2020:10:28-19:12:13]  (Local) -> (LOCAL)[3]LP: naa me van a hacer perder lo poco q trabajo :c
[2020:10:28-19:12:16]  (Global) -> (EVG)TU_DIOSa: COMPRO SANDKING 
[2020:10:28-19:12:17]  (Local) -> (LOCAL)[2][Z]Siracusa: na pana q mierda no tener vip
[2020:10:28-19:12:17]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: tiene que GANARLE UN PVP SIN CHALECO NI DOBLES RECORTADA A SOLO UZI A licenciadopataecumbia
[2020:10:28-19:12:19]  (Global) -> [Z]DanielFly: sdvsf
[2020:10:28-19:12:19]  (Local) -> (LOCAL)[3]Mrpatecumbias69: listo?
[2020:10:28-19:12:19]  (Global) -> [Zetas]Matachivos: Ornzio
[2020:10:28-19:12:20]  (Local) -> (LOCAL)[5][Z]Siracusa: oye no me arrestesss
[2020:10:28-19:12:21]  (Global) -> |2cb|pablitopai: claro, retirada del cvr
[2020:10:28-19:12:23]  (Global) -> [GT]LOCO: mono
[2020:10:28-19:12:23]  (Global) -> Haski_Scott: lito
[2020:10:28-19:12:23]  (Local) -> (LOCAL)[5][Z]Siracusa: descaradooo soltamee
[2020:10:28-19:12:24]  (Local) -> (LOCAL)[5]DonYorman: naaa
[2020:10:28-19:12:25]  (Local) -> (LOCAL)[5][Z]Siracusa: >:(
[2020:10:28-19:12:26]  (Local) -> (LOCAL)[2]|2cb|pablitopai: naaa
[2020:10:28-19:12:28]  (Local) -> (LOCAL)[6][Z]Siracusa: maldito
[2020:10:28-19:12:29]  (Local) -> (LOCAL)[3]LP: pero pierdo mi plata
[2020:10:28-19:12:30]  (Local) -> (LOCAL)[3]Mrpatecumbias69: si pierde entra
[2020:10:28-19:12:35]  (Local) -> (LOCAL)[3]Mrpatecumbias69: y si pasa entra
[2020:10:28-19:12:35]  (Local) -> (LOCAL)[2]|2cb|pablitopai: me metieron 1200 segundos
[2020:10:28-19:12:36]  (Global) -> [GT]Mono: eo
[2020:10:28-19:12:36]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: 1 pregunta
[2020:10:28-19:12:37]  (Local) -> (LOCAL)[2][Zetas]Matachivos: el no es el otro man
[2020:10:28-19:12:37]  (Local) -> (LOCAL)[1](EVG)TU_DIOSa: LLEVAME AL BANCO COMO QUE MEJOR LA COMPRO NUEVA :/
[2020:10:28-19:12:40]  (Global) -> DonYorman: lo cogio
[2020:10:28-19:12:40]  (Local) -> (LOCAL)[2][Zetas]Matachivos: que creo los pepes
[2020:10:28-19:12:41]  (Local) -> (LOCAL)[2]Lauriita: ellos si joden
[2020:10:28-19:12:41]  (Local) -> (LOCAL)[1]2cb_SCRIMBOY: si
[2020:10:28-19:12:42]  (Local) -> (LOCAL)[2][Zetas]Matachivos: el pablo
[2020:10:28-19:12:44]  (Local) -> (LOCAL)[3][Z]Siracusa: aaa montess
[2020:10:28-19:12:44]  (Local) -> (LOCAL)[3]Mrpatecumbias69: QUITESE EL CHALE
[2020:10:28-19:12:46]  (Local) -> (LOCAL)[2]|2cb|pablitopai: no
[2020:10:28-19:12:46]  (Global) -> [GT]LOCO: ya llegue
[2020:10:28-19:12:47]  (Global) -> (EVG)TU_DIOSa: COMPRO SANDKING 
[2020:10:28-19:12:48]  (Local) -> (LOCAL)[3]LP: nea, ustedes creen q
[2020:10:28-19:12:48]  (Local) -> (LOCAL)[2]|2cb|pablitopai: yo lo creee
[2020:10:28-19:12:48]  (Local) -> (LOCAL)[3][Z]Siracusa: nos mataron por tu culpa >:(
[2020:10:28-19:12:48]  (Global) -> (EVG)TU_DIOSa: COMPRO SANDKING 
[2020:10:28-19:12:50]  (Local) -> (LOCAL)[3][Z]Siracusa: sueltameee
[2020:10:28-19:12:51]  (Local) -> (LOCAL)[1]2cb_ObitoNea: ah mk
[2020:10:28-19:12:51]  (Local) -> (LOCAL)[3]LP: sjkasjkajkjkasjksjkasjkjskjas
[2020:10:28-19:12:53]  (Local) -> (LOCAL)[3]MontesSicario: quiero darte un beso
[2020:10:28-19:12:53]  (Local) -> (LOCAL)[3]LP: sajkjaskjksaajskjsajkjkas
[2020:10:28-19:12:53]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: xd
[2020:10:28-19:12:54]  (Local) -> (LOCAL)[2]|2cb|pablitopai: aaaaaa si ve q me estan confundiendo
[2020:10:28-19:12:54]  (Local) -> (LOCAL)[1]2cb_ObitoNea: la cambiaron+
[2020:10:28-19:12:55]  (Local) -> (LOCAL)[4]DonYorman: ajjaa
[2020:10:28-19:12:56]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: a jajaja
[2020:10:28-19:12:57]  (Local) -> (LOCAL)[2]|2cb|pablitopai: aaaaaaaaaaaaaa
[2020:10:28-19:12:58]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: jajjajajajajaj
[2020:10:28-19:13:00]  (Local) -> (LOCAL)[5][Z]Siracusa: >:(((
[2020:10:28-19:13:01]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: idiota jajajj
[2020:10:28-19:13:01]  (Local) -> (LOCAL)[2]|2cb|pablitopai: puta vida
[2020:10:28-19:13:02]  (Local) -> (LOCAL)[2]|GT|stivenv28|LP|: xd
[2020:10:28-19:13:03]  (Global) -> Mrpatecumbias69: tjajsakksajksasa
[2020:10:28-19:13:03]  (Global) -> DuqueesmiPastor: Con todo respeto pero usted es un hijueputa
[2020:10:28-19:13:03]  (Local) -> (LOCAL)[5]DonYorman: suban
[2020:10:28-19:13:04]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: y ahora
[2020:10:28-19:13:04]  (Local) -> (LOCAL)[5][Z]Siracusa: sueltammeee
[2020:10:28-19:13:04]  (Local) -> (LOCAL)[2]|GT|stivenv28|LP|: pere
[2020:10:28-19:13:05]  (Local) -> (LOCAL)[2][Zetas]Matachivos: y usted no es el que quiere que vuelvan?
[2020:10:28-19:13:05]  (Local) -> (LOCAL)[1]Lauriita: ya vengo
[2020:10:28-19:13:05]  (Local) -> (LOCAL)[2]|GT|BAZUCO{LP}: venga le quito el chaleco
[2020:10:28-19:13:06]  (Local) -> (LOCAL)[2]|2cb|pablitopai: se acuerda
[2020:10:28-19:13:07]  (Global) -> [GT]Mono: yo estoy aca en los santos
[2020:10:28-19:13:07]  (Local) -> (LOCAL)[10]2cb'VivaElSople: dejen de bajar del malparido bote ome niños
[2020:10:28-19:13:08]  (Local) -> (LOCAL)[5][Z]Siracusa: vamos por la recompenza de laura
[2020:10:28-19:13:09]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Catre: BUENO
[2020:10:28-19:13:11]  (Local) -> (LOCAL)[2]|GT|stivenv28|LP|: mientras las preguntas
[2020:10:28-19:13:13]  (Local) -> (LOCAL)[2]|2cb|pablitopai: q tuvimos alianza
[2020:10:28-19:13:13]  (Local) -> (LOCAL)[3]2cb_SCRIMBOY: espera
[2020:10:28-19:13:14]  (Global) -> [GT]LOCO: ya voy
[2020:10:28-19:13:15]  (Local) -> (LOCAL)[2][Zetas]Matachivos: sias
[2020:10:28-19:13:16]  (Local) -> (LOCAL)[8](EVG)TU_DIOSa: AJA+
[2020:10:28-19:13:18]  (Local) -> (LOCAL)[2]LP: mka, es q soy manco y los fps no me dejan n cambiar de arma
[2020:10:28-19:13:21]  (Local) -> (LOCAL)[2]|2cb|pablitopai: el verdadero pepes
[2020:10:28-19:13:22]  (Local) -> (LOCAL)[4][Z]Siracusa: espera pongo el tema
[2020:10:28-19:13:24]  (Local) -> (LOCAL)[2]|2cb|pablitopai: lo cree yo
[2020:10:28-19:13:26]  (Local) -> (LOCAL)[5]DonYorman: dale
[2020:10:28-19:13:29]  (Local) -> (LOCAL)[1]2cb_ObitoNea: es pa las vegas
[2020:10:28-19:13:29]  (Global) -> [GT]Mono: yo voy haciendo otro viaje
[2020:10:28-19:13:29]  (Local) -> (LOCAL)[2]|2cb|pablitopai: y ese man me robo el nombre
[2020:10:28-19:13:30]  (Local) -> (LOCAL)[2]LP: deme un itro de deagle
[2020:10:28-19:13:34]  (Local) -> (LOCAL)[2][Zetas]Matachivos: xd
[2020:10:28-19:13:34]  (Local) -> (LOCAL)[1]eljoearroyo: acelerá papi
[2020:10:28-19:13:35]  (Local) -> (LOCAL)[2]|GT|stivenv28|LP|: nombreme los 3 ultimos presidentes de COLOMBIA
[2020:10:28-19:13:36]  (Local) -> (LOCAL)[5]DonYorman: arregla el coche
[2020:10:28-19:13:38]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: vamos pues jaja
[2020:10:28-19:13:39]  (Local) -> (LOCAL)[2]|GT|BAZUCO{LP}: en los pepes lo hacemos asi
[2020:10:28-19:13:40]  (Local) -> (LOCAL)[2]|2cb|pablitopai: y dzque a revivir pepes
[2020:10:28-19:13:40]  (Global) -> [GT]LOCO: wokw
[2020:10:28-19:13:41]  (Local) -> (LOCAL)[2]-|CTL|-Pacho: oe
[2020:10:28-19:13:41]  (Local) -> (LOCAL)[2]LP: xddddd
[2020:10:28-19:13:42]  (Local) -> (LOCAL)[1]eljoearroyo: pa onde vaya voy
[2020:10:28-19:13:43]  (Global) -> [GT]LOCO: ok
[2020:10:28-19:13:44]  (Local) -> (LOCAL)[5]DonYorman: cierra con o
[2020:10:28-19:13:44]  (Local) -> (LOCAL)[2]|2cb|pablitopai: disque intimidar z
[2020:10:28-19:13:47]  (Local) -> (LOCAL)[2]-|CTL|-Pacho: tienes q llegar despacio
[2020:10:28-19:13:51]  (Local) -> (LOCAL)[2]LP: duque santos y uribe mi pastor
[2020:10:28-19:13:54]  (Local) -> (LOCAL)[3]-|CTL|-Pacho: a menos de 10 km
[2020:10:28-19:13:55]  (Local) -> (LOCAL)[2]|GT|stivenv28|LP|: hp
[2020:10:28-19:13:56]  (Local) -> (LOCAL)[2]|2cb|pablitopai: y se puso casi mi mismo nombre
[2020:10:28-19:13:56]  (Local) -> (LOCAL)[7][Z]Siracusa: es ese?
[2020:10:28-19:13:57]  (Local) -> (LOCAL)[1]eljoearroyo: grax
[2020:10:28-19:13:59]  (Local) -> (LOCAL)[7]DonYorman: melo nea
[2020:10:28-19:14:00]  (Local) -> (LOCAL)[2]|GT|stivenv28|LP|: BIEEEEEEEEEN!
[2020:10:28-19:14:03]  (Global) -> 2cB'JOHAN: ola
[2020:10:28-19:14:05]  (Local) -> (LOCAL)[2]LP: sjjsjs
[2020:10:28-19:14:05]  (Local) -> (LOCAL)[6]DonYorman: vamos de rose
[2020:10:28-19:14:06]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: pate, para
[2020:10:28-19:14:07]  (Global) -> (EVG)TU_DIOSa: Compro sandking
[2020:10:28-19:14:08]  (Local) -> (LOCAL)[2]|2cb|pablitopai: estaba diciendo
[2020:10:28-19:14:08]  (Local) -> (LOCAL)[5]DonYorman: rela
[2020:10:28-19:14:09]  (Local) -> (LOCAL)[5][Z]Siracusa: espera
[2020:10:28-19:14:12]  (Local) -> (LOCAL)[2]|2cb|pablitopai: q el objetivo de la gang
[2020:10:28-19:14:13]  (Global) -> 2cb_SCRIMBOY: QUE GENTE TAN BASICA
[2020:10:28-19:14:14]  (Team - Unemployed) -> (TEAM)Mrpatecumbias69: volvi
[2020:10:28-19:14:15]  (Local) -> (LOCAL)[2]Aliasgomelo: entonces vuelvo a despegar o que
[2020:10:28-19:14:15]  (Local) -> (LOCAL)[7]2cb_SCRIMBOY: VAMONOS
[2020:10:28-19:14:15]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: quitese el trabajo jaja
[2020:10:28-19:14:19]  (Local) -> (LOCAL)[2]|2cb|pablitopai: osea la copia q el creo
[2020:10:28-19:14:20]  (Local) -> (LOCAL)[3]-|CTL|-Pacho: sisas
[2020:10:28-19:14:22]  (Local) -> (LOCAL)[3]Mrpatecumbias69: quieria confirmar si estaba tocho en pvp
[2020:10:28-19:14:22]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: MEJOR TRAFICANT DE COQUEIN
[2020:10:28-19:14:23]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: noo
[2020:10:28-19:14:24]  (Local) -> (LOCAL)[7](EVG)TU_DIOSa: ale
[2020:10:28-19:14:27]  (Local) -> (LOCAL)[2]|2cb|pablitopai: era intimidar z
[2020:10:28-19:14:29]  (Local) -> (LOCAL)[3]LP: sajsjasjas
[2020:10:28-19:14:30]  (Global) -> WOS: joa
[2020:10:28-19:14:30]  (Local) -> (LOCAL)[3]-|CTL|-Pacho: y asi vas por todos los aeropuertos
[2020:10:28-19:14:31]  (Local) -> (LOCAL)[2][Zetas]Matachivos: xd
[2020:10:28-19:14:34]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: cual fue?
[2020:10:28-19:14:35]  (Local) -> (LOCAL)[1][Z]Siracusa: a donde vamos?
[2020:10:28-19:14:36]  (Local) -> (LOCAL)[3]-|CTL|-Pacho: es rapido
[2020:10:28-19:14:36]  (Local) -> (LOCAL)[1]DonYorman: le gusto la limo?
[2020:10:28-19:14:40]  (Local) -> (LOCAL)[1][Z]Siracusa: sii
[2020:10:28-19:14:42]  (Local) -> (LOCAL)[2]DonYorman: a donde quiera
[2020:10:28-19:14:43]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: el chapo
[2020:10:28-19:14:44]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: MEJOR TRAFICANT DE COQUEIN
[2020:10:28-19:14:44]  (Local) -> (LOCAL)[3]LP: no nada q
[2020:10:28-19:14:45]  (Global) -> WOS: ñerda la gasolina
[2020:10:28-19:14:45]  (Global) -> |2cb|pablitopai: claro, retirada del cvr
[2020:10:28-19:14:47]  (Local) -> (LOCAL)[1][Z]Siracusa: mmm vamos a dar vueltas
[2020:10:28-19:14:47]  (Local) -> (LOCAL)[3]LP: pablo escobar xd
[2020:10:28-19:14:48]  (Global) -> WOS: no tengo casi
[2020:10:28-19:14:51]  (Local) -> (LOCAL)[3]Mrpatecumbias69: de Polombia
[2020:10:28-19:14:51]  (Local) -> (LOCAL)[2]Aliasgomelo: doy una vuelta y vuelvo aca
[2020:10:28-19:14:51]  (Local) -> (LOCAL)[1]2cb_ObitoNea: a la mierda
[2020:10:28-19:14:51]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: eso
[2020:10:28-19:14:51]  (Local) -> (LOCAL)[3](EVG)TU_DIOSa: ojoo
[2020:10:28-19:14:52]  (Global) -> WOS: mi moto se cayo?
[2020:10:28-19:14:53]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: lol
[2020:10:28-19:14:53]  (Local) -> (LOCAL)[3]Mrpatecumbias69: eso
[2020:10:28-19:14:54]  (Local) -> (LOCAL)[1][Z]Siracusa: y buscamos gente
[2020:10:28-19:14:55]  (Local) -> (LOCAL)[3]Mrpatecumbias69: paso
[2020:10:28-19:14:55]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: la ultima
[2020:10:28-19:14:56]  (Local) -> (LOCAL)[2][Z]Siracusa: para parchar
[2020:10:28-19:14:57]  (Local) -> (LOCAL)[1]DonYorman: szs para irme a almorzar
[2020:10:28-19:14:58]  (Local) -> (LOCAL)[2]-|CTL|-Pacho: sisas
[2020:10:28-19:14:58]  (Local) -> (LOCAL)[3]Mrpatecumbias69: falta 1
[2020:10:28-19:15:00]  (Local) -> (LOCAL)[3]LP: la ultima
[2020:10:28-19:15:00]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: stiven ya vio mmi nuevo accesorio?
[2020:10:28-19:15:02]  (Local) -> (LOCAL)[3]LP: añañai
[2020:10:28-19:15:05]  (Local) -> (LOCAL)[0]UnusualSitar53: bamos por dt
[2020:10:28-19:15:07]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: cuanto es 9X7
[2020:10:28-19:15:07]  (Global) -> |2cb|pablitopai: claro, retirada del cvr
[2020:10:28-19:15:07]  (Local) -> (LOCAL)[1][Z]Siracusa: yo dare vueltas mientras
[2020:10:28-19:15:11]  (Local) -> (LOCAL)[3]LP: paila
[2020:10:28-19:15:13]  (Local) -> (LOCAL)[3]LP: perdi
[2020:10:28-19:15:17]  (Local) -> (LOCAL)[3]|GT|BAZUCO{LP}: pongase en cuatro pa que lo pruebe
[2020:10:28-19:15:17]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: nooooooooooooooooo
[2020:10:28-19:15:19]  (Local) -> (LOCAL)[2]CurvedLegumes81: vamos al hospital
[2020:10:28-19:15:19]  (Global) -> [Z]Siracusa: d
[2020:10:28-19:15:20]  (Local) -> (LOCAL)[1]DonYorman: todavia no almuerzo mas tarde
[2020:10:28-19:15:20]  (Global) -> WOS: vamos
[2020:10:28-19:15:20]  (Local) -> (LOCAL)[3]Mrpatecumbias69: uy nooooOooOOOO
[2020:10:28-19:15:23]  (Local) -> (LOCAL)[1][Z]Siracusa: ahh jaja
[2020:10:28-19:15:23]  (Global) -> (EVG)TU_DIOSa: Compro sandking 
[2020:10:28-19:15:24]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: ajajajajja
[2020:10:28-19:15:26]  (Local) -> (LOCAL)[1]CurvedLegumes81: a donde?
[2020:10:28-19:15:27]  (Local) -> (LOCAL)[3]Mrpatecumbias69: paso
[2020:10:28-19:15:27]  (Local) -> (LOCAL)[2]|2cb|pablitopai: oe
[2020:10:28-19:15:28]  (Local) -> (LOCAL)[3]LP: jkjsdjkdsjkdsjkjksdjksdjk
[2020:10:28-19:15:29]  (Local) -> (LOCAL)[1]eljoearroyo: oe
[2020:10:28-19:15:30]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: tonces 2X4
[2020:10:28-19:15:30]  (Local) -> (LOCAL)[2]|2cb|pablitopai: cuanto le metiron?
[2020:10:28-19:15:30]  (Local) -> (LOCAL)[1]DonYorman: jjjaja
[2020:10:28-19:15:30]  (Local) -> (LOCAL)[3]Mrpatecumbias69: en realidad nadie sabe
[2020:10:28-19:15:31]  (Local) -> (LOCAL)[3]LP: akjsjkjksajkasjkas
[2020:10:28-19:15:33]  (Local) -> (LOCAL)[2]|2cb|pablitopai: XD
[2020:10:28-19:15:34]  (Global) -> [GT]LOCO: mono
[2020:10:28-19:15:35]  (Local) -> (LOCAL)[1]2cb_SCRIMBOY: vamos a aotro banco xd
[2020:10:28-19:15:35]  (Local) -> (LOCAL)[2][Zetas]Matachivos: 600
[2020:10:28-19:15:36]  (Global) -> [GT]LOCO: mono
[2020:10:28-19:15:38]  (Local) -> (LOCAL)[2]|2cb|pablitopai: XD
[2020:10:28-19:15:39]  (Local) -> (LOCAL)[1][Z]Siracusa: escribe en el chat
[2020:10:28-19:15:39]  (Global) -> WOS: santos
[2020:10:28-19:15:41]  (Local) -> (LOCAL)[1](EVG)TU_DIOSa: xd
[2020:10:28-19:15:42]  (Local) -> (LOCAL)[1]2cb_SCRIMBOY: en SF la venden
[2020:10:28-19:15:44]  (Local) -> (LOCAL)[2]|2cb|pablitopai: cuanto le falta?
[2020:10:28-19:15:45]  (Local) -> (LOCAL)[1][Z]Siracusa: q qn para dar vueltas en limo
[2020:10:28-19:15:46]  (Local) -> (LOCAL)[1]DonYorman: osea que la limo no esta en venta
[2020:10:28-19:15:47]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: tonces 2X4
[2020:10:28-19:15:50]  (Local) -> (LOCAL)[2][Zetas]Matachivos: 30
[2020:10:28-19:15:50]  (Global) -> pablito5654: tu diosa me hubiera dicho antes yo se la hubiera vendido xd
[2020:10:28-19:15:52]  (Local) -> (LOCAL)[3]LP: voy a hacer un grafo q diga los pepes
[2020:10:28-19:15:54]  (Local) -> (LOCAL)[1][Z]Siracusa: creo que no
[2020:10:28-19:15:55]  (Global) -> DonYorman: quien para parchar en limo?
[2020:10:28-19:15:56]  (Local) -> (LOCAL)[3]LP: 8?
[2020:10:28-19:15:56]  (Local) -> (LOCAL)[3]Mrpatecumbias69: ey
[2020:10:28-19:15:56]  (Global) -> DonYorman: quien para parchar en limo?
[2020:10:28-19:15:56]  (Global) -> [GT]Mono: oe
[2020:10:28-19:15:57]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: suafonson
[2020:10:28-19:15:58]  (Local) -> (LOCAL)[3]Mrpatecumbias69: sisas
[2020:10:28-19:15:59]  (Local) -> (LOCAL)[1](EVG)TU_DIOSa: arrima ala tienda de 2
[2020:10:28-19:15:59]  (Local) -> (LOCAL)[1][Z]Siracusa: espera, vamos a ver
[2020:10:28-19:16:00]  (Local) -> (LOCAL)[3]LP: sauajskjksajksajksajkjksajkajkjkas
[2020:10:28-19:16:00]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: siiiiiiiiiiiiiiiiiiiii
[2020:10:28-19:16:01]  (Local) -> (LOCAL)[2]|2cb|pablitopai: a mi me metiron 1200 segundos
[2020:10:28-19:16:04]  (Local) -> (LOCAL)[3]Mrpatecumbias69: ahora la ulktima prueba
[2020:10:28-19:16:04]  (Local) -> (LOCAL)[2]|2cb|pablitopai: me lo metio lopez
[2020:10:28-19:16:04]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: PASO
[2020:10:28-19:16:05]  (Local) -> (LOCAL)[1](EVG)TU_DIOSa: veo si ay alguna por ay
[2020:10:28-19:16:05]  (Local) -> (LOCAL)[2][Zetas]Matachivos: xdddd
[2020:10:28-19:16:06]  (Local) -> (LOCAL)[2]|2cb|pablitopai: xd
[2020:10:28-19:16:07]  (Local) -> (LOCAL)[3]Mrpatecumbias69: un vpp cpnmigo
[2020:10:28-19:16:09]  (Global) -> pablito5654: donde estan yorman
[2020:10:28-19:16:09]  (Local) -> (LOCAL)[1]2cb_SCRIMBOY: weno
[2020:10:28-19:16:14]  (Global) -> [GT]LOCO: llegue a los santo para que me haga un favor
[2020:10:28-19:16:14]  (Global) -> [Z]Siracusa: pablito5654 llega al pier
[2020:10:28-19:16:15]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: falta el PVP
[2020:10:28-19:16:16]  (Global) -> DonYorman: llegue al banco
[2020:10:28-19:16:16]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#FF5C00Catre: deje de sacar de zona
[2020:10:28-19:16:17]  (Local) -> (LOCAL)[3]LP: nea me pela:c
[2020:10:28-19:16:20]  (Local) -> (LOCAL)[3]LP: pero ale
[2020:10:28-19:16:20]  (Global) -> (Z)ChicoFitness: Yorman
[2020:10:28-19:16:22]  (Local) -> (LOCAL)[1][Z]Siracusa: al banco? XD
[2020:10:28-19:16:24]  (Local) -> (LOCAL)[3]Mrpatecumbias69: solo uzi
[2020:10:28-19:16:26]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: no
[2020:10:28-19:16:27]  (Local) -> (LOCAL)[3]Mrpatecumbias69: espere
[2020:10:28-19:16:29]  (Global) -> (Z)ChicoFitness: Gracias por esos MoMaZoS
[2020:10:28-19:16:29]  (Local) -> (LOCAL)[3]Mrpatecumbias69: aca no
[2020:10:28-19:16:30]  (Global) -> DonYorman: a no a la feria
[2020:10:28-19:16:32]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: y hira
[2020:10:28-19:16:32]  (Global) -> DonYorman: feria
[2020:10:28-19:16:32]  (Global) -> (Z)ChicoFitness: Gracias por esos MoMaZoS
[2020:10:28-19:16:34]  (Global) -> JF404: Donde queda el trabajo de camionero???
[2020:10:28-19:16:38]  (Global) -> DonYorman: llegue ala feria
[2020:10:28-19:16:39]  (Local) -> (LOCAL)[3]|GT|stivenv28|LP|: dele mi loko
[2020:10:28-19:16:40]  (Local) -> (LOCAL)[1]2cb_ObitoNea: pa onde
[2020:10:28-19:16:44]  (Global) -> pablito5654: a donde voy xddddddddd
[2020:10:28-19:16:48]  (Local) -> (LOCAL)[4]LP: voy a arreglar la mula
[2020:10:28-19:16:49]  (Local) -> (LOCAL)[4]Mrpatecumbias69: ebtre
[2020:10:28-19:16:49]  (Local) -> (LOCAL)[1](RCA)Kakashi_nea: ´´ues cameñlemos aqui ya que estamos
