This file was generated by Console at 2021:01:11-00:00:00



[2021:01:11-00:00:00]  (Local) -> (LOCAL)[1]Royal2cb: pere
[2021:01:11-20:01:43]  (Local) -> (LOCAL)[1]chirriplones: hermano
[2021:01:11-20:01:43]  (Global) -> 2cB'IBIZA: a
[2021:01:11-20:01:46]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: Nea
[2021:01:11-20:01:47]  (Local) -> (LOCAL)[1]Sayayin'Lufero: hola
[2021:01:11-20:01:47]  (Global) -> J.E$teban: buena
[2021:01:11-20:01:48]  (Local) -> (LOCAL)[1]Skippers: si sabias cuanto pedir jajaj
[2021:01:11-20:01:48]  (Global) -> MrNea: a
[2021:01:11-20:01:49]  (Global) -> Judas?Iscariotes: hagamos pues el trato
[2021:01:11-20:01:49]  (Local) -> (LOCAL)[1]Sayayin'Lufero: perdon sjsj
[2021:01:11-20:01:49]  (Local) -> (LOCAL)[1]|Z|~IceWipe: el 7 pa
[2021:01:11-20:01:51]  (Global) -> 2cB"elTrakegunz: oe EL_FLACO_BRS no mate con job
[2021:01:11-20:01:51]  (Local) -> (LOCAL)[5]2cB|JulianGg:D: aaaaaa
[2021:01:11-20:01:52]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: Estas ocupado?
[2021:01:11-20:01:53]  (Global) -> Judas?Iscariotes: ya le puse los 2 palos
[2021:01:11-20:01:54]  (Local) -> (LOCAL)[7][AK]AXION: PETRO
[2021:01:11-20:01:56]  (Global) -> EL_FLACO_BRS: bogs
[2021:01:11-20:01:57]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: Judas
[2021:01:11-20:01:58]  (Local) -> (LOCAL)[6][AK]AXION: VENGA
[2021:01:11-20:01:58]  (Global) -> MrNea: ando laburando
[2021:01:11-20:02:00]  (Global) -> Judas?Iscariotes: oelo
[2021:01:11-20:02:00]  (Local) -> (LOCAL)[3]G4: Que hace aca
[2021:01:11-20:02:00]  (Local) -> (LOCAL)[1]Skippers: el 7 q
[2021:01:11-20:02:00]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: Banco Ls
[2021:01:11-20:02:01]  (Local) -> (LOCAL)[6]2cB|JulianGg:D: network trouble
[2021:01:11-20:02:02]  (Global) -> Judas?Iscariotes: ale
[2021:01:11-20:02:04]  (Local) -> (LOCAL)[1]|Z|~IceWipe: el motilao
[2021:01:11-20:02:05]  (Global) -> MrNea: es q se bug las armas
[2021:01:11-20:02:05]  (Local) -> (LOCAL)[2]chirriplones: la paz jajaja
[2021:01:11-20:02:07]  (Global) -> EL_FLACO_BRS: me escucha
[2021:01:11-20:02:10]  (Local) -> (LOCAL)[2]orejitas: banco
[2021:01:11-20:02:11]  (Team - Services) -> (TEAM)PETRO-HP: como recojo gente?
[2021:01:11-20:02:11]  (Local) -> (LOCAL)[5][AK]AXION: PERE
[2021:01:11-20:02:11]  (Global) -> EL_FLACO_BRS: vamos
[2021:01:11-20:02:13]  (Local) -> (LOCAL)[2]Sayayin'Lufero: simon
[2021:01:11-20:02:14]  (Local) -> (LOCAL)[6]Petrobb: que pasio
[2021:01:11-20:02:16]  (Global) -> (ak)andres: ARRANCO EN 30 MINUTOS A LAS VENTURAS 1800 EL APSAJE ESTOY EN EL TERMINAL DE BUSES  AGANLE PUES
[2021:01:11-20:02:17]  (Local) -> (LOCAL)[6][AK]AXION: AL AMMU
[2021:01:11-20:02:17]  (Global) -> MrNea: y qde con 200k XD en 10 min le pago lo suyo
[2021:01:11-20:02:18]  (Local) -> (LOCAL)[6][AK]AXION: PORFA
[2021:01:11-20:02:18]  (Local) -> (LOCAL)[1]Skippers: motilao ay ome eso q
[2021:01:11-20:02:21]  (Global) -> 2cB"elTrakegunz: EL_FLACO_BRS quitese el job con /resign y no mate trabajadores
[2021:01:11-20:02:21]  (Local) -> (LOCAL)[1]chirriplones: foton a ver
[2021:01:11-20:02:22]  (Global) -> PalmerP: Necesito taxi en blueberry!
[2021:01:11-20:02:23]  (Global) -> EL_FLACO_BRS: vamos reizer
[2021:01:11-20:02:24]  (Local) -> (LOCAL)[1]|Z|~IceWipe: xd
[2021:01:11-20:02:24]  (Local) -> (LOCAL)[1]orejitas: llevame al banco
[2021:01:11-20:02:26]  (Local) -> (LOCAL)[4]Petrobb: akle
[2021:01:11-20:02:26]  (Global) -> MrNea: ELTRAKE
[2021:01:11-20:02:26]  (Global) -> 2cb'VIERNES_13: r
[2021:01:11-20:02:28]  (Local) -> (LOCAL)[6]2cB'IBIZA: ok ya los hice llorar arto
[2021:01:11-20:02:29]  (Global) -> 2cB"elTrakegunz: q
[2021:01:11-20:02:29]  (Global) -> (GT)tajadasconqueso: alguien necesita taxi?
[2021:01:11-20:02:31]  (Local) -> (LOCAL)[5](6cb)sebastian_botero: oe
[2021:01:11-20:02:31]  (Local) -> (LOCAL)[1]Sayayin'Lufero: aqui
[2021:01:11-20:02:31]  (Local) -> (LOCAL)[4]GT|~PABLO: Oe El-gato-cosmico1
[2021:01:11-20:02:31]  (Global) -> J.E$teban: hacia donde queda
[2021:01:11-20:02:31]  (Global) -> EL_FLACO_BRS: ok no savia
[2021:01:11-20:02:31]  (Global) -> Lucho_666: sapoooooo
[2021:01:11-20:02:31]  (Local) -> (LOCAL)[1]Skippers: la money
[2021:01:11-20:02:32]  (Global) -> PalmerP: yo
[2021:01:11-20:02:32]  (Global) -> (POPEYE):  me puede recojer andres?
[2021:01:11-20:02:33]  (Global) -> MrNea: #FF22BB EL TRAKE 
[2021:01:11-20:02:35]  (Local) -> (LOCAL)[5]#7F7F7F|ADM|#FF5C00ReizerB: ok
[2021:01:11-20:02:36]  (Local) -> (LOCAL)[1]|Z|~IceWipe: q pasa
[2021:01:11-20:02:36]  (Global) -> FernanditoGAUCHO: vendo carro descapotable tuneado y oto muy mela se cambia a otra cosa 
[2021:01:11-20:02:37]  (Local) -> (LOCAL)[4]francovilla,pato: oe
[2021:01:11-20:02:38]  (Local) -> (LOCAL)[6]2cB'IBIZA: me voy pa lol
[2021:01:11-20:02:38]  (Local) -> (LOCAL)[6]BocatoPa: a okentiendo
[2021:01:11-20:02:38]  (Local) -> (LOCAL)[4]francovilla,pato: oe
[2021:01:11-20:02:39]  (Global) -> davidc: oe
[2021:01:11-20:02:39]  (Local) -> (LOCAL)[4]#7F7F7F|ADM|#FF5C00ReizerB: lea el F1
[2021:01:11-20:02:39]  (Global) -> (ak)andres: DONDE ESTA
[2021:01:11-20:02:39]  (Local) -> (LOCAL)[1]GT-FranCasla: en el icono de avion
[2021:01:11-20:02:40]  (Local) -> (LOCAL)[1]Skippers: para el 7??
[2021:01:11-20:02:40]  (Local) -> (LOCAL)[1]orejitas: bajate manejo
[2021:01:11-20:02:41]  (Local) -> (LOCAL)[6]2cB'IBIZA: xao
[2021:01:11-20:02:41]  (Global) -> FernanditoGAUCHO: venir a comisaria
[2021:01:11-20:02:43]  (Global) -> FernanditoGAUCHO: vendo carro descapotable tuneado y oto muy mela se cambia a otra cosa 
[2021:01:11-20:02:43]  (Local) -> (LOCAL)[2]El_chava_pai: oe pa
[2021:01:11-20:02:44]  (Global) -> 2cB"elTrakegunz: q
[2021:01:11-20:02:44]  (Local) -> (LOCAL)[2]2cb'Camilolindo: sisas?
[2021:01:11-20:02:45]  (Local) -> (LOCAL)[1]|Z|~IceWipe: c
[2021:01:11-20:02:46]  (Local) -> (LOCAL)[3]MrNea: deje pasar
[2021:01:11-20:02:47]  (Local) -> (LOCAL)[6][AK]AXION: GRAX
[2021:01:11-20:02:47]  (Local) -> (LOCAL)[1]|Z|~IceWipe: qqqqq
[2021:01:11-20:02:48]  (Team - Services) -> (TEAM)PETRO-HP: ahhhh
[2021:01:11-20:02:49]  (Local) -> (LOCAL)[4]francovilla,pato: se q¿une ami gang parce
[2021:01:11-20:02:49]  (Local) -> (LOCAL)[9]El_chava_pai: como consigo esa cabeza
[2021:01:11-20:02:50]  (Local) -> (LOCAL)[5]lGTlAnndrew: como el ibiza juega lol
[2021:01:11-20:02:50]  (Global) -> EL_FLACO_BRS: montece
[2021:01:11-20:02:52]  (Local) -> (LOCAL)[1]|Z|~IceWipe: hablame claro sapa
[2021:01:11-20:02:52]  (Global) -> cristian20: oe pa
[2021:01:11-20:02:53]  (Global) -> MrNea: admin en muleros
[2021:01:11-20:02:55]  (Global) -> FernanditoGAUCHO: vendo carro descapotable tuneado y oto muy mela se cambia a otra cosa 
[2021:01:11-20:02:56]  (Local) -> (LOCAL)[1]Sayayin'Lufero: verga bi ne deha sjjs
[2021:01:11-20:02:56]  (Global) -> FernanditoGAUCHO: venir a comisaria
[2021:01:11-20:02:57]  (Local) -> (LOCAL)[1]Skippers: no le intendiç
[2021:01:11-20:02:57]  (Global) -> davidc: tienes carro
[2021:01:11-20:02:57]  (Local) -> (LOCAL)[3]KoKo99: deja pasar bobohpta
[2021:01:11-20:02:57]  (Local) -> (LOCAL)[4]francovilla,pato: oe
[2021:01:11-20:03:00]  (Local) -> (LOCAL)[1]orejitas: frena manejo
[2021:01:11-20:03:00]  (Global) -> MrNea: un mk no deja pasar
[2021:01:11-20:03:00]  (Team - Services) -> (TEAM)PETRO-HP:  vamos?
[2021:01:11-20:03:02]  (Local) -> (LOCAL)[6]GT|~PABLO: oe
[2021:01:11-20:03:02]  (Local) -> (LOCAL)[1]2cb'Camilolindo: sisas
[2021:01:11-20:03:02]  (Local) -> (LOCAL)[2]El_chava_pai: de pollo
[2021:01:11-20:03:03]  (Local) -> (LOCAL)[1]|Z|~IceWipe: yo menos
[2021:01:11-20:03:04]  (Local) -> (LOCAL)[1]Skippers: de la molitia
[2021:01:11-20:03:05]  (Local) -> (LOCAL)[2]JulianBest16: bajese lo cruo
[2021:01:11-20:03:05]  (Global) -> 2cB|JulianGg:D: Judas?Iscariotes?
[2021:01:11-20:03:05]  (Global) -> EL_FLACO_BRS: sip
[2021:01:11-20:03:06]  (Local) -> (LOCAL)[5]francovilla,pato: se une ami gang
[2021:01:11-20:03:06]  (Local) -> (LOCAL)[1]|Z|~IceWipe: bno 50k todo
[2021:01:11-20:03:06]  (Global) -> (POPEYE):  fernandito llegue a la pesca
[2021:01:11-20:03:07]  (Local) -> (LOCAL)[1]2cb'Camilolindo: pero no tengo gasolina
[2021:01:11-20:03:08]  (Local) -> (LOCAL)[1]Skippers: o esa goda
[2021:01:11-20:03:08]  (Local) -> (LOCAL)[5](6cb)sebastian_botero: unase a la gan
[2021:01:11-20:03:08]  (Global) -> (POPEYE):  fernandito llegue a la pesca
[2021:01:11-20:03:08]  (Global) -> Judas?Iscariotes: q
[2021:01:11-20:03:09]  (Global) -> GTFRESA: entrando al clan
[2021:01:11-20:03:10]  (Global) -> ElParaco: quekas oana
[2021:01:11-20:03:10]  (Local) -> (LOCAL)[1]GT-FranCasla: si
[2021:01:11-20:03:10]  (Local) -> (LOCAL)[2]JulianBest16: lo curo
[2021:01:11-20:03:10]  (Global) -> #7F7F7F|ADM|#FF5C00ReizerB: FernanditoGAUCHO ojo con el spam
[2021:01:11-20:03:11]  (Global) -> davidc: me da el aventon
[2021:01:11-20:03:11]  (Global) -> EL_FLACO_BRS: ok
[2021:01:11-20:03:11]  (Local) -> (LOCAL)[6]francovilla,pato: bamos
[2021:01:11-20:03:12]  (Global) -> 2cB"elTrakegunz: q paso MrNea[MP]
[2021:01:11-20:03:12]  (Local) -> (LOCAL)[1]orejitas: cuidado te matan los rojos
[2021:01:11-20:03:13]  (Local) -> (LOCAL)[1]chirriplones: jajajja eso
[2021:01:11-20:03:14]  (Local) -> (LOCAL)[1]Skippers: ahh si
[2021:01:11-20:03:15]  (Global) -> (GT)tajadasconqueso: taxi?
[2021:01:11-20:03:15]  (Local) -> (LOCAL)[1]Sayayin'Lufero: sjsjss
[2021:01:11-20:03:16]  (Local) -> (LOCAL)[2]2cb'Camilolindo: toca cojer bus
[2021:01:11-20:03:17]  (Local) -> (LOCAL)[1]Skippers: 50k pa
[2021:01:11-20:03:18]  (Local) -> (LOCAL)[6]francovilla,pato: suba
[2021:01:11-20:03:18]  (Local) -> (LOCAL)[2](ak)andres: grax
[2021:01:11-20:03:19]  (Global) -> EL_FLACO_BRS: iene buenos integrantes
[2021:01:11-20:03:19]  (Local) -> (LOCAL)[1]|Z|~IceWipe: bn
[2021:01:11-20:03:21]  (Local) -> (LOCAL)[1]El_chava_pai: cual clan á
[2021:01:11-20:03:21]  (Team - Law Enforcement) -> (TEAM)2cb$ARETE: muerto d hambre
[2021:01:11-20:03:21]  (Local) -> (LOCAL)[1]|Z|~IceWipe: chao
[2021:01:11-20:03:21]  (Global) -> MrNea: trake pase su log a guaracha
[2021:01:11-20:03:22]  (Local) -> (LOCAL)[1]El_chava_pai: pa
[2021:01:11-20:03:25]  (Local) -> (LOCAL)[5]GT|~PABLO: quiere unirse a una gang?
[2021:01:11-20:03:25]  (Global) -> MrNea: pa el rol aca
[2021:01:11-20:03:27]  (Local) -> (LOCAL)[2]KoKo99: quitate tambien
[2021:01:11-20:03:27]  (Global) -> cristian20: oe 
[2021:01:11-20:03:28]  (Global) -> EL_FLACO_BRS: pere
[2021:01:11-20:03:28]  (Local) -> (LOCAL)[5]francovilla,pato: ensima
[2021:01:11-20:03:28]  (Local) -> (LOCAL)[2]orejitas: baja manejo que necesito ir al banco
[2021:01:11-20:03:28]  (Local) -> (LOCAL)[2]2cb'Camilolindo: a una gasolinera cucho
[2021:01:11-20:03:29]  (Local) -> (LOCAL)[1]Skippers: pero espera
[2021:01:11-20:03:29]  (Local) -> (LOCAL)[5](6cb)sebastian_botero: flaco
[2021:01:11-20:03:29]  (Local) -> (LOCAL)[5]ElParaco: hagale
[2021:01:11-20:03:31]  (Local) -> (LOCAL)[1]|Z|~IceWipe: XD
[2021:01:11-20:03:33]  (Local) -> (LOCAL)[1](ak)andres: q
[2021:01:11-20:03:33]  (Local) -> (LOCAL)[5](6cb)sebastian_botero: suba
[2021:01:11-20:03:33]  (Local) -> (LOCAL)[1]|Z|~IceWipe: q paso
[2021:01:11-20:03:34]  (Global) -> KevinM: prb
[2021:01:11-20:03:35]  (Local) -> (LOCAL)[5]ElParaco: con cual es el que se habla?
[2021:01:11-20:03:36]  (Local) -> (LOCAL)[5]FernanditoGAUCHO: subite perra
[2021:01:11-20:03:36]  (Local) -> (LOCAL)[1]JulianBest16: bajese
[2021:01:11-20:03:37]  (Global) -> J.E$teban: te llevo
[2021:01:11-20:03:39]  (Local) -> (LOCAL)[2][AK]Art: DAVID NO TIENEWWWW
[2021:01:11-20:03:39]  (Local) -> (LOCAL)[1]JulianBest16: lo curo
[2021:01:11-20:03:39]  (Global) -> 2cB"elTrakegunz: no tengo redes ahorita
[2021:01:11-20:03:40]  (Local) -> (LOCAL)[1]Petrobb: que paso pa
[2021:01:11-20:03:42]  (Local) -> (LOCAL)[1]Skippers: no la vaya a vender sapa
[2021:01:11-20:03:42]  (Local) -> (LOCAL)[2]Petrobb: pa donde
[2021:01:11-20:03:42]  (Global) -> Judas?Iscariotes: g8  ya llegue
[2021:01:11-20:03:43]  (Global) -> 2cB"elTrakegunz: deselo ud
[2021:01:11-20:03:43]  (Global) -> cristian20: como vuelvo a mi skin normal mano soy nuebo
[2021:01:11-20:03:44]  (Global) -> (GT)tajadasconqueso: rolean?
[2021:01:11-20:03:44]  (Global) -> EL_FLACO_BRS: me quito esta ropa
[2021:01:11-20:03:45]  (Local) -> (LOCAL)[1]orejitas: u dale ps
[2021:01:11-20:03:45]  (Local) -> (LOCAL)[5]francovilla,pato: oe
[2021:01:11-20:03:45]  (Local) -> (LOCAL)[5](6cb)sebastian_botero: y le da a lax
[2021:01:11-20:03:46]  (Global) -> 2cb'Camilolindo: dele g
[2021:01:11-20:03:47]  (Global) -> 2cb'VIERNES_13: pa donde las putas
[2021:01:11-20:03:47]  (Local) -> (LOCAL)[1]Skippers: q yo se lacompre
[2021:01:11-20:03:49]  (Local) -> (LOCAL)[1]|Z|~IceWipe: sisas
[2021:01:11-20:03:49]  (Global) -> 2cB"elTrakegunz: elTrakegunz
[2021:01:11-20:03:51]  (Local) -> (LOCAL)[1]|Z|~IceWipe: rela
[2021:01:11-20:03:54]  (Local) -> (LOCAL)[1]Petrobb: las putas ganas?
[2021:01:11-20:03:55]  (Local) -> (LOCAL)[7]GT|~PABLO: con la z
[2021:01:11-20:03:56]  (Global) -> #7F7F7F|ADM|#FF5C00ReizerB: cristian20 /resign parcero
[2021:01:11-20:03:56]  (Local) -> (LOCAL)[2](ak)andres: noc yo lelgo 1 año y todabia no se xd
[2021:01:11-20:03:59]  (Local) -> (LOCAL)[5]FernanditoGAUCHO: vamos pa donde las putas
[2021:01:11-20:03:59]  (Local) -> (LOCAL)[7]GT|~PABLO: para el chat de voz
[2021:01:11-20:04:00]  (Global) -> 2cb'VIERNES_13: si señor
[2021:01:11-20:04:00]  (Global) -> Uribe_Uchiha: gracias mi rey
[2021:01:11-20:04:00]  (Local) -> (LOCAL)[2][AK]Art: NO LE DEJA CREO NO TIENE PLATA
[2021:01:11-20:04:00]  (Local) -> (LOCAL)[2]2cb'Camilolindo: con g manito
[2021:01:11-20:04:03]  (Global) -> cristian20: a gracais mano
[2021:01:11-20:04:03]  (Local) -> (LOCAL)[5]francovilla,pato: suba ensima
[2021:01:11-20:04:04]  (Local) -> (LOCAL)[3]El_chava_pai: cual clan pai
[2021:01:11-20:04:06]  (Local) -> (LOCAL)[7]GT|~PABLO: como?
[2021:01:11-20:04:07]  (Global) -> ElParaco: me escuhca?
[2021:01:11-20:04:08]  (Local) -> (LOCAL)[6](6cb)sebastian_botero: suba normal
[2021:01:11-20:04:09]  (Global) -> Sayayin'Shadow963: Buenas como hace uno para ganarse un palo o dos en este juego?
[2021:01:11-20:04:09]  (Local) -> (LOCAL)[8]GT|~PABLO: szs
[2021:01:11-20:04:10]  (Local) -> (LOCAL)[1]Skippers: es q hace poquito dy 130k a stivenv28 y a candoga 100k
[2021:01:11-20:04:11]  (Local) -> (LOCAL)[1]sayayin'santiago: buena
[2021:01:11-20:04:13]  (Global) -> (ak)andres: ARRANCO EN 30 MINUTOS A LAS VENTURAS 1800 EL APSAJE ESTOY EN EL TERMINAL DE BUSES  AGANLE PUES
[2021:01:11-20:04:14]  (Local) -> (LOCAL)[1]Sayayin'Lufero: buena pa
[2021:01:11-20:04:15]  (Global) -> MrNea: reizer
[2021:01:11-20:04:15]  (Local) -> (LOCAL)[1]|Z|~IceWipe: y eso
[2021:01:11-20:04:17]  (Global) -> MrNea: ayuda
[2021:01:11-20:04:18]  (Local) -> (LOCAL)[3]chirriplones: svero temajahahha
[2021:01:11-20:04:19]  (Global) -> ElParaco: alee
[2021:01:11-20:04:19]  (Global) -> 2cB"elTrakegunz: camellando
[2021:01:11-20:04:19]  (Local) -> (LOCAL)[6]francovilla,pato: x
[2021:01:11-20:04:20]  (Local) -> (LOCAL)[6][Z]Cris: a
[2021:01:11-20:04:22]  (Global) -> KoKo99: en camionero
[2021:01:11-20:04:24]  (Global) -> EL_FLACO_BRS: hay
[2021:01:11-20:04:27]  (Global) -> FernanditoGAUCHO: oeee
[2021:01:11-20:04:28]  (Local) -> (LOCAL)[7]francovilla,pato: dale x
[2021:01:11-20:04:29]  (Local) -> (LOCAL)[7](6cb)sebastian_botero: vamos
[2021:01:11-20:04:30]  (Global) -> EL_FLACO_BRS: ya
[2021:01:11-20:04:31]  (Local) -> (LOCAL)[8]GT|~PABLO: Dele F2 > My invites > Ghost Turfers
[2021:01:11-20:04:31]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00ReizerB: ah
[2021:01:11-20:04:31]  (Local) -> (LOCAL)[4]lGTlAnndrew: oe
[2021:01:11-20:04:33]  (Local) -> (LOCAL)[2]2cb'Camilolindo: por aqui
[2021:01:11-20:04:33]  (Global) -> MrNea: no deja cojer carga XD toca spawnear uno de el job?
[2021:01:11-20:04:34]  (Local) -> (LOCAL)[3]Judas?Iscariotes: fabius
[2021:01:11-20:04:35]  (Local) -> (LOCAL)[1]Skippers: 130 por los palos q me ah vendido
[2021:01:11-20:04:35]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00ReizerB: use los normales
[2021:01:11-20:04:35]  (Local) -> (LOCAL)[7]JulianBest16: los curo
[2021:01:11-20:04:35]  (Local) -> (LOCAL)[8]FernanditoGAUCHO: el del bus ya voy espereme ahi
[2021:01:11-20:04:37]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00ReizerB: use los normales
[2021:01:11-20:04:38]  (Local) -> (LOCAL)[4]lGTlAnndrew: nea
[2021:01:11-20:04:38]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00ReizerB: use los normales
[2021:01:11-20:04:38]  (Global) -> davidc: oye
[2021:01:11-20:04:39]  (Local) -> (LOCAL)[2]MrNea: aa ok
[2021:01:11-20:04:39]  (Local) -> (LOCAL)[1]Judas?Iscariotes: ue vale ese carro
[2021:01:11-20:04:40]  (Local) -> (LOCAL)[2]#7F7F7F|ADM|#FF5C00ReizerB: use los normales
[2021:01:11-20:04:43]  (Local) -> (LOCAL)[1]|Z|~IceWipe: cuantos palos le vendio
[2021:01:11-20:04:43]  (Local) -> (LOCAL)[3]MrNea: ok
[2021:01:11-20:04:44]  (Local) -> (LOCAL)[5]FernanditoGAUCHO: vamos ps hptas
[2021:01:11-20:04:45]  (Local) -> (LOCAL)[1]|Z|~IceWipe: que gonorrea
[2021:01:11-20:04:45]  (Local) -> (LOCAL)[3]MrNea: gracias
[2021:01:11-20:04:46]  (Global) -> J.E$teban: perdon jjajjja
[2021:01:11-20:04:50]  (Local) -> (LOCAL)[1]sayayin'santiago: sabe quien es ciplones?
[2021:01:11-20:04:50]  (Local) -> (LOCAL)[2]Judas?Iscariotes: esta muy melo
[2021:01:11-20:04:51]  (Local) -> (LOCAL)[1]Skippers: y a cando por el colaboracion de la ram
[2021:01:11-20:04:52]  (Local) -> (LOCAL)[3]CapoGod: EL MUNDO
[2021:01:11-20:04:54]  (Local) -> (LOCAL)[1]Sayayin'Lufero: sisa
[2021:01:11-20:04:54]  (Local) -> (LOCAL)[1]Judas?Iscariotes: aa quemelo pa
[2021:01:11-20:04:55]  (Local) -> (LOCAL)[5]francovilla,pato: 0e no
[2021:01:11-20:04:55]  (Local) -> (LOCAL)[4]lGTlAnndrew: lucho
[2021:01:11-20:04:57]  (Global) -> 2cB"elTrakegunz: MrNea pasele el log ud
[2021:01:11-20:04:58]  (Local) -> (LOCAL)[4]lGTlAnndrew: joven reaccione
[2021:01:11-20:04:59]  (Global) -> JeanJajs: oe
[2021:01:11-20:05:00]  (Local) -> (LOCAL)[1]|Z|~IceWipe: le regalo 100k?
[2021:01:11-20:05:00]  (Local) -> (LOCAL)[4]CapoGod: BEIBI
[2021:01:11-20:05:01]  (Local) -> (LOCAL)[2]Judas?Iscariotes: ajaj sisas
[2021:01:11-20:05:02]  (Local) -> (LOCAL)[1]|Z|~IceWipe: uff
[2021:01:11-20:05:03]  (Local) -> (LOCAL)[1]sayayin'santiago: xd yo lo estaba matando
[2021:01:11-20:05:03]  (Local) -> (LOCAL)[1]Skippers: como 200ç
[2021:01:11-20:05:04]  (Global) -> MrNea: ya lo pase
[2021:01:11-20:05:05]  (Local) -> (LOCAL)[5]CapoGod: askhfioathoejf0a9rhw0jb90ehgw0rfawd
[2021:01:11-20:05:05]  (Global) -> EL_FLACO_BRS: no no
[2021:01:11-20:05:08]  (Global) -> 2cB"elTrakegunz: ah bno
[2021:01:11-20:05:08]  (Global) -> MrNea: ya estoy esperensd
[2021:01:11-20:05:09]  (Local) -> (LOCAL)[1]Sayayin'Lufero: jsjsjs que paila
[2021:01:11-20:05:09]  (Local) -> (LOCAL)[1]Skippers: si
[2021:01:11-20:05:10]  (Local) -> (LOCAL)[3][AK]AXION: ah hp
[2021:01:11-20:05:10]  (Global) -> 2cB"elTrakegunz: grax
[2021:01:11-20:05:11]  (Local) -> (LOCAL)[1]Sayayin'Lufero: peor
[2021:01:11-20:05:12]  (Local) -> (LOCAL)[1]Sayayin'Lufero: osea
[2021:01:11-20:05:13]  (Global) -> (ak)andres: ARRANCO EN 30 MINUTOS A LAS VENTURAS 1800 EL APSAJE ESTOY EN EL TERMINAL DE BUSES  AGANLE PUES
[2021:01:11-20:05:13]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: Judas
[2021:01:11-20:05:13]  (Global) -> MrNea: a
[2021:01:11-20:05:14]  (Local) -> (LOCAL)[1]Skippers: a cando
[2021:01:11-20:05:14]  (Local) -> (LOCAL)[4]Judas?Iscariotes: da mucho lag
[2021:01:11-20:05:16]  (Local) -> (LOCAL)[1]Sayayin'Lufero: es conocido nuestro?
[2021:01:11-20:05:17]  (Local) -> (LOCAL)[1]sayayin'santiago: lo mate como 4 veces
[2021:01:11-20:05:17]  (Local) -> (LOCAL)[4]Judas?Iscariotes: es el problem,a
[2021:01:11-20:05:17]  (Local) -> (LOCAL)[1]|Z|~IceWipe: mira ve
[2021:01:11-20:05:18]  (Global) -> EL_FLACO_BRS: unas al aire
[2021:01:11-20:05:21]  (Global) -> Judas?Iscariotes: oe ya llegue g8
[2021:01:11-20:05:23]  (Local) -> (LOCAL)[1]|Z|~IceWipe: yo necesito una colaboracion asi
[2021:01:11-20:05:27]  (Local) -> (LOCAL)[4]lGTlAnndrew: lucho
[2021:01:11-20:05:27]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: voy
[2021:01:11-20:05:28]  (Local) -> (LOCAL)[1]|Z|~IceWipe: a ver si cambio esta chacarra
[2021:01:11-20:05:31]  (Global) -> #7F7F7F|ADM||LG|#FFFF00|Ak|[g8]: llegando
[2021:01:11-20:05:32]  (Local) -> (LOCAL)[8]GT|~PABLO: /gc (mensaje)
[2021:01:11-20:05:32]  (Local) -> (LOCAL)[1]|Z|~IceWipe: cacharra
[2021:01:11-20:05:32]  (Local) -> (LOCAL)[1]Skippers: jajaj xd
[2021:01:11-20:05:35]  (Global) -> Judas?Iscariotes: alepri
[2021:01:11-20:05:36]  (Local) -> (LOCAL)[4]lGTlAnndrew: lucho
[2021:01:11-20:05:37]  (Local) -> (LOCAL)[2]Judas?Iscariotes: ay
[2021:01:11-20:05:37]  (Local) -> (LOCAL)[1]orejitas: afuera lo curo
[2021:01:11-20:05:38]  (Global) -> Lucho_666: boa 
[2021:01:11-20:05:40]  (Local) -> (LOCAL)[1]Skippers: uy
[2021:01:11-20:05:40]  (Local) -> (LOCAL)[1]sayayin'santiago: vine aca me disparo y lo mate y ahora el sige viniendo pero lo mato xd
[2021:01:11-20:05:41]  (Local) -> (LOCAL)[1]|Z|~IceWipe: a puros 20fps
[2021:01:11-20:05:42]  (Local) -> (LOCAL)[1]|Z|~IceWipe: que pereza
[2021:01:11-20:05:45]  (Local) -> (LOCAL)[9]El_chava_pai: oe deme clan
[2021:01:11-20:05:45]  (Local) -> (LOCAL)[6][Z]stivenv28: ola
[2021:01:11-20:05:45]  (Local) -> (LOCAL)[4]lGTlAnndrew: dale al f2
[2021:01:11-20:05:47]  (Global) -> EL_FLACO_BRS: oe oe
[2021:01:11-20:05:47]  (Global) -> Lucho_666: como se llama el grupo
[2021:01:11-20:05:48]  (Local) -> (LOCAL)[12]El_chava_pai: pa ser pollo
[2021:01:11-20:05:48]  (Local) -> (LOCAL)[5][EVG]juann: ola xd
[2021:01:11-20:05:50]  (Local) -> (LOCAL)[1]Skippers: papa mi ping un asco
[2021:01:11-20:05:50]  (Local) -> (LOCAL)[4]francovilla,pato: listo aca
[2021:01:11-20:05:50]  (Local) -> (LOCAL)[1]Sayayin'Lufero: sjsjsjs
