This file was generated by Console at 2020:11:27-00:00:00



[2020:11:27-00:00:00]  (Global) -> 2cb'ViejoRichard: si
[2020:11:27-20:10:00]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: alli afuera
[2020:11:27-20:10:01]  (Global) -> /Z/^JEFER: xd
[2020:11:27-20:10:02]  (Local) -> (LOCAL)[14]|Z|~IceWipe: bno
[2020:11:27-20:10:04]  (Local) -> (LOCAL)[14][Z]Bocato: sxs
[2020:11:27-20:10:04]  (Global) -> #7F7F7F|CVR|#0064FFKreator: aaaaaaaaaaa
[2020:11:27-20:10:08]  (Local) -> (LOCAL)[13]|Z|~IceWipe: eso ya cuadramos
[2020:11:27-20:10:08]  (Local) -> (LOCAL)[13]/Z/^JEFER: bno
[2020:11:27-20:10:09]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: ya s eva
[2020:11:27-20:10:09]  (Local) -> (LOCAL)[2]TIROFIJO420: capturado
[2020:11:27-20:10:12]  (Local) -> (LOCAL)[3]TIROFIJO420: por la tomb a nacional
[2020:11:27-20:10:13]  (Local) -> (LOCAL)[3]TIROFIJO420: de locombia
[2020:11:27-20:10:14]  (Local) -> (LOCAL)[13]|Z|~IceWipe: luego al dc
[2020:11:27-20:10:14]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: pera
[2020:11:27-20:10:15]  (Local) -> (LOCAL)[2]esperanzaGmez: vamos por el
[2020:11:27-20:10:16]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: vamos
[2020:11:27-20:10:16]  (Local) -> (LOCAL)[2]TIROFIJO420: pa
[2020:11:27-20:10:18]  (Local) -> (LOCAL)[2][2cb]JuanPablo: bueno peor ud qn es
[2020:11:27-20:10:25]  (Local) -> (LOCAL)[14]|Z|~IceWipe: bebe deme rango recluter, q pereza q hay pocos
[2020:11:27-20:10:25]  (Local) -> (LOCAL)[13][CAPU]~morales~: ola
[2020:11:27-20:10:26]  (Local) -> (LOCAL)[14]Z->[B]ebelin'5mode: ya
[2020:11:27-20:10:26]  (Local) -> (LOCAL)[1][2cb]JuanPablo: ah cierto un sin vip
[2020:11:27-20:10:28]  (Local) -> (LOCAL)[1][2cb]JuanPablo: :V
[2020:11:27-20:10:28]  (Local) -> (LOCAL)[12]|Z|~IceWipe: o nunca andan conectados
[2020:11:27-20:10:31]  (Global) -> [JUANJO]: boy patron espere me aya esvcondase
[2020:11:27-20:10:32]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: no quiero estar en la carcel
[2020:11:27-20:10:34]  (Local) -> (LOCAL)[1]TIROFIJO420: no necesito eso
[2020:11:27-20:10:35]  (Local) -> (LOCAL)[9]|Z|~IceWipe: mire f2
[2020:11:27-20:10:37]  (Local) -> (LOCAL)[2]esperanzaGmez: oye siento que me estas confundiendo
[2020:11:27-20:10:37]  (Local) -> (LOCAL)[1]TIROFIJO420: pa ser pro
[2020:11:27-20:10:41]  (Local) -> (LOCAL)[4][Zetas]JOHAN: usted tiene discord?
[2020:11:27-20:10:41]  (Global) -> elpspytriana: ok
[2020:11:27-20:10:42]  (Local) -> (LOCAL)[1][2cb]JuanPablo: JAJAJAJAJAA
[2020:11:27-20:10:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: porque dime?
[2020:11:27-20:10:48]  (Global) -> elpspytriana: en la casa de cj
[2020:11:27-20:10:49]  (Local) -> (LOCAL)[2][2cb]JuanPablo: lo necesitas mucho jaja
[2020:11:27-20:10:50]  (Local) -> (LOCAL)[11]/Z/^JEFER: ya me uni
[2020:11:27-20:10:50]  (Local) -> (LOCAL)[2]esperanzaGmez: de donde el barco+
[2020:11:27-20:10:51]  (Global) -> 2cb'LILPUSSY: ROLOS PIROBOS+
[2020:11:27-20:10:55]  (Local) -> (LOCAL)[2]esperanzaGmez: y que conocifda
[2020:11:27-20:10:55]  (Local) -> (LOCAL)[10]|Z|~IceWipe: qn habla?
[2020:11:27-20:10:57]  (Local) -> (LOCAL)[10]|Z|~IceWipe: XDDD
[2020:11:27-20:11:00]  (Local) -> (LOCAL)[10]|Z|~IceWipe: subase
[2020:11:27-20:11:01]  (Global) -> [2cb]JuanPablo: (LOCAL)[1]TIROFIJO420: :V
[2020:11:27-20:11:02]  (Local) -> (LOCAL)[10]2cB'Mani_jkl: ...
[2020:11:27-20:11:05]  (Local) -> (LOCAL)[11]|Z|~IceWipe: subase sapa
[2020:11:27-20:11:07]  (Local) -> (LOCAL)[11][CAPU]~morales~: ola cornizo
[2020:11:27-20:11:08]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: no se era una conocida
[2020:11:27-20:11:11]  (Global) -> [2cb]JuanPablo: pacmans  -.-
[2020:11:27-20:11:12]  (Local) -> (LOCAL)[3]|Z|~IceWipe: mandeme un saludo
[2020:11:27-20:11:13]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: pero no eres tu
[2020:11:27-20:11:14]  (Local) -> (LOCAL)[4]|Z|~IceWipe: o lo bajo
[2020:11:27-20:11:19]  (Local) -> (LOCAL)[2]esperanzaGmez: ah bueno
[2020:11:27-20:11:19]  (Local) -> (LOCAL)[5]#7F7F7F|CVR|#FF8C00Cornizo: HOLA MORALES
[2020:11:27-20:11:21]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: vamos
[2020:11:27-20:11:22]  (Local) -> (LOCAL)[2]esperanzaGmez: jum
[2020:11:27-20:11:24]  (Local) -> (LOCAL)[2]esperanzaGmez: vamos
[2020:11:27-20:11:27]  (Local) -> (LOCAL)[6]#7F7F7F|CVR|#FF8C00Cornizo: COMO ESTA
[2020:11:27-20:11:29]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF8C00Cornizo: S
[2020:11:27-20:11:29]  (Team - Unemployed) -> (TEAM)2cb'ElSocito: .
[2020:11:27-20:11:33]  (Local) -> (LOCAL)[2]|Z|~IceWipe: oe
[2020:11:27-20:11:34]  (Local) -> (LOCAL)[2](POPEYE): aujajaj
[2020:11:27-20:11:37]  (Local) -> (LOCAL)[8]chocomiiiiiiiiiilk: coniso
[2020:11:27-20:11:39]  (Local) -> (LOCAL)[2](POPEYE): ese hp no se deja alcanmzar
[2020:11:27-20:11:40]  (Local) -> (LOCAL)[6]2cB'Mani_jkl: AUIDA!!
[2020:11:27-20:11:42]  (Local) -> (LOCAL)[7][CAPU]~morales~: bien gracias a dios
[2020:11:27-20:11:43]  (Local) -> (LOCAL)[1]|Z|~IceWipe: ey
[2020:11:27-20:11:47]  (Local) -> (LOCAL)[7]#7F7F7F|CVR|#FF0000Lopez: HOLA
[2020:11:27-20:11:48]  (Local) -> (LOCAL)[1]|Z|~IceWipe: comprate la 129
[2020:11:27-20:11:52]  (Local) -> (LOCAL)[8][CAPU]~morales~: como va la familia
[2020:11:27-20:11:53]  (Global) -> #7F7F7F|CVR|#FF8C00Cornizo: HOLA LOPEZ
[2020:11:27-20:11:57]  (Local) -> (LOCAL)[1]antronyX11: HOLA HERMANO
[2020:11:27-20:12:06]  (Local) -> (LOCAL)[3]z|JuanEs: ._.
[2020:11:27-20:12:07]  (Local) -> (LOCAL)[1][Z]Bocato: uy
[2020:11:27-20:12:07]  (Local) -> (LOCAL)[3][Z]($POPPER$): bvuena ya nos vemos piroo
[2020:11:27-20:12:10]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: mirems algp
[2020:11:27-20:12:10]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF8C00Cornizo: MUY BIEN MORALES
[2020:11:27-20:12:14]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF8C00Cornizo: parchados
[2020:11:27-20:12:17]  (Global) -> Judas?Iscariotes: yandrix
[2020:11:27-20:12:17]  (Global) -> 2cB'Mani_jkl: AUIDA!!!!!!!!!!!!!!!!1
[2020:11:27-20:12:22]  (Global) -> |CAPU|JulianGg: papa cornizo
[2020:11:27-20:12:22]  (Global) -> #7F7F7F|CVR|#FF8C00Cornizo: dime mani
[2020:11:27-20:12:24]  (Local) -> (LOCAL)[1]esperanzaGmez: si
[2020:11:27-20:12:28]  (Local) -> (LOCAL)[4]2cB'Mani_jkl: Mire donde estoy
[2020:11:27-20:12:29]  (Global) -> #7F7F7F|CVR|#FF8C00Cornizo: HOLA JULIAN
[2020:11:27-20:12:31]  (Local) -> (LOCAL)[14]PATRON: popeye
[2020:11:27-20:12:35]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFFrancine98: cuantos arrestos tienes
[2020:11:27-20:12:35]  (Global) -> |CAPU|JulianGg: grax por enviarme la soli al feis
[2020:11:27-20:12:36]  (Global) -> 2cB'Mani_jkl: Mire donde estoy 
[2020:11:27-20:12:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: en esat ciudad
[2020:11:27-20:12:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: es dificil
[2020:11:27-20:12:43]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFKreator: 783
[2020:11:27-20:12:45]  (Global) -> |DJ|[Z]_VALLUNITO_: Cone
[2020:11:27-20:12:46]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: sobrevivir
[2020:11:27-20:12:48]  (Local) -> (LOCAL)[1][CAPU]~morales~: <<<<<<<<<<<<<<<<<<
[2020:11:27-20:12:53]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#0064FFFrancine98: uy kieto
[2020:11:27-20:12:53]  (Local) -> (LOCAL)[1]esperanzaGmez: porque lo dices
[2020:11:27-20:12:56]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFKreator: pokito
[2020:11:27-20:12:56]  (Local) -> (LOCAL)[11]2cb'CamilaShade: c
[2020:11:27-20:12:59]  (Local) -> (LOCAL)[2][CAPU]~morales~: :(
[2020:11:27-20:13:07]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: mucha gente mala
[2020:11:27-20:13:10]  (Global) -> 2cB'Mani_jkl: Cornizo me colabora?
[2020:11:27-20:13:10]  (Local) -> (LOCAL)[1]esperanzaGmez: uy
[2020:11:27-20:13:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: asi
[2020:11:27-20:13:11]  (Local) -> (LOCAL)[12](POPEYE): lopez
[2020:11:27-20:13:13]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: q sobrevive
[2020:11:27-20:13:17]  (Local) -> (LOCAL)[0]|Z|~IceWipe: aaaaaaaaa
[2020:11:27-20:13:20]  (Global) -> #7F7F7F|CVR|#FF8C00Cornizo: Si mani, ya voy
[2020:11:27-20:13:21]  (Local) -> (LOCAL)[11](POPEYE): pa
[2020:11:27-20:13:22]  (Local) -> (LOCAL)[2][CAPU]~morales~: perate
[2020:11:27-20:13:22]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000Lopez: hoal
[2020:11:27-20:13:25]  (Local) -> (LOCAL)[4]#7F7F7F|CVR|#0064FFFrancine98: xddddd
[2020:11:27-20:13:26]  (Global) -> #7F7F7F|CVR|#0064FFKreator: XD
[2020:11:27-20:13:30]  (Local) -> (LOCAL)[4][CAPU]~morales~: esperen
[2020:11:27-20:13:30]  (Local) -> (LOCAL)[1]esperanzaGmez: cuanto vale un carro?
[2020:11:27-20:13:30]  (Local) -> (LOCAL)[11]chocomiiiiiiiiiilk: pope
[2020:11:27-20:13:31]  (Local) -> (LOCAL)[4]2cb'ratix: xd
[2020:11:27-20:13:31]  (Local) -> (LOCAL)[11](POPEYE): que pena molestar
[2020:11:27-20:13:34]  (Local) -> (LOCAL)[0]2cb_AL_CAPONE: alguien que venga por mi
[2020:11:27-20:13:34]  (Local) -> (LOCAL)[3]2cb'ratix: nah breve
[2020:11:27-20:13:36]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: depende
[2020:11:27-20:13:36]  (Local) -> (LOCAL)[1]|Z|~IceWipe: esa joda
[2020:11:27-20:13:37]  (Local) -> (LOCAL)[11](POPEYE): nos podes ayudar
[2020:11:27-20:13:37]  (Local) -> (LOCAL)[3][CAPU]~morales~: xd
[2020:11:27-20:13:40]  (Local) -> (LOCAL)[1]|Z|~IceWipe: esa la usa para pvp
[2020:11:27-20:13:41]  (Local) -> (LOCAL)[2][Z]Bocato: quieta
[2020:11:27-20:13:41]  (Local) -> (LOCAL)[3]2cb'ratix: hey ._.
[2020:11:27-20:13:41]  (Local) -> (LOCAL)[1]esperanzaGmez: baratin
[2020:11:27-20:13:42]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000Lopez: q paso
[2020:11:27-20:13:44]  (Local) -> (LOCAL)[0]2cb_AL_CAPONE: taxi
[2020:11:27-20:13:44]  (Local) -> (LOCAL)[3]2cb'ratix: :¿v
[2020:11:27-20:13:45]  (Local) -> (LOCAL)[2]2cb'CamilaShade: epaaa
[2020:11:27-20:13:45]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#0064FFFrancine98: xdddd
[2020:11:27-20:13:48]  (Local) -> (LOCAL)[2][Z]Skippers: jeje
[2020:11:27-20:13:48]  (Local) -> (LOCAL)[2]2cb'CamilaShade: quieto usted
[2020:11:27-20:13:49]  (Local) -> (LOCAL)[2]2cb'ratix: joder francine
[2020:11:27-20:13:50]  (Local) -> (LOCAL)[12](POPEYE): a modificar un precio en la ocmpravenbta
[2020:11:27-20:13:51]  (Local) -> (LOCAL)[1]|Z|~IceWipe: toca que se compre otra pa parchar
[2020:11:27-20:13:51]  (Local) -> (LOCAL)[2][Zetas]_Hir0: aaa
[2020:11:27-20:13:52]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: 130k
[2020:11:27-20:13:54]  (Local) -> (LOCAL)[1]|Z|~IceWipe: o con esa si quiere
[2020:11:27-20:13:55]  (Local) -> (LOCAL)[3][Z]Bocato: uy
[2020:11:27-20:13:55]  (Local) -> (LOCAL)[3]2cb'CamilaShade: yyy
[2020:11:27-20:13:56]  (Local) -> (LOCAL)[11](POPEYE): con el menor?
[2020:11:27-20:13:57]  (Local) -> (LOCAL)[2][Zetas]_Hir0: esta lock
[2020:11:27-20:13:58]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: pero
[2020:11:27-20:13:58]  (Local) -> (LOCAL)[2]2cb'CamilaShade: uuuuuuuuy
[2020:11:27-20:13:58]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000Lopez: paila
[2020:11:27-20:13:58]  (Local) -> (LOCAL)[9]2cB'Mani_jkl: Cornizo auida
[2020:11:27-20:13:58]  (Local) -> (LOCAL)[11]PATRON: maicke
[2020:11:27-20:13:59]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: asi bueno
[2020:11:27-20:14:01]  (Local) -> (LOCAL)[1][Z]Skippers: buena
[2020:11:27-20:14:02]  (Local) -> (LOCAL)[11]#7F7F7F|CVR|#FF0000Lopez: no puedo hacer eso
[2020:11:27-20:14:04]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: 1 millon
[2020:11:27-20:14:07]  (Local) -> (LOCAL)[14][Z]Maicke: dimelo
[2020:11:27-20:14:08]  (Local) -> (LOCAL)[14]PATRON: em vende el carrito
[2020:11:27-20:14:10]  (Local) -> (LOCAL)[1]/Z/^JEFER: esta esta bien despues me la cambio
[2020:11:27-20:14:11]  (Local) -> (LOCAL)[1]esperanzaGmez: o.o
[2020:11:27-20:14:16]  (Local) -> (LOCAL)[12]2cb'CamilaShade: yy 13 polis
[2020:11:27-20:14:16]  (Local) -> (LOCAL)[13][Z]Maicke: uy na pa
[2020:11:27-20:14:18]  (Local) -> (LOCAL)[13](POPEYE): es que sems nos dijo que level 4
[2020:11:27-20:14:19]  (Local) -> (LOCAL)[13][Z]Bocato: gas
[2020:11:27-20:14:21]  (Local) -> (LOCAL)[12][Z]Bocato: parce
[2020:11:27-20:14:21]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: peron
[2020:11:27-20:14:24]  (Local) -> (LOCAL)[12]2cB'Mani_jkl: AUIDA!!!!!!!
[2020:11:27-20:14:26]  (Local) -> (LOCAL)[13]PATRON: pq
[2020:11:27-20:14:26]  (Local) -> (LOCAL)[1]|Z|~IceWipe: para pvp si le recomiendo esa
[2020:11:27-20:14:27]  (Local) -> (LOCAL)[1][Z]Skippers: espera guardo los 3 palos
[2020:11:27-20:14:30]  (Local) -> (LOCAL)[12][Z]Bocato: mucho tombo
[2020:11:27-20:14:30]  (Local) -> (LOCAL)[13]2cb'CamilaShade: gas que
[2020:11:27-20:14:33]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF0000Lopez: pues es que yo no se si pueda
[2020:11:27-20:14:34]  (Local) -> (LOCAL)[13]2cb'CamilaShade: jajaja
[2020:11:27-20:14:37]  (Local) -> (LOCAL)[15]chocomiiiiiiiiiilk: guau guau
[2020:11:27-20:14:37]  (Local) -> (LOCAL)[15]#7F7F7F|CVR|#FF0000Lopez: no creo
[2020:11:27-20:14:37]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: quieres ver
[2020:11:27-20:14:37]  (Local) -> (LOCAL)[14]2cb'CamilaShade: y usted que
[2020:11:27-20:14:37]  (Local) -> (LOCAL)[1]|Z|~IceWipe: hpta estoy re lag
[2020:11:27-20:14:38]  (Local) -> (LOCAL)[11]PATRON: pq
[2020:11:27-20:14:40]  (Local) -> (LOCAL)[14](POPEYE): intentamos?
[2020:11:27-20:14:40]  (Local) -> (LOCAL)[13][Z]Bocato: va pa la cana
[2020:11:27-20:14:40]  ([Msg] de 2cb'ratix para Francine98: joder que amable) -> nil
[2020:11:27-20:14:41]  (Local) -> (LOCAL)[11]PATRON: c:
[2020:11:27-20:14:42]  (Local) -> (LOCAL)[1][JUANJO]: OLA
[2020:11:27-20:14:42]  (Global) -> elpspytriana: oe
[2020:11:27-20:14:43]  (Local) -> (LOCAL)[1]esperanzaGmez: si seria
[2020:11:27-20:14:43]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: wal policia
[2020:11:27-20:14:45]  (Local) -> (LOCAL)[13]2cb'CamilaShade: jajajaja
[2020:11:27-20:14:45]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: q mato
[2020:11:27-20:14:47]  (Local) -> (LOCAL)[1]/Z/^JEFER: ya se xd
[2020:11:27-20:14:48]  (Local) -> (LOCAL)[1]esperanzaGmez: vamos
[2020:11:27-20:14:48]  (Local) -> (LOCAL)[14]#7F7F7F|CVR|#FF0000Lopez: pues si nada se pierde
[2020:11:27-20:14:48]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: a mi abuela?
[2020:11:27-20:14:50]  (Local) -> (LOCAL)[11][Z]Maicke: es muy unico ese del vip
[2020:11:27-20:14:50]  (Global) -> elpspytriana: llevame al amunation
[2020:11:27-20:14:51]  (Local) -> (LOCAL)[1]esperanzaGmez: si
[2020:11:27-20:14:52]  (Local) -> (LOCAL)[11][Z]Maicke: no lo vendo
[2020:11:27-20:14:54]  (Local) -> (LOCAL)[14](POPEYE): vamos
[2020:11:27-20:14:55]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF8C00Cornizo: quieto pues bobotron
[2020:11:27-20:14:58]  (Local) -> (LOCAL)[1]|Z|~IceWipe: oe
[2020:11:27-20:15:00]  (Local) -> (LOCAL)[13]#7F7F7F|CVR|#FF8C00Cornizo: no ve que estoy ayudando
[2020:11:27-20:15:01]  (Local) -> (LOCAL)[9]2cB'Mani_jkl: Me pueden hacer tp algun lado?
[2020:11:27-20:15:02]  (Local) -> (LOCAL)[1]|Z|~IceWipe: se sabe algun bind/macro?
[2020:11:27-20:15:03]  ([Msg] de Francine98 para 2cb'ratix: solo quiero los arrestos xddd) -> nil
[2020:11:27-20:15:03]  (Local) -> (LOCAL)[11][Z]Bocato: voy a activar mods
[2020:11:27-20:15:06]  (Local) -> (LOCAL)[12]#7F7F7F|CVR|#FF8C00Cornizo: eavemaria
[2020:11:27-20:15:07]  (Local) -> (LOCAL)[9]2cB'Mani_jkl: WEno :c
[2020:11:27-20:15:09]  (Local) -> (LOCAL)[6]2cb'CamilaShade: dael
[2020:11:27-20:15:11]  (Local) -> (LOCAL)[6]2cb'CamilaShade: dale
[2020:11:27-20:15:11]  (Local) -> (LOCAL)[1][JUANJO]: DONDE QUEDABA
[2020:11:27-20:15:22]  (Global) -> elpspytriana: derecho
[2020:11:27-20:15:22]  (Local) -> (LOCAL)[3]chocomiiiiiiiiiilk: me hice un palo con puro camion
[2020:11:27-20:15:27]  (Local) -> (LOCAL)[6][Z]Bocato: epa
[2020:11:27-20:15:27]  ([Msg] de 2cb'ratix para Francine98: jajaja) -> nil
[2020:11:27-20:15:28]  (Local) -> (LOCAL)[1]antronyX11: oe
[2020:11:27-20:15:29]  (Local) -> (LOCAL)[0]|DJ|[Z]_VALLUNITO_: NOOOO
[2020:11:27-20:15:29]  (Local) -> (LOCAL)[1]/Z/^JEFER: eso es lo que si le undis a una tecla se unden varias no?
[2020:11:27-20:15:30]  (Local) -> (LOCAL)[6]2cb'CamilaShade: listo o que
[2020:11:27-20:15:35]  (Local) -> (LOCAL)[7][Z]Bocato: sisas
[2020:11:27-20:15:36]  (Local) -> (LOCAL)[1]|Z|~IceWipe: si
[2020:11:27-20:15:36]  (Local) -> (LOCAL)[3](POPEYE): melo
[2020:11:27-20:15:38]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: vamos
[2020:11:27-20:15:39]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: en moto
[2020:11:27-20:15:43]  (Local) -> (LOCAL)[1]esperanzaGmez: o.o
[2020:11:27-20:15:48]  (Local) -> (LOCAL)[4]2cb'CamilaShade: jajaja como me ve?
[2020:11:27-20:15:53]  (Local) -> (LOCAL)[5]2cb'CamilaShade: azul?
[2020:11:27-20:15:54]  (Local) -> (LOCAL)[1]/Z/^JEFER: y me pongo un macro o que?
[2020:11:27-20:15:54]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: no te asustes
[2020:11:27-20:15:55]  (Local) -> (LOCAL)[4][Z]Bocato: cari jalada
[2020:11:27-20:15:56]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Lopez: cual es
[2020:11:27-20:15:56]  (Global) -> elpspytriana: busque en el gp
[2020:11:27-20:15:58]  (Local) -> (LOCAL)[3]2cB'Mani_jkl: Y usted se metio
[2020:11:27-20:15:58]  (Local) -> (LOCAL)[1]|Z|~IceWipe: no
[2020:11:27-20:15:59]  (Local) -> (LOCAL)[3](POPEYE): el jeep
[2020:11:27-20:16:01]  (Global) -> elpspytriana: gps
[2020:11:27-20:16:02]  (Local) -> (LOCAL)[1]|Z|~IceWipe: que si sabes alguno?
[2020:11:27-20:16:02]  (Local) -> (LOCAL)[4]2cb'CamilaShade: jajajajajajaj
[2020:11:27-20:16:04]  (Local) -> (LOCAL)[3](POPEYE): capuelmenor
[2020:11:27-20:16:07]  (Local) -> (LOCAL)[4]2cb'CamilaShade: en la piedrita
[2020:11:27-20:16:09]  (Local) -> (LOCAL)[4]2cb'CamilaShade: tu sabes
[2020:11:27-20:16:09]  (Local) -> (LOCAL)[4][Z]Bocato: con esa skin de ada que parece una mosca jaja
[2020:11:27-20:16:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: miralo
[2020:11:27-20:16:13]  (Local) -> (LOCAL)[1][JUANJO]: QUE FIGURA TIENE
[2020:11:27-20:16:14]  (Local) -> (LOCAL)[2]PATRON: que
[2020:11:27-20:16:15]  (Local) -> (LOCAL)[1]esperanzaGmez: o.o
[2020:11:27-20:16:16]  (Local) -> (LOCAL)[1]/Z/^JEFER: ps no
[2020:11:27-20:16:17]  (Local) -> (LOCAL)[5]2cb'CamilaShade: jajajajaj
[2020:11:27-20:16:22]  (Local) -> (LOCAL)[1]esperanzaGmez: que miedo
[2020:11:27-20:16:23]  (Local) -> (LOCAL)[5]2cb'CamilaShade: tiene la cara muy fea
[2020:11:27-20:16:25]  (Local) -> (LOCAL)[5][Z]Bocato: a pagar cana o q
[2020:11:27-20:16:25]  (Global) -> |DJ|[Z]_VALLUNITO_: COn modopasivo
[2020:11:27-20:16:28]  (Local) -> (LOCAL)[3][2cb]JuanPablo: melo
[2020:11:27-20:16:30]  (Local) -> (LOCAL)[4]2cb'CamilaShade: pero linda ropa
[2020:11:27-20:16:30]  (Local) -> (LOCAL)[1]elpspytriana: un arma
[2020:11:27-20:16:31]  (Local) -> (LOCAL)[2][Z]Cris: mel
[2020:11:27-20:16:32]  (Global) -> |DJ|[Z]_VALLUNITO_: Me puedo tirar de un heli
[2020:11:27-20:16:35]  (Local) -> (LOCAL)[1]|Z|~IceWipe: sigues en el dc de 2c?
[2020:11:27-20:16:37]  (Global) -> |DJ|[Z]_VALLUNITO_: Y no me mato? xd
[2020:11:27-20:16:37]  (Local) -> (LOCAL)[1]/Z/^JEFER: osea te quieres poner maclo?
[2020:11:27-20:16:38]  (Global) -> (POPEYE): si
[2020:11:27-20:16:41]  (Global) -> |CAPU|Milplones666: no
[2020:11:27-20:16:42]  (Global) -> (POPEYE): no mueres
[2020:11:27-20:16:44]  (Local) -> (LOCAL)[1]/Z/^JEFER: no
[2020:11:27-20:16:47]  (Local) -> (LOCAL)[1]|Z|~IceWipe: ash
[2020:11:27-20:16:48]  (Global) -> Orion|LR: Tramador
[2020:11:27-20:16:53]  (Local) -> (LOCAL)[1]|Z|~IceWipe: ps sisas
[2020:11:27-20:16:58]  (Global) -> |DJ|[Z]_VALLUNITO_: Voy a probar, quiero llegar rápido a el central
[2020:11:27-20:17:00]  (Local) -> (LOCAL)[1]|Z|~IceWipe: tussy no les enseño alguno?
[2020:11:27-20:17:01]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: y mira alli a su hija
[2020:11:27-20:17:02]  (Local) -> (LOCAL)[10]#7F7F7F|CVR|#FF8C00Cornizo: listo
[2020:11:27-20:17:03]  (Local) -> (LOCAL)[1]/Z/^JEFER: espere le digo como se llama la aplicacion
[2020:11:27-20:17:05]  (Local) -> (LOCAL)[10]2cB'Mani_jkl: grx
[2020:11:27-20:17:06]  (Local) -> (LOCAL)[1]esperanzaGmez: hs
[2020:11:27-20:17:07]  (Local) -> (LOCAL)[1]|Z|~IceWipe: o la sapa de yimer
[2020:11:27-20:17:10]  (Local) -> (LOCAL)[1]esperanzaGmez: que miedo ud
[2020:11:27-20:17:12]  (Local) -> (LOCAL)[1][JUANJO]: ESTAS BIEN
[2020:11:27-20:17:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: NO
[2020:11:27-20:17:16]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF5C00Orgalor|C&A|: TRANQUI
[2020:11:27-20:17:16]  (Global) -> |DJ|[Z]_VALLUNITO_: Wow
