This file was generated by Console at 2020:09:10-00:00:00



[2020:09:10-00:00:00]  (Global) -> dilan: Patches
[2020:09:10-22:36:04]  (Local) -> (LOCAL)[5][CAPU]Elmenor: son nuevos en el server
[2020:09:10-22:36:07]  (Local) -> (LOCAL)[3][GT]PANADERO: eso es?
[2020:09:10-22:36:13]  (Local) -> (LOCAL)[3][CAPU]Gallo_Pepe: no se
[2020:09:10-22:36:18]  (Local) -> (LOCAL)[4]Kepler: Que temita pongo?
[2020:09:10-22:36:22]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: hhp esos
[2020:09:10-22:36:24]  (Local) -> (LOCAL)[1][CT.S]ELVIEJOJUANCHO: eso por q suena asi jaja
[2020:09:10-22:36:25]  (Local) -> (LOCAL)[4]quesoxd: mm
[2020:09:10-22:36:27]  (Global) -> VALLUNITO: Trabaje de piloto
[2020:09:10-22:36:27]  (Global) -> DANIEL-BARETA420:  MUEVASE HPTA
[2020:09:10-22:36:31]  (Local) -> (LOCAL)[4]dilan: malos
[2020:09:10-22:36:34]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: no se mmarica
[2020:09:10-22:36:35]  (Global) -> VALLUNITO: En 5 viajes se hace la plata pa armarse full
[2020:09:10-22:36:37]  (Local) -> (LOCAL)[2](CT.S)pablito2100: aslga
[2020:09:10-22:36:38]  (Local) -> (LOCAL)[1](DV)menorpatecumbias: loca pero no me quite la muscia
[2020:09:10-22:36:43]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: suenna horrible
[2020:09:10-22:36:43]  (Global) -> quesoxd: mi plataaaaaaaaaaaaaaaaaa
[2020:09:10-22:36:43]  (Local) -> (LOCAL)[4]Kepler: Bobo marica
[2020:09:10-22:36:46]  (Local) -> (LOCAL)[1](DV)menorpatecumbias: que asi no le peleo
[2020:09:10-22:36:46]  (Local) -> (LOCAL)[1](CT.S)pablito2100: salga
[2020:09:10-22:36:49]  (Global) -> [GT]PANADERO: UN ADMIN
[2020:09:10-22:36:49]  (Global) -> pepe: la chimba
[2020:09:10-22:36:54]  (Local) -> (LOCAL)[4]quesoxd: uqien lo estayo?
[2020:09:10-22:36:57]  (Global) -> PabloGanster: DOCTOR
[2020:09:10-22:36:57]  (Local) -> (LOCAL)[4]Kepler: Ya lo vuelvo a sacar, esoeren
[2020:09:10-22:36:57]  (Local) -> (LOCAL)[1](DV)menorpatecumbias: espere pues
[2020:09:10-22:36:58]  (Global) -> Paublito: alguna gang?
[2020:09:10-22:36:58]  (Global) -> [GT]PANADERO: ADMIN
[2020:09:10-22:37:02]  (Local) -> (LOCAL)[4]Kepler: El malparido de spiderman
[2020:09:10-22:37:08]  (Local) -> (LOCAL)[4]quesoxd: vamo por el
[2020:09:10-22:37:17]  (Global) -> [GT]PANADERO: ADMIN
[2020:09:10-22:37:22]  (Local) -> (LOCAL)[1](CT.S)pablito2100: no vamos a descansar hasta que salga el ultimo dv
[2020:09:10-22:37:22]  (Local) -> (LOCAL)[1][CT.S]ELVIEJOJUANCHO: canta
[2020:09:10-22:37:24]  (Global) -> [GT]PANADERO: ADMIN
[2020:09:10-22:37:24]  (Local) -> (LOCAL)[1](DV)menorpatecumbias: listo
[2020:09:10-22:37:26]  (Global) -> [GT]PANADERO: ADMIN
[2020:09:10-22:37:27]  (Global) -> [GT]PANADERO: ADMIN
[2020:09:10-22:37:29]  (Local) -> (LOCAL)[1](CT.S)pablito2100: hasta que se dañe esa gang
[2020:09:10-22:37:43]  (Local) -> (LOCAL)[4]quesoxd: donde esta ese men
[2020:09:10-22:37:59]  (Global) -> pepe: ponga unas de rodolfo aicardi
[2020:09:10-22:38:00]  (Local) -> (LOCAL)[5]Kepler: y queso?
[2020:09:10-22:38:04]  (Global) -> DANIEL-BARETA420: COMO ME TLETRANSPORTO?
[2020:09:10-22:38:06]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: esos no son
[2020:09:10-22:38:09]  (Local) -> (LOCAL)[1]BestChicken65: OPE
[2020:09:10-22:38:10]  (Global) -> GT|~Beltran: ./tele
[2020:09:10-22:38:11]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: cachate
[2020:09:10-22:38:11]  (Local) -> (LOCAL)[4]PabloGanster: casi k no
[2020:09:10-22:38:13]  (Local) -> (LOCAL)[4]Kepler: que putas?
[2020:09:10-22:38:14]  (Local) -> (LOCAL)[1]#7F7F7F|CVR|#FF0000Berna: maricona
[2020:09:10-22:38:14]  (Local) -> (LOCAL)[4][CT-S]bray: xdxd
[2020:09:10-22:38:16]  (Global) -> GT|~Beltran: El tele vale 23k
[2020:09:10-22:38:19]  (Local) -> (LOCAL)[1]Jabonsito: dejame
[2020:09:10-22:38:21]  (Global) -> quesoxd: o vamonos
[2020:09:10-22:38:23]  (Local) -> (LOCAL)[2]quesoxd: ajajjaa
[2020:09:10-22:38:29]  (Local) -> (LOCAL)[2]Jabonsito: q me estoy culiando a dj webom
[2020:09:10-22:38:31]  (Local) -> (LOCAL)[5][CT.S]ELVIEJOJUANCHO: polocha
[2020:09:10-22:38:33]  (Local) -> (LOCAL)[3][CT-S]bray: quiere vendas?
[2020:09:10-22:38:43]  (Local) -> (LOCAL)[2]BestChicken65: oe
[2020:09:10-22:38:45]  (Local) -> (LOCAL)[3]PabloGanster: nah
[2020:09:10-22:38:46]  (Local) -> (LOCAL)[1]BestChicken65: no me da
[2020:09:10-22:38:48]  (Local) -> (LOCAL)[1][CT-S]bray: ok
[2020:09:10-22:38:48]  (Local) -> (LOCAL)[1]BestChicken65: pal nombre mk
[2020:09:10-22:38:50]  (Local) -> (LOCAL)[3]Jabonsito: q me estoy culiando a dj webom
[2020:09:10-22:38:51]  (Local) -> (LOCAL)[3]quesoxd: no mrk de 60 lukas me quede con 30 ajjaja
[2020:09:10-22:38:51]  (Local) -> (LOCAL)[1][GT]ArturoCortez: /nick [nombre]
[2020:09:10-22:38:52]  (Global) -> _Danielmatrias_: solo lo quiero curar+
[2020:09:10-22:38:55]  (Local) -> (LOCAL)[3]Jabonsito: dj segovia
[2020:09:10-22:39:02]  (Local) -> (LOCAL)[4]Kepler: Que tema pongo???
[2020:09:10-22:39:09]  (Global) -> elmono109XD: ok
[2020:09:10-22:39:16]  (Global) -> pepe: un mix de rodolfo aicardi
[2020:09:10-22:39:20]  (Global) -> quesoxd: los 50 de joselito pajaro amarillo es que es?
[2020:09:10-22:39:20]  (Local) -> (LOCAL)[0]PabloGanster: tu eres el de la nrg?
[2020:09:10-22:39:21]  (Local) -> (LOCAL)[1]BestChicken65: ya
[2020:09:10-22:39:23]  (Global) -> _Danielmatrias_: pere
[2020:09:10-22:39:24]  (Local) -> (LOCAL)[1]BestChicken65: nada
[2020:09:10-22:39:24]  (Local) -> (LOCAL)[5](CTS)EL-PIROMANO: salga
[2020:09:10-22:39:30]  (Local) -> (LOCAL)[2][CT-S]bray: sip
[2020:09:10-22:39:30]  (Global) -> kamilo_Mca: men
[2020:09:10-22:39:32]  (Local) -> (LOCAL)[1][CT-S]bray: porque
[2020:09:10-22:39:33]  (Local) -> (LOCAL)[1]PabloGanster: jaajaj
[2020:09:10-22:39:39]  (Local) -> (LOCAL)[3][GT]ArturoCortez: No puede poner caracteres
[2020:09:10-22:39:41]  (Local) -> (LOCAL)[1]GT|~Beltran: ola
[2020:09:10-22:39:44]  (Local) -> (LOCAL)[2]#7F7F7F|CVR|#FF0000Berna: jabon
[2020:09:10-22:39:45]  (Global) -> Mr.Nea.: ola
[2020:09:10-22:39:46]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: pvp o q
[2020:09:10-22:39:48]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: 1 pa 1
[2020:09:10-22:39:49]  (Local) -> (LOCAL)[1]GT|~Beltran: uwu
[2020:09:10-22:39:49]  (Global) -> Mr.Nea.: por las turfs
[2020:09:10-22:39:49]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: oe le paso 20k que les robe
[2020:09:10-22:39:50]  (Global) -> DANIEL-BARETA420: gracias, un pirobo no me dejaba moverme
[2020:09:10-22:39:57]  (Global) -> Paublito: vendo binds
[2020:09:10-22:39:57]  (Global) -> El_marra: Esperame gonorra
[2020:09:10-22:40:01]  (Local) -> (LOCAL)[7]quesoxd: socio como hago para sentarme sjjssj
[2020:09:10-22:40:05]  (Global) -> [Z]Tartarus: Arturo quitate esos bind XDD
[2020:09:10-22:40:05]  (Team - Emergency) -> (TEAM)_Danielmatrias_: hay tienen por ratas
[2020:09:10-22:40:08]  (Global) -> Paublito: vendo binds
[2020:09:10-22:40:09]  (Global) -> pepe: esamierdaa
[2020:09:10-22:40:11]  (Local) -> (LOCAL)[11][CT.S]ELVIEJOJUANCHO: paselos
[2020:09:10-22:40:21]  (Local) -> (LOCAL)[9]quesoxd: ese mlp
[2020:09:10-22:40:23]  (Local) -> (LOCAL)[8](CT.S)pablito2100: buenas
[2020:09:10-22:40:23]  (Local) -> (LOCAL)[8]quesoxd: andateeee
[2020:09:10-22:40:24]  (Global) -> [GT]ArturoCortez: juegue sin llorar
[2020:09:10-22:40:25]  (Local) -> (LOCAL)[8](CTS)EL-PIROMANO: patron
[2020:09:10-22:40:28]  (Global) -> Mr.Nea.: piseleee
[2020:09:10-22:40:29]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Berna: jabon
[2020:09:10-22:40:32]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Berna: me sale el slide?
[2020:09:10-22:40:32]  (Local) -> (LOCAL)[5](CT.S)pablito2100: piromano socio
[2020:09:10-22:40:34]  (Local) -> (LOCAL)[3]#7F7F7F|CVR|#FF0000Berna: mire
[2020:09:10-22:40:35]  (Global) -> Mr.Nea.: esooooooooooooooooooooooooooooooooooooooo
[2020:09:10-22:40:38]  (Local) -> (LOCAL)[2][EVG]RicardoJorge: xdddd
[2020:09:10-22:40:39]  (Global) -> [Z]Tartarus: Me los he culeado de una manera increible
[2020:09:10-22:40:40]  (Local) -> (LOCAL)[4](CT.S)pablito2100: casi me mata atropellandoo
[2020:09:10-22:40:42]  (Global) -> Jabonsito: nea esos binds no sirven pa nada aprendan a usarlos ._.
[2020:09:10-22:40:43]  (Local) -> (LOCAL)[4]quesoxd: ahh paz
[2020:09:10-22:40:45]  (Local) -> (LOCAL)[4]Kepler: Dejelo sano xd
[2020:09:10-22:40:46]  (Global) -> Presley: didi dimelow
[2020:09:10-22:40:49]  (Global) -> [Z]Tartarus: incluso 3vs1 ez
[2020:09:10-22:40:51]  (Local) -> (LOCAL)[1]ElMillor: xd
[2020:09:10-22:40:52]  (Local) -> (LOCAL)[6](DV)menorpatecumbias: sigamole pues
[2020:09:10-22:40:53]  (Local) -> (LOCAL)[6](CTS)EL-PIROMANO: si es que queria ir por los manes esos rapido
[2020:09:10-22:40:55]  (Local) -> (LOCAL)[2][Z]Chatarrasolorojo: dnaiel veni
[2020:09:10-22:40:58]  (Local) -> (LOCAL)[6](CTS)EL-PIROMANO: pero ya los matamos
[2020:09:10-22:40:58]  (Local) -> (LOCAL)[2][Z]Chatarrasolorojo: quedate
[2020:09:10-22:40:58]  (Global) -> Presley: cuales
[2020:09:10-22:41:05]  (Local) -> (LOCAL)[2][Z]DanielFly: SZ
[2020:09:10-22:41:10]  (Local) -> (LOCAL)[5](CTS)EL-PIROMANO: uno que dice y que subete ala moto
[2020:09:10-22:41:23]  (Global) -> kamilo_Mca: grax
[2020:09:10-22:41:24]  (Local) -> (LOCAL)[5]quesoxd: vamos a matar tombos sjjss
[2020:09:10-22:41:32]  (Local) -> (LOCAL)[4]quesoxd: noo
[2020:09:10-22:41:34]  (Local) -> (LOCAL)[4]quesoxd: ojo
[2020:09:10-22:41:35]  (Local) -> (LOCAL)[5][CT.S]ELVIEJOJUANCHO: deje a los trabajadores pai
[2020:09:10-22:41:39]  (Local) -> (LOCAL)[1]GTDonJuan: no me da pa cambiarme l nombre :C
[2020:09:10-22:41:45]  (Global) -> Mr.Nea.: PIROBO COPION<3
[2020:09:10-22:41:46]  (Global) -> GT|~[SubditoDeSatanas]: atendemos a zetas y 2cb coge atendemos a 2cb y zetas coge xd
[2020:09:10-22:41:57]  (Global) -> [GT]OLAVE: qqqqqq
[2020:09:10-22:42:04]  (Global) -> quesoxd: tombo mlp
[2020:09:10-22:42:20]  (Local) -> (LOCAL)[5](CTS)EL-PIROMANO: badbunny me mato xd
[2020:09:10-22:42:22]  (Local) -> (LOCAL)[7][CT.S]ELVIEJOJUANCHO: te dejaste joder mija
[2020:09:10-22:42:26]  (Local) -> (LOCAL)[7](CT.S)pablito2100: ya?
[2020:09:10-22:42:29]  (Local) -> (LOCAL)[7](CT.S)pablito2100: o quiere mas
[2020:09:10-22:42:31]  (Local) -> (LOCAL)[1]GT|~Beltran: a
[2020:09:10-22:42:33]  (Local) -> (LOCAL)[5]menorpatecumbias: usted vera
[2020:09:10-22:42:34]  (Local) -> (LOCAL)[6](CTS)EL-PIROMANO: vamos por chalecos
[2020:09:10-22:42:36]  (Global) -> Mr.Nea.: tome foto
[2020:09:10-22:42:37]  (Local) -> (LOCAL)[3]Kepler: Bobo marica
[2020:09:10-22:42:37]  (Global) -> DANIEL-BARETA420:  le pusieron turbo a la sanchez? jajaja
[2020:09:10-22:42:39]  (Global) -> Mr.Nea.: me la manda
[2020:09:10-22:42:42]  (Global) -> kamilo_Mca: weno
[2020:09:10-22:42:42]  (Local) -> (LOCAL)[3]_Lisotriste_: llegaron
[2020:09:10-22:42:44]  (Local) -> (LOCAL)[1]GT|~Beltran: okxD
[2020:09:10-22:42:46]  (Global) -> Jabonsito: parcero somos como 5 y les estamos dando guerra a uds q son como 20
[2020:09:10-22:42:46]  (Local) -> (LOCAL)[1]Kepler: Pobre sapo
[2020:09:10-22:42:48]  (Global) -> _Danielmatrias_: me mata
[2020:09:10-22:42:49]  (Law) -> [DV]EsthebanGZ: refuerzos en el ammu
[2020:09:10-22:42:49]  (Law) -> (LAW)[DV]EsthebanGZ: #ffffffrefuerzos en el ammu
[2020:09:10-22:42:50]  (Global) -> kamilo_Mca: weno
[2020:09:10-22:42:51]  (Local) -> (LOCAL)[4](CT.S)pablito2100: va a seguir con los dv?
[2020:09:10-22:42:55]  (Local) -> (LOCAL)[1]GT|~Beltran: xD
[2020:09:10-22:42:59]  (Local) -> (LOCAL)[4]menorpatecumbias: yo si
[2020:09:10-22:43:03]  (Global) -> _Danielmatrias_: oe
[2020:09:10-22:43:03]  (Local) -> (LOCAL)[4][CT.S]ELVIEJOJUANCHO: andas
[2020:09:10-22:43:04]  (Local) -> (LOCAL)[6]menorpatecumbias: Poruqe'
[2020:09:10-22:43:05]  (Local) -> (LOCAL)[3][CT.S]ELVIEJOJUANCHO: peligroso
[2020:09:10-22:43:07]  (Global) -> elmono109XD: subva daniel
[2020:09:10-22:43:08]  (Global) -> Mr.Nea.: bro me voy :)
[2020:09:10-22:43:11]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: six starts
[2020:09:10-22:43:16]  (Global) -> Mr.Nea.: f
[2020:09:10-22:43:17]  (Global) -> Paublito: alguna gang?
[2020:09:10-22:43:17]  (Global) -> kamilo_Mca: ultima palabra ?
[2020:09:10-22:43:18]  (Local) -> (LOCAL)[6](CT.S)pablito2100: porque lo voy a seguir matando todas las veces que lo vea
[2020:09:10-22:43:19]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: hay dos afuera
[2020:09:10-22:43:22]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: esperandonos
[2020:09:10-22:43:25]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: si marica
[2020:09:10-22:43:38]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: ya mejore el m4
[2020:09:10-22:43:39]  (Local) -> (LOCAL)[0]DiligentXylophone48: alguien q entre al banco pofavor
[2020:09:10-22:43:43]  (Global) -> _Lisotriste_: arturo y esos binds xd
[2020:09:10-22:43:46]  (Global) -> [Z: .
[2020:09:10-22:43:47]  (Global) -> _Danielmatrias_: donde me lleba
[2020:09:10-22:43:54]  (Global) -> GTDonJuan: NOO
[2020:09:10-22:43:54]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: mira xd
[2020:09:10-22:43:58]  (Global) -> Paublito: vendo binds
[2020:09:10-22:44:11]  (Local) -> (LOCAL)[1]ElMillor: XD
[2020:09:10-22:44:12]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: no te dieron uno ?
[2020:09:10-22:44:15]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: que cosa
[2020:09:10-22:44:21]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: un bolso ?=
[2020:09:10-22:44:23]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: nada
[2020:09:10-22:44:29]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: miira aver
[2020:09:10-22:44:31]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: cuando?
[2020:09:10-22:44:43]  (Global) -> elmono109XD: suba
[2020:09:10-22:44:48]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: vamos a salir
[2020:09:10-22:44:50]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: a ver
[2020:09:10-22:44:53]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: corriendo
[2020:09:10-22:44:53]  (Local) -> (LOCAL)[1](CT.S)pablito2100: salga
[2020:09:10-22:44:55]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: ccreeo quuee a todos lloss del grupoo se lo ddieron
[2020:09:10-22:44:59]  (Global) -> elmono109XD: suba
[2020:09:10-22:45:05]  (Global) -> [GT]OLAVE: a
[2020:09:10-22:45:46]  (Global) -> [Z]Tartarus: NI CON BINDS
[2020:09:10-22:45:48]  (Global) -> [Z]Tartarus: MALAZOS
[2020:09:10-22:45:52]  (Global) -> [GT]OLAVE: parcero
[2020:09:10-22:45:53]  (Global) -> [GT]OLAVE: no diga
[2020:09:10-22:45:55]  (Global) -> [GT]OLAVE: nada
[2020:09:10-22:46:06]  (Global) -> [DV]EsthebanGZ: uy quieto hpta
[2020:09:10-22:46:08]  (Local) -> (LOCAL)[1]PabloGanster: bajele el volumen
[2020:09:10-22:46:09]  (Local) -> (LOCAL)[1]menorpatecumbias: juege sin VIP aksjksa
[2020:09:10-22:46:10]  (Global) -> [GT]OLAVE: agradezca q llego 2cb 
[2020:09:10-22:46:15]  (Global) -> DANIEL-BARETA420: jovenes
[2020:09:10-22:46:23]  (Global) -> Paublito: quien usa binds?
[2020:09:10-22:46:25]  (Global) -> DANIEL-BARETA420: donde hago la mision de camionero?
[2020:09:10-22:46:25]  (Global) -> DiligentXylophone48: alguien q tenga poderes
[2020:09:10-22:46:41]  (Global) -> DiligentXylophone48: estoy bug
[2020:09:10-22:46:48]  (Global) -> Paublito: este sv que es todo bug, y con bind s jajajajaj no les da pena?
[2020:09:10-22:46:50]  (Local) -> (LOCAL)[1][EVG]RicardoJorge: malazo
[2020:09:10-22:46:56]  (Local) -> (LOCAL)[2](CT.S)pablito2100: salga
[2020:09:10-22:46:58]  (Global) -> PabloGanster: xd
[2020:09:10-22:47:03]  (Global) -> _Danielmatrias_: sicaswd
[2020:09:10-22:47:05]  (Local) -> (LOCAL)[2]menorpatecumbias: porque?
[2020:09:10-22:47:05]  (Local) -> (LOCAL)[1]GTDonJuan: AAAAA
[2020:09:10-22:47:07]  (Local) -> (LOCAL)[4]menorpatecumbias: juaz
[2020:09:10-22:47:08]  (Local) -> (LOCAL)[4](CT.S)pablito2100: pa matarlo
[2020:09:10-22:47:10]  (Local) -> (LOCAL)[3]_Lisotriste_: el banco
[2020:09:10-22:47:12]  (Local) -> (LOCAL)[1][DV]EsthebanGZ: no encarcele a los tombos bobo
[2020:09:10-22:47:13]  (Global) -> GT|~[AndresCanson~]: no
[2020:09:10-22:47:15]  (Global) -> [DV]EsthebanGZ: no encarcele a los tombos boboç
[2020:09:10-22:47:24]  (Local) -> (LOCAL)[1]GTDonJuan: no gas
[2020:09:10-22:47:25]  (Global) -> pepe: waaalluda 
[2020:09:10-22:47:32]  (Global) -> pepe: un tombo mk me cogio
[2020:09:10-22:47:35]  (Global) -> [DV]EsthebanGZ: mete a la carcel a los compañeros mucha loca
[2020:09:10-22:47:37]  (Global) -> pepe: mlp
[2020:09:10-22:47:41]  (Global) -> pepe: espere y vera
[2020:09:10-22:47:43]  (Local) -> (LOCAL)[3][CT.S]ELVIEJOJUANCHO: ojo ahi
[2020:09:10-22:47:46]  (Local) -> (LOCAL)[2](CT.S)pablito2100: bad bunny
[2020:09:10-22:47:46]  (Local) -> (LOCAL)[1][Z]Tartarus: NI CON BINDS AJJAJA
[2020:09:10-22:47:48]  (Local) -> (LOCAL)[2](CT.S)pablito2100: salga
[2020:09:10-22:47:53]  (Global) -> pepe: loque le pasa
[2020:09:10-22:47:55]  (Local) -> (LOCAL)[2](CT.S)pablito2100: yo lo protejo
[2020:09:10-22:47:58]  (Local) -> (LOCAL)[2](CT.S)pablito2100: de este man
[2020:09:10-22:48:01]  (Local) -> (LOCAL)[2][DV]EsthebanGZ: la peor weon?
[2020:09:10-22:48:05]  (Local) -> (LOCAL)[2](CT.S)pablito2100: vaya trabaje tranquilo
[2020:09:10-22:48:09]  (Global) -> pepe: oe
[2020:09:10-22:48:13]  (Global) -> kamilo_Mca: por tombos como vos el pais esta asi sapo
[2020:09:10-22:48:13]  (Global) -> pepe: ucanto tiempo
[2020:09:10-22:48:20]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: jjoodaa tenngo eell teclladdo cullee jjodonn
[2020:09:10-22:48:21]  (Global) -> pepe: lo colocaron
[2020:09:10-22:48:21]  (Global) -> [DV]EsthebanGZ: eso le digo
[2020:09:10-22:48:22]  (Global) -> StraightSaddle10: 50 seg
[2020:09:10-22:48:25]  (Global) -> pepe: a
[2020:09:10-22:48:28]  (Local) -> (LOCAL)[1][CAPU]Elmenor: so nuevo
[2020:09:10-22:48:28]  (Local) -> (LOCAL)[2][CT.S]ELVIEJOJUANCHO: joa
[2020:09:10-22:48:34]  (Local) -> (LOCAL)[1][GT]ElChangua: oe
[2020:09:10-22:48:36]  (Global) -> [Z]Tartarus: jajajajajja
[2020:09:10-22:48:37]  (Local) -> (LOCAL)[1]GTDonJuan: dime
[2020:09:10-22:48:37]  (Global) -> [Z]Tartarus: NAAA
[2020:09:10-22:48:39]  (Global) -> [DV]EsthebanGZ: kamilo_Mca vos si sos la propia loka
[2020:09:10-22:48:39]  (Local) -> (LOCAL)[1]ElMillor: Enserio?
[2020:09:10-22:48:45]  (Local) -> (LOCAL)[1][GT]ElChangua: orgalor no?
[2020:09:10-22:48:47]  (Local) -> (LOCAL)[1]GTDonJuan: si
[2020:09:10-22:48:50]  (Local) -> (LOCAL)[1][CAPU]Elmenor: usted es nuevo?
[2020:09:10-22:48:53]  (Local) -> (LOCAL)[1][GT]ElChangua: cuando le paso la plata
[2020:09:10-22:48:56]  (Local) -> (LOCAL)[1]ElMillor: No xd
[2020:09:10-22:48:57]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: no maricad
[2020:09:10-22:48:58]  (Local) -> (LOCAL)[1]quesoxd: eo
[2020:09:10-22:48:59]  (Local) -> (LOCAL)[3]GTDonJuan: ahoa
[2020:09:10-22:49:03]  (Local) -> (LOCAL)[1][CAPU]Elmenor: cuanto tiempo lleva
[2020:09:10-22:49:04]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: frende del banco no
[2020:09:10-22:49:04]  (Local) -> (LOCAL)[2](CT.S)pablito2100: curese
[2020:09:10-22:49:07]  (Local) -> (LOCAL)[1][BGW]CHAMBA: oe
[2020:09:10-22:49:08]  (Local) -> (LOCAL)[2]quesoxd: quiero ser itachi
[2020:09:10-22:49:10]  (Local) -> (LOCAL)[1][CT.S]ELVIEJOJUANCHO: yo manejo ps
[2020:09:10-22:49:13]  (Local) -> (LOCAL)[3]GTDonJuan: GAS
[2020:09:10-22:49:15]  (Local) -> (LOCAL)[1](CTS)EL-PIROMANO: deja manejo yo
[2020:09:10-22:49:15]  (Local) -> (LOCAL)[4]ElMillor: 2 semanas
[2020:09:10-22:49:22]  (Local) -> (LOCAL)[1][GT]OLAVE: perdon
[2020:09:10-22:49:22]  (Global) -> _Danielmatrias_: noooo paila
[2020:09:10-22:49:24]  (Local) -> (LOCAL)[2][BGW]CHAMBA: en la tienda atsuki3
[2020:09:10-22:49:28]  (Local) -> (LOCAL)[3]ElMillor: Y usted?
[2020:09:10-22:49:31]  (Global) -> [Z]Tartarus: RE FACIL LA TRIPLE KILL
[2020:09:10-22:49:35]  (Local) -> (LOCAL)[4]GTDonJuan: NO
[2020:09:10-22:49:35]  (Local) -> (LOCAL)[2]quesoxd: llevame
[2020:09:10-22:49:36]  (Local) -> (LOCAL)[6][CAPU]Elmenor: 1 mes y medio
[2020:09:10-22:49:36]  (Global) -> [Z]Tartarus: NO DAN  GARRA PEORRAS
[2020:09:10-22:49:37]  (Local) -> (LOCAL)[1]GTDonJuan: MK
[2020:09:10-22:49:39]  (Local) -> (LOCAL)[1]GTDonJuan: GAS
[2020:09:10-22:49:39]  (Local) -> (LOCAL)[1][GT]ElChangua: ¿?
[2020:09:10-22:49:40]  (Local) -> (LOCAL)[2](CTS)EL-PIROMANO: uuuruuibb
[2020:09:10-22:49:44]  (Local) -> (LOCAL)[1]GTDonJuan: SAS RECORTADAS
[2020:09:10-22:49:45]  (Local) -> (LOCAL)[7]ElMillor: Che eso no es nuevo
[2020:09:10-22:49:47]  (Local) -> (LOCAL)[8]ElMillor: XD
[2020:09:10-22:49:49]  (Global) -> [GT]OLAVE: venga rei lo atiendo
[2020:09:10-22:49:53]  (Local) -> (LOCAL)[8][CAPU]Elmenor: jajaja no
[2020:09:10-22:49:59]  (Global) -> GT|~Beltran: Quien es tartarus, y porque es tan sapo
[2020:09:10-22:50:08]  (Global) -> _Danielmatrias_: perro malparido tompo triple setenta mamaguevo
[2020:09:10-22:50:08]  (Global) -> [Z]Tartarus: SOY SU PAPA
[2020:09:10-22:50:09]  (Local) -> (LOCAL)[5]ElMillor: El carro es suyo?
[2020:09:10-22:50:14]  (Local) -> (LOCAL)[6][CAPU]Elmenor: ya a entendido cosas del server?
[2020:09:10-22:50:16]  (Local) -> (LOCAL)[6][CAPU]Elmenor: si
[2020:09:10-22:50:20]  (Global) -> pepe: el 12 le armamos el mierdaro hp
[2020:09:10-22:50:22]  (Local) -> (LOCAL)[1]PabloGanster: callese señor
[2020:09:10-22:50:25]  (Global) -> [DV]EsthebanGZ: haha
[2020:09:10-22:50:27]  (Local) -> (LOCAL)[5]ElMillor: Ta bueno el carro
[2020:09:10-22:50:30]  (Global) -> [DV]EsthebanGZ: atrevete ps
[2020:09:10-22:50:33]  (Global) -> [GT]ArturoCortez: Papá, y que triste que hables despues de la penetrada que te di por alla abajo
[2020:09:10-22:50:34]  (Global) -> _Danielmatrias_: ubligueme loca
[2020:09:10-22:50:35]  (Local) -> (LOCAL)[10]ElMillor: Algunas cosas no las termino de entender
[2020:09:10-22:50:41]  (Local) -> (LOCAL)[1]GTDonJuan: 2 GAS
[2020:09:10-22:50:45]  (Local) -> (LOCAL)[6][CAPU]Elmenor: como cuales
[2020:09:10-22:50:56]  (Global) -> pepe: paz
[2020:09:10-22:51:00]  (Global) -> JUANSGAMEZ: OYE
[2020:09:10-22:51:02]  (Local) -> (LOCAL)[3]Kepler: Menor
[2020:09:10-22:51:04]  (Global) -> pepe: :)
[2020:09:10-22:51:04]  (Global) -> [Z]Tartarus: IZIIII
